,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for CABG surgery patients (MORT 30 CABG),Death rate for COPD patients (MORT 30 COPD),Death rate for stroke patients (MORT 30 STK),Heart failure 30-Day Mortality Rate (MORT 30 HF),Iatrogenic pneumothorax rate (PSI 6),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Pneumonia 30-Day Mortality Rate (MORT 30 PN)
3760,BRAXTON COUNTY MEMORIAL HOSPITAL (511308),2017,Critical Access,Voluntary non-profit - Private,25.0,38.660126,-80.748334,WV,,,,7.3,,,,,,16.7
3761,WAR MEMORIAL HOSPITAL INC (511309),2017,Critical Access,Voluntary non-profit - Private,41.0,39.640923,-78.19987,WV,,,,8.4,,,,,,15.2
3762,SUMMERS COUNTY ARH HOSPITAL (511310),2017,Critical Access,Voluntary non-profit - Private,28.0,37.674714,-80.89145,WV,,,,8.0,,11.6,,,,17.0
3763,HAMPSHIRE MEMORIAL HOSPITAL (511311),2017,Critical Access,Voluntary non-profit - Private,44.0,39.332057,-78.699913,WV,,,,8.0,,11.0,,,,16.9
3764,PRESTON MEMORIAL HOSPITAL (511312),2017,Critical Access,Voluntary non-profit - Private,25.0,39.465641,-79.676398,WV,,,,7.4,,10.8,,,,14.9
3765,BOONE MEMORIAL HOSPITAL (511313),2017,Critical Access,Government - Local,25.0,38.048636,-81.806532,WV,,,,7.6,,,,,,14.9
3766,POCAHONTAS MEMORIAL HOSPITAL (511314),2017,Critical Access,Government - Local,25.0,38.201423,-80.108701,WV,,,,,,,,,,15.2
3767,POTOMAC VALLEY HOSPITAL (511315),2017,Critical Access,Voluntary non-profit - Private,25.0,39.408908,-79.003468,WV,,,,7.0,,10.6,,,,14.0
3768,GRANT MEMORIAL HOSPITAL (511316),2017,Critical Access,Government - Local,40.0,39.001841,-79.137985,WV,,,,8.3,,11.4,,,,13.8
3769,PLATEAU MEDICAL CENTER (511317),2017,Critical Access,Proprietary,25.0,37.97468,-81.14417,WV,,,,7.2,,10.6,,,,15.5
3770,"MONTGOMERY GENERAL HOSPITAL, INC (511318)",2017,Critical Access,Voluntary non-profit - Private,69.0,38.182878,-81.324708,WV,,,,7.1,,,,,,17.2
3771,JEFFERSON MEDICAL CENTER (511319),2017,Critical Access,Voluntary non-profit - Private,25.0,39.295971,-77.858265,WV,,,,7.3,,13.7,,,,16.7
3772,JACKSON GENERAL HOSPITAL (511320),2017,Critical Access,Voluntary non-profit - Other,25.0,38.823541,-81.728325,WV,,,,8.3,,9.5,,,,15.7
3773,ST JOSEPH HOSPITAL (511321),2017,Critical Access,Voluntary non-profit - Private,51.0,38.991275,-80.236824,WV,,,,9.0,,11.2,,,,16.9
3774,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT (520002),2017,Acute Care,Voluntary non-profit - Church,88.0,44.526825,-89.566203,WI,13.9,,,6.8,15.2,11.1,,,,13.2
3775,MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR (520004),2017,Acute Care,Voluntary non-profit - Private,136.0,43.804038,-91.239557,WI,15.1,,,9.7,13.3,12.0,,,,18.6
3776,WAUKESHA MEMORIAL HOSPITAL (520008),2017,Acute Care,Voluntary non-profit - Private,275.0,43.011279,-88.245522,WI,14.2,,3.5,9.2,13.7,12.8,,,,15.5
3777,ST ELIZABETH HOSPITAL (520009),2017,Acute Care,Voluntary non-profit - Private,239.0,44.248733,-88.404135,WI,14.8,,3.3,9.0,16.0,12.6,,,,17.0
3778,LAKEVIEW MEDICAL CENTER (520011),2017,Acute Care,Voluntary non-profit - Private,40.0,45.508042,-91.759027,WI,13.1,,,8.5,14.4,10.9,,,,15.5
3779,SACRED HEART HOSPITAL (520013),2017,Acute Care,Voluntary non-profit - Church,198.0,44.793462,-91.510656,WI,11.0,,2.8,7.7,16.3,11.5,,,,16.7
3780,ST JOSEPHS HOSPITAL (520017),2017,Acute Care,Voluntary non-profit - Church,102.0,44.951661,-91.358217,WI,,,,8.1,,13.2,,,,15.0
3781,MINISTRY SAINT MARYS HOSPITAL (520019),2017,Acute Care,Voluntary non-profit - Private,65.0,45.638482,-89.31114,WI,12.8,,,6.9,13.6,14.8,,,,15.8
3782,UNITED HOSPITAL SYSTEM (520021),2017,Acute Care,Government - Local,222.0,42.577712,-87.819285,WI,15.3,,3.0,8.6,13.9,14.3,,,,16.8
3783,COLUMBIA ST MARYS HOSPITAL OZAUKEE (520027),2017,Acute Care,Voluntary non-profit - Church,123.0,43.25618,-87.92415,WI,14.4,,4.8,8.6,13.3,12.5,,,,12.8
3784,THE MONROE CLINIC (520028),2017,Acute Care,Voluntary non-profit - Private,77.0,42.607807,-89.634574,WI,13.1,,,8.6,15.1,13.0,,,,13.2
3785,ASPIRUS WAUSAU HOSPITAL (520030),2017,Acute Care,Proprietary,241.0,44.964503,-89.666372,WI,12.9,,2.4,9.1,15.0,12.2,,,,15.5
3786,ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC (520033),2017,Acute Care,Voluntary non-profit - Private,63.0,44.382199,-89.829544,WI,,,,8.7,19.3,16.3,,,,18.8
3787,AURORA MEDICAL CTR MANITOWOC COUNTY (520034),2017,Acute Care,Voluntary non-profit - Private,69.0,44.125862,-87.615137,WI,13.7,,,10.0,13.7,12.6,,,,16.4
3788,AURORA SHEBOYGAN MEMORIAL MEDICAL CTR (520035),2017,Acute Care,Voluntary non-profit - Private,133.0,43.772568,-87.711206,WI,12.6,,,9.3,15.5,12.3,,,,15.4
3789,MINISTRY SAINT JOSEPHS HOSPITAL (520037),2017,Acute Care,Voluntary non-profit - Church,323.0,,,WI,13.4,,3.4,7.2,12.9,12.7,,,,16.7
3790,AURORA MEDICAL CTR WASHINGTON COUNTY (520038),2017,Acute Care,Voluntary non-profit - Private,45.0,43.3176,-88.362734,WI,14.0,,,9.8,,12.1,,,,14.6
3791,DIVINE SAVIOR HEALTHCARE (520041),2017,Acute Care,Voluntary non-profit - Private,166.0,43.566278,-89.469445,WI,,,,8.3,14.5,15.5,,,,18.5
3792,ST NICHOLAS HOSPITAL (520044),2017,Acute Care,Voluntary non-profit - Private,53.0,43.761118,-87.747143,WI,,,,9.0,15.3,14.0,,,,17.8
3793,THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC (520045),2017,Acute Care,Voluntary non-profit - Private,152.0,44.189172,-88.453907,WI,13.8,,,11.9,18.2,15.5,,,,17.6
3794,MERCY MEDICAL CENTER OF OSHKOSH (520048),2017,Acute Care,Voluntary non-profit - Private,124.0,,,WI,12.5,,,8.6,16.1,12.6,,,,16.8
3795,BELLIN MEMORIAL HOSPITAL (520049),2017,Acute Care,Voluntary non-profit - Private,176.0,44.502001,-88.010631,WI,10.6,,3.3,9.9,16.6,12.5,,,,17.6
3796,COLUMBIA ST MARYS HOSPITAL MILWAUKEE (520051),2017,Acute Care,Voluntary non-profit - Church,305.0,43.061411,-87.879139,WI,13.9,,3.6,7.9,16.4,13.2,,,,13.3
3797,SSM HEALTH ST CLARE HOSPITAL - BARABOO (520057),2017,Acute Care,Voluntary non-profit - Private,44.0,43.480607,-89.731194,WI,,,,8.6,15.4,10.8,,,,16.4
3798,AURORA MEMORIAL HOSPITAL BURLINGTON (520059),2017,Acute Care,Voluntary non-profit - Private,46.0,42.673515,-88.282648,WI,12.8,,,9.1,16.6,12.0,,,,15.0
3799,OCONOMOWOC MEMORIAL HOSPITAL (520062),2017,Acute Care,Voluntary non-profit - Other,61.0,43.101136,-88.486109,WI,13.6,,,8.5,14.9,16.6,,,,14.4
3800,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND (520063),2017,Acute Care,Voluntary non-profit - Private,75.0,43.353318,-88.196576,WI,13.5,,,6.9,14.0,11.7,,,,11.7
3801,MERCY HEALTH SYSTEM CORP (520066),2017,Acute Care,Voluntary non-profit - Private,224.0,42.686744,-89.032725,WI,17.7,,4.5,8.5,17.1,12.0,,,,16.1
3802,MAYO CLINIC HEALTH SYSTEM IN EAU CLAIRE (520070),2017,Acute Care,Voluntary non-profit - Private,190.0,44.812055,-91.51354,WI,11.6,,3.0,7.3,16.2,10.9,,,,15.4
3803,FORT MEMORIAL HOSPITAL (520071),2017,Acute Care,Voluntary non-profit - Private,65.0,42.929969,-88.827933,WI,,,,8.0,16.2,12.1,,,,16.4
3804,ST VINCENT HOSPITAL (520075),2017,Acute Care,Voluntary non-profit - Church,255.0,44.501039,-88.013175,WI,15.9,,2.9,8.0,15.9,11.8,,,,18.8
3805,BEAVER DAM COMMUNITY HOSPITAL (520076),2017,Acute Care,Voluntary non-profit - Private,218.0,43.448477,-88.828197,WI,,,,9.1,14.9,12.5,,,,17.4
3806,WHEATON FRANCISCAN HEALTHCARE ST FRANCIS HOSPITAL (520078),2017,Acute Care,Voluntary non-profit - Private,159.0,42.98536,-87.933837,WI,12.5,,,6.7,14.9,9.7,,,,12.8
3807,SSM HEALTH ST MARY'S HOSPITAL - MADISON (520083),2017,Acute Care,Voluntary non-profit - Private,366.0,43.059124,-89.400678,WI,12.5,,3.7,7.2,13.7,11.5,,,,14.5
3808,GUNDERSEN LUTHERAN MEDICAL CENTER (520087),2017,Acute Care,Voluntary non-profit - Private,270.0,43.794748,-91.246219,WI,14.0,,2.9,10.5,17.1,13.5,,,,16.3
3809,ST AGNES HOSPITAL (520088),2017,Acute Care,Voluntary non-profit - Private,145.0,43.778691,-88.431179,WI,14.0,,,7.8,14.2,13.7,,,,16.3
3810,UNITYPOINT HEALTH - MERITER (520089),2017,Acute Care,Voluntary non-profit - Private,313.0,43.065385,-89.400896,WI,10.4,,2.5,7.1,16.1,10.3,,,,12.9
3811,HOWARD YOUNG MEDICAL CTR (520091),2017,Acute Care,Voluntary non-profit - Church,77.0,45.89437,-89.701837,WI,,,,7.7,15.7,10.6,,,,15.8
3812,SAUK PRAIRIE HOSPITAL (520095),2017,Acute Care,Voluntary non-profit - Church,36.0,43.287718,-89.756072,WI,,,,8.1,14.1,12.3,,,,17.5
3813,WHEATON FRANCISCAN HEALTHCARE ALL SAINTS (520096),2017,Acute Care,Voluntary non-profit - Church,336.0,42.733346,-87.825173,WI,14.6,,2.7,7.9,14.8,12.7,,,,15.6
3814,ST MARYS HOSPITAL MEDICAL CTR (520097),2017,Acute Care,Voluntary non-profit - Other,83.0,44.532184,-88.066561,WI,12.5,,,8.5,15.7,11.6,,,,14.5
3815,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY (520098),2017,Acute Care,Government - Hospital District or Authority,579.0,43.077218,-89.429063,WI,12.4,,2.2,8.9,17.4,11.4,,,,15.9
3816,BELOIT MEMORIAL HOSPITAL (520100),2017,Acute Care,Voluntary non-profit - Private,101.0,42.546766,-89.007616,WI,13.1,,3.0,11.8,16.3,13.0,,,,19.6
3817,AURORA LAKELAND MEDICAL CENTER (520102),2017,Acute Care,Voluntary non-profit - Private,68.0,42.662615,-88.496322,WI,14.9,,,8.6,14.3,12.7,,,,13.9
3818,COMMUNITY MEMORIAL HOSPITAL (520103),2017,Acute Care,Voluntary non-profit - Private,202.0,,,WI,13.8,,2.4,7.0,16.1,13.9,,,,16.7
3819,HOLY FAMILY MEMORIAL (520107),2017,Acute Care,Voluntary non-profit - Other,61.0,44.09441,-87.676865,WI,15.2,,,8.2,13.7,11.7,,,,14.4
3820,MILE BLUFF MEDICAL CENTER (520109),2017,Acute Care,Proprietary,172.0,43.782614,-90.076778,WI,,,,8.4,16.6,14.0,,,,17.8
3821,BAY AREA MEDICAL CENTER (520113),2017,Acute Care,Voluntary non-profit - Private,81.0,,,WI,13.6,,,5.9,17.5,11.2,,,,14.1
3822,WATERTOWN REGIONAL MEDICAL CENTER (520116),2017,Acute Care,Voluntary non-profit - Private,95.0,43.199903,-88.699014,WI,14.6,,,7.1,14.7,10.2,,,,17.9
3823,WHEATON FRANCISCAN - ST JOSEPH (520136),2017,Acute Care,Voluntary non-profit - Church,356.0,43.073465,-87.9761,WI,13.6,,3.4,7.2,17.7,10.7,,,,15.8
3824,AURORA ST LUKES MEDICAL CENTER (520138),2017,Acute Care,Voluntary non-profit - Private,936.0,42.988612,-87.949346,WI,11.3,,1.6,5.7,15.5,10.0,,,,11.9
3825,AURORA WEST ALLIS MEDICAL CENTER (520139),2017,Acute Care,Voluntary non-profit - Private,232.0,43.002702,-88.023065,WI,13.0,,,8.6,14.0,12.3,,,,14.5
3826,THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC (520160),2017,Acute Care,Voluntary non-profit - Private,147.0,44.278772,-88.395612,WI,15.4,,2.6,8.9,17.0,15.6,,,,19.8
3827,FROEDTERT MEMORIAL LUTHERAN HOSPITAL (520177),2017,Acute Care,Voluntary non-profit - Private,577.0,43.038407,-88.027316,WI,14.1,,3.4,7.5,15.0,10.7,,,,12.6
3828,AURORA MEDICAL CTR KENOSHA (520189),2017,Acute Care,Voluntary non-profit - Private,81.0,42.567355,-87.933877,WI,13.9,,,8.8,16.0,11.5,,,,14.2
3829,AURORA BAYCARE MEDICAL CTR (520193),2017,Acute Care,Proprietary,165.0,44.47335,-87.941091,WI,14.2,,3.4,7.5,14.4,12.6,,,,20.4
3830,AURORA MEDICAL CTR OSHKOSH (520198),2017,Acute Care,Voluntary non-profit - Private,68.0,44.027541,-88.593291,WI,12.1,,,7.9,16.4,12.9,,,,14.9
3831,ST CLARES HOSPITAL OF WESTON (520202),2017,Acute Care,Voluntary non-profit - Private,96.0,44.889675,-89.582214,WI,12.6,,3.5,7.9,14.7,10.8,,,,16.5
3832,WHEATON FRANCISCAN HEALTHCARE FRANKLIN (520204),2017,Acute Care,Voluntary non-profit - Private,35.0,,,WI,14.6,,,8.5,,11.1,,,,13.7
3833,AURORA MEDICAL CENTER (520206),2017,Acute Care,Voluntary non-profit - Private,86.0,43.063611,-88.467732,WI,13.0,,,8.1,14.7,12.5,,,,13.6
3834,AURORA MEDICAL CENTER (520207),2017,Acute Care,Voluntary non-profit - Private,116.0,,,WI,11.4,,3.1,9.5,12.8,12.8,,,,13.5
3835,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE (520208),2017,Acute Care,Voluntary non-profit - Other,50.0,42.670982,-88.976075,WI,,,,9.0,12.7,11.0,,,,13.1
3836,MINISTRY EAGLE RIVER MEMORIAL HOSPITAL (521300),2017,Critical Access,Voluntary non-profit - Private,20.0,45.927518,-89.251678,WI,,,,7.6,,12.6,,,,14.8
3837,MAYO CLINIC HEALTH SYSTEM OAKRIDGE (521302),2017,Critical Access,Voluntary non-profit - Other,26.0,44.577911,-91.216351,WI,,,,,,,,,,15.8
3838,THEDACARE MEDICAL CENTER - WILD ROSE INC (521303),2017,Critical Access,Voluntary non-profit - Private,25.0,44.183143,-89.245704,WI,,,,,,,,,,16.2
3839,GUNDERSEN ST JOSEPHS HOSPITAL AND CLINICS (521304),2017,Critical Access,Voluntary non-profit - Private,25.0,43.648814,-90.34447,WI,,,,7.8,,11.4,,,,15.3
3840,MAYO CLINIC HLTH SYSTM FRANCISCAN HLTHCARE SPARTA (521305),2017,Critical Access,Voluntary non-profit - Church,25.0,43.944395,-90.81516,WI,,,,,,,,,,14.8
3841,AMERY HOSPITAL & CLINIC (521308),2017,Critical Access,Voluntary non-profit - Private,35.0,45.295946,-92.36067,WI,,,,9.9,,12.2,,,,15.5
3842,MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS (521309),2017,Critical Access,Voluntary non-profit - Private,25.0,43.973995,-89.821026,WI,,,,,,,,,,14.7
3843,HSHS ST CLARE MEMORIAL HOSPITAL (521310),2017,Critical Access,Voluntary non-profit - Private,23.0,44.865899,-88.127084,WI,,,,9.1,14.3,11.0,,,,15.8
3844,OUR LADY OF VICTORY HOSPITAL (521311),2017,Critical Access,Voluntary non-profit - Other,24.0,44.955311,-90.920564,WI,,,,,,10.1,,,,15.7
3845,MEMORIAL HOSPITAL OF LAFAYETTE COUNTY (521312),2017,Critical Access,Government - Local,25.0,42.68397,-90.110419,WI,,,,,,,,,,14.3
3846,MINISTRY SACRED HEART HOSPITAL (521313),2017,Critical Access,Voluntary non-profit - Church,17.0,45.489006,-89.733596,WI,,,,7.1,,10.4,,,,16.6
3847,MAYO CLINIC HEALTH SYSTEM  CHIPPEWA VALLEY (521314),2017,Critical Access,Voluntary non-profit - Private,38.0,45.102008,-91.500572,WI,,,,,,,,,,17.8
3848,MAYO CLINIC HEALTH SYSTEM  NORTHLAND (521315),2017,Critical Access,Voluntary non-profit - Other,35.0,45.398369,-91.840668,WI,,,,8.1,,12.2,,,,15.5
3849,GUNDERSEN TRI-COUNTY HOSPITAL AND CLINICS (521316),2017,Critical Access,Voluntary non-profit - Private,63.0,44.364827,-91.318648,WI,,,,,,,,,,16.8
3850,LADD MEMORIAL HOSPITAL (521318),2017,Critical Access,Voluntary non-profit - Private,25.0,45.302115,-92.699804,WI,,,,,,11.8,,,,14.9
3851,EDGERTON HOSPITAL AND HEALTH SERVICES (521319),2017,Critical Access,Voluntary non-profit - Private,17.0,42.834872,-89.043024,WI,,,,,,,,,,15.9
3852,TOMAH MEMORIAL HOSPITAL (521320),2017,Critical Access,Voluntary non-profit - Private,25.0,,,WI,,,,8.7,,11.5,,,,16.0
3853,RIPON MEDICAL CENTER (521321),2017,Critical Access,Voluntary non-profit - Private,21.0,43.835451,-88.817692,WI,,,,,,,,,,16.4
3854,GRANT REGIONAL HEALTH CENTER (521322),2017,Critical Access,Voluntary non-profit - Private,25.0,42.84434,-90.708393,WI,,,,,,11.0,,,,19.7
3855,"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC (521324)",2017,Critical Access,Voluntary non-profit - Private,128.0,45.135834,-90.354012,WI,,,,9.0,,11.0,,,,14.8
3856,FLAMBEAU HOSPITAL (521325),2017,Critical Access,Voluntary non-profit - Private,25.0,45.931098,-90.441972,WI,,,,7.4,,11.5,,,,14.2
3857,THEDACARE MEDICAL CENTER NEW LONDON (521326),2017,Critical Access,Voluntary non-profit - Private,25.0,44.381668,-88.733124,WI,,,,7.9,,12.2,,,,17.2
3858,WAUPUN MEMORIAL HOSPITAL (521327),2017,Critical Access,Voluntary non-profit - Church,25.0,43.630968,-88.745912,WI,,,,8.4,,13.9,,,,15.0
3859,RUSK COUNTY MEMORIAL HOSPITAL (521328),2017,Critical Access,Voluntary non-profit - Other,37.0,45.455605,-91.11113,WI,,,,7.1,,12.2,,,,16.3
3860,ST MARYS HOSPITAL OF SUPERIOR (521329),2017,Critical Access,Voluntary non-profit - Private,24.0,46.698195,-92.104048,WI,,,,,,10.8,,,,15.7
3861,CROSSING RIVERS HEALTH MEDICAL CENTER (521330),2017,Critical Access,Voluntary non-profit - Private,25.0,43.013999,-91.094502,WI,,,,8.8,14.4,13.2,,,,13.4
3862,BURNETT MEDICAL CENTER (521331),2017,Critical Access,Voluntary non-profit - Private,75.0,45.775546,-92.687182,WI,,,,7.1,,,,,,15.3
3863,SPOONER HEALTH SYSTEM (521332),2017,Critical Access,Voluntary non-profit - Private,22.0,,,WI,,,,8.2,,11.2,,,,16.7
3864,BLACK RIVER MEMORIAL HOSPITAL (521333),2017,Critical Access,Voluntary non-profit - Private,25.0,44.302386,-90.855734,WI,,,,9.2,,13.6,,,,14.7
3865,THEDACARE MEDICAL CENTER - WAUPACA INC (521334),2017,Critical Access,Voluntary non-profit - Private,25.0,44.345333,-89.075825,WI,,,,8.6,16.3,16.4,,,,22.4
3866,HUDSON HOSPITAL (521335),2017,Critical Access,Voluntary non-profit - Private,25.0,44.962289,-92.718839,WI,,,,7.9,,10.9,,,,16.1
3867,HAYWARD AREA MEMORIAL HOSPITAL (521336),2017,Critical Access,Voluntary non-profit - Private,75.0,46.0354,-91.488465,WI,,,,8.5,14.3,12.8,,,,17.7
3868,ST CROIX REGIONAL MEDICAL CENTER (521337),2017,Critical Access,Voluntary non-profit - Private,25.0,45.409134,-92.642218,WI,,,,8.6,14.9,11.3,,,,14.9
3869,COLUMBUS COMMUNITY HOSPITAL (521338),2017,Critical Access,Voluntary non-profit - Private,25.0,43.323798,-89.036162,WI,,,,8.6,14.7,10.4,,,,15.9
3870,GOOD SAMARITAN HEALTH CENTER (521339),2017,Critical Access,Voluntary non-profit - Church,22.0,45.175858,-89.683031,WI,,,,,,12.9,,,,16.1
3871,MAYO CLINIC HEALTH SYSTEM  RED CEDAR (521340),2017,Critical Access,Voluntary non-profit - Private,25.0,44.882566,-91.900468,WI,,,,7.6,13.4,10.6,,,,15.6
3872,RICHLAND HOSPITAL (521341),2017,Critical Access,Voluntary non-profit - Private,25.0,43.339118,-90.382826,WI,,,,8.6,14.6,11.8,,,,16.2
3873,INDIANHEAD MEDICAL CENTER SHELL LAKE (521342),2017,Critical Access,Proprietary,25.0,45.742102,-91.92578,WI,,,,,,12.0,,,,15.5
3874,STOUGHTON HOSPITAL (521343),2017,Critical Access,Voluntary non-profit - Private,31.0,42.920317,-89.211319,WI,,,,,,11.3,,,,16.4
3875,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS (521344),2017,Critical Access,Voluntary non-profit - Private,25.0,43.132926,-90.707744,WI,,,,,,12.9,,,,16.4
3876,WESTFIELDS HOSPITAL AND CLINIC (521345),2017,Critical Access,Voluntary non-profit - Private,25.0,45.11746,-92.553214,WI,,,,7.7,,11.6,,,,15.1
3877,THEDACARE MEDICAL CENTER - SHAWANO INC (521346),2017,Critical Access,Voluntary non-profit - Private,25.0,44.761606,-88.606614,WI,,,,8.1,17.0,15.4,,,,18.6
3878,WESTERN WISCONSIN HEALTH (521347),2017,Critical Access,Voluntary non-profit - Private,25.0,44.941282,-92.376028,WI,,,,,,13.5,,,,16.8
3879,VERNON MEMORIAL HOSPITAL (521348),2017,Critical Access,Voluntary non-profit - Private,28.0,43.55146,-90.888946,WI,,,,,,14.1,,,,15.7
3880,RIVER FALLS AREA HOSPITAL (521349),2017,Critical Access,Voluntary non-profit - Private,24.0,44.862859,-92.602829,WI,,,,8.1,,12.6,,,,16.1
3881,ASPIRUS LANGLADE HOSPITAL (521350),2017,Critical Access,Voluntary non-profit - Church,25.0,45.140319,-89.140292,WI,,,,7.7,15.7,12.7,,,,14.5
3882,REEDSBURG AREA MEDICAL CENTER (521351),2017,Critical Access,Voluntary non-profit - Private,25.0,43.549287,-89.994548,WI,,,,8.9,,12.5,,,,17.6
3883,UPLAND HILLS HEALTH (521352),2017,Critical Access,Voluntary non-profit - Private,69.0,42.952635,-90.130254,WI,,,,7.9,14.1,11.8,,,,13.6
3884,CUMBERLAND MEMORIAL HOSPITAL (521353),2017,Critical Access,Voluntary non-profit - Other,57.0,45.530939,-92.029592,WI,,,,,,13.1,,,,15.7
3885,SOUTHWEST HEALTH CENTER (521354),2017,Critical Access,Voluntary non-profit - Other,108.0,42.719781,-90.455783,WI,,,,,,13.3,,,,19.5
3886,THEDACARE MEDICAL CENTER - BERLIN INC (521355),2017,Critical Access,Voluntary non-profit - Private,69.0,43.977616,-88.941843,WI,,,,7.8,15.1,16.1,,,,15.4
3887,MERCY WALWORTH HOSPITAL & MEDICAL CENTER (521357),2017,Critical Access,Voluntary non-profit - Private,331.0,42.597823,-88.540919,WI,,,,7.5,14.1,12.9,,,,17.9
3888,MINISTRY DOOR COUNTY MEDICAL CENTER (521358),2017,Critical Access,Voluntary non-profit - Church,55.0,44.832763,-87.351418,WI,,,,8.3,16.1,12.6,,,,16.9
3889,MEMORIAL MEDICAL CENTER (521359),2017,Critical Access,Voluntary non-profit - Private,35.0,46.566887,-90.887978,WI,15.3,,,8.0,17.9,13.6,,,,20.6
3890,CAMPBELL COUNTY MEMORIAL HOSPITAL (530002),2017,Acute Care,Government - Hospital District or Authority,225.0,44.289846,-105.519557,WY,14.5,,,9.5,15.6,12.4,,,,18.2
3891,SHERIDAN MEMORIAL HOSPITAL (530006),2017,Acute Care,Government - Local,68.0,44.807425,-106.97557,WY,13.6,,,7.5,16.0,16.4,,,,16.0
3892,SAGEWEST HEALTH CARE (530008),2017,Acute Care,Proprietary,124.0,43.033667,-108.418654,WY,13.9,,,8.6,15.4,11.4,,,,14.5
3893,MEMORIAL HOSPITAL SWEETWATER COUNTY (530011),2017,Acute Care,Government - Local,68.0,41.58406,-109.233578,WY,15.3,,,8.3,15.5,13.9,,,,15.1
3894,WYOMING MEDICAL CENTER (530012),2017,Acute Care,Government - Local,194.0,42.848718,-106.308753,WY,13.2,,3.3,11.4,15.3,14.8,,,,15.9
3895,CHEYENNE REGIONAL MEDICAL CENTER (530014),2017,Acute Care,Voluntary non-profit - Other,222.0,41.139789,-104.817036,WY,13.8,,4.1,6.8,13.5,12.8,,,,16.3
3896,ST JOHNS MEDICAL CENTER (530015),2017,Acute Care,Government - Hospital District or Authority,162.0,43.479695,-110.749986,WY,,,,7.0,14.1,11.7,,,,16.3
3897,IVINSON MEMORIAL HOSPITAL (530025),2017,Acute Care,Government - Hospital District or Authority,87.0,41.31139,-105.557512,WY,,,,8.6,15.4,11.7,,,,17.1
3898,EVANSTON REGIONAL HOSPITAL (530032),2017,Acute Care,Proprietary,32.0,41.242214,-110.991336,WY,,,,,,,,,,20.4
3899,MEMORIAL HOSPITAL OF CONVERSE COUNTY (531302),2017,Critical Access,Voluntary non-profit - Other,25.0,42.758805,-105.381279,WY,,,,9.3,,,,,,17.8
3900,WESTON COUNTY HEALTH SERVICES (531303),2017,Critical Access,Government - Hospital District or Authority,71.0,43.848747,-104.188756,WY,,,,,,,,,,15.9
3901,HOT SPRINGS COUNTY MEMORIAL HOSPITAL (531304),2017,Critical Access,Government - Local,22.0,43.647432,-108.19959,WY,,,,8.1,,16.4,,,,16.6
3902,PLATTE COUNTY MEMORIAL HOSPITAL (531305),2017,Critical Access,Government - Local,25.0,42.04981,-104.960221,WY,,,,8.8,,12.4,,,,18.7
3903,WASHAKIE MEDICAL CENTER (531306),2017,Critical Access,Government - Local,22.0,44.013556,-107.948409,WY,,,,8.9,,14.0,,,,18.6
3904,COMMUNITY HOSPITAL (531307),2017,Critical Access,Voluntary non-profit - Private,25.0,42.081765,-104.191509,WY,,,,8.7,,14.9,,,,20.7
3905,JOHNSON COUNTY HEALTHCARE CENTER (531308),2017,Critical Access,Government - Hospital District or Authority,68.0,44.349788,-106.707248,WY,,,,,,,,,,15.3
3906,NORTH BIG HORN HOSPITAL DISTRICT (531309),2017,Critical Access,Government - Hospital District or Authority,99.0,44.825799,-108.390688,WY,,,,,,,,,,15.7
3907,POWELL VALLEY HOSPITAL (531310),2017,Critical Access,Government - Hospital District or Authority,125.0,44.756622,-108.770547,WY,,,,9.1,,13.1,,,,15.6
3908,WEST PARK HOSPITAL DISTRICT (531312),2017,Critical Access,Government - Hospital District or Authority,126.0,44.526071,-109.073576,WY,,,,9.2,16.0,12.2,,,,14.6
3909,STAR VALLEY MEDICAL CENTER (531313),2017,Critical Access,Government - Hospital District or Authority,45.0,42.71725,-110.931461,WY,,,,,,,,,,16.1
3910,MEMORIAL HOSPITAL OF CARBON COUNTY (531316),2017,Critical Access,Government - Local,25.0,41.786763,-107.260673,WY,,,,9.9,,12.4,,,,19.7
3911,GUAM MEMORIAL HOSPITAL AUTHORITY (650001),2017,Acute Care,Government - Local,209.0,,,GU,16.0,,,10.0,16.4,11.5,,,,19.7
3912,COMMONWEALTH HEALTH CENTER (660001),2017,Acute Care,Proprietary,74.0,,,MP,15.1,,,7.9,17.5,13.1,,,,26.1
3913,ST MARKS MEDICAL CENTER (670004),2017,Acute Care,Voluntary non-profit - Private,42.0,,,TX,14.1,,,8.3,13.9,11.0,,,,15.6
