,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,AMI 30-Day Mortality Rate (MORT 30 AMI),Acute Myocardial Infarction 30-Day Readmission Rate (READM 30 AMI),Heart failure 30-Day Mortality Rate (MORT 30 HF),Heart failure 30-Day Readmission Rate (READM 30 HF),Hospital-wide readmission rate after discharge (READM 30 HOSP WIDE),Pneumonia 30-Day Mortality Rate (MORT 30 PN),Pneumonia 30-Day Readmission Rate (READM 30 PN),Rate of readmission after hip/knee surgery (READM 30 HIP KNEE)
3925,CJW MEDICAL CENTER (490112),2014,Acute Care,Proprietary,787.0,37.515832,-77.52488,VA,15.6,18.5,11.0,21.2,,13.5,16.3,5.7
3926,SENTARA NORTHERN VIRGINIA MEDICAL CENTER (490113),2014,Acute Care,Voluntary non-profit - Private,163.0,38.634953,-77.284211,VA,12.2,18.2,9.5,22.9,,10.0,17.5,6.1
3927,WELLMONT LONESOME PINE HOSPITAL (490114),2014,Acute Care,Voluntary non-profit - Other,119.0,36.877284,-82.75567,VA,15.7,20.7,10.9,22.3,,10.2,19.4,
3928,TWIN COUNTY REGIONAL HOSPITAL (490115),2014,Acute Care,Voluntary non-profit - Private,155.0,36.671813,-80.923814,VA,16.4,,14.1,22.9,,15.5,17.8,5.3
3929,LEWISGALE HOSPITAL PULASKI (490116),2014,Acute Care,Proprietary,84.0,37.068744,-80.758807,VA,14.0,20.1,11.2,28.1,,13.5,19.3,
3930,CARILION TAZEWELL COMMUNITY HOSPITAL (490117),2014,Acute Care,Voluntary non-profit - Other,48.0,,,VA,,,12.6,22.8,,12.4,18.6,
3931,HENRICO DOCTORS' HOSPITAL (490118),2014,Acute Care,Proprietary,765.0,37.604045,-77.537717,VA,13.5,17.6,10.9,22.2,,12.1,15.4,4.7
3932,SENTARA PRINCESS ANNE HOSPITAL (490119),2014,Acute Care,Voluntary non-profit - Other,166.0,36.777194,-76.096738,VA,16.3,17.0,10.7,20.6,,12.5,17.2,5.1
3933,SALEM VA MEDICAL CENTER (49011F),2014,Acute Care (VA),Government - Federal,,,,,19.4,18.1,10.2,24.7,,10.6,20.2,
3934,CHESAPEAKE GENERAL HOSPITAL (490120),2014,Acute Care,Government - Hospital District or Authority,309.0,36.746111,-76.244828,VA,12.5,17.8,10.1,23.6,,10.0,18.7,5.6
3935,INOVA MOUNT VERNON HOSPITAL (490122),2014,Acute Care,Voluntary non-profit - Private,236.0,38.740184,-77.07479,VA,15.9,19.3,10.4,22.8,,11.2,18.8,3.9
3936,RAPPAHANNOCK GENERAL HOSPITAL (490123),2014,Acute Care,Voluntary non-profit - Private,75.0,,,VA,15.3,,12.9,21.3,,16.4,16.2,5.7
3937,LEWISGALE HOSPITAL ALLEGHANY (490126),2014,Acute Care,Voluntary non-profit - Private,109.0,,,VA,13.9,,9.8,19.9,,11.4,20.1,6.9
3938,BUCHANAN GENERAL HOSPITAL (490127),2014,Acute Care,Voluntary non-profit - Private,84.0,37.285506,-82.067817,VA,13.6,,10.9,22.6,,14.6,18.8,
3939,RIVERSIDE WALTER REED HOSPITAL (490130),2014,Acute Care,Voluntary non-profit - Private,67.0,37.419475,-76.54318,VA,16.8,17.2,12.0,23.6,,14.4,17.2,5.9
3940,BON SECOURS ST FRANCIS MEDICAL CENTER (490136),2014,Acute Care,Voluntary non-profit - Church,130.0,37.466398,-77.659056,VA,16.9,20.8,12.1,22.2,,11.8,18.6,5.7
3941,"STAFFORD HOSPITAL, LLC (490140)",2014,Acute Care,Voluntary non-profit - Private,90.0,38.413924,-77.408606,VA,13.5,18.0,11.6,21.8,,8.2,16.0,5.8
3942,SPOTSYLVANIA REGIONAL MEDICAL CENTER (490141),2014,Acute Care,Proprietary,130.0,38.219496,-77.49645,VA,15.1,19.4,12.1,22.2,,11.7,19.2,5.0
3943,BATH COMMUNITY HOSPITAL (491300),2014,Critical Access,Voluntary non-profit - Private,19.0,37.99389,-79.830959,VA,,,12.6,23.6,,12.3,17.8,
3944,CARILION GILES COMMUNITY HOSPITAL (491302),2014,Critical Access,Voluntary non-profit - Private,25.0,37.332697,-80.710747,VA,14.1,,9.6,22.5,,11.7,16.4,
3945,CARILION STONEWALL JACKSON HOSPITAL (491304),2014,Critical Access,Voluntary non-profit - Private,25.0,37.778455,-79.442049,VA,13.9,18.1,12.9,23.0,,13.6,15.4,5.3
3946,SHENANDOAH MEMORIAL HOSPITAL (491305),2014,Critical Access,Voluntary non-profit - Private,25.0,38.871586,-78.513936,VA,,,12.3,23.4,,10.7,17.6,4.7
3947,"PAGE MEMORIAL HOSPITAL, INC (491307)",2014,Critical Access,Voluntary non-profit - Private,25.0,38.662482,-78.469864,VA,,,12.9,23.9,,12.1,18.0,
3948,NORTHWEST HOSPITAL (500001),2014,Acute Care,Voluntary non-profit - Other,201.0,47.712263,-122.335936,WA,16.0,17.6,15.0,20.3,,11.6,16.1,4.3
3949,PROVIDENCE ST MARY MEDICAL CENTER (500002),2014,Acute Care,Voluntary non-profit - Private,98.0,46.06294,-118.343136,WA,16.1,17.9,13.0,22.2,,12.5,15.3,4.4
3950,SKAGIT VALLEY HOSPITAL (500003),2014,Acute Care,Government - Hospital District or Authority,136.0,48.417422,-122.324335,WA,14.3,18.1,14.6,22.9,,14.5,18.2,6.3
3951,VIRGINIA MASON MEDICAL CENTER (500005),2014,Acute Care,Voluntary non-profit - Private,267.0,47.610179,-122.327809,WA,13.1,17.3,11.8,24.7,,8.8,17.3,4.8
3952,ISLAND HOSPITAL (500007),2014,Acute Care,Government - Hospital District or Authority,42.0,48.502883,-122.615825,WA,16.0,19.6,11.7,22.5,,14.4,18.7,5.5
3953,UNIVERSITY OF WASHINGTON MEDICAL CTR (500008),2014,Acute Care,Government - State,466.0,47.650506,-122.307482,WA,14.1,19.2,12.5,24.1,,11.4,18.0,6.0
3954,HIGHLINE MEDICAL CENTER (500011),2014,Acute Care,Voluntary non-profit - Private,164.0,47.456778,-122.341455,WA,16.0,17.8,11.5,20.8,,15.4,15.9,4.5
3955,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER (500012),2014,Acute Care,Proprietary,138.0,46.597985,-120.521096,WA,16.9,19.0,12.2,23.4,,14.1,18.5,5.0
3956,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT (500014),2014,Acute Care,Voluntary non-profit - Church,505.0,48.000086,-122.207979,WA,15.6,18.9,13.1,20.0,,13.5,16.8,4.5
3957,MULTICARE AUBURN MEDICAL CENTER (500015),2014,Acute Care,Voluntary non-profit - Private,146.0,47.309343,-122.229833,WA,16.9,18.5,12.4,26.8,,13.1,18.6,4.9
3958,CENTRAL WASHINGTON HOSPITAL (500016),2014,Acute Care,Voluntary non-profit - Private,190.0,47.407963,-120.324593,WA,15.7,14.7,15.0,19.1,,11.8,16.3,4.1
3959,PROVIDENCE CENTRALIA HOSPITAL (500019),2014,Acute Care,Voluntary non-profit - Other,106.0,46.71235,-122.986989,WA,18.0,18.8,13.2,20.4,,14.9,16.2,4.3
3960,ST CLARE HOSPITAL (500021),2014,Acute Care,Voluntary non-profit - Church,100.0,47.154213,-122.504495,WA,15.2,17.7,14.1,22.9,,11.9,16.2,5.9
3961,PROVIDENCE ST PETER HOSPITAL (500024),2014,Acute Care,Voluntary non-profit - Private,324.0,47.052791,-122.844369,WA,14.7,16.4,11.5,18.7,,10.6,15.9,5.0
3962,SWEDISH MEDICAL CENTER / CHERRY HILL (500025),2014,Acute Care,Voluntary non-profit - Church,207.0,47.606221,-122.310249,WA,13.8,17.0,10.3,22.5,,11.8,16.1,
3963,SWEDISH EDMONDS HOSPITAL (500026),2014,Acute Care,Voluntary non-profit - Private,168.0,47.802884,-122.33569,WA,17.1,20.5,16.1,23.1,,11.6,16.9,4.8
3964,SWEDISH MEDICAL CENTER (500027),2014,Acute Care,Voluntary non-profit - Private,666.0,47.60924,-122.320767,WA,16.0,18.1,12.9,23.7,,11.5,18.2,5.0
3965,PEACEHEALTH ST JOSEPH MEDICAL CENTER (500030),2014,Acute Care,Voluntary non-profit - Other,244.0,48.772278,-122.474878,WA,12.5,15.5,13.4,20.4,,10.1,15.8,5.3
3966,GRAYS HARBOR COMMUNITY HOSPITAL (500031),2014,Acute Care,Voluntary non-profit - Private,83.0,46.9796,-123.846387,WA,17.6,17.0,10.1,24.4,,10.8,16.9,5.1
3967,SAMARITAN HOSPITAL (500033),2014,Acute Care,Government - Hospital District or Authority,47.0,47.131115,-119.264735,WA,,,13.8,21.5,,13.7,17.5,5.4
3968,YAKIMA VALLEY MEMORIAL HOSPITAL (500036),2014,Acute Care,Voluntary non-profit - Private,235.0,46.592727,-120.550396,WA,14.5,18.1,13.7,20.6,,14.8,16.8,4.5
3969,TOPPENISH COMMUNITY HOSPITAL (500037),2014,Acute Care,Proprietary,39.0,46.37135,-120.316682,WA,,,11.5,24.9,,11.7,18.2,
3970,HARRISON MEMORIAL CENTER (500039),2014,Acute Care,Voluntary non-profit - Private,274.0,47.583429,-122.62601,WA,15.4,17.5,12.5,21.0,,14.0,16.8,4.7
3971,PEACHEALTH ST JOHN MEDICAL CENTER (500041),2014,Acute Care,Voluntary non-profit - Church,170.0,46.130992,-122.941192,WA,13.6,17.6,11.5,21.8,,13.9,16.4,5.5
3972,DEACONESS HOSPITAL (500044),2014,Acute Care,Voluntary non-profit - Private,285.0,,,WA,13.7,17.0,12.1,24.7,,12.1,18.1,4.9
3973,WALLA WALLA GENERAL HOSPITAL (500049),2014,Acute Care,Voluntary non-profit - Church,36.0,,,WA,15.6,,12.5,22.9,,10.5,15.9,4.8
3974,PEACEHEALTH SOUTHWEST MEDICAL CENTER (500050),2014,Acute Care,Voluntary non-profit - Private,410.0,45.623486,-122.580636,WA,16.9,19.8,11.2,22.0,,11.3,18.6,4.6
3975,OVERLAKE HOSPITAL MEDICAL CENTER (500051),2014,Acute Care,Voluntary non-profit - Other,298.0,,,WA,14.9,16.4,13.8,24.0,,11.9,16.8,4.8
3976,KENNEWICK GENERAL HOSPITAL (500053),2014,Acute Care,Government - Hospital District or Authority,111.0,46.198875,-119.118463,WA,15.9,18.8,13.9,25.3,,14.1,17.5,5.1
3977,PROVIDENCE SACRED HEART MEDICAL CENTER (500054),2014,Acute Care,Voluntary non-profit - Church,639.0,47.64831,-117.412168,WA,14.0,14.4,14.7,21.8,,13.8,16.7,4.5
3978,KADLEC REGIONAL MEDICAL CENTER (500058),2014,Acute Care,Voluntary non-profit - Private,260.0,46.280462,-119.281121,WA,16.0,15.9,16.4,22.4,,11.9,15.6,5.4
3979,CASCADE VALLEY HOSPITAL (500060),2014,Acute Care,Government - Hospital District or Authority,48.0,48.189802,-122.117589,WA,,,11.7,22.8,,13.5,16.5,5.5
3980,HARBORVIEW MEDICAL CENTER (500064),2014,Acute Care,Government - Local,414.0,47.604084,-122.323372,WA,18.4,17.5,10.9,20.8,,12.1,18.9,
3981,OLYMPIC MEDICAL CENTER (500072),2014,Acute Care,Government - Local,78.0,48.114635,-123.414084,WA,16.0,16.9,15.0,19.4,,17.0,15.4,4.3
3982,PROVIDENCE HOLY FAMILY HOSPITAL (500077),2014,Acute Care,Voluntary non-profit - Church,182.0,47.709751,-117.405904,WA,15.8,15.9,11.3,19.9,,9.5,15.2,5.3
3983,MULTICARE GOOD SAMARITAN HOSPITAL (500079),2014,Acute Care,Voluntary non-profit - Private,309.0,47.177411,-122.289468,WA,17.2,19.6,13.9,23.1,,14.4,18.9,5.9
3984,VALLEY GENERAL HOSPITAL (500084),2014,Acute Care,Government - Hospital District or Authority,29.0,47.863727,-121.990624,WA,,,13.3,23.4,,11.8,17.0,5.2
3985,VALLEY MEDICAL CENTER (500088),2014,Acute Care,Government - Hospital District or Authority,294.0,47.441094,-122.214251,WA,16.3,16.8,10.7,24.0,,13.9,18.3,4.7
3986,ST JOSEPH MEDICAL CENTER (500108),2014,Acute Care,Voluntary non-profit - Church,351.0,47.245469,-122.448757,WA,17.4,19.5,12.1,22.9,,13.9,16.7,5.8
3987,VALLEY HOSPITAL (500119),2014,Acute Care,Proprietary,120.0,47.671647,-117.235868,WA,17.0,17.5,14.8,23.8,,12.7,17.6,5.2
3988,SPOKANE VA MEDICAL CENTER (50011F),2014,Acute Care (VA),Government - Federal,,,,,,,11.2,20.2,,10.5,15.8,
3989,EVERGREEN HOSPITAL MEDICAL CENTER (500124),2014,Acute Care,Government - Hospital District or Authority,326.0,47.714872,-122.178506,WA,14.8,17.5,11.3,19.9,,8.4,14.1,4.7
3990,TACOMA GENERAL ALLENMORE HOSPITAL (500129),2014,Acute Care,Voluntary non-profit - Private,371.0,,,WA,18.2,17.4,13.9,24.6,,12.3,18.9,5.4
3991,CAPITAL MEDICAL CENTER (500139),2014,Acute Care,Voluntary non-profit - Private,108.0,47.041666,-122.951446,WA,15.6,17.9,14.5,23.4,,11.1,16.9,4.1
3992,ST FRANCIS COMMUNITY HOSPITAL (500141),2014,Acute Care,Voluntary non-profit - Church,123.0,47.292106,-122.322951,WA,17.1,18.2,13.2,24.2,,15.6,17.6,5.5
3993,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS (500148),2014,Acute Care,Voluntary non-profit - Private,20.0,47.433566,-120.321983,WA,,,,,,11.5,17.1,4.7
3994,LEGACY SALMON CREEK MEDICAL CENTER (500150),2014,Acute Care,Voluntary non-profit - Private,165.0,45.721823,-122.649899,WA,17.2,18.7,13.0,23.0,,10.7,19.1,5.1
3995,ST ANTHONY HOSPITAL (500151),2014,Acute Care,Voluntary non-profit - Church,93.0,47.365033,-122.615063,WA,15.9,17.4,12.6,22.6,,9.5,17.9,5.3
3996,SEATTLE VA MEDICAL CENTER - VA PUGIT SOUND (50030F),2014,Acute Care (VA),Government - Federal,,,,,17.1,20.7,12.6,23.1,,10.4,19.6,
3997,DAYTON GENERAL HOSPITAL (501302),2014,Critical Access,Government - Hospital District or Authority,53.0,46.312564,-117.968872,WA,,,,,15.6,,,
3998,WILLAPA HARBOR HOSPITAL (501303),2014,Critical Access,Government - Hospital District or Authority,10.0,46.662164,-123.812317,WA,,,,24.3,,14.4,16.4,
3999,SUMMIT PACIFIC MEDICAL CENTER (501304),2014,Critical Access,Government - Hospital District or Authority,10.0,47.006623,-123.391022,WA,,,,,,,17.0,
4000,LINCOLN HOSPITAL (501305),2014,Critical Access,Government - Hospital District or Authority,30.0,,,WA,,,10.8,23.4,,12.2,16.5,
4001,COULEE COMMUNITY HOSPITAL (501308),2014,Critical Access,Government - Hospital District or Authority,25.0,47.942382,-119.005555,WA,,,,,,11.0,17.1,
4002,PROVIDENCE ST JOSEPH HOSPITAL (501309),2014,Critical Access,Voluntary non-profit - Church,52.0,48.278213,-117.710846,WA,,,11.0,22.3,,10.3,15.8,
4003,NEWPORT COMMUNITY HOSPITAL (501310),2014,Critical Access,Government - Hospital District or Authority,61.0,48.18217,-117.04842,WA,,,12.2,22.0,,12.5,17.0,
4004,EAST ADAMS RURAL HOSPITAL (501311),2014,Critical Access,Government - Hospital District or Authority,9.0,47.120959,-118.372258,WA,,,,,,,17.6,
4005,PROSSER MEMORIAL HOSPITAL (501312),2014,Critical Access,Government - Hospital District or Authority,25.0,46.20763,-119.763502,WA,,,,,,13.0,16.7,
4006,OCEAN BEACH HOSPITAL (501314),2014,Critical Access,Government - Hospital District or Authority,24.0,46.311696,-124.043352,WA,,,11.8,23.5,,11.0,15.9,
4007,SKYLINE HOSPITAL (501315),2014,Critical Access,Government - Hospital District or Authority,17.0,45.722474,-121.469921,WA,,,,,,9.8,16.8,
4008,KLICKITAT VALLEY HOSPITAL (501316),2014,Critical Access,Government - Hospital District or Authority,21.0,45.820239,-120.812299,WA,,,,,,12.1,17.0,
4009,COLUMBIA BASIN HOSPITAL (501317),2014,Critical Access,Government - Hospital District or Authority,72.0,47.315742,-119.548125,WA,,,,,,12.4,16.8,
4010,OTHELLO COMMUNITY HOSPITAL (501318),2014,Critical Access,Government - Hospital District or Authority,16.0,46.830363,-119.154363,WA,,,,,,11.4,17.5,
4011,MORTON SWING BED (501319),2014,Critical Access,Government - Local,25.0,46.555953,-122.279878,WA,,,,,,11.1,17.2,
4012,NORTH VALLEY HOSPITAL (501321),2014,Critical Access,Government - Hospital District or Authority,21.0,48.706819,-119.439597,WA,,,,22.6,,11.9,16.9,
4013,FERRY COUNTY MEMORIAL HOSPITAL (501322),2014,Critical Access,Government - Hospital District or Authority,25.0,48.652745,-118.733177,WA,,,,,,12.8,17.0,
4014,JEFFERSON HEALTHCARE HOSPITAL (501323),2014,Critical Access,Government - Hospital District or Authority,25.0,48.105539,-122.790285,WA,,,11.3,21.4,,12.7,15.4,5.4
4015,FORKS COMMUNITY HOSPITAL (501325),2014,Critical Access,Government - Hospital District or Authority,38.0,47.946356,-124.393471,WA,,,,,,12.8,18.3,
4016,PROVIDENCE MOUNT CARMEL HOSPITAL (501326),2014,Critical Access,Voluntary non-profit - Church,25.0,48.541303,-117.892385,WA,,,12.7,21.7,,10.3,15.2,
4017,WHITMAN HOSPITAL AND MEDICAL CENTER (501327),2014,Critical Access,Government - Hospital District or Authority,25.0,46.868919,-117.375012,WA,,,12.5,23.2,,13.0,16.7,5.0
4018,MID VALLEY HOSPITAL (501328),2014,Critical Access,Government - Hospital District or Authority,25.0,48.396527,-119.545328,WA,,,14.3,22.0,,14.7,17.0,5.7
4019,PEACEHEALTH UNITED GENERAL MEDICAL CENTER (501329),2014,Critical Access,Government - Hospital District or Authority,27.0,48.495516,-122.275287,WA,,,11.8,20.9,,15.1,18.1,
4020,SUNNYSIDE COMMUNITY HOSPITAL (501330),2014,Critical Access,Voluntary non-profit - Private,25.0,46.322218,-120.006966,WA,,,11.0,21.5,,11.8,15.6,
4021,PULLMAN REGIONAL HOSPITAL (501331),2014,Critical Access,Government - Hospital District or Authority,25.0,46.713462,-117.169846,WA,,,13.5,22.9,,14.6,16.1,4.9
4022,TRI-STATE MEMORIAL HOSPITAL (501332),2014,Critical Access,Voluntary non-profit - Private,25.0,46.403638,-117.054507,WA,,,12.2,23.1,,12.8,16.6,5.3
4023,KITTITAS VALLEY COMMUNITY HOSPITAL (501333),2014,Critical Access,Government - Hospital District or Authority,26.0,46.987688,-120.536761,WA,,,10.5,21.3,,12.4,16.4,5.2
4024,LAKE CHELAN COMMUNITY HOSPITAL (501334),2014,Critical Access,Government - Hospital District or Authority,24.0,47.845139,-120.010511,WA,,,,,,12.5,17.0,
4025,ST ELIZABETH HOSPITAL (501335),2014,Critical Access,Voluntary non-profit - Private,25.0,47.208417,-121.988157,WA,,,12.0,22.0,,10.3,17.0,5.1
4026,MASON GENERAL HOSPITAL & FAMILY OF CLINICS (501336),2014,Critical Access,Government - Hospital District or Authority,25.0,47.226742,-123.115279,WA,17.1,,15.0,22.0,,13.6,15.5,
4027,LOURDES MEDICAL CENTER (501337),2014,Critical Access,Voluntary non-profit - Church,35.0,46.235026,-119.094436,WA,,,14.3,21.9,,11.3,15.6,4.2
4028,SNOQUALMIE VALLEY HOSPITAL (501338),2014,Critical Access,Government - Hospital District or Authority,26.0,47.512309,-121.885917,WA,,,,,16.6,,,
4029,WHIDBEY GENERAL HOSPITAL (501339),2014,Critical Access,Government - Hospital District or Authority,25.0,48.21424,-122.686122,WA,,,11.6,20.7,,11.8,16.5,5.3
4030,WEST VIRGINIA UNIVERSITY HOSPITALS (510001),2014,Acute Care,Voluntary non-profit - Private,595.0,,,WV,18.3,18.7,11.0,25.6,,12.4,20.3,4.8
4031,GREENBRIER VALLEY MEDICAL CENTER (510002),2014,Acute Care,Proprietary,97.0,,,WV,14.8,,11.1,23.0,,10.6,19.1,5.3
4032,UNITED HOSPITAL CENTER (510006),2014,Acute Care,Voluntary non-profit - Private,264.0,39.330578,-80.240796,WV,16.1,18.2,12.2,24.2,,12.8,17.7,6.1
4033,ST MARY'S MEDICAL CENTER (510007),2014,Acute Care,Voluntary non-profit - Church,379.0,38.431833,-82.401335,WV,12.4,18.4,12.0,20.9,,13.1,17.9,5.0
4034,BERKELEY MEDICAL CENTER (510008),2014,Acute Care,Voluntary non-profit - Other,170.0,39.477254,-77.980619,WV,16.8,17.3,12.4,23.9,,11.3,17.5,5.3
4035,PLEASANT VALLEY HOSPITAL (510012),2014,Acute Care,Voluntary non-profit - Private,170.0,38.868705,-82.124403,WV,15.4,18.6,13.6,24.2,,14.3,18.1,
4036,REYNOLDS MEMORIAL HOSPITAL (510013),2014,Acute Care,Voluntary non-profit - Private,94.0,39.946169,-80.75427,WV,17.3,18.7,12.8,21.9,,15.4,18.1,
4037,CHARLESTON AREA MEDICAL CENTER (510022),2014,Acute Care,Voluntary non-profit - Private,847.0,38.34712,-81.626183,WV,14.5,19.8,9.8,22.2,,10.8,19.7,5.2
4038,WEIRTON MEDICAL CENTER (510023),2014,Acute Care,Government - Local,182.0,40.393726,-80.529739,WV,16.3,18.7,10.4,24.4,,8.5,17.1,5.7
4039,MONONGALIA COUNTY GENERAL HOSPITAL (510024),2014,Acute Care,Voluntary non-profit - Private,181.0,39.66262,-79.94639,WV,13.9,18.6,11.7,24.1,,10.6,18.2,5.1
4040,THOMAS MEMORIAL HOSPITAL (510029),2014,Acute Care,Voluntary non-profit - Private,202.0,38.355643,-81.726502,WV,15.9,17.6,12.8,23.0,,16.4,16.8,5.2
4041,BECKLEY VA MEDICAL CENTER (51002F),2014,Acute Care (VA),Government - Federal,,,,,,,9.8,23.6,,11.2,21.6,
4042,DAVIS MEMORIAL HOSPITAL (510030),2014,Acute Care,Voluntary non-profit - Private,95.0,38.928159,-79.853154,WV,14.8,17.1,9.4,26.9,,13.2,19.2,7.4
4043,ST FRANCIS HOSPITAL (510031),2014,Acute Care,Proprietary,108.0,38.353364,-81.63258,WV,14.6,18.5,12.0,20.2,,9.9,18.3,5.3
4044,STONEWALL JACKSON MEMORIAL HOSPITAL (510038),2014,Acute Care,Voluntary non-profit - Private,64.0,39.048285,-80.492743,WV,16.0,,11.3,25.4,,12.6,21.4,4.7
4045,OHIO VALLEY MEDICAL CENTER (510039),2014,Acute Care,Voluntary non-profit - Private,200.0,40.059434,-80.721732,WV,15.2,19.3,14.5,24.4,,9.7,18.5,5.7
4046,CLARKSBURG VA MEDICAL CENTER (51003F),2014,Acute Care (VA),Government - Federal,,,,,14.4,19.1,10.9,22.5,,11.4,17.7,
4047,PRINCETON COMMUNITY HOSPITAL (510046),2014,Acute Care,Government - Local,194.0,37.362458,-81.113097,WV,16.9,19.4,11.2,25.0,,10.2,20.7,6.0
4048,FAIRMONT GENERAL HOSPITAL (510047),2014,Acute Care,Voluntary non-profit - Private,141.0,39.480876,-80.164069,WV,13.6,17.2,9.7,24.1,,9.6,16.7,5.7
4049,LOGAN REGIONAL MEDICAL CENTER (510048),2014,Acute Care,Proprietary,140.0,37.846318,-81.994284,WV,14.6,,9.3,26.0,,10.2,22.5,6.2
4050,HUNTINGTON VA MEDICAL CENTER (51004F),2014,Acute Care (VA),Government - Federal,,,,,14.5,20.5,11.1,27.6,,14.5,22.3,
4051,WHEELING HOSPITAL (510050),2014,Acute Care,Voluntary non-profit - Church,354.0,40.060074,-80.684022,WV,16.8,19.9,12.2,23.2,,13.9,19.5,4.8
4052,ST JOSEPH HOSPITAL (510053),2014,Acute Care,Voluntary non-profit - Church,82.0,,,WV,,,12.3,23.3,,15.0,17.1,
4053,CABELL HUNTINGTON HOSPITAL INC (510055),2014,Acute Care,Voluntary non-profit - Private,316.0,38.410022,-82.428411,WV,16.4,18.0,14.3,24.4,,12.3,17.7,4.6
4054,CAMDEN CLARK MEDICAL CENTER (510058),2014,Acute Care,Voluntary non-profit - Private,306.0,39.270209,-81.560426,WV,14.1,17.9,11.1,26.4,,13.0,17.9,5.4
4055,MARTINSBURG VA MEDICAL CENTER (51005F),2014,Acute Care (VA),Government - Federal,,,,,14.8,17.5,8.8,24.5,,9.0,20.7,
4056,BECKLEY ARH HOSPITAL (510062),2014,Acute Care,Voluntary non-profit - Private,160.0,37.798718,-81.169502,WV,15.1,,12.1,26.8,,13.0,19.4,5.4
4057,RALEIGH GENERAL HOSPITAL (510070),2014,Acute Care,Proprietary,300.0,37.786458,-81.203103,WV,13.7,23.3,11.9,23.4,,10.9,22.7,7.0
4058,BLUEFIELD REGIONAL MEDICAL CENTER (510071),2014,Acute Care,Proprietary,96.0,37.257517,-81.234129,WV,16.6,17.2,10.7,23.7,,10.3,18.6,6.4
4059,WETZEL COUNTY HOSPITAL (510072),2014,Acute Care,Government - Local,44.0,,,WV,17.4,18.3,11.5,23.3,,11.8,16.7,
4060,WILLIAMSON MEMORIAL HOSPITAL (510077),2014,Acute Care,Voluntary non-profit - Private,64.0,37.678237,-82.272031,WV,,,12.0,24.7,,11.1,18.3,
4061,SUMMERSVILLE REGIONAL MEDICAL CENTER (510082),2014,Acute Care,Government - Local,101.0,,,WV,,,11.0,21.8,,12.0,17.3,
4062,CAMC TEAYS VALLEY HOSPITAL (510085),2014,Acute Care,Voluntary non-profit - Private,70.0,,,WV,16.0,,11.0,22.2,,10.9,17.5,6.2
4063,WELCH COMMUNITY HOSPITAL (510086),2014,Acute Care,Government - State,103.0,37.438822,-81.589295,WV,,,,,,14.6,18.3,
4064,"BROADDUS HOSPITAL ASSOCIATION, INC (511300)",2014,Critical Access,Voluntary non-profit - Private,72.0,39.152887,-80.044091,WV,,,,,,10.5,18.0,
4065,MINNIE HAMILTON HEALTH CARE CENTER (511303),2014,Critical Access,Voluntary non-profit - Private,51.0,38.923796,-81.091891,WV,,,12.7,22.7,,11.0,18.0,
4066,SISTERSVILLE GENERAL HOSPITAL (511304),2014,Critical Access,Government - Local,28.0,39.558339,-81.004067,WV,,,,23.8,,14.1,18.0,
4067,ROANE GENERAL HOSPITAL (511306),2014,Critical Access,Voluntary non-profit - Private,65.0,38.813654,-81.36887,WV,,,,,,14.6,17.7,
4068,GRAFTON CITY HOSPITAL (511307),2014,Critical Access,Government - Local,76.0,39.344037,-80.024413,WV,,,12.2,24.6,,13.3,19.1,
4069,BRAXTON COUNTY MEMORIAL HOSPITAL (511308),2014,Critical Access,Voluntary non-profit - Private,25.0,38.660126,-80.748334,WV,,,11.3,22.3,,11.2,15.4,
4070,WAR MEMORIAL HOSPITAL INC (511309),2014,Critical Access,Voluntary non-profit - Private,41.0,39.640923,-78.19987,WV,,,11.8,23.4,,11.0,17.9,
4071,SUMMERS COUNTY ARH HOSPITAL (511310),2014,Critical Access,Voluntary non-profit - Private,28.0,37.674714,-80.89145,WV,,,12.8,21.2,,13.0,15.7,
4072,HAMPSHIRE MEMORIAL HOSPITAL (511311),2014,Critical Access,Voluntary non-profit - Private,44.0,39.332057,-78.699913,WV,,,11.5,23.4,,,,
4073,PRESTON MEMORIAL HOSPITAL (511312),2014,Critical Access,Voluntary non-profit - Private,25.0,39.465641,-79.676398,WV,,,12.5,22.6,,12.5,18.1,
4074,BOONE MEMORIAL HOSPITAL (511313),2014,Critical Access,Government - Local,25.0,38.048636,-81.806532,WV,,,12.8,22.5,,9.2,17.6,
4075,POCAHONTAS MEMORIAL HOSPITAL (511314),2014,Critical Access,Government - Local,25.0,38.201423,-80.108701,WV,,,,22.3,,12.5,18.5,
4076,POTOMAC VALLEY HOSPITAL (511315),2014,Critical Access,Voluntary non-profit - Private,25.0,39.408908,-79.003468,WV,,,9.8,22.2,,12.0,16.0,
4077,GRANT MEMORIAL HOSPITAL (511316),2014,Critical Access,Government - Local,40.0,39.001841,-79.137985,WV,,,13.9,23.6,,14.8,19.4,5.7
4078,PLATEAU MEDICAL CENTER (511317),2014,Critical Access,Proprietary,25.0,37.97468,-81.14417,WV,,,9.8,23.6,,14.2,18.8,5.5
