,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdominopelvic accidental puncture or laceration rate (PSI 15),Death rate for surgical inpatients w/ serious treatable complications (PSI 4),Iatrogenic pneumothorax rate (PSI 6),In-hospital fall with hip fracture rate (PSI 8),Infections from a large venous catheter (PSI 7),Patient safety and adverse events composite (PSI 90),Perioperative pulmonary embolism or deep vein thrombosis rate (PSI 12),Postoperative sepsis rate (PSI 13),Postoperative wound dehiscence rate (PSI 14),Pressure ulcer rate (PSI 3)
2592,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2016,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,1.26,146.69,0.41,0.06,0.1,0.85,5.01,15.25,2.49,0.14
2593,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL (440056),2016,Acute Care,Proprietary,58.0,36.10686,-83.51964,TN,1.45,,0.39,0.06,0.16,0.9,4.3,,2.28,1.24
2594,CLAIBORNE MEDICAL CENTER (440057),2016,Acute Care,Government - Local,143.0,36.453341,-83.571972,TN,1.14,,0.46,0.06,0.16,0.83,4.32,,2.28,1.13
2595,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER (440058),2016,Acute Care,Proprietary,198.0,35.176023,-86.091076,TN,1.9,123.37,0.41,0.06,0.14,0.98,5.38,8.94,2.2,0.25
2596,COOKEVILLE REGIONAL MEDICAL CENTER (440059),2016,Acute Care,Government - Local,240.0,36.16996,-85.50935,TN,1.72,119.88,0.22,0.06,0.2,0.76,3.27,7.9,1.85,0.1
2597,MILAN GENERAL HOSPITAL (440060),2016,Acute Care,Government - Local,47.0,35.913311,-88.753495,TN,1.1,,0.4,0.06,0.17,0.78,4.66,,2.25,0.43
2598,TENNOVA HEALTHCARE-VOLUNTEER MARTIN (440061),2016,Acute Care,Proprietary,44.0,36.333569,-88.869022,TN,1.22,,0.39,0.06,0.16,0.82,4.76,11.39,,0.35
2599,JOHNSON CITY MEDICAL CENTER (440063),2016,Acute Care,Voluntary non-profit - Private,552.0,36.30826,-82.38649,TN,1.34,153.53,0.26,0.06,0.1,0.89,5.85,14.88,2.35,0.26
2600,NORTHCREST MEDICAL CENTER (440065),2016,Acute Care,Voluntary non-profit - Other,109.0,36.479518,-86.888898,TN,1.42,,0.37,0.06,0.15,0.81,4.3,9.37,2.23,0.26
2601,LAKEWAY REGIONAL HOSPITAL (440067),2016,Acute Care,Proprietary,135.0,,,TN,1.68,,0.38,0.06,0.16,1.06,7.4,9.21,2.3,0.29
2602,STARR REGIONAL MEDICAL CENTER ATHENS (440068),2016,Acute Care,Proprietary,199.0,35.440789,-84.608823,TN,1.38,,0.37,0.06,0.15,0.9,5.91,9.58,2.24,0.26
2603,DECATUR COUNTY GENERAL HOSPITAL (440070),2016,Acute Care,Government - Local,40.0,35.635713,-88.12317,TN,1.42,,0.41,,0.17,0.9,,,,0.45
2604,TENNOVA HEALTHCARE-DYERSBURG REGIONAL (440072),2016,Acute Care,Proprietary,100.0,36.047358,-89.38059,TN,1.54,,0.36,0.06,0.15,0.98,6.48,,2.21,0.25
2605,MAURY REGIONAL HOSPITAL (440073),2016,Acute Care,Government - Local,260.0,35.605855,-87.065844,TN,0.91,94.72,0.47,0.06,0.09,0.58,2.51,9.33,2.03,0.17
2606,LECONTE MEDICAL CENTER (440081),2016,Acute Care,Voluntary non-profit - Other,106.0,35.853855,-83.536965,TN,1.32,130.64,0.47,0.06,0.14,0.77,4.0,7.64,2.21,0.25
2607,SAINT THOMAS WEST HOSPITAL (440082),2016,Acute Care,Voluntary non-profit - Church,478.0,,,TN,1.57,122.38,0.32,0.06,0.11,0.93,6.46,8.29,1.68,0.09
2608,TENNOVA HEALTHCARE - JAMESTOWN (440083),2016,Acute Care,Proprietary,76.0,,,TN,1.65,,0.4,,0.16,0.94,,,,0.39
2609,SWEETWATER HOSPITAL ASSOCIATION (440084),2016,Acute Care,Voluntary non-profit - Private,59.0,35.60025,-84.464223,TN,1.09,,0.39,0.06,0.16,0.88,6.45,,2.27,0.3
2610,"MEMORIAL HEALTHCARE SYSTEM, INC (440091)",2016,Acute Care,Voluntary non-profit - Church,418.0,35.040037,-85.261129,TN,1.45,131.85,0.56,0.06,0.16,0.79,2.96,11.71,2.34,0.28
2611,LINCOLN MEDICAL CENTER (440102),2016,Acute Care,Government - Local,56.0,35.149005,-86.557341,TN,1.22,,0.39,0.06,0.16,0.92,6.41,,,0.37
2612,ERLANGER MEDICAL CENTER (440104),2016,Acute Care,Government - Hospital District or Authority,617.0,35.047899,-85.290853,TN,1.0,142.02,0.31,0.06,0.2,0.81,5.57,7.06,2.2,0.9
2613,HARDIN MEDICAL CENTER (440109),2016,Acute Care,Government - Local,122.0,35.22713,-88.230362,TN,1.18,,0.39,0.06,0.16,0.93,6.91,9.28,,0.34
2614,FORT LOUDON MEDICAL CENTER (440110),2016,Acute Care,Voluntary non-profit - Other,35.0,35.827108,-84.271752,TN,1.07,,0.38,0.06,0.16,0.8,5.23,,2.26,0.34
2615,METRO NASHVILLE GENERAL HOSPITAL (440111),2016,Acute Care,Government - Hospital District or Authority,115.0,36.166135,-86.806327,TN,1.84,,0.39,0.06,0.42,1.0,4.76,,,0.38
2616,TENNOVA HEALTHCARE (440120),2016,Acute Care,Proprietary,452.0,36.05333,-83.996592,TN,1.69,130.0,0.46,0.06,0.57,0.91,3.88,9.04,2.65,0.09
2617,FORT SANDERS REGIONAL MEDICAL CENTER (440125),2016,Acute Care,Voluntary non-profit - Private,360.0,35.95681,-83.937134,TN,1.1,139.44,0.39,0.06,0.29,0.61,2.37,4.81,2.32,0.36
2618,BAPTIST MEMORIAL HOSPITAL UNION CITY (440130),2016,Acute Care,Voluntary non-profit - Private,67.0,36.414423,-89.039037,TN,1.75,,0.38,0.06,0.16,0.93,4.98,,2.27,0.28
2619,BAPTIST MEMORIAL HOSPITAL TIPTON (440131),2016,Acute Care,Voluntary non-profit - Church,65.0,35.535248,-89.676169,TN,1.34,,0.4,,0.17,0.86,5.08,,,0.43
2620,HENRY COUNTY MEDICAL CENTER (440132),2016,Acute Care,Government - Hospital District or Authority,112.0,36.296802,-88.311271,TN,0.98,119.92,0.37,0.06,0.15,0.62,2.93,9.56,2.2,0.25
2621,SAINT THOMAS MIDTOWN HOSPITAL (440133),2016,Acute Care,Voluntary non-profit - Private,428.0,36.1534,-86.800835,TN,1.72,120.74,0.3,0.06,0.24,0.85,3.98,9.98,2.32,0.12
2622,TENNOVA HEALTHCARE-SHELBYVILLE (440137),2016,Acute Care,Proprietary,52.0,35.563218,-86.446372,TN,1.3,,0.45,0.06,0.28,1.22,8.75,9.57,2.27,1.92
2623,TENNOVA HEALTHCARE-HARTON (440144),2016,Acute Care,Voluntary non-profit - Other,101.0,35.382921,-86.230533,TN,1.66,136.64,0.49,0.06,0.13,1.16,8.91,7.85,2.76,0.18
2624,SAINT THOMAS DEKALB HOSPITAL (440148),2016,Acute Care,Voluntary non-profit - Church,44.0,35.959403,-85.829841,TN,1.33,,0.4,,0.17,0.84,4.81,,,0.41
2625,TRISTAR SUMMIT MEDICAL CENTER (440150),2016,Acute Care,Proprietary,195.0,36.177999,-86.606015,TN,1.33,139.13,0.35,0.06,0.21,0.84,5.08,7.58,2.17,0.49
2626,SAINT THOMAS RIVER PARK HOSPITAL (440151),2016,Acute Care,Proprietary,107.0,35.698694,-85.742339,TN,1.78,118.65,0.37,0.06,0.15,0.85,3.64,9.58,2.28,0.26
2627,REGIONAL ONE HEALTH (440152),2016,Acute Care,Government - Hospital District or Authority,324.0,35.142634,-90.031297,TN,1.49,167.64,0.43,0.06,0.12,1.01,5.76,10.54,2.2,1.27
2628,TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER (440153),2016,Acute Care,Voluntary non-profit - Church,89.0,35.965067,-83.181619,TN,1.33,,0.4,0.06,0.17,0.86,5.16,,,0.4
2629,PARKRIDGE MEDICAL CENTER (440156),2016,Acute Care,Proprietary,458.0,35.033739,-85.26886,TN,1.08,131.97,0.35,0.06,0.1,0.64,2.76,10.39,2.06,0.4
2630,DELTA MEDICAL CENTER (440159),2016,Acute Care,Proprietary,228.0,35.067788,-89.932213,TN,1.25,,0.39,0.06,0.16,0.82,4.69,11.37,,0.35
2631,TRISTAR CENTENNIAL MEDICAL CENTER (440161),2016,Acute Care,Proprietary,667.0,36.152907,-86.807646,TN,1.18,146.33,0.33,0.06,0.07,0.6,2.57,7.52,2.9,0.09
2632,PARKWEST MEDICAL CENTER (440173),2016,Acute Care,Voluntary non-profit - Private,410.0,35.917806,-84.10115,TN,1.02,153.89,0.43,0.06,0.15,0.91,6.06,9.72,1.99,1.29
2633,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE (440175),2016,Acute Care,Proprietary,96.0,,,TN,1.26,,0.39,0.06,0.16,0.86,4.53,,,1.19
2634,INDIAN PATH MEDICAL CENTER (440176),2016,Acute Care,Voluntary non-profit - Private,151.0,36.550686,-82.517916,TN,1.38,135.61,0.45,0.06,0.14,0.87,5.38,9.09,2.2,0.23
2635,JELLICO COMMUNITY HOSPITAL (440180),2016,Acute Care,Voluntary non-profit - Church,47.0,36.573619,-84.12724,TN,1.22,,0.4,0.06,0.16,0.83,4.92,,,0.41
2636,BOLIVAR GENERAL HOSPITAL (440181),2016,Acute Care,Government - Hospital District or Authority,33.0,,,TN,1.39,,0.4,,0.17,0.89,,,,
2637,MCKENZIE REGIONAL HOSPITAL (440182),2016,Acute Care,Proprietary,30.0,,,TN,1.57,,0.47,0.06,0.17,0.93,5.11,,,0.42
2638,ST FRANCIS HOSPITAL (440183),2016,Acute Care,Proprietary,443.0,35.099901,-89.864516,TN,0.81,133.26,0.49,0.06,0.09,0.74,5.36,9.96,2.43,0.09
2639,FRANKLIN WOODS COMMUNITY HOSPITAL (440184),2016,Acute Care,Voluntary non-profit - Private,102.0,36.337945,-82.401047,TN,1.45,,0.38,0.06,0.15,0.82,4.36,,2.15,0.3
2640,TENNOVA HEALTHCARE-CLEVELAND (440185),2016,Acute Care,Proprietary,187.0,35.176743,-84.868591,TN,2.07,180.08,0.36,0.06,0.2,1.03,5.5,9.73,2.12,0.13
2641,LIVINGSTON REGIONAL HOSPITAL (440187),2016,Acute Care,Voluntary non-profit - Other,114.0,36.384695,-85.328097,TN,2.36,,0.52,0.06,0.16,1.16,5.74,,,0.3
2642,TENNOVA HEALTHCARE-REGIONAL JACKSON (440189),2016,Acute Care,Proprietary,115.0,,,TN,0.82,125.33,0.53,0.06,0.21,0.7,3.82,9.08,2.2,0.51
2643,SAINT THOMAS HIGHLANDS HOSPITAL (440192),2016,Acute Care,Proprietary,39.0,35.94812,-85.477074,TN,1.61,,0.39,0.06,0.16,0.87,4.35,,2.28,0.41
2644,TENNOVA HEALTHCARE-LEBANON (440193),2016,Acute Care,Voluntary non-profit - Private,230.0,36.219173,-86.328318,TN,1.27,155.35,0.35,0.06,0.36,0.75,3.55,10.09,2.8,0.19
2645,TRISTAR HENDERSONVILLE MEDICAL CENTER (440194),2016,Acute Care,Voluntary non-profit - Other,110.0,36.324156,-86.620198,TN,1.35,130.72,0.57,0.06,0.14,0.86,4.59,10.79,2.22,0.24
2646,TRISTAR SOUTHERN HILLS MEDICAL CENTER (440197),2016,Acute Care,Proprietary,110.0,36.077872,-86.723814,TN,1.02,159.93,0.47,0.06,0.14,0.77,4.23,8.32,2.22,0.88
2647,SAINT THOMAS STONES RIVER HOSPITAL (440200),2016,Acute Care,Proprietary,49.0,35.832865,-86.072943,TN,1.4,,0.4,,0.17,0.9,,,,0.44
2648,SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY (440218),2016,Acute Care,Voluntary non-profit - Other,23.0,36.155764,-86.803889,TN,1.42,,0.4,,0.17,0.76,3.03,,,
2649,TRISTAR STONECREST MEDICAL CENTER (440227),2016,Acute Care,Proprietary,109.0,35.973743,-86.56376,TN,1.16,120.3,0.42,0.06,0.15,0.79,4.83,8.82,2.25,0.26
2650,SAINT FRANCIS BARTLETT MEDICAL CENTER (440228),2016,Acute Care,Proprietary,161.0,35.207034,-89.802347,TN,1.15,129.02,0.38,0.06,0.13,0.79,5.15,9.47,3.25,0.16
2651,TRUSTPOINT HOSPITAL (440231),2016,Acute Care,Proprietary,140.0,35.863421,-86.428977,TN,1.41,,0.41,,0.17,0.9,,,,0.46
2652,HOUSTON COUNTY COMMUNITY HOSPITAL (440232),2016,Acute Care,Government - Local,25.0,,,TN,1.42,,0.41,,0.17,0.9,,,,0.46
2653,PROVIDENCE MEMORIAL HOSPITAL (450002),2016,Acute Care,Proprietary,429.0,31.771161,-106.499345,TX,1.53,126.49,0.57,0.06,0.49,1.19,8.47,,2.06,0.13
2654,PETERSON REGIONAL MEDICAL CENTER (450007),2016,Acute Care,Voluntary non-profit - Private,116.0,30.044944,-99.151857,TX,1.77,115.94,0.54,0.06,0.13,1.03,4.39,,2.64,1.52
2655,UNITED REGIONAL HEALTH CARE SYSTEM (450010),2016,Acute Care,Voluntary non-profit - Private,257.0,33.902312,-98.501482,TX,0.81,121.17,0.31,0.06,0.07,0.8,5.54,14.26,2.77,0.82
2656,ST JOSEPH REGIONAL HEALTH CENTER (450011),2016,Acute Care,Voluntary non-profit - Private,237.0,30.655526,-96.347638,TX,1.64,155.51,0.54,0.06,0.17,0.81,2.98,7.45,4.98,0.1
2657,PARKLAND HEALTH AND HOSPITAL SYSTEM (450015),2016,Acute Care,Government - Hospital District or Authority,820.0,32.811798,-96.836981,TX,1.48,153.05,0.45,0.06,0.34,1.17,7.89,8.13,2.55,1.43
2658,UNIVERSITY OF TEXAS MEDICAL BRANCH (450018),2016,Acute Care,Government - State,587.0,29.311443,-94.776261,TX,1.77,157.82,0.35,0.06,0.17,0.93,4.78,11.03,2.03,0.32
2659,BAYLOR UNIVERSITY MEDICAL CENTER (450021),2016,Acute Care,Voluntary non-profit - Church,848.0,32.790567,-96.78081,TX,1.96,170.35,0.52,0.06,0.14,0.91,3.73,7.14,1.43,0.31
2660,CITIZENS MEDICAL CENTER (450023),2016,Acute Care,Voluntary non-profit - Other,329.0,28.813157,-96.976759,TX,1.07,180.77,0.34,0.06,0.21,0.66,2.98,9.89,2.51,0.42
2661,UNIVERSITY MEDICAL CENTER OF EL PASO (450024),2016,Acute Care,Government - Hospital District or Authority,270.0,31.771291,-106.436022,TX,1.97,159.42,0.53,0.06,0.24,1.38,9.76,8.89,2.18,1.18
2662,"VHS BROWNSVILLE HOSPITAL COMPANY, LLC (450028)",2016,Acute Care,Proprietary,262.0,25.917931,-97.511998,TX,1.48,138.69,0.35,0.06,0.12,0.83,4.68,9.52,2.21,0.12
2663,LAREDO MEDICAL CENTER (450029),2016,Acute Care,Voluntary non-profit - Church,310.0,27.5306,-99.478571,TX,0.75,160.59,0.36,0.06,0.1,0.64,4.05,10.93,2.04,0.25
2664,GOOD SHEPHERD MEDICAL CENTER MARSHALL (450032),2016,Acute Care,Voluntary non-profit - Private,251.0,32.501448,-94.731471,TX,1.9,,0.36,0.06,0.15,0.89,3.85,10.4,2.2,0.23
2665,VHS HARLINGEN HOSPITAL COMPANY LLC (450033),2016,Acute Care,Proprietary,408.0,26.173414,-97.670666,TX,0.93,127.19,0.43,0.06,0.09,0.61,2.81,9.27,2.08,0.31
2666,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH (450034),2016,Acute Care,Voluntary non-profit - Church,412.0,30.085583,-94.131702,TX,1.08,140.44,0.5,0.06,0.16,0.69,3.43,9.36,2.27,0.09
2667,ST JOSEPH MEDICAL CENTER (450035),2016,Acute Care,Proprietary,360.0,29.747898,-95.36639,TX,1.33,138.62,0.45,0.06,0.24,0.94,5.25,9.49,2.16,1.06
2668,GOOD SHEPHERD MEDICAL CENTER (450037),2016,Acute Care,Voluntary non-profit - Private,375.0,,,TX,1.11,134.33,0.23,0.06,0.1,0.67,3.21,16.46,2.05,0.1
2669,JPS HEALTH NETWORK (450039),2016,Acute Care,Government - Hospital District or Authority,541.0,32.727335,-97.326405,TX,3.8,198.39,0.48,0.06,0.11,1.42,4.31,11.4,2.12,0.74
2670,COVENANT MEDICAL CENTER (450040),2016,Acute Care,Voluntary non-profit - Church,446.0,33.577867,-101.892357,TX,1.26,153.53,0.51,0.06,0.11,0.91,6.06,7.98,2.54,0.5
2671,PROVIDENCE HEALTH CENTER (450042),2016,Acute Care,Government - Hospital District or Authority,436.0,31.513243,-97.198431,TX,1.16,136.62,0.63,0.06,0.1,1.03,7.45,13.98,1.87,0.3
2672,UT SOUTHWESTERN UNIVERSITY HOSPITAL (450044),2016,Acute Care,Government - State,459.0,,,TX,1.21,144.81,0.49,0.06,0.16,1.1,9.07,12.08,1.76,0.28
2673,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI (450046),2016,Acute Care,Voluntary non-profit - Private,652.0,27.777489,-97.395121,TX,0.69,139.04,0.29,0.06,0.25,0.65,4.32,12.16,1.87,0.21
2674,METHODIST DALLAS MEDICAL CENTER (450051),2016,Acute Care,Voluntary non-profit - Other,388.0,32.761639,-96.823006,TX,0.86,131.64,0.34,0.06,0.17,0.54,2.45,7.55,2.74,0.1
2675,SCOTT & WHITE MEDICAL CENTER - TEMPLE (450054),2016,Acute Care,Voluntary non-profit - Private,633.0,31.078693,-97.365938,TX,1.09,112.43,0.69,0.06,0.11,0.69,2.54,11.96,1.67,0.06
2676,ROLLING PLAINS MEMORIAL HOSPITAL (450055),2016,Acute Care,Government - Hospital District or Authority,39.0,32.453882,-100.398314,TX,1.15,,0.4,0.06,0.16,0.79,4.79,,2.28,0.36
2677,SETON MEDICAL CENTER AUSTIN (450056),2016,Acute Care,Voluntary non-profit - Private,716.0,30.306154,-97.745218,TX,1.72,164.41,0.59,0.06,0.15,0.88,3.52,8.3,1.75,0.55
2678,BAPTIST MEDICAL CENTER (450058),2016,Acute Care,Proprietary,1426.0,29.432877,-98.492773,TX,1.13,148.66,0.54,0.06,0.05,0.74,4.06,8.61,1.58,0.35
2679,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL (450064),2016,Acute Care,Voluntary non-profit - Private,249.0,32.750126,-97.116086,TX,1.97,159.54,0.38,0.06,0.2,0.96,4.08,9.99,2.06,0.64
2680,MEMORIAL HERMANN TEXAS MEDICAL CENTER (450068),2016,Acute Care,Voluntary non-profit - Private,973.0,29.713684,-95.397627,TX,0.78,151.88,0.48,0.06,0.2,0.92,7.89,9.94,2.27,0.31
2681,BRAZOSPORT REGIONAL HEALTH SYSTEM (450072),2016,Acute Care,Voluntary non-profit - Private,97.0,29.030091,-95.451388,TX,1.52,,0.47,0.06,0.14,0.84,4.23,9.59,2.25,0.23
2682,ANSON GENERAL HOSPITAL (450078),2016,Acute Care,Government - Local,20.0,32.768101,-99.895514,TX,1.42,,0.41,,0.17,0.9,,,,0.43
2683,BAYLOR MEDICAL CENTER AT IRVING (450079),2016,Acute Care,Voluntary non-profit - Private,213.0,32.835496,-96.959226,TX,1.29,130.32,0.34,0.06,0.12,0.89,6.64,8.38,2.13,0.14
2684,TITUS REGIONAL MEDICAL CENTER (450080),2016,Acute Care,Government - Hospital District or Authority,94.0,33.175402,-94.970433,TX,1.4,,0.36,0.06,0.15,0.83,4.71,,2.25,0.26
2685,CHRISTUS SPOHN HOSPITAL BEEVILLE (450082),2016,Acute Care,Voluntary non-profit - Church,45.0,28.408353,-97.731925,TX,1.81,,0.39,0.06,0.16,0.95,4.87,,2.28,0.38
2686,EAST TEXAS MEDICAL CENTER (450083),2016,Acute Care,Voluntary non-profit - Private,418.0,32.338102,-95.291862,TX,0.79,156.65,0.46,0.06,0.2,0.55,2.26,6.27,2.11,0.4
2687,GRAHAM REGIONAL MEDICAL CENTER (450085),2016,Acute Care,Government - Hospital District or Authority,27.0,33.089973,-98.584356,TX,1.3,,0.4,0.06,0.17,0.81,4.41,9.92,,0.42
2688,NORTH HILLS HOSPITAL (450087),2016,Acute Care,Proprietary,159.0,32.829476,-97.212234,TX,0.87,140.12,0.43,0.06,0.13,0.72,4.31,14.0,2.19,0.18
2689,NORTH TEXAS MEDICAL CENTER (450090),2016,Acute Care,Government - Hospital District or Authority,43.0,33.645356,-97.161976,TX,1.18,,0.4,0.06,0.16,0.85,5.61,,,0.36
2690,FORT DUNCAN MEDICAL CENTER (450092),2016,Acute Care,Proprietary,102.0,28.711418,-100.454105,TX,1.17,142.28,0.35,0.06,0.15,0.77,4.83,9.37,2.26,0.18
2691,BAYSHORE MEDICAL CENTER (450097),2016,Acute Care,Proprietary,347.0,29.665163,-95.183799,TX,1.17,135.98,0.37,0.06,0.27,0.88,4.86,10.68,2.64,1.08
2692,PAMPA REGIONAL MEDICAL CENTER (450099),2016,Acute Care,Proprietary,71.0,35.656991,-101.407964,TX,1.07,,0.37,0.06,0.15,0.81,4.59,9.66,2.25,1.15
2693,HILLCREST BAPTIST MEDICAL CENTER (450101),2016,Acute Care,Voluntary non-profit - Private,277.0,31.489212,-97.156804,TX,2.6,141.92,0.54,0.06,0.11,1.29,5.2,9.55,2.13,1.91
2694,MOTHER FRANCES HOSPITAL (450102),2016,Acute Care,Voluntary non-profit - Church,429.0,32.3417,-95.290915,TX,1.56,118.68,0.44,0.06,0.06,0.82,3.71,10.47,2.1,0.34
2695,GUADALUPE REGIONAL MEDICAL CENTER (450104),2016,Acute Care,Government - Local,131.0,29.569043,-97.948334,TX,1.32,,0.35,0.06,0.14,0.73,3.32,,3.3,0.23
2696,LAS PALMAS MEDICAL CENTER (450107),2016,Acute Care,Proprietary,577.0,31.770483,-106.498753,TX,1.2,175.03,0.43,0.06,0.17,0.86,5.37,11.34,2.03,0.41
2697,CONNALLY MEMORIAL MEDICAL CENTER (450108),2016,Acute Care,Government - Hospital District or Authority,44.0,29.159429,-98.173205,TX,1.3,,0.4,0.06,0.17,0.84,4.85,,,0.4
2698,SOUTH TEXAS HEALTH SYSTEM (450119),2016,Acute Care,Proprietary,828.0,26.263341,-98.182849,TX,0.65,160.94,0.32,0.06,0.1,0.71,6.19,9.18,2.12,0.08
2699,UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE (450124),2016,Acute Care,Voluntary non-profit - Private,225.0,30.275055,-97.732977,TX,1.2,136.79,0.57,0.06,0.31,0.95,4.58,9.39,2.2,1.74
2700,KNAPP MEDICAL CENTER (450128),2016,Acute Care,Voluntary non-profit - Private,200.0,26.151972,-97.977581,TX,1.02,,0.35,0.06,0.12,0.68,4.06,9.3,2.78,0.11
2701,NIX HEALTH CARE SYSTEM (450130),2016,Acute Care,Proprietary,228.0,29.499165,-98.577128,TX,1.44,125.44,0.33,0.06,0.12,0.94,5.89,11.06,2.22,0.65
2702,MEDICAL CENTER HOSPITAL (450132),2016,Acute Care,Government - Hospital District or Authority,340.0,31.844399,-102.37491,TX,2.12,119.33,0.32,0.06,0.16,1.05,5.17,11.36,2.06,0.5
2703,MIDLAND MEMORIAL HOSPITAL (450133),2016,Acute Care,Government - Hospital District or Authority,222.0,31.997494,-102.099976,TX,2.27,154.55,0.41,0.06,0.11,0.96,3.85,7.55,2.95,0.11
2704,TEXAS HEALTH HARRIS METHODIST FORT WORTH (450135),2016,Acute Care,Voluntary non-profit - Church,648.0,32.73848,-97.339313,TX,1.09,145.61,0.43,0.06,0.06,0.83,5.63,11.29,2.16,0.28
2705,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER (450137),2016,Acute Care,Voluntary non-profit - Private,398.0,32.730288,-97.343729,TX,1.91,144.17,0.26,0.06,0.11,0.95,5.63,8.82,2.01,0.09
2706,SETON SMITHVILLE REGIONAL HOSPITAL (450143),2016,Acute Care,Voluntary non-profit - Church,21.0,,,TX,1.42,,0.41,,0.17,0.9,,,,0.46
2707,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO (450144),2016,Acute Care,Government - Hospital District or Authority,63.0,32.337424,-102.546866,TX,1.33,,0.41,,0.17,0.87,,,,0.45
2708,DETAR HOSPITAL NAVARRO (450147),2016,Acute Care,Proprietary,209.0,28.807549,-97.00021,TX,1.33,143.5,0.34,0.06,0.12,0.85,5.41,10.08,3.05,0.15
2709,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE (450148),2016,Acute Care,Voluntary non-profit - Church,100.0,32.330845,-97.439189,TX,1.89,,0.43,0.06,0.27,0.94,4.14,9.53,2.24,0.27
2710,METROPLEX HOSPITAL (450152),2016,Acute Care,Voluntary non-profit - Private,208.0,31.11335,-97.799519,TX,0.8,135.3,0.46,0.06,0.14,0.81,6.39,10.33,2.18,0.21
2711,VAL VERDE REGIONAL MEDICAL CENTER (450154),2016,Acute Care,Government - Hospital District or Authority,55.0,29.374425,-100.893034,TX,1.09,,0.38,0.06,0.16,0.73,4.28,9.5,2.28,0.27
2712,HEREFORD REGIONAL MEDICAL CENTER (450155),2016,Acute Care,Government - Hospital District or Authority,36.0,34.821162,-102.3902,TX,1.38,,0.41,,0.17,0.88,,,,0.45
2713,GRACE MEDICAL CENTER (450162),2016,Acute Care,Proprietary,92.0,33.548786,-101.869098,TX,1.51,,0.39,0.06,0.17,0.89,3.71,8.93,2.26,1.46
2714,CHRISTUS SPOHN HOSPITAL KLEBERG (450163),2016,Acute Care,Voluntary non-profit - Private,58.0,27.491416,-97.849831,TX,1.08,,0.38,0.06,0.15,0.75,4.5,,2.26,0.28
2715,SOUTH TEXAS REGIONAL MEDICAL CENTER (450165),2016,Acute Care,Proprietary,67.0,,,TX,1.2,,0.39,0.06,0.16,0.78,4.38,9.82,,0.36
2716,MISSION REGIONAL MEDICAL CENTER (450176),2016,Acute Care,Voluntary non-profit - Private,276.0,26.196599,-98.312668,TX,0.9,151.2,0.43,0.06,0.22,0.67,2.97,9.6,2.2,0.76
2717,UVALDE MEMORIAL HOSPITAL (450177),2016,Acute Care,Government - Hospital District or Authority,59.0,,,TX,1.3,,0.4,0.06,0.16,0.83,4.69,,,0.39
2718,PECOS COUNTY MEMORIAL HOSPITAL (450178),2016,Acute Care,Government - Local,26.0,,,TX,1.69,,0.4,,0.17,0.95,,,,0.4
2719,MEMORIAL HERMANN HOSPITAL SYSTEM (450184),2016,Acute Care,Voluntary non-profit - Private,1303.0,29.812266,-95.430899,TX,0.35,105.62,0.4,0.06,0.15,0.6,4.28,15.75,2.33,0.04
2720,SCOTT & WHITE HOSPITAL BRENHAM (450187),2016,Acute Care,Voluntary non-profit - Private,54.0,30.145082,-96.398937,TX,1.76,,0.4,0.06,0.17,0.92,4.56,,2.28,0.4
2721,HILL REGIONAL HOSPITAL (450192),2016,Acute Care,Voluntary non-profit - Private,60.0,32.011912,-97.099153,TX,1.24,,0.4,0.06,0.16,0.87,5.7,,,0.4
2722,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME (450193),2016,Acute Care,Voluntary non-profit - Church,674.0,29.707116,-95.39918,TX,1.97,160.12,0.85,0.06,0.21,1.37,9.09,11.85,1.62,0.39
2723,EAST TEXAS MEDICAL CENTER JACKSONVILLE (450194),2016,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,1.19,,0.4,0.06,0.16,0.77,4.26,,,0.38
2724,PARIS REGIONAL MEDICAL CENTER (450196),2016,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,1.61,176.85,0.44,0.06,0.11,0.79,3.08,11.4,2.08,0.13
2725,WADLEY REGIONAL MEDICAL CENTER (450200),2016,Acute Care,Physician,198.0,33.428482,-94.047188,TX,2.06,155.54,0.35,0.06,0.12,1.1,6.34,7.89,2.6,0.82
