,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI SIR,CDI SIR,CLABSI SIR,MRSA SIR,SSI SIR,Total HAC Score
2689,FALLS COMMUNITY HOSPITAL AND CLINIC (450348),2023,Acute Care,Voluntary non-profit - Private,39.0,31.30747,-96.893901,TX,,,,,,0.0
2690,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2023,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,,0.653,,,,0.0
2691,HUNT REGIONAL MEDICAL CENTER (450352),2023,Acute Care,Government - Hospital District or Authority,172.0,,,TX,0.443,0.486,0.97,0.346,1.817,0.0
2692,HOUSTON METHODIST HOSPITAL (450358),2023,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,0.719,0.601,0.767,0.975,1.327,0.0
2693,CHILDRESS REGIONAL MEDICAL CENTER (450369),2023,Acute Care,Government - Hospital District or Authority,38.0,,,TX,,,,,,0.0
2694,COLUMBUS COMMUNITY HOSPITAL (450370),2023,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,,,,,,0.0
2695,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE (450372),2023,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,0.0,0.244,0.434,1.043,1.473,0.0
2696,DALLAS MEDICAL CENTER (450379),2023,Acute Care,Proprietary,119.0,32.914335,-96.873098,TX,1.417,0.712,1.401,,,0.0
2697,METHODIST HOSPITAL (450388),2023,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,0.826,0.233,1.046,1.122,1.085,0.0
2698,UT HEALTH EAST TEXAS ATHENS HOSPITAL (450389),2023,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,0.643,0.188,0.0,,0.0,0.0
2699,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON (450395),2023,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,,0.0,,,,0.0
2700,BROWNFIELD REGIONAL MEDICAL CENTER (450399),2023,Acute Care,Government - Hospital District or Authority,28.0,33.187102,-102.26775,TX,,,,,,0.0
2701,PARKVIEW REGIONAL HOSPITAL (450400),2023,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,,,,,,0.0
2702,MEDICAL CENTER OF MCKINNEY (450403),2023,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,0.852,0.049,0.382,1.337,0.569,0.0
2703,EASTLAND MEMORIAL HOSPITAL (450411),2023,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,,,,,,0.0
2704,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2023,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,,0.958,,,,0.0
2705,BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN (450422),2023,Acute Care,Voluntary non-profit - Private,24.0,32.80453,-96.794757,TX,,,,,,0.0
2706,HOUSTON METHODIST BAYTOWN HOSPITAL (450424),2023,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,0.47,0.477,0.273,1.538,0.729,0.0
2707,ST DAVID'S MEDICAL CENTER (450431),2023,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,0.288,0.292,0.649,0.573,0.307,0.0
2708,NAVARRO REGIONAL HOSPITAL (450447),2023,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,2.304,1.091,0.599,,,0.0
2709,GLEN ROSE MEDICAL CENTER (450451),2023,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,,,,,,0.0
2710,TYLER COUNTY HOSPITAL (450460),2023,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,,,,,,0.0
2711,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS (450462),2023,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,0.432,0.797,1.599,1.554,1.025,0.0
2712,MATAGORDA REGIONAL MEDICAL CENTER (450465),2023,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,,0.0,,,,0.0
2713,WILSON N JONES REGIONAL MEDICAL CENTER (450469),2023,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,0.397,0.68,1.536,,,0.0
2714,UT HEALTH EAST TEXAS HENDERSON HOSPITAL (450475),2023,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,,1.318,,,,0.0
2715,WOODLAND HEIGHTS MEDICAL CENTER (450484),2023,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,0.277,0.291,2.845,1.715,,0.0
2716,MEDICAL ARTS HOSPITAL (450489),2023,Acute Care,Government - Hospital District or Authority,22.0,32.750279,-101.96647,TX,,,,,,0.0
2717,STEPHENS MEMORIAL HOSPITAL (450498),2023,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,,,,,,0.0
2718,NACOGDOCHES MEMORIAL HOSPITAL (450508),2023,Acute Care,Government - Hospital District or Authority,137.0,31.613397,-94.649455,TX,1.858,1.069,1.583,,0.676,0.0
2719,THE MEDICAL CENTER OF SOUTHEAST TEXAS (450518),2023,Acute Care,Proprietary,218.0,29.934952,-93.985007,TX,0.661,0.456,0.597,1.853,0.873,0.0
2720,METHODIST RICHARDSON MEDICAL CENTER (450537),2023,Acute Care,Government - Hospital District or Authority,208.0,32.996143,-96.669176,TX,0.795,0.462,1.077,0.797,0.657,0.0
2721,COVENANT HOSPITAL PLAINVIEW (450539),2023,Acute Care,Voluntary non-profit - Private,49.0,34.207214,-101.731626,TX,,0.0,,,0.852,0.0
2722,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE (450563),2023,Acute Care,Voluntary non-profit - Private,297.0,32.9356,-97.093897,TX,0.448,0.213,1.156,0.486,1.459,0.0
2723,PALO PINTO GENERAL HOSPITAL (450565),2023,Acute Care,Government - Hospital District or Authority,47.0,32.799552,-98.145406,TX,1.773,0.326,,,,0.0
2724,SHANNON MEDICAL CENTER (450571),2023,Acute Care,Voluntary non-profit - Private,341.0,31.464485,-100.43509,TX,1.311,0.625,0.626,2.12,1.243,0.0
2725,CHRISTUS JASPER MEMORIAL HOSPITAL (450573),2023,Acute Care,Government - Local,43.0,30.907639,-94.008533,TX,,,,,,0.0
2726,HEMPHILL COUNTY HOSPITAL (450578),2023,Acute Care,Government - Hospital District or Authority,15.0,35.903792,-100.387399,TX,,,,,,0.0
2727,WILBARGER GENERAL HOSPITAL (450584),2023,Acute Care,Government - Hospital District or Authority,38.0,34.159419,-99.31333,TX,,,,,,0.0
2728,SEYMOUR HOSPITAL (450586),2023,Acute Care,Government - Hospital District or Authority,27.0,33.589788,-99.247697,TX,,,,,,0.0
2729,HENDRICK MEDICAL CENTER BROWNWOOD (450587),2023,Acute Care,Proprietary,102.0,31.680211,-98.988158,TX,2.75,0.368,,,0.0,0.0
2730,LAKE GRANBURY MEDICAL CENTER (450596),2023,Acute Care,Proprietary,47.0,32.431845,-97.802729,TX,0.368,0.33,0.0,,,0.0
2731,CUERO REGIONAL HOSPITAL (450597),2023,Acute Care,Government - Hospital District or Authority,47.0,29.112495,-97.281693,TX,,,,,,0.0
2732,HILL COUNTRY MEMORIAL HOSPITAL (450604),2023,Acute Care,Voluntary non-profit - Private,62.0,30.262187,-98.880491,TX,,0.545,,,1.001,0.0
2733,CARE REGIONAL MEDICAL CENTER (450605),2023,Acute Care,Proprietary,73.0,27.915921,-97.161829,TX,,,,,,0.0
2734,MEMORIAL HERMANN MEMORIAL CITY HOSPITAL (450610),2023,Acute Care,Voluntary non-profit - Private,410.0,29.781023,-95.544422,TX,0.51,0.232,1.867,1.143,1.233,0.0
2735,HCA HOUSTON HEALTHCARE CLEAR LAKE (450617),2023,Acute Care,Proprietary,594.0,29.541062,-95.126274,TX,0.554,0.271,1.032,0.954,0.534,0.0
2736,MEDICAL CITY DENTON (450634),2023,Acute Care,Proprietary,195.0,33.176831,-97.094019,TX,0.185,0.14,0.0,1.232,0.309,0.0
2737,HCA HOUSTON HEALTHCARE NORTHWEST (450638),2023,Acute Care,Proprietary,333.0,30.018099,-95.439796,TX,0.485,0.026,1.11,0.279,0.203,0.0
2738,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD (450639),2023,Acute Care,Voluntary non-profit - Private,251.0,32.833513,-97.125241,TX,0.799,0.38,0.25,0.678,1.003,0.0
2739,NOCONA GENERAL HOSPITAL (450641),2023,Acute Care,Government - Hospital District or Authority,26.0,33.777559,-97.731564,TX,,,,,,0.0
2740,DOCTORS HOSPITAL OF LAREDO (450643),2023,Acute Care,Proprietary,183.0,27.60709,-99.476281,TX,1.127,0.228,2.48,1.592,0.927,0.0
2741,HCA HOUSTON HEALTHCARE WEST (450644),2023,Acute Care,Proprietary,237.0,29.730314,-95.59475,TX,0.746,0.049,0.658,0.711,0.46,0.0
2742,MEDICAL CITY DALLAS HOSPITAL (450647),2023,Acute Care,Proprietary,727.0,32.909447,-96.772089,TX,0.46,0.413,0.9,0.876,0.342,0.0
2743,MEDICAL CITY PLANO (450651),2023,Acute Care,Proprietary,428.0,33.019387,-96.76573,TX,0.388,0.196,0.971,0.892,0.897,0.0
2744,"SCENIC MOUNTAIN MEDICAL CENTER, A STEWARD FAMILY H (450653)",2023,Acute Care,Proprietary,84.0,32.240015,-101.492412,TX,0.722,0.193,,,,0.0
2745,STARR COUNTY MEMORIAL HOSPITAL (450654),2023,Acute Care,Government - Hospital District or Authority,48.0,26.37754,-98.859886,TX,,,,,,0.0
2746,NACOGDOCHES MEDICAL CENTER (450656),2023,Acute Care,Voluntary non-profit - Other,152.0,31.652058,-94.654265,TX,1.3,0.848,0.834,,1.318,0.0
2747,FREESTONE MEDICAL CENTER (450658),2023,Acute Care,Voluntary non-profit - Private,40.0,31.725644,-96.16961,TX,,,,,,0.0
2748,HCA HOUSTON HEALTHCARE MEDICAL CENTER (450659),2023,Acute Care,Proprietary,192.0,29.722375,-95.388045,TX,0.858,0.276,0.735,,0.373,0.0
2749,ODESSA REGIONAL MEDICAL CENTER (450661),2023,Acute Care,Proprietary,211.0,31.851458,-102.366027,TX,2.227,0.232,0.722,,0.0,0.0
2750,VALLEY REGIONAL MEDICAL CENTER (450662),2023,Acute Care,Proprietary,207.0,,,TX,1.448,0.275,1.175,3.15,0.238,0.0
2751,SIERRA MEDICAL CENTER (450668),2023,Acute Care,Proprietary,294.0,31.77867,-106.47965,TX,0.932,0.316,1.055,0.0,0.649,0.0
2752,MEDICAL CITY LEWISVILLE (450669),2023,Acute Care,Voluntary non-profit - Private,171.0,33.046306,-97.004207,TX,0.0,0.0,0.263,0.736,0.0,0.0
2753,HCA HOUSTON HEALTHCARE TOMBALL (450670),2023,Acute Care,Proprietary,298.0,30.088703,-95.623985,TX,0.0,0.0,0.587,1.04,0.286,0.0
2754,MEDICAL CITY FORT WORTH (450672),2023,Acute Care,Proprietary,220.0,32.735481,-97.343704,TX,0.408,0.232,1.187,0.495,0.616,0.0
2755,"WOMANS HOSPITAL OF TEXAS,THE (450674)",2023,Acute Care,Proprietary,250.0,29.692977,-95.40109,TX,,0.0,0.346,0.786,0.144,0.0
2756,MEDICAL CITY ARLINGTON (450675),2023,Acute Care,Proprietary,301.0,32.691751,-97.1148,TX,0.918,0.199,1.102,0.366,0.476,0.0
2757,TEXAS HEALTH HUGULEY HOSPITAL FORT WORTH SOUTH (450677),2023,Acute Care,Voluntary non-profit - Church,225.0,32.585454,-97.319102,TX,0.471,0.683,3.205,1.255,0.338,0.0
2758,BAYLOR SCOTT & WHITE MEDICAL CENTER-WHITE ROCK (450678),2023,Acute Care,Proprietary,186.0,32.835521,-96.705001,TX,0.246,0.087,1.791,0.0,,0.0
2759,MEMORIAL HERMANN NORTHEAST HOSPITAL (450684),2023,Acute Care,Government - Hospital District or Authority,251.0,29.994565,-95.275482,TX,0.224,0.248,1.662,1.331,1.737,0.0
2760,UNIVERSITY MEDICAL CENTER (450686),2023,Acute Care,Government - Hospital District or Authority,445.0,33.589429,-101.887977,TX,0.747,0.758,0.291,1.22,0.811,0.0
2761,DALLAS REGIONAL MEDICAL CENTER (450688),2023,Acute Care,Proprietary,189.0,32.777575,-96.59972,TX,0.293,0.067,0.0,1.969,,0.0
2762,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER (450690),2023,Acute Care,Government - State,124.0,32.42369,-95.209291,TX,0.0,0.0,0.0,,,0.0
2763,EL CAMPO MEMORIAL HOSPITAL (450694),2023,Acute Care,Voluntary non-profit - Private,26.0,29.219122,-96.289576,TX,,,,,,0.0
2764,TEXAS VISTA MEDICAL CENTER (450697),2023,Acute Care,Proprietary,249.0,29.352988,-98.546589,TX,0.0,0.059,0.554,0.875,0.0,0.0
2765,LAMB HEALTHCARE CENTER (450698),2023,Acute Care,Government - Local,42.0,33.911625,-102.345439,TX,,,,,,0.0
2766,LONGVIEW REGIONAL MEDICAL CENTER (450702),2023,Acute Care,Proprietary,199.0,32.532201,-94.728814,TX,1.058,0.781,1.139,1.586,0.0,0.0
2767,HOUSTON METHODIST CLEAR LAKE HOSPITAL (450709),2023,Acute Care,Voluntary non-profit - Private,157.0,29.549771,-95.085203,TX,0.756,0.473,1.319,1.22,0.703,0.0
2768,RIO GRANDE REGIONAL HOSPITAL (450711),2023,Acute Care,Proprietary,318.0,26.185939,-98.224124,TX,0.868,0.082,1.422,0.778,1.371,0.0
2769,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER (450713),2023,Acute Care,Proprietary,279.0,30.227308,-97.773944,TX,0.333,0.377,0.919,1.207,0.86,0.0
2770,ROUND ROCK MEDICAL CENTER (450718),2023,Acute Care,Voluntary non-profit - Other,163.0,30.509336,-97.712361,TX,0.221,0.106,0.448,0.437,0.424,0.0
2771,METHODIST CHARLTON MEDICAL CENTER (450723),2023,Acute Care,Voluntary non-profit - Private,275.0,32.647444,-96.876265,TX,0.324,0.834,1.433,0.644,0.515,0.0
2772,SANA HEALTHCARE CARROLLTON D/B/A CARROLLTON REGIONAL MEDICAL CENTER (450730),2023,Acute Care,Proprietary,106.0,33.028966,-96.88395,TX,0.0,0.595,2.622,,,0.0
2773,BAYLOR SCOTT AND WHITE MEDICAL CENTER LAKE POINTE (450742),2023,Acute Care,Proprietary,129.0,32.918351,-96.509536,TX,1.075,0.248,3.568,3.756,1.491,0.0
2774,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON (450743),2023,Acute Care,Voluntary non-profit - Private,202.0,33.215899,-97.168409,TX,0.353,0.415,0.543,0.711,2.038,0.0
2775,PALESTINE REGIONAL MEDICAL CENTER (450747),2023,Acute Care,Proprietary,147.0,31.733374,-95.625307,TX,1.156,0.65,1.936,1.399,,0.0
2776,COVENANT HOSPITAL LEVELLAND (450755),2023,Acute Care,Voluntary non-profit - Private,47.0,33.573273,-102.367755,TX,,,,,,0.0
2777,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO (450771),2023,Acute Care,Voluntary non-profit - Private,365.0,33.045125,-96.837073,TX,0.44,0.711,0.635,0.46,0.896,0.0
2778,TOPS SURGICAL SPECIALTY HOSPITAL (450774),2023,Acute Care,Physician,16.0,30.018542,-95.444846,TX,,,,,,0.0
2779,HCA HOUSTON HEALTHCARE KINGWOOD (450775),2023,Acute Care,Proprietary,420.0,,,TX,0.526,0.221,1.681,1.054,0.475,0.0
2780,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F (450779),2023,Acute Care,Voluntary non-profit - Private,232.0,32.658595,-97.419671,TX,0.0,0.815,1.856,0.722,0.255,0.0
2781,"CORPUS CHRISTI MEDICAL CENTER,THE (450788)",2023,Acute Care,Proprietary,419.0,27.681644,-97.359284,TX,0.775,0.127,0.446,1.924,0.97,0.0
2782,CHRISTUS ST MICHAEL HEALTH SYSTEM (450801),2023,Acute Care,Voluntary non-profit - Church,324.0,33.46249,-94.074448,TX,1.199,0.277,3.968,2.967,0.767,0.0
2783,UNITED MEMORIAL MEDICAL CENTER (450803),2023,Acute Care,Physician,119.0,29.847222,-95.407991,TX,,0.457,4.132,,,0.0
2784,TEXAS ORTHOPEDIC HOSPITAL (450804),2023,Acute Care,Voluntary non-profit - Other,49.0,29.700315,-95.409675,TX,,0.0,,,,0.0
2785,NORTHWEST HILLS SURGICAL HOSPITAL (450808),2023,Acute Care,Physician,8.0,30.350316,-97.751026,TX,,,,,,0.0
2786,NORTH AUSTIN MEDICAL CENTER (450809),2023,Acute Care,Proprietary,370.0,30.412144,-97.708113,TX,0.685,0.113,1.531,0.543,0.384,0.0
2787,HOUSTON METHODIST SUGARLAND HOSPITAL (450820),2023,Acute Care,Voluntary non-profit - Private,283.0,29.590539,-95.631886,TX,0.472,0.258,0.65,0.651,0.758,0.0
2788,MEDICAL CITY LAS COLINAS (450822),2023,Acute Care,Proprietary,86.0,32.902047,-96.958679,TX,0.921,0.344,0.554,,0.522,0.0
2789,CORNERSTONE REGIONAL HOSPITAL (450825),2023,Acute Care,Proprietary,14.0,26.263096,-98.199164,TX,,,,,,0.0
2790,KELL WEST REGIONAL HOSPITAL (450827),2023,Acute Care,Proprietary,41.0,33.872376,-98.579707,TX,,0.0,,,,0.0
2791,CHRISTUS SPOHN HOSPITAL ALICE (450828),2023,Acute Care,Voluntary non-profit - Private,85.0,27.765508,-98.043713,TX,0.741,1.123,,,,0.0
2792,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON (450831),2023,Acute Care,Proprietary,38.0,29.658717,-95.178161,TX,,,,,,0.0
2793,ENNIS REGIONAL MEDICAL CENTER (450833),2023,Acute Care,Proprietary,53.0,32.308542,-96.642024,TX,,,,,,0.0
2794,"PHYSICIANS CENTRE,THE (450834)",2023,Acute Care,Proprietary,16.0,30.649585,-96.296515,TX,,,,,,0.0
2795,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN (450840),2023,Acute Care,Government - Federal,58.0,33.115433,-96.671504,TX,0.835,0.0,0.948,,1.134,0.0
2796,HOUSTON METHODIST WILLOWBROOK HOSPITAL (450844),2023,Acute Care,Voluntary non-profit - Church,297.0,29.964059,-95.550789,TX,1.85,0.191,0.993,2.943,0.246,0.0
2797,MEMORIAL HERMANN KATY HOSPITAL (450847),2023,Acute Care,Voluntary non-profit - Private,180.0,29.785918,-95.785657,TX,0.323,0.306,0.676,1.532,1.026,0.0
2798,MEMORIAL HERMANN SUGAR LAND HOSPITAL (450848),2023,Acute Care,Voluntary non-profit - Private,124.0,29.56408,-95.68791,TX,0.487,0.521,0.838,0.382,0.82,0.0
2799,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS (450851),2023,Acute Care,Proprietary,52.0,32.788288,-96.780663,TX,,0.0,,,,0.0
2800,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO (450853),2023,Acute Care,Proprietary,68.0,33.10671,-96.837919,TX,,0.0,,,0.265,0.0
2801,HARLINGEN MEDICAL CENTER (450855),2023,Acute Care,Proprietary,112.0,26.157323,-97.676968,TX,0.216,0.279,0.0,,,0.0
2802,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL (450856),2023,Acute Care,Proprietary,30.0,29.613207,-98.478493,TX,,,,,,0.0
2803,SUGAR LAND SURGICAL HOSPITAL LLP (450860),2023,Acute Care,Proprietary,6.0,29.590609,-95.636696,TX,,,,,,0.0
2804,ST LUKE'S THE WOODLANDS HOSPITAL (450862),2023,Acute Care,Voluntary non-profit - Private,214.0,30.20566,-95.460773,TX,0.585,0.319,0.379,2.106,0.22,0.0
2805,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL (450864),2023,Acute Care,Physician,19.0,32.329248,-95.299467,TX,1.848,0.0,,,,0.0
2806,ASCENSION SETON  SOUTHWEST (450865),2023,Acute Care,Voluntary non-profit - Private,25.0,30.22696,-97.88951,TX,,,,,,0.0
2807,ASCENSION SETON NORTHWEST (450867),2023,Acute Care,Voluntary non-profit - Private,106.0,30.40482,-97.74501,TX,0.529,0.113,0.0,0.942,0.0,0.0
2808,DOCTORS HOSPITAL AT RENAISSANCE (450869),2023,Acute Care,Proprietary,522.0,26.252424,-98.204109,TX,1.393,0.228,2.545,0.516,0.793,0.0
2809,ARISE AUSTIN MEDICAL CENTER (450871),2023,Acute Care,Physician,22.0,30.271664,-97.795469,TX,,,,,,0.0
2810,U S M D HOSPITAL AT ARLINGTON L P (450872),2023,Acute Care,Physician,35.0,32.679151,-97.115971,TX,,0.0,,,0.0,0.0
2811,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS (450874),2023,Acute Care,Proprietary,20.0,32.912261,-96.948091,TX,,,,,,0.0
2812,QUAIL CREEK SURGICAL HOSPITAL (450875),2023,Acute Care,Proprietary,35.0,35.210675,-101.913568,TX,,,,,,0.0
2813,LUBBOCK HEART HOSPITAL LP (450876),2023,Acute Care,Proprietary,73.0,33.602527,-101.914287,TX,,1.177,,,,0.0
2814,FOUNDATION SURGICAL HOSPITAL OF EL PASO (450877),2023,Acute Care,Proprietary,40.0,31.734985,-106.301578,TX,,,,,0.0,0.0
2815,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH (450880),2023,Acute Care,Voluntary non-profit - Private,32.0,32.725778,-97.346185,TX,,,,,,0.0
2816,BAYLOR MEDICAL CENTER AT TROPHY CLUB (450883),2023,Acute Care,Proprietary,21.0,32.987984,-97.175031,TX,,,,,,0.0
2817,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL (450885),2023,Acute Care,Voluntary non-profit - Other,118.0,33.115871,-96.769892,TX,,0.282,,,0.0,0.0
2818,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE (450888),2023,Acute Care,Government - State,16.0,32.94097,-97.127578,TX,,,,,,0.0
2819,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT (450889),2023,Acute Care,Proprietary,9.0,32.876377,-96.761726,TX,,,,,,0.0
2820,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO (450890),2023,Acute Care,Voluntary non-profit - Other,136.0,33.014361,-96.791185,TX,1.006,0.336,1.038,2.201,0.793,0.0
2821,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY (450891),2023,Acute Care,Proprietary,18.0,33.045103,-96.832226,TX,,,,,0.0,0.0
2822,THE HEART HOSPITAL BAYLOR DENTON (450893),2023,Acute Care,Physician,20.0,33.17697,-97.088199,TX,,,,,,0.0
2823,UTAH VALLEY HOSPITAL (460001),2023,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,2.288,0.559,1.189,1.188,0.0,0.0
2824,SALT LAKE REGIONAL MEDICAL CENTER (460003),2023,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,0.753,1.88,0.716,,,0.0
2825,MCKAY DEE HOSPITAL (460004),2023,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,0.335,0.151,0.815,0.276,1.914,0.0
2826,OGDEN REGIONAL MEDICAL CENTER (460005),2023,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,1.261,0.181,1.217,0.0,0.0,0.0
2827,LDS HOSPITAL (460006),2023,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,1.263,0.623,0.846,2.057,0.508,0.0
2828,CEDAR CITY HOSPITAL (460007),2023,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,,0.304,,,,0.0
2829,UNIVERSITY OF UTAH HOSPITALS AND CLINICS (460009),2023,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,0.829,0.845,0.899,0.657,0.797,0.0
2830,INTERMOUNTAIN MEDICAL CENTER (460010),2023,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,0.689,0.554,0.664,0.771,0.575,0.0
2831,CASTLEVIEW HOSPITAL (460011),2023,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,,0.931,,,,0.0
2832,MOUNTAIN VIEW HOSPITAL (460013),2023,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,0.85,0.637,2.72,,,0.0
2833,MOUNTAIN WEST MEDICAL CENTER (460014),2023,Acute Care,Proprietary,36.0,,,UT,,,,,,0.0
2834,LOGAN REGIONAL HOSPITAL (460015),2023,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,0.59,0.372,,,2.539,0.0
2835,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2023,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,,,,,,0.0
2836,UINTAH BASIN MEDICAL CENTER (460019),2023,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,,1.7,,,,0.0
2837,ST. GEORGE REGIONAL HOSPITAL (460021),2023,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,0.304,0.194,0.435,1.3,0.884,0.0
2838,AMERICAN FORK HOSPITAL (460023),2023,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,0.0,0.569,,,0.0,0.0
2839,SEVIER VALLEY HOSPITAL (460026),2023,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,,,,,,0.0
2840,ASHLEY REGIONAL MEDICAL CENTER (460030),2023,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,,0.329,,,,0.0
2841,BEAR RIVER VALLEY HOSPITAL (460039),2023,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,,,,,,0.0
2842,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2023,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,0.825,0.55,0.572,,0.537,0.0
2843,LAKEVIEW HOSPITAL (460042),2023,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,,0.0,,,,0.0
2844,OREM COMMUNITY HOSPITAL (460043),2023,Acute Care,Voluntary non-profit - Private,20.0,40.303255,-111.705407,UT,,,,,,0.0
2845,ALTA VIEW HOSPITAL (460044),2023,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,,0.179,,,0.0,0.0
2846,ST MARK'S HOSPITAL (460047),2023,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,0.701,0.406,0.863,0.307,0.504,0.0
2847,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2023,Acute Care,Voluntary non-profit - Private,38.0,,,UT,,,,,,0.0
2848,JORDAN VALLEY MEDICAL CENTER (460051),2023,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,0.0,0.438,0.328,1.179,0.527,0.0
2849,TIMPANOGOS REGIONAL HOSPITAL (460052),2023,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,0.0,0.0,0.467,,1.056,0.0
2850,CACHE VALLEY HOSPITAL (460054),2023,Acute Care,Proprietary,25.0,41.775714,-111.823092,UT,,,,,,0.0
2851,PARK CITY HOSPITAL (460057),2023,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,,0.0,,,,0.0
2852,RIVERTON HOSPITAL (460058),2023,Acute Care,Voluntary non-profit - Private,88.0,40.522238,-111.979725,UT,,0.256,,,2.285,0.0
2853,LONE PEAK HOSPITAL (460060),2023,Acute Care,Proprietary,33.0,40.535238,-111.891464,UT,,0.0,,,0.0,0.0
2854,LAYTON HOSPITAL (460061),2023,Acute Care,Voluntary non-profit - Private,36.0,41.054447,-111.96761,UT,,0.0,,,,0.0
2855,SPANISH FORK HOSPITAL (460062),2023,Acute Care,Voluntary non-profit - Private,16.0,,,UT,,,,,,0.0
