,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI Score,CLABSI Score,PSI-90 Score,Domain 1 Score,Domain 2 Score,Total HAC Score
2497,PUNXSUTAWNEY AREA HOSPITAL (390199),2015,Acute Care,Voluntary non-profit - Private,44.0,40.960153,-79.000359,PA,1.0,,3.0,3.0,1.0,1.7
2498,POCONO MEDICAL CENTER (390201),2015,Acute Care,Voluntary non-profit - Private,240.0,40.992284,-75.174327,PA,5.0,9.0,3.0,3.0,7.0,5.6
2499,DOYLESTOWN HOSPITAL (390203),2015,Acute Care,Voluntary non-profit - Private,240.0,40.302543,-75.149449,PA,8.0,2.0,1.0,1.0,5.0,3.6
2500,NAZARETH HOSPITAL (390204),2015,Acute Care,Voluntary non-profit - Private,211.0,40.058529,-75.043387,PA,1.0,10.0,2.0,2.0,5.5,4.275
2501,SHARON REGIONAL HEALTH SYSTEM (390211),2015,Acute Care,Proprietary,235.0,41.233009,-80.495497,PA,2.0,3.0,1.0,1.0,2.5,1.975
2502,EXCELA HEALTH FRICK HOSPITAL (390217),2015,Acute Care,Voluntary non-profit - Other,44.0,40.146369,-79.548217,PA,6.0,7.0,3.0,3.0,6.5,5.275
2503,EXCELA HEALTH LATROBE HOSPITAL (390219),2015,Acute Care,Voluntary non-profit - Other,121.0,,,PA,5.0,7.0,2.0,2.0,6.0,4.6
2504,JENNERSVILLE REGIONAL HOSPITAL (390220),2015,Acute Care,Voluntary non-profit - Other,57.0,39.822744,-75.887918,PA,3.0,10.0,1.0,1.0,6.5,4.575
2505,RIDDLE MEMORIAL HOSPITAL (390222),2015,Acute Care,Voluntary non-profit - Private,224.0,39.914319,-75.429889,PA,7.0,7.0,7.0,7.0,7.0,7.0
2506,PENN PRESBYTERIAN MEDICAL CENTER (390223),2015,Acute Care,Voluntary non-profit - Other,340.0,39.957103,-75.199575,PA,4.0,8.0,4.0,4.0,6.0,5.3
2507,EPHRATA COMMUNITY HOSPITAL (390225),2015,Acute Care,Voluntary non-profit - Other,135.0,40.186866,-76.184268,PA,7.0,9.0,9.0,9.0,8.0,8.35
2508,PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS (390226),2015,Acute Care,Voluntary non-profit - Private,446.0,39.945872,-75.155881,PA,6.0,9.0,9.0,9.0,7.5,8.025
2509,ST CLAIR MEMORIAL HOSPITAL (390228),2015,Acute Care,Voluntary non-profit - Private,324.0,40.376775,-80.066966,PA,3.0,3.0,4.0,4.0,3.0,3.35
2510,ABINGTON MEMORIAL HOSPITAL (390231),2015,Acute Care,Voluntary non-profit - Private,621.0,40.118945,-75.119382,PA,7.0,4.0,6.0,6.0,5.5,5.675
2511,HANOVER HOSPITAL (390233),2015,Acute Care,Voluntary non-profit - Private,93.0,39.807981,-76.983731,PA,9.0,10.0,1.0,1.0,9.5,6.525
2512,"MEMORIAL HOSPITAL, INC  TOWANDA (390236)",2015,Acute Care,Voluntary non-profit - Private,92.0,41.783796,-76.448602,PA,6.0,,4.0,4.0,6.0,5.3
2513,REGIONAL HOSPITAL OF SCRANTON (390237),2015,Acute Care,Voluntary non-profit - Church,185.0,41.412827,-75.654071,PA,4.0,7.0,7.0,7.0,5.5,6.025
2514,MILTON S HERSHEY MEDICAL CENTER (390256),2015,Acute Care,Voluntary non-profit - Other,539.0,40.265932,-76.674557,PA,7.0,7.0,10.0,10.0,7.0,8.05
2515,ST MARY MEDICAL CENTER (390258),2015,Acute Care,Voluntary non-profit - Church,330.0,,,PA,10.0,7.0,1.0,1.0,8.5,5.875
2516,LEHIGH VALLEY HOSPITAL - MUHLENBERG (390263),2015,Acute Care,Voluntary non-profit - Other,202.0,,,PA,8.0,5.0,8.0,8.0,6.5,7.025
2517,JEFFERSON REGIONAL MEDICAL CENTER (390265),2015,Acute Care,Voluntary non-profit - Private,342.0,40.319963,-79.933468,PA,2.0,2.0,1.0,1.0,2.0,1.65
2518,GROVE CITY MEDICAL CENTER (390266),2015,Acute Care,Voluntary non-profit - Private,94.0,41.170709,-80.083156,PA,1.0,,8.0,8.0,1.0,3.45
2519,FORBES HOSPITAL (390267),2015,Acute Care,Voluntary non-profit - Private,309.0,40.428425,-79.751254,PA,9.0,2.0,9.0,9.0,5.5,6.725
2520,MOUNT NITTANY MEDICAL CENTER (390268),2015,Acute Care,Voluntary non-profit - Private,258.0,40.820475,-77.848101,PA,6.0,1.0,7.0,7.0,3.5,4.725
2521,GEISINGER WYOMING VALLEY MEDICAL CENTER (390270),2015,Acute Care,Voluntary non-profit - Private,282.0,41.256997,-75.811717,PA,10.0,2.0,9.0,9.0,6.0,7.05
2522,VALLEY FORGE MEDICAL CENTER AND HOSPITAL (390272),2015,Acute Care,Proprietary,52.0,40.15643,-75.368684,PA,,,7.0,7.0,,7.0
2523,EAGLEVILLE HOSPITAL (390278),2015,Acute Care,Voluntary non-profit - Private,82.0,40.15588,-75.41192,PA,,,6.0,6.0,,6.0
2524,HAHNEMANN UNIVERSITY HOSPITAL (390290),2015,Acute Care,Proprietary,431.0,39.957334,-75.162597,PA,4.0,3.0,10.0,10.0,3.5,5.775
2525,BARIX CLINICS OF PENNSYLVANIA (390302),2015,Acute Care,Proprietary,23.0,,,PA,10.0,10.0,7.0,7.0,10.0,8.95
2526,ROXBOROUGH MEMORIAL HOSPITAL (390304),2015,Acute Care,Proprietary,138.0,40.028518,-75.21028,PA,1.0,5.0,6.0,6.0,3.0,4.05
2527,EDGEWOOD SURGICAL HOSPITAL (390307),2015,Acute Care,Physician,10.0,41.330051,-80.417855,PA,,,6.0,6.0,,6.0
2528,CANCER TREATMENT CENTERS OF AMERICA (390312),2015,Acute Care,Voluntary non-profit - Private,71.0,40.018295,-75.098463,PA,9.0,10.0,5.0,5.0,9.5,7.925
2529,COORDINATED HEALTH ORTHOPEDIC HOSPITAL (390314),2015,Acute Care,Physician,20.0,40.673762,-75.365401,PA,,,7.0,7.0,,7.0
2530,SURGICAL INSTITUTE OF READING (390316),2015,Acute Care,Proprietary,15.0,40.357951,-75.987577,PA,,,3.0,3.0,,3.0
2531,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH (390321),2015,Acute Care,Physician,24.0,40.61219,-75.53275,PA,,,9.0,9.0,,9.0
2532,BUCKS COUNTY SPECIALTY HOSPITAL (390322),2015,Acute Care,Proprietary,24.0,40.11435,-74.962093,PA,,,3.0,3.0,,3.0
2533,ADVANCED SURGICAL HOSPITAL (390323),2015,Acute Care,Proprietary,14.0,40.156723,-80.280536,PA,,,5.0,5.0,,5.0
2534,PHYSICIAN'S CARE SURGICAL HOSPITAL (390324),2015,Acute Care,Physician,12.0,40.216786,-75.553707,PA,,,5.0,5.0,,5.0
2535,OSS ORTHOPAEDIC HOSPITAL (390325),2015,Acute Care,Proprietary,30.0,39.91669,-76.696813,PA,,,3.0,3.0,,3.0
2536,ST LUKE'S HOSPITAL - ANDERSON CAMPUS (390326),2015,Acute Care,Voluntary non-profit - Private,107.0,40.650061,-75.288531,PA,6.0,10.0,3.0,3.0,8.0,6.25
2537,WELLSPAN SURGERY AND REHABILITATION HOSPITAL (390327),2015,Acute Care,Voluntary non-profit - Private,73.0,39.923277,-76.716898,PA,,,7.0,7.0,,7.0
2538,UPMC EAST (390328),2015,Acute Care,Voluntary non-profit - Private,156.0,40.437014,-79.758458,PA,6.0,7.0,7.0,7.0,6.5,6.675
2539,EINSTEIN MEDICAL CENTER MONTGOMERY (390329),2015,Acute Care,Voluntary non-profit - Private,167.0,40.150854,-75.343235,PA,4.0,1.0,2.0,2.0,2.5,2.325
2540,MEMORIAL HOSPITAL OF RHODE ISLAND (410001),2015,Acute Care,Voluntary non-profit - Private,135.0,,,RI,4.0,1.0,9.0,9.0,2.5,4.775
2541,ROGER WILLIAMS MEDICAL CENTER (410004),2015,Acute Care,Voluntary non-profit - Private,163.0,41.834015,-71.43458,RI,10.0,5.0,5.0,5.0,7.5,6.625
2542,OUR LADY OF FATIMA HOSPITAL (410005),2015,Acute Care,Voluntary non-profit - Private,286.0,41.855796,-71.458498,RI,7.0,8.0,9.0,9.0,7.5,8.025
2543,NEWPORT HOSPITAL (410006),2015,Acute Care,Voluntary non-profit - Private,123.0,41.497809,-71.306193,RI,3.0,1.0,6.0,6.0,2.0,3.4
2544,RHODE ISLAND HOSPITAL (410007),2015,Acute Care,Voluntary non-profit - Private,701.0,41.811956,-71.407049,RI,8.0,7.0,10.0,10.0,7.5,8.375
2545,SOUTH COUNTY HOSPITAL INC (410008),2015,Acute Care,Voluntary non-profit - Private,86.0,41.431883,-71.495882,RI,4.0,1.0,1.0,1.0,2.5,1.975
2546,KENT COUNTY MEMORIAL HOSPITAL (410009),2015,Acute Care,Proprietary,334.0,41.704478,-71.477902,RI,9.0,9.0,1.0,1.0,9.0,6.2
2547,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND (410010),2015,Acute Care,Voluntary non-profit - Private,247.0,41.8102,-71.411562,RI,,7.0,8.0,8.0,7.0,7.35
2548,"LANDMARK MEDICAL CENTER,  INC (410011)",2015,Acute Care,Voluntary non-profit - Private,141.0,42.00532,-71.49621,RI,3.0,4.0,7.0,7.0,3.5,4.725
2549,MIRIAM HOSPITAL (410012),2015,Acute Care,Voluntary non-profit - Private,247.0,41.851653,-71.397562,RI,10.0,4.0,5.0,5.0,7.0,6.3
2550,WESTERLY HOSPITAL (410013),2015,Acute Care,Voluntary non-profit - Private,82.0,41.362798,-71.825814,RI,8.0,10.0,8.0,8.0,9.0,8.65
2551,PIEDMONT MEDICAL CENTER (420002),2015,Acute Care,Proprietary,289.0,34.955198,-81.05125,SC,4.0,9.0,1.0,1.0,6.5,4.575
2552,MUSC MEDICAL CENTER (420004),2015,Acute Care,Government - State,783.0,32.7854,-79.946559,SC,10.0,5.0,10.0,10.0,7.5,8.375
2553,MCLEOD MEDICAL CENTER - DILLON (420005),2015,Acute Care,Voluntary non-profit - Private,66.0,34.421266,-79.366107,SC,10.0,,2.0,2.0,10.0,7.2
2554,SPARTANBURG REGIONAL MEDICAL CENTER (420007),2015,Acute Care,Government - Hospital District or Authority,557.0,34.967852,-81.939927,SC,10.0,7.0,8.0,8.0,8.5,8.325
2555,GHS OCONEE MEMORIAL  HOSPITAL (420009),2015,Acute Care,Government - Hospital District or Authority,261.0,34.69712,-82.984385,SC,6.0,8.0,9.0,9.0,7.0,7.7
2556,CAROLINA PINES REGIONAL MEDICAL CENTER (420010),2015,Acute Care,Proprietary,116.0,34.348675,-80.105767,SC,2.0,10.0,7.0,7.0,6.0,6.35
2557,CANNON MEMORIAL HOSPITAL (420011),2015,Acute Care,Voluntary non-profit - Private,42.0,34.874944,-82.704631,SC,,,4.0,4.0,,4.0
2558,BAPTIST EASLEY HOSPITAL (420015),2015,Acute Care,Voluntary non-profit - Private,80.0,34.839651,-82.607064,SC,6.0,6.0,10.0,10.0,6.0,7.4
2559,SOUTHERN PALMETTO HOSPITAL (420016),2015,Acute Care,Proprietary,27.0,,,SC,,,5.0,5.0,,5.0
2560,PALMETTO HEALTH RICHLAND (420018),2015,Acute Care,Voluntary non-profit - Private,671.0,34.026699,-81.035032,SC,9.0,8.0,9.0,9.0,8.5,8.675
2561,CHESTER REGIONAL MEDICAL CENTER (420019),2015,Acute Care,Proprietary,124.0,34.683429,-81.184551,SC,1.0,,8.0,8.0,1.0,3.45
2562,GEORGETOWN MEMORIAL HOSPITAL (420020),2015,Acute Care,Voluntary non-profit - Private,121.0,33.379078,-79.285344,SC,4.0,10.0,3.0,3.0,7.0,5.6
2563,ST FRANCIS-DOWNTOWN (420023),2015,Acute Care,Voluntary non-profit - Private,435.0,,,SC,8.0,1.0,7.0,7.0,4.5,5.375
2564,SISTERS OF CHARITY PROVIDENCE HOSPITALS (420026),2015,Acute Care,Proprietary,324.0,34.104422,-80.955054,SC,9.0,9.0,2.0,2.0,9.0,6.55
2565,ANMED HEALTH (420027),2015,Acute Care,Voluntary non-profit - Private,387.0,34.511071,-82.647355,SC,7.0,7.0,1.0,1.0,7.0,4.9
2566,COLLETON MEDICAL CENTER (420030),2015,Acute Care,Proprietary,134.0,32.921855,-80.67088,SC,4.0,10.0,1.0,1.0,7.0,4.9
2567,GHS GREER MEMORIAL HOSPITAL (420033),2015,Acute Care,Voluntary non-profit - Other,63.0,34.91931,-82.242031,SC,1.0,,2.0,2.0,1.0,1.35
2568,SPRINGS MEMORIAL HOSPITAL (420036),2015,Acute Care,Proprietary,185.0,34.716906,-80.786842,SC,6.0,7.0,5.0,5.0,6.5,5.975
2569,GHS-HILLCREST MEMORIAL HOSPITAL (420037),2015,Acute Care,Government - Hospital District or Authority,43.0,34.718134,-82.246736,SC,1.0,,6.0,6.0,1.0,2.75
2570,GHS  LAURENS COUNTY MEMORIAL HOSPITAL (420038),2015,Acute Care,Government - Hospital District or Authority,64.0,34.479718,-81.941152,SC,4.0,1.0,8.0,8.0,2.5,4.425
2571,WALLACE THOMSON HOSPITAL (420039),2015,Acute Care,Government - Hospital District or Authority,55.0,,,SC,3.0,1.0,6.0,6.0,2.0,3.4
2572,NOVANT HEALTH GAFFNEY MEDICAL CENTER (420043),2015,Acute Care,Voluntary non-profit - Private,90.0,35.090092,-81.635753,SC,10.0,,5.0,5.0,10.0,8.25
2573,KERSHAW HEALTH (420048),2015,Acute Care,Proprietary,186.0,34.253164,-80.589579,SC,9.0,10.0,7.0,7.0,9.5,8.625
2574,CONWAY MEDICAL CENTER (420049),2015,Acute Care,Voluntary non-profit - Private,227.0,33.786524,-79.002854,SC,9.0,8.0,5.0,5.0,8.5,7.275
2575,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE (420051),2015,Acute Care,Voluntary non-profit - Private,521.0,34.195931,-79.758784,SC,7.0,6.0,1.0,1.0,6.5,4.575
2576,NEWBERRY COUNTY MEMORIAL HOSPITAL (420053),2015,Acute Care,Voluntary non-profit - Other,70.0,34.289433,-81.604915,SC,1.0,10.0,3.0,3.0,5.5,4.625
2577,MARLBORO PARK HOSPITAL (420054),2015,Acute Care,Proprietary,102.0,,,SC,,,7.0,7.0,,7.0
2578,CAROLINAS HOSPITAL SYSTEM MARION (420055),2015,Acute Care,Proprietary,146.0,34.189232,-79.321945,SC,4.0,,4.0,4.0,4.0,4.0
2579,MCLEOD MEDICAL CENTER - DARLINGTON (420057),2015,Acute Care,Voluntary non-profit - Private,65.0,34.312988,-79.838253,SC,,,6.0,6.0,,6.0
2580,CHESTERFIELD GENERAL HOSPITAL (420062),2015,Acute Care,Voluntary non-profit - Private,59.0,,,SC,1.0,,10.0,10.0,1.0,4.15
2581,BON SECOURS-ST FRANCIS XAVIER HOSPITAL (420065),2015,Acute Care,Voluntary non-profit - Private,188.0,32.810751,-80.042264,SC,10.0,7.0,4.0,4.0,8.5,6.925
2582,LAKE CITY COMMUNITY HOSPITAL (420066),2015,Acute Care,Government - Hospital District or Authority,27.0,33.88037,-79.759089,SC,,,5.0,5.0,,5.0
2583,BEAUFORT COUNTY MEMORIAL HOSPITAL (420067),2015,Acute Care,Voluntary non-profit - Other,195.0,32.417244,-80.688546,SC,10.0,3.0,8.0,8.0,6.5,7.025
2584,TRMC OF ORANGEBURG & CALHOUN (420068),2015,Acute Care,Government - Local,285.0,,,SC,10.0,10.0,2.0,2.0,10.0,7.2
2585,CLARENDON MEMORIAL HOSPITAL (420069),2015,Acute Care,Government - Hospital District or Authority,50.0,,,SC,1.0,,5.0,5.0,1.0,2.4
2586,TUOMEY HEALTHCARE SYSTEM (420070),2015,Acute Care,Voluntary non-profit - Private,241.0,33.923496,-80.344356,SC,3.0,10.0,2.0,2.0,6.5,4.925
2587,SELF REGIONAL HEALTHCARE (420071),2015,Acute Care,Voluntary non-profit - Private,342.0,34.175362,-82.157868,SC,7.0,5.0,5.0,5.0,6.0,5.65
2588,HAMPTON REGIONAL MEDICAL CENTER (420072),2015,Acute Care,Voluntary non-profit - Private,32.0,32.855258,-81.087692,SC,,,4.0,4.0,,4.0
2589,LEXINGTON MEDICAL CENTER (420073),2015,Acute Care,Government - Hospital District or Authority,446.0,34.004403,-81.114361,SC,4.0,5.0,3.0,3.0,4.5,3.975
2590,GHS GREENVILLE MEMORIAL HOSPITAL (420078),2015,Acute Care,Government - State,822.0,34.829156,-82.319204,SC,10.0,5.0,4.0,4.0,7.5,6.275
2591,TRIDENT MEDICAL CENTER (420079),2015,Acute Care,Proprietary,425.0,32.975128,-80.072274,SC,9.0,5.0,4.0,4.0,7.0,5.95
2592,HILTON HEAD REGIONAL MEDICAL CENTER (420080),2015,Acute Care,Proprietary,98.0,32.21932,-80.7125,SC,10.0,1.0,9.0,9.0,5.5,6.725
2593,AIKEN REGIONAL MEDICAL CENTER (420082),2015,Acute Care,Proprietary,255.0,33.56989,-81.765071,SC,6.0,8.0,10.0,10.0,7.0,8.05
2594,MARY BLACK MEMORIAL HOSPITAL (420083),2015,Acute Care,Proprietary,177.0,,,SC,9.0,1.0,4.0,4.0,5.0,4.65
2595,GRAND STRAND REGIONAL MEDICAL CENTER (420085),2015,Acute Care,Proprietary,312.0,33.754763,-78.817079,SC,5.0,4.0,5.0,5.0,4.5,4.675
2596,PALMETTO HEALTH BAPTIST (420086),2015,Acute Care,Voluntary non-profit - Private,359.0,34.007227,-81.033748,SC,10.0,8.0,9.0,9.0,9.0,9.0
2597,ROPER HOSPITAL (420087),2015,Acute Care,Proprietary,359.0,32.782372,-79.948734,SC,10.0,8.0,1.0,1.0,9.0,6.2
2598,EAST COOPER MEDICAL CENTER (420089),2015,Acute Care,Proprietary,131.0,32.820997,-79.849613,SC,5.0,8.0,4.0,4.0,6.5,5.625
2599,CAROLINAS HOSPITAL SYSTEM (420091),2015,Acute Care,Proprietary,362.0,34.158829,-79.754236,SC,5.0,8.0,5.0,5.0,6.5,5.975
2600,WACCAMAW COMMUNITY HOSPITAL (420098),2015,Acute Care,Voluntary non-profit - Private,148.0,,,SC,2.0,6.0,1.0,1.0,4.0,2.95
2601,COASTAL CAROLINA HOSPITAL (420101),2015,Acute Care,Proprietary,41.0,32.314817,-81.055429,SC,1.0,,4.0,4.0,1.0,2.05
2602,GHS PATEWOOD MEMORIAL HOSPITAL (420102),2015,Acute Care,Government - Hospital District or Authority,58.0,34.852735,-82.326115,SC,,,7.0,7.0,,7.0
2603,VILLAGE HOSPITAL (420103),2015,Acute Care,Government - Hospital District or Authority,48.0,34.86351,-82.217661,SC,,,4.0,4.0,,4.0
2604,MOUNT PLEASANT HOSPITAL (420104),2015,Acute Care,Voluntary non-profit - Private,84.0,32.878021,-79.766199,SC,,,3.0,3.0,,3.0
2605,MCLEOD LORIS SEACOAST HOSPITAL (420105),2015,Acute Care,Voluntary non-profit - Private,180.0,34.057697,-78.897796,SC,1.0,1.0,7.0,7.0,1.0,3.1
2606,PRAIRIE LAKES HOSPITAL (430005),2015,Acute Care,Voluntary non-profit - Private,81.0,44.910837,-97.120812,SD,6.0,,9.0,9.0,6.0,7.05
2607,BROOKINGS HEALTH SYSTEM (430008),2015,Acute Care,Government - Local,128.0,44.307751,-96.768199,SD,,,6.0,6.0,,6.0
2608,AVERA SACRED HEART HOSPITAL (430012),2015,Acute Care,Voluntary non-profit - Private,267.0,42.872573,-97.406945,SD,5.0,1.0,1.0,1.0,3.0,2.3
2609,AVERA QUEEN OF PEACE (430013),2015,Acute Care,Voluntary non-profit - Church,148.0,43.713842,-98.007325,SD,1.0,,7.0,7.0,1.0,3.1
2610,AVERA ST LUKES (430014),2015,Acute Care,Voluntary non-profit - Church,224.0,45.461795,-98.47935,SD,4.0,1.0,1.0,1.0,2.5,1.975
2611,AVERA ST MARY'S HOSPITAL (430015),2015,Acute Care,Voluntary non-profit - Private,110.0,44.361268,-100.342235,SD,,,3.0,3.0,,3.0
2612,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER (430016),2015,Acute Care,Voluntary non-profit - Private,600.0,43.534607,-96.711304,SD,5.0,3.0,2.0,2.0,4.0,3.3
2613,SANFORD USD MEDICAL CENTER (430027),2015,Acute Care,Voluntary non-profit - Other,479.0,43.536678,-96.743388,SD,7.0,6.0,9.0,9.0,6.5,7.375
2614,SPEARFISH REGIONAL HOSPITAL (430048),2015,Acute Care,Voluntary non-profit - Private,29.0,44.497887,-103.861136,SD,,,6.0,6.0,,6.0
2615,RAPID CITY REGIONAL HOSPITAL (430077),2015,Acute Care,Voluntary non-profit - Private,406.0,44.05861,-103.224964,SD,7.0,3.0,8.0,8.0,5.0,6.05
2616,PHS INDIAN HOSPITAL AT PINE RIDGE (430081),2015,Acute Care,Government - Federal,45.0,,,SD,,,6.0,6.0,,6.0
2617,PHS INDIAN HOSPITAL AT EAGLE BUTTE (430083),2015,Acute Care,Government - Federal,8.0,,,SD,,,7.0,7.0,,7.0
2618,PHS INDIAN HOSPITAL AT ROSEBUD (430084),2015,Acute Care,Government - Federal,35.0,43.255335,-100.842121,SD,,,7.0,7.0,,7.0
2619,SIOUXLAND SURGERY CENTER LIMITED PARTNERSHIP (430089),2015,Acute Care,Proprietary,39.0,42.504753,-96.496816,SD,,,4.0,4.0,,4.0
2620,SIOUX FALLS SPECIALTY HOSPITAL LLP (430090),2015,Acute Care,Proprietary,32.0,43.534829,-96.714388,SD,,,3.0,3.0,,3.0
2621,BLACK HILLS SURGICAL HOSPITAL LLP (430091),2015,Acute Care,Physician,26.0,44.046035,-103.222912,SD,,,9.0,9.0,,9.0
2622,DAKOTA PLAINS SURGICAL CENTER LLP (430092),2015,Acute Care,Physician,15.0,,,SD,,,4.0,4.0,,4.0
2623,SAME DAY SURGERY CENTER LLC (430093),2015,Acute Care,Proprietary,6.0,44.05919,-103.229102,SD,,,4.0,4.0,,4.0
2624,AVERA HEART HOSPITAL OF SOUTH DAKOTA (430095),2015,Acute Care,Proprietary,53.0,43.489922,-96.780906,SD,4.0,3.0,3.0,3.0,3.5,3.325
2625,LEWIS AND CLARK SPECIALTY HOSPITAL (430096),2015,Acute Care,Physician,10.0,,,SD,,,5.0,5.0,,5.0
2626,SANFORD ABERDEEN MEDICAL CENTER (430097),2015,Acute Care,Voluntary non-profit - Private,48.0,45.46214,-98.447237,SD,,,4.0,4.0,,4.0
2627,UNICOI COUNTY MEMORIAL HOSPITAL (440001),2015,Acute Care,Voluntary non-profit - Private,62.0,36.121365,-82.445621,TN,,,3.0,3.0,,3.0
2628,JACKSON-MADISON COUNTY GENERAL HOSPITAL (440002),2015,Acute Care,Government - Hospital District or Authority,662.0,35.63954,-88.831973,TN,8.0,4.0,3.0,3.0,6.0,4.95
2629,SUMNER REGIONAL MEDICAL CENTER (440003),2015,Acute Care,Proprietary,158.0,36.391117,-86.434341,TN,5.0,5.0,6.0,6.0,5.0,5.35
2630,TRISTAR SKYLINE MEDICAL CENTER (440006),2015,Acute Care,Voluntary non-profit - Private,355.0,36.245301,-86.756463,TN,5.0,8.0,1.0,1.0,6.5,4.575
2631,UNITED REGIONAL MEDICAL CENTER (440007),2015,Acute Care,Physician,57.0,35.497932,-86.078141,TN,,,5.0,5.0,,5.0
2632,HENDERSON COUNTY COMMUNITY HOSPITAL (440008),2015,Acute Care,Proprietary,36.0,35.654195,-88.398838,TN,,,4.0,4.0,,4.0
2633,CUMBERLAND MEDICAL CENTER (440009),2015,Acute Care,Voluntary non-profit - Private,99.0,35.942713,-85.023007,TN,4.0,10.0,1.0,1.0,7.0,4.9
2634,WAYNE MEDICAL CENTER (440010),2015,Acute Care,Voluntary non-profit - Other,30.0,35.325355,-87.757533,TN,,,6.0,6.0,,6.0
2635,BLOUNT MEMORIAL HOSPITAL (440011),2015,Acute Care,Government - Local,294.0,35.754975,-83.958602,TN,3.0,3.0,4.0,4.0,3.0,3.35
2636,WELLMONT BRISTOL REGIONAL MEDICAL CENTER (440012),2015,Acute Care,Government - Hospital District or Authority,293.0,,,TN,3.0,5.0,5.0,5.0,4.0,4.35
2637,THE UNIVERSITY OF TN MEDICAL CENTER (440015),2015,Acute Care,Voluntary non-profit - Private,608.0,35.93826,-83.946678,TN,9.0,2.0,10.0,10.0,5.5,7.075
2638,BAPTIST MEMORIAL HOSPITAL HUNTINGDON (440016),2015,Acute Care,Voluntary non-profit - Private,60.0,36.023041,-88.413492,TN,,,5.0,5.0,,5.0
2639,WELLMONT HOLSTON VALLEY MEDICAL CENTER (440017),2015,Acute Care,Voluntary non-profit - Private,342.0,36.553005,-82.55426,TN,9.0,6.0,5.0,5.0,7.5,6.625
2640,SYCAMORE SHOALS HOSPITAL (440018),2015,Acute Care,Voluntary non-profit - Private,121.0,36.343941,-82.249623,TN,1.0,1.0,2.0,2.0,1.0,1.35
2641,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI (440020),2015,Acute Care,Proprietary,95.0,35.19129,-87.004322,TN,1.0,,6.0,6.0,1.0,2.75
2642,"LAUGHLIN MEMORIAL HOSPITAL, INC (440025)",2015,Acute Care,Voluntary non-profit - Private,230.0,,,TN,1.0,,5.0,5.0,1.0,2.4
2643,WILLIAMSON MEDICAL CENTER (440029),2015,Acute Care,Government - Hospital District or Authority,190.0,35.916684,-86.817047,TN,2.0,5.0,6.0,6.0,3.5,4.375
2644,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION (440030),2015,Acute Care,Government - Local,131.0,36.211948,-83.304345,TN,5.0,7.0,3.0,3.0,6.0,4.95
2645,ROANE MEDICAL CENTER (440031),2015,Acute Care,Government - Hospital District or Authority,50.0,35.888312,-84.554418,TN,5.0,,2.0,2.0,5.0,3.95
2646,WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL (440032),2015,Acute Care,Voluntary non-profit - Private,37.0,36.399736,-83.012943,TN,,,7.0,7.0,,7.0
2647,TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER (440033),2015,Acute Care,Voluntary non-profit - Church,142.0,36.387967,-84.111365,TN,9.0,,7.0,7.0,9.0,8.3
2648,METHODIST MEDICAL CENTER OF OAK RIDGE (440034),2015,Acute Care,Voluntary non-profit - Private,208.0,36.023397,-84.2439,TN,8.0,7.0,4.0,4.0,7.5,6.275
2649,GATEWAY MEDICAL CENTER (440035),2015,Acute Care,Government - Hospital District or Authority,261.0,36.580414,-87.268485,TN,10.0,9.0,6.0,6.0,9.5,8.275
2650,VANDERBILT UNIVERSITY HOSPITAL (440039),2015,Acute Care,Voluntary non-profit - Private,1019.0,36.142832,-86.800174,TN,7.0,5.0,3.0,3.0,6.0,4.95
2651,PERRY COMMUNITY HOSPITAL (440040),2015,Acute Care,Proprietary,34.0,35.591854,-87.862909,TN,,,6.0,6.0,,6.0
2652,TRISTAR HORIZON MEDICAL CENTER (440046),2015,Acute Care,Proprietary,119.0,36.07212,-87.374808,TN,4.0,9.0,3.0,3.0,6.5,5.275
2653,BAPTIST MEMORIAL HOSPITAL (440048),2015,Acute Care,Voluntary non-profit - Private,808.0,35.130758,-89.861022,TN,7.0,8.0,10.0,10.0,7.5,8.375
2654,METHODIST HEALTHCARE MEMPHIS HOSPITALS (440049),2015,Acute Care,Voluntary non-profit - Church,1358.0,35.137088,-90.019145,TN,7.0,3.0,8.0,8.0,5.0,6.05
2655,TAKOMA REGIONAL HOSPITAL (440050),2015,Acute Care,Voluntary non-profit - Private,121.0,36.175393,-82.790893,TN,1.0,,4.0,4.0,1.0,2.05
2656,MCNAIRY REGIONAL HOSPITAL (440051),2015,Acute Care,Proprietary,28.0,,,TN,,,3.0,3.0,,3.0
2657,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2015,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,10.0,4.0,4.0,4.0,7.0,5.95
