,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
3754,FISHER COUNTY HOSPITAL DISTRICT (451313),2016,Critical Access,Government - Hospital District or Authority,12.0,32.834342,-100.435419,TX,,,,,,,,,,,,,72.0,87.0,,,81.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
3755,MADISON ST JOSEPH HEALTH CENTER (451316),2016,Critical Access,Voluntary non-profit - Church,19.0,30.942046,-95.909956,TX,,,,,,,,,,,,,87.0,105.0,,,89.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,
3756,MOTHER FRANCES HOSPITAL JACKSONVILLE (451319),2016,Critical Access,Voluntary non-profit - Private,22.0,31.937954,-95.249429,TX,,,,,,,,,,,,,,,,,97.0,251.0,,,,,,,,,,,43.0,461.0,,,188.0,464.0,,,,,,,,
3757,BAYSIDE COMMUNITY HOSPITAL (451320),2016,Critical Access,Government - Local,14.0,29.753012,-94.68685,TX,,,0.0,431.0,,,,,,,,,,,,,100.0,38.0,,,0.0,2535.0,,,,,,,120.0,38.0,85.0,393.0,124.0,38.0,,,,,,,,
3758,GRIMES ST JOSEPH HEALTH CENTER (451322),2016,Critical Access,Voluntary non-profit - Private,18.0,30.392895,-96.077168,TX,,,,,,,,,,,,,100.0,110.0,,,100.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
3759,ROLLINS BROOK COMMUNITY HOSPITAL (451323),2016,Critical Access,Voluntary non-profit - Church,25.0,31.07233,-98.185644,TX,94.0,79.0,17.0,417.0,96.0,89.0,98.0,62.0,,,,,82.0,144.0,,,97.0,199.0,,,1.0,6217.0,7.0,85.0,,,,,80.0,356.0,104.0,372.0,231.0,361.0,36.0,72.0,,,,,,
3760,MEDINA REGIONAL HOSPITAL (451330),2016,Critical Access,Government - Hospital District or Authority,25.0,29.335247,-99.133416,TX,,,24.0,92.0,,,,,,,,,98.0,262.0,,,66.0,89.0,,,1.0,11448.0,,,,,,,,,140.0,78.0,,,52.0,33.0,3.0,209.0,,,,
3761,MARTIN COUNTY HOSPITAL DISTRICT (451333),2016,Critical Access,Government - Hospital District or Authority,20.0,,,TX,,,,,,,,,,,,,,,,,33.0,66.0,,,,,,,,,,,121.0,16.0,,,192.0,16.0,,,,,,,,
3762,W J MANGOLD MEMORIAL HOSPITAL (451337),2016,Critical Access,Government - Hospital District or Authority,25.0,34.126621,-101.441788,TX,,,,,,,,,,,,,92.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763,HASKELL MEMORIAL HOSPITAL (451341),2016,Critical Access,Government - Hospital District or Authority,25.0,,,TX,,,,,,,,,,,,,,,,,52.0,52.0,,,,,,,,,,,5.0,56.0,,,120.0,59.0,,,,,,,,
3764,MITCHELL COUNTY HOSPITAL DISTRICT (451342),2016,Critical Access,Government - Hospital District or Authority,25.0,32.388145,-100.855736,TX,100.0,21.0,12.0,431.0,,,,,,,,,,,,,95.0,134.0,,,,,12.0,24.0,,,,,45.0,211.0,55.0,396.0,143.0,211.0,33.0,32.0,,,,,,
3765,ELECTRA MEMORIAL HOSPITAL (451343),2016,Critical Access,Government - Hospital District or Authority,19.0,34.018455,-98.923874,TX,,,25.0,142.0,,,,,,,,,63.0,252.0,,,95.0,103.0,,,0.0,2582.0,,,,,,,28.0,66.0,104.0,121.0,151.0,67.0,,,,,,,,
3766,HANSFORD COUNTY HOSPITAL (451344),2016,Critical Access,Government - Hospital District or Authority,21.0,36.190475,-101.200127,TX,100.0,12.0,14.0,310.0,,,,,,,,,99.0,240.0,,,91.0,22.0,,,,,5.0,11.0,,,,,10.0,27.0,98.0,264.0,132.0,33.0,44.0,23.0,,,,,,
3767,YOAKUM COMMUNITY HOSPITAL (451346),2016,Critical Access,Voluntary non-profit - Private,24.0,29.30662,-97.130306,TX,,,,,,,,,,,,,65.0,264.0,,,81.0,120.0,,,,,,,,,,,58.0,88.0,,,229.0,88.0,,,,,,,,
3768,COLEMAN COUNTY MEDICAL CENTER COMPANY (451347),2016,Critical Access,Government - Hospital District or Authority,25.0,31.828626,-99.425238,TX,,,,,,,,,,,,,81.0,125.0,,,96.0,251.0,,,,,,,,,,,53.0,388.0,,,185.0,388.0,,,,,,,,
3769,PLAINS MEMORIAL HOSPITAL (451350),2016,Critical Access,Government - Hospital District or Authority,17.0,34.555591,-102.315764,TX,89.0,18.0,6.0,140.0,,,,,,,,,85.0,130.0,,,80.0,41.0,,,1.0,2004.0,16.0,18.0,,,,,15.0,61.0,132.0,116.0,142.0,76.0,,,,,,,,
3770,CRANE COUNTY HOSPITAL DISTRICT (451353),2016,Critical Access,Government - Hospital District or Authority,23.0,31.390565,-102.349373,TX,,,20.0,344.0,,,,,,,,,55.0,53.0,,,48.0,33.0,,,1.0,1475.0,,,,,,,32.0,14.0,96.0,293.0,125.0,15.0,68.0,12.0,,,,,,
3771,HAMILTON HOSPITAL (451354),2016,Critical Access,Government - Hospital District or Authority,24.0,33.369669,-98.76463,TX,100.0,13.0,12.0,126.0,,,,,,,,,73.0,143.0,,,,,,,,,12.0,14.0,,,,,,,126.0,114.0,,,,,,,,,,
3772,COLLINGSWORTH GENERAL HOSPITAL (451355),2016,Critical Access,Proprietary,14.0,34.84911,-100.212015,TX,,,25.0,207.0,,,,,,,,,,,,,67.0,82.0,,,0.0,1258.0,,,,,,,15.0,96.0,125.0,193.0,161.0,102.0,,,,,,,,
3773,MEMORIAL MEDICAL CENTER (451356),2016,Critical Access,Government - Local,25.0,28.619885,-96.63063,TX,,,11.0,98.0,,,,,,,,,85.0,356.0,,,97.0,33.0,,,1.0,9950.0,5.0,11.0,,,,,,,155.0,85.0,,,44.0,21.0,,,,,,
3774,SABINE COUNTY HOSPITAL (451361),2016,Critical Access,Proprietary,25.0,,,TX,,,,,,,,,,,,,,,,,92.0,105.0,,,,,,,,,,,16.0,118.0,,,196.0,121.0,,,,,,,,
3775,JACKSON HEALTHCARE CENTER (451363),2016,Critical Access,Government - Hospital District or Authority,25.0,28.969388,-96.634839,TX,88.0,25.0,19.0,2998.0,,,,,,,,,,,,,58.0,36.0,,,1.0,4177.0,10.0,26.0,,,,,58.0,63.0,86.0,3436.0,197.0,75.0,51.0,29.0,,,,,,
3776,OTTO KAISER MEMORIAL HOSPITAL (451364),2016,Critical Access,Government - Hospital District or Authority,25.0,28.80425,-97.856642,TX,90.0,30.0,,,,,,,,,,,71.0,227.0,,,94.0,34.0,,,2.0,9308.0,10.0,30.0,,,,,36.0,367.0,,,208.0,368.0,55.0,21.0,,,,,,
3777,SETON HIGHLAND LAKES (451365),2016,Critical Access,Voluntary non-profit - Private,25.0,,,TX,96.0,195.0,11.0,393.0,73.0,51.0,94.0,50.0,,,,,79.0,395.0,,,97.0,283.0,,,3.0,15825.0,9.0,197.0,,,34.0,11.0,56.0,495.0,150.0,313.0,210.0,514.0,35.0,43.0,,,,,,
3778,EAST TEXAS MEDICAL CENTER PITTSBURG (451367),2016,Critical Access,Voluntary non-profit - Other,25.0,33.02843,-94.962966,TX,,,,,,,,,,,,,85.0,272.0,,,81.0,304.0,,,,,,,,,,,45.0,346.0,,,224.0,475.0,,,,,,,,
3779,GOLDEN PLAINS COMMUNITY HOSPITAL (451369),2016,Critical Access,Proprietary,25.0,35.653834,-101.409041,TX,,,,,,,,,,,,,59.0,288.0,,,57.0,391.0,,,,,,,,,,,43.0,396.0,,,240.0,402.0,,,,,,,,
3780,TMC- BONHAM HOSPITAL (451370),2016,Critical Access,Government - Hospital District or Authority,24.0,33.57813,-96.167479,TX,,,,,,,,,,,,,79.0,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781,SETON EDGAR B DAVIS HOSPITAL (451371),2016,Critical Access,Government - Federal,24.0,29.67253,-97.654254,TX,100.0,29.0,15.0,384.0,,,100.0,15.0,,,,,86.0,263.0,,,100.0,211.0,,,2.0,10076.0,5.0,30.0,,,,,45.0,318.0,114.0,356.0,194.0,467.0,,,,,,,,
3782,WARD MEMORIAL HOSPITAL (451373),2016,Critical Access,Government - Local,24.0,31.59397,-102.884583,TX,,,,,,,,,,,,,53.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3783,LIBERTY DAYTON REGIONAL MEDICAL CENTER (451375),2016,Critical Access,Proprietary,25.0,30.068515,-94.797888,TX,92.0,38.0,20.0,226.0,,,,,,,,,,,,,,,,,5.0,9658.0,9.0,39.0,,,,,,,120.0,242.0,,,68.0,52.0,,,,,,
3784,LAVACA MEDICAL CENTER (451376),2016,Critical Access,Government - Hospital District or Authority,25.0,29.457145,-96.939877,TX,,,,,,,,,,,,,99.0,168.0,,,85.0,156.0,,,,,,,,,,,65.0,293.0,,,180.0,293.0,,,,,,,,
3785,REEVES COUNTY HOSPITAL DISTRICT (451377),2016,Critical Access,Government - Local,25.0,31.401575,-103.512831,TX,75.0,16.0,,,0.0,58.0,,,,,,,79.0,245.0,,,,,,,3.0,8133.0,24.0,16.0,,,,,,,,,,,,,,,,,,
3786,BIG BEND REGIONAL MEDICAL CENTER (451378),2016,Critical Access,Proprietary,25.0,30.383811,-103.67214,TX,100.0,38.0,19.0,429.0,,,,,,,,,95.0,182.0,,,99.0,246.0,,,1.0,4736.0,9.0,41.0,,,,,86.0,296.0,133.0,383.0,264.0,296.0,42.0,70.0,3.0,29.0,,,,
3787,CORYELL MEMORIAL HEALTHCARE SYSTEM (451379),2016,Critical Access,Government - Hospital District or Authority,25.0,31.433152,-97.778822,TX,92.0,80.0,55.0,595.0,,,,,,,,,96.0,587.0,,,89.0,310.0,,,,,16.0,93.0,,,,,48.0,466.0,194.0,530.0,295.0,467.0,72.0,71.0,,,,,,
3788,EAST TEXAS MEDICAL CENTER QUITMAN (451380),2016,Critical Access,Voluntary non-profit - Private,25.0,32.796155,-95.445296,TX,90.0,105.0,32.0,342.0,88.0,68.0,73.0,75.0,,,,,86.0,204.0,,,93.0,271.0,,,1.0,12012.0,3.0,107.0,,,,,75.0,456.0,153.0,369.0,257.0,483.0,78.0,112.0,,,,,,
3789,GOODALL WITCHER HOSPITAL (451385),2016,Critical Access,Government - Hospital District or Authority,25.0,31.777153,-97.588431,TX,,,,,,,,,,,,,76.0,258.0,,,73.0,152.0,,,,,,,,,,,55.0,84.0,,,206.0,92.0,,,,,,,,
3790,UTAH VALLEY HOSPITAL (460001),2016,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,,,26.0,410.0,99.0,105.0,100.0,73.0,,,,,99.0,5357.0,0.0,27.0,100.0,496.0,,,2.0,49249.0,,,,,,,74.0,391.0,157.0,389.0,229.0,391.0,44.0,227.0,3.0,120.0,95.0,37.0,98.0,61.0
3791,SALT LAKE REGIONAL MEDICAL CENTER (460003),2016,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,,,28.0,495.0,88.0,24.0,,,,,,,100.0,815.0,,,97.0,343.0,,,1.0,11438.0,,,,,,,132.0,221.0,146.0,440.0,294.0,221.0,30.0,26.0,12.0,42.0,,,100.0,11.0
3792,MCKAY DEE HOSPITAL (460004),2016,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,,,27.0,408.0,96.0,106.0,95.0,81.0,,,53.0,17.0,98.0,4249.0,0.0,22.0,95.0,482.0,,,1.0,65399.0,,,,,,,77.0,447.0,154.0,381.0,245.0,448.0,62.0,334.0,1.0,136.0,94.0,35.0,91.0,129.0
3793,OGDEN REGIONAL MEDICAL CENTER (460005),2016,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,,,10.0,476.0,88.0,124.0,93.0,99.0,,,,,98.0,1737.0,,,97.0,518.0,,,1.0,25119.0,,,,,,,50.0,530.0,132.0,444.0,195.0,541.0,47.0,123.0,1.0,82.0,,,91.0,45.0
3794,LDS HOSPITAL (460006),2016,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,100.0,55.0,19.0,409.0,96.0,84.0,100.0,76.0,,,,,97.0,2166.0,,,98.0,472.0,,,1.0,24880.0,8.0,55.0,,,33.0,14.0,69.0,286.0,162.0,337.0,257.0,287.0,46.0,54.0,4.0,75.0,,,89.0,36.0
3795,CEDAR CITY HOSPITAL (460007),2016,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,98.0,62.0,17.0,399.0,96.0,72.0,93.0,72.0,,,,,97.0,732.0,,,100.0,286.0,,,1.0,18409.0,6.0,65.0,,,42.0,11.0,65.0,267.0,123.0,387.0,224.0,273.0,48.0,88.0,0.0,43.0,,,100.0,30.0
3796,UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND CLINICS (460009),2016,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,,,62.0,218.0,67.0,81.0,92.0,153.0,,,,,100.0,12911.0,0.0,53.0,96.0,481.0,,,1.0,51585.0,,,,,,,79.0,282.0,218.0,345.0,334.0,289.0,43.0,149.0,5.0,58.0,,,94.0,85.0
3797,INTERMOUNTAIN MEDICAL CENTER (460010),2016,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,,,23.0,408.0,96.0,79.0,100.0,72.0,,,25.0,12.0,96.0,7358.0,0.0,44.0,97.0,528.0,,,2.0,88827.0,,,,,,,73.0,509.0,204.0,389.0,252.0,511.0,50.0,173.0,1.0,145.0,89.0,63.0,92.0,108.0
3798,CASTLEVIEW HOSPITAL (460011),2016,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,100.0,83.0,7.0,419.0,90.0,105.0,100.0,88.0,86.0,14.0,,,98.0,518.0,,,99.0,257.0,,,1.0,13664.0,4.0,87.0,21.0,14.0,,,28.0,298.0,104.0,387.0,166.0,298.0,29.0,79.0,2.0,50.0,,,100.0,14.0
3799,MOUNTAIN VIEW HOSPITAL (460013),2016,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,,,7.0,471.0,94.0,105.0,100.0,50.0,,,73.0,11.0,80.0,936.0,,,99.0,386.0,,,0.0,15605.0,,,,,,,53.0,361.0,131.0,429.0,175.0,359.0,32.0,94.0,0.0,69.0,,,,
3800,MOUNTAIN WEST MEDICAL CENTER (460014),2016,Acute Care,Proprietary,36.0,,,UT,96.0,84.0,16.0,429.0,95.0,77.0,88.0,42.0,,,92.0,13.0,77.0,471.0,,,100.0,260.0,,,1.0,15768.0,6.0,88.0,,,,,71.0,351.0,146.0,397.0,238.0,351.0,44.0,118.0,0.0,47.0,,,,
3801,LOGAN REGIONAL HOSPITAL (460015),2016,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,97.0,38.0,10.0,387.0,88.0,72.0,92.0,60.0,,,53.0,17.0,99.0,1635.0,,,95.0,413.0,,,1.0,26142.0,12.0,38.0,,,,,100.0,360.0,153.0,387.0,268.0,364.0,48.0,235.0,0.0,100.0,,,96.0,25.0
3802,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2016,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,91.0,44.0,8.0,416.0,96.0,109.0,98.0,55.0,,,18.0,11.0,94.0,342.0,,,96.0,256.0,,,1.0,9567.0,10.0,46.0,,,,,31.0,315.0,83.0,403.0,164.0,322.0,32.0,52.0,1.0,68.0,,,,
3803,UINTAH BASIN MEDICAL CENTER (460019),2016,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,86.0,50.0,22.0,386.0,82.0,60.0,18.0,49.0,,,,,87.0,820.0,,,85.0,266.0,,,1.0,2404.0,5.0,50.0,,,,,59.0,592.0,102.0,306.0,186.0,593.0,52.0,62.0,3.0,73.0,,,,
3804,DIXIE REGIONAL MEDICAL CENTER (460021),2016,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,,,25.0,407.0,99.0,72.0,94.0,72.0,,,,,99.0,3680.0,0.0,15.0,96.0,539.0,,,1.0,48579.0,,,,,,,75.0,539.0,161.0,387.0,232.0,545.0,53.0,202.0,0.0,99.0,95.0,22.0,100.0,44.0
3805,AMERICAN FORK HOSPITAL (460023),2016,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,96.0,45.0,18.0,403.0,100.0,72.0,100.0,74.0,,,75.0,12.0,98.0,1374.0,,,100.0,413.0,,,1.0,31533.0,6.0,48.0,,,30.0,14.0,66.0,277.0,142.0,378.0,217.0,277.0,41.0,261.0,2.0,89.0,,,100.0,15.0
3806,SEVIER VALLEY MEDICAL CENTER (460026),2016,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,98.0,46.0,27.0,406.0,79.0,70.0,100.0,66.0,,,,,99.0,279.0,,,98.0,229.0,,,3.0,7594.0,9.0,47.0,,,,,46.0,256.0,128.0,374.0,206.0,259.0,44.0,59.0,3.0,38.0,,,,
3807,ASHLEY REGIONAL MEDICAL CENTER (460030),2016,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,96.0,57.0,5.0,436.0,97.0,101.0,88.0,40.0,,,,,99.0,410.0,,,99.0,207.0,,,6.0,1299.0,1.0,58.0,,,,,52.0,274.0,103.0,395.0,180.0,274.0,23.0,83.0,4.0,49.0,,,,
3808,GARFIELD MEMORIAL HOSPITAL (460033),2016,Acute Care,Voluntary non-profit - Other,41.0,,,UT,100.0,19.0,9.0,250.0,69.0,26.0,,,,,,,99.0,183.0,,,89.0,147.0,,,0.0,2336.0,7.0,19.0,,,,,30.0,190.0,110.0,257.0,155.0,208.0,36.0,21.0,,,,,,
3809,BEAVER VALLEY HOSPITAL (460035),2016,Acute Care,Government - Local,49.0,,,UT,67.0,12.0,21.0,774.0,67.0,60.0,59.0,17.0,,,,,92.0,156.0,,,36.0,45.0,,,0.0,1717.0,12.0,12.0,,,,,1.0,86.0,114.0,783.0,118.0,86.0,42.0,25.0,,,,,,
3810,BEAR RIVER VALLEY HOSPITAL (460039),2016,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,100.0,32.0,8.0,365.0,93.0,54.0,93.0,15.0,,,,,99.0,218.0,,,96.0,170.0,,,0.0,5534.0,6.0,34.0,,,,,142.0,125.0,98.0,357.0,274.0,127.0,32.0,32.0,0.0,31.0,,,,
3811,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2016,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,,,21.0,841.0,73.0,176.0,69.0,150.0,,,70.0,20.0,89.0,1444.0,,,99.0,684.0,,,1.0,30809.0,,,,,,,47.0,671.0,120.0,793.0,186.0,671.0,40.0,313.0,1.0,73.0,,,,
3812,LAKEVIEW HOSPITAL (460042),2016,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,,,8.0,479.0,,,,,,,,,96.0,993.0,,,98.0,453.0,,,0.0,16934.0,,,,,,,66.0,469.0,130.0,453.0,206.0,471.0,31.0,89.0,2.0,48.0,,,94.0,17.0
3813,OREM COMMUNITY HOSPITAL (460043),2016,Acute Care,Voluntary non-profit - Private,20.0,40.303255,-111.705407,UT,,,18.0,407.0,,,,,,,,,98.0,489.0,,,99.0,150.0,,,1.0,7552.0,,,,,,,,,92.0,392.0,,,33.0,54.0,2.0,42.0,,,,
3814,ALTA VIEW HOSPITAL (460044),2016,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,99.0,70.0,15.0,409.0,100.0,77.0,100.0,72.0,,,,,98.0,918.0,,,100.0,330.0,,,1.0,22180.0,7.0,73.0,,,32.0,11.0,57.0,275.0,158.0,376.0,236.0,276.0,38.0,161.0,4.0,52.0,,,100.0,14.0
3815,ST MARK'S HOSPITAL (460047),2016,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,,,5.0,524.0,72.0,32.0,94.0,17.0,,,,,90.0,2589.0,0.0,19.0,98.0,549.0,,,0.0,42551.0,,,,,,,64.0,588.0,137.0,502.0,198.0,589.0,35.0,134.0,2.0,57.0,100.0,18.0,100.0,67.0
3816,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2016,Acute Care,Voluntary non-profit - Private,38.0,,,UT,,,,,,,,,,,,,97.0,466.0,,,96.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,
3817,JORDAN VALLEY MEDICAL CENTER (460051),2016,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,92.0,26.0,17.0,1703.0,73.0,102.0,54.0,103.0,,,91.0,22.0,93.0,3374.0,0.0,13.0,96.0,1024.0,,,1.0,61748.0,13.0,26.0,,,,,80.0,1022.0,140.0,1560.0,253.0,1022.0,30.0,372.0,6.0,505.0,,,65.0,34.0
3818,TIMPANOGOS REGIONAL HOSPITAL (460052),2016,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,,,8.0,456.0,95.0,101.0,84.0,83.0,,,,,97.0,1027.0,,,99.0,394.0,,,0.0,17646.0,,,,,,,34.0,419.0,121.0,437.0,139.0,421.0,41.0,79.0,0.0,45.0,,,100.0,14.0
3819,CACHE VALLEY  HOSPITAL (460054),2016,Acute Care,Proprietary,25.0,41.775714,-111.823092,UT,,,7.0,346.0,,,,,,,,,97.0,429.0,,,96.0,256.0,,,0.0,3228.0,,,,,,,68.0,99.0,97.0,323.0,215.0,99.0,40.0,26.0,,,,,,
3820,PARK CITY HOSPITAL (460057),2016,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,91.0,44.0,2.0,412.0,94.0,72.0,63.0,51.0,,,,,95.0,712.0,,,98.0,279.0,,,0.0,11484.0,3.0,46.0,,,,,78.0,180.0,134.0,375.0,232.0,180.0,32.0,155.0,0.0,56.0,,,,
3821,RIVERTON HOSPITAL (460058),2016,Acute Care,Voluntary non-profit - Private,88.0,40.522238,-111.979725,UT,98.0,87.0,18.0,409.0,97.0,72.0,100.0,72.0,,,36.0,11.0,98.0,926.0,,,97.0,420.0,,,1.0,28428.0,8.0,88.0,,,35.0,16.0,70.0,326.0,162.0,390.0,256.0,327.0,40.0,188.0,0.0,87.0,,,,
3822,LONE PEAK HOSPITAL (460060),2016,Acute Care,Proprietary,33.0,40.535238,-111.891464,UT,,,4.0,417.0,73.0,83.0,100.0,38.0,,,71.0,14.0,72.0,519.0,,,98.0,245.0,,,0.0,11410.0,,,,,,,36.0,292.0,118.0,382.0,138.0,292.0,26.0,69.0,5.0,39.0,,,,
3823,DELTA COMMUNITY MEDICAL CENTER (461300),2016,Critical Access,Voluntary non-profit - Private,18.0,39.350294,-112.560023,UT,100.0,19.0,30.0,238.0,76.0,49.0,100.0,27.0,,,,,94.0,94.0,,,93.0,112.0,,,1.0,2774.0,13.0,19.0,,,,,26.0,99.0,100.0,254.0,191.0,113.0,62.0,23.0,0.0,15.0,,,,
3824,FILLMORE COMMUNITY HOSPITAL (461301),2016,Critical Access,Voluntary non-profit - Private,16.0,38.954161,-112.339455,UT,,,24.0,271.0,51.0,39.0,,,,,,,98.0,81.0,,,92.0,75.0,,,1.0,1508.0,,,,,,,33.0,57.0,115.0,250.0,188.0,58.0,43.0,13.0,,,,,,
3825,SANPETE VALLEY HOSPITAL - CAH (461303),2016,Critical Access,Voluntary non-profit - Private,18.0,39.531803,-111.461194,UT,95.0,22.0,8.0,401.0,88.0,69.0,100.0,27.0,,,,,96.0,165.0,,,100.0,159.0,,,0.0,4256.0,4.0,24.0,,,,,46.0,153.0,112.0,354.0,234.0,175.0,38.0,40.0,0.0,16.0,,,,
3826,CENTRAL VALLEY MEDICAL CENTER - CAH (461304),2016,Critical Access,Voluntary non-profit - Private,25.0,39.730587,-111.837215,UT,100.0,15.0,22.0,194.0,,,,,,,,,100.0,314.0,,,84.0,269.0,,,1.0,4408.0,13.0,17.0,,,,,,,129.0,198.0,,,34.0,40.0,,,,,,
3827,HEBER VALLEY MEDICAL CENTER (461307),2016,Critical Access,Voluntary non-profit - Private,19.0,40.489047,-111.409218,UT,86.0,21.0,3.0,404.0,90.0,70.0,94.0,18.0,,,,,92.0,262.0,,,92.0,204.0,,,0.0,6433.0,10.0,21.0,,,,,59.0,211.0,113.0,368.0,200.0,216.0,27.0,79.0,0.0,31.0,,,,
3828,SAN JUAN HOSPITAL (461308),2016,Critical Access,Government - Local,22.0,37.873875,-109.350062,UT,,,29.0,203.0,,,,,,,,,91.0,64.0,,,,,,,,,,,,,,,,,101.0,179.0,,,,,,,,,,
