,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
3500,TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH (450135),2021,Acute Care,Voluntary non-profit - Church,648.0,32.73848,-97.339313,TX,81.0,112.0,86.0,37.0,,,,,,,81.0,7754.0,,,1.0,122477.0,,,,,172.0,209.0,0.0,15.0,97.0,95.0,95.0,21.0,90.0,113.0,90.0,59.0
3501,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH (450137),2021,Acute Care,Voluntary non-profit - Private,398.0,32.730288,-97.343729,TX,73.0,44.0,89.0,66.0,,,,,,,96.0,3803.0,,,2.0,45064.0,,,,,207.0,195.0,0.0,69.0,94.0,34.0,,,86.0,44.0,87.0,31.0
3502,ASCENSION SETON SMITHVILLE (450143),2021,Acute Care,Voluntary non-profit - Church,21.0,,,TX,,,86.0,29.0,,,,,,,86.0,105.0,,,1.0,6782.0,,,,,119.0,135.0,,,,,,,,,,
3503,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO (450144),2021,Acute Care,Government - Hospital District or Authority,63.0,32.337424,-102.546866,TX,,,,,,,,,,,87.0,364.0,,,,,,,,,100.0,185.0,0.0,24.0,,,,,,,,
3504,DE TAR HOSPITAL NAVARRO (450147),2021,Acute Care,Proprietary,209.0,28.807549,-97.00021,TX,50.0,36.0,93.0,42.0,,,,,,,68.0,1280.0,,,1.0,45176.0,,,,,118.0,201.0,0.0,26.0,82.0,22.0,,,61.0,36.0,100.0,14.0
3505,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE (450148),2021,Acute Care,Voluntary non-profit - Church,100.0,32.330845,-97.439189,TX,83.0,35.0,100.0,29.0,,,,,,,80.0,774.0,,,2.0,30264.0,,,,,135.0,197.0,0.0,14.0,100.0,29.0,,,83.0,35.0,100.0,21.0
3506,ADVENTHEALTH CENTRAL TEXAS (450152),2021,Acute Care,Voluntary non-profit - Private,208.0,31.11335,-97.799519,TX,93.0,60.0,100.0,309.0,,,,,81.0,16.0,90.0,1253.0,,,,,,,381.0,15.0,144.0,201.0,0.0,90.0,100.0,56.0,,,95.0,60.0,96.0,27.0
3507,VAL VERDE REGIONAL MEDICAL CENTER (450154),2021,Acute Care,Government - Hospital District or Authority,55.0,29.374425,-100.893034,TX,81.0,26.0,86.0,133.0,,,,,58.0,12.0,72.0,696.0,,,5.0,29382.0,,,236.0,38.0,176.0,728.0,2.0,41.0,100.0,22.0,,,85.0,27.0,100.0,20.0
3508,HEREFORD REGIONAL MEDICAL CENTER (450155),2021,Acute Care,Government - Hospital District or Authority,36.0,34.821162,-102.3902,TX,,,6.0,16.0,,,,,,,70.0,244.0,,,,,,,,,102.0,160.0,0.0,30.0,,,,,,,,
3509,GRACE SURGICAL HOSPITAL (450162),2021,Acute Care,Proprietary,92.0,33.548786,-101.869098,TX,,,95.0,196.0,,,,,,,71.0,239.0,,,4.0,8673.0,,,,,91.0,187.0,,,,,,,,,,
3510,CHRISTUS SPOHN HOSPITAL KLEBERG (450163),2021,Acute Care,Voluntary non-profit - Private,58.0,27.491416,-97.849831,TX,69.0,13.0,28.0,39.0,,,,,,,47.0,596.0,,,2.0,22016.0,,,,,190.0,170.0,5.0,22.0,,,,,69.0,13.0,,
3511,METHODIST HOSPITAL SOUTH (450165),2021,Acute Care,Proprietary,67.0,,,TX,76.0,37.0,100.0,21.0,,,,,,,86.0,215.0,,,1.0,20789.0,,,,,124.0,223.0,,,94.0,34.0,,,97.0,37.0,93.0,27.0
3512,MISSION REGIONAL MEDICAL CENTER (450176),2021,Acute Care,Voluntary non-profit - Private,276.0,26.196599,-98.312668,TX,84.0,25.0,100.0,82.0,,,,,,,91.0,1065.0,,,1.0,38051.0,,,,,206.0,176.0,0.0,146.0,100.0,21.0,,,92.0,25.0,,
3513,MEMORIAL HERMANN HOSPITAL SYSTEM (450184),2021,Acute Care,Voluntary non-profit - Private,1303.0,29.812266,-95.430899,TX,42.0,171.0,,,,,,,52.0,50.0,94.0,16754.0,,,,,,,280.0,30.0,194.0,904.0,1.0,136.0,82.0,91.0,91.0,11.0,65.0,171.0,75.0,85.0
3514,BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM (450187),2021,Acute Care,Voluntary non-profit - Private,54.0,30.145082,-96.398937,TX,88.0,32.0,99.0,105.0,,,,,,,96.0,437.0,,,1.0,20474.0,,,,,122.0,185.0,0.0,22.0,93.0,30.0,,,94.0,32.0,100.0,16.0
3515,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME (450193),2021,Acute Care,Voluntary non-profit - Church,674.0,29.707116,-95.39918,TX,55.0,29.0,69.0,62.0,100.0,11.0,,,,,77.0,5924.0,,,2.0,59035.0,,,,,119.0,196.0,,,84.0,19.0,,,79.0,29.0,76.0,17.0
3516,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL (450194),2021,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,77.0,13.0,89.0,65.0,,,,,,,95.0,307.0,,,0.0,12657.0,,,,,106.0,182.0,0.0,18.0,92.0,12.0,,,100.0,13.0,91.0,11.0
3517,PARIS REGIONAL MEDICAL CENTER (450196),2021,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,52.0,54.0,,,,,,,,,90.0,1542.0,,,,,,,186.0,37.0,144.0,983.0,6.0,17.0,88.0,32.0,,,59.0,54.0,100.0,22.0
3518,WADLEY REGIONAL MEDICAL CENTER (450200),2021,Acute Care,Physician,198.0,33.428482,-94.047188,TX,39.0,41.0,100.0,89.0,,,,,,,98.0,1018.0,,,2.0,39340.0,,,,,150.0,183.0,4.0,56.0,73.0,22.0,,,71.0,41.0,70.0,23.0
3519,MEDICAL CITY WEATHERFORD (450203),2021,Acute Care,Proprietary,84.0,32.747472,-97.785369,TX,64.0,33.0,85.0,100.0,,,,,87.0,15.0,82.0,919.0,,,1.0,291.0,,,,,160.0,254.0,4.0,28.0,78.0,27.0,,,88.0,33.0,91.0,22.0
3520,NORTHWEST TEXAS HOSPITAL (450209),2021,Acute Care,Voluntary non-profit - Private,437.0,35.199765,-101.921881,TX,46.0,52.0,92.0,53.0,,,,,,,99.0,3447.0,,,1.0,69139.0,,,,,116.0,190.0,0.0,35.0,68.0,37.0,,,77.0,52.0,90.0,30.0
3521,EAST TEXAS MEDICAL CENTER - CARTHAGE (450210),2021,Acute Care,Voluntary non-profit - Private,43.0,32.167126,-94.346039,TX,,,74.0,39.0,,,,,,,95.0,226.0,,,1.0,9815.0,,,,,93.0,187.0,,,,,,,,,,
3522,CHI ST LUKES HEALTH MEMORIAL LUFKIN (450211),2021,Acute Care,Voluntary non-profit - Private,179.0,31.337324,-94.742481,TX,62.0,34.0,,,,,,,,,88.0,1243.0,,,,,,,233.0,11.0,148.0,174.0,7.0,27.0,92.0,24.0,,,79.0,34.0,86.0,22.0
3523,UNIVERSITY HEALTH SYSTEM (450213),2021,Acute Care,Government - Hospital District or Authority,592.0,29.509488,-98.577062,TX,51.0,186.0,76.0,79.0,,,,,,,100.0,12539.0,,,1.0,95455.0,,,904.0,13.0,292.0,184.0,0.0,26.0,80.0,125.0,81.0,26.0,73.0,186.0,88.0,84.0
3524,HCA HOUSTON HEALTHCARE CONROE (450222),2021,Acute Care,Proprietary,297.0,30.284022,-95.468722,TX,89.0,28.0,100.0,41.0,,,,,,,34.0,2025.0,,,0.0,56046.0,,,199.0,14.0,127.0,227.0,5.0,21.0,96.0,26.0,,,93.0,28.0,100.0,21.0
3525,HENDRICK MEDICAL CENTER (450229),2021,Acute Care,Voluntary non-profit - Private,405.0,32.471553,-99.73118,TX,62.0,50.0,77.0,13.0,100.0,20.0,,,,,99.0,5826.0,,,2.0,80363.0,,,,,150.0,306.0,8.0,86.0,89.0,35.0,,,82.0,50.0,81.0,31.0
3526,BAPTIST ST ANTHONY'S HOSPITAL (450231),2021,Acute Care,Proprietary,415.0,35.195115,-101.91885,TX,75.0,57.0,95.0,63.0,93.0,28.0,,,,,99.0,3799.0,,,1.0,63268.0,,,,,254.0,196.0,0.0,19.0,98.0,44.0,100.0,16.0,82.0,57.0,91.0,32.0
3527,MEMORIAL HOSPITAL (450235),2021,Acute Care,Government - Hospital District or Authority,34.0,29.515895,-97.428868,TX,,,100.0,53.0,,,,,,,82.0,339.0,,,2.0,9097.0,,,208.0,44.0,87.0,1120.0,0.0,22.0,,,,,,,,
3528,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS (450236),2021,Acute Care,Government - Hospital District or Authority,83.0,33.15622,-95.599648,TX,69.0,39.0,100.0,67.0,,,,,,,94.0,641.0,,,1.0,23103.0,,,,,123.0,175.0,3.0,30.0,100.0,27.0,100.0,11.0,85.0,39.0,73.0,22.0
3529,CHRISTUS SANTA ROSA MEDICAL CENTER (450237),2021,Acute Care,Voluntary non-profit - Church,478.0,29.512909,-98.591557,TX,61.0,376.0,,,,,,,93.0,14.0,75.0,3530.0,,,,,,,,,170.0,186.0,7.0,122.0,86.0,288.0,83.0,87.0,81.0,376.0,95.0,283.0
3530,FAITH COMMUNITY HOSPITAL (450241),2021,Acute Care,Government - Hospital District or Authority,16.0,33.230386,-98.166732,TX,,,6.0,17.0,,,,,,,87.0,178.0,,,1.0,3195.0,,,,,153.0,76.0,7.0,29.0,,,,,,,,
3531,BELLVILLE ST JOSEPH HEALTH CENTER (450253),2021,Acute Care,Proprietary,28.0,29.952265,-96.260747,TX,,,49.0,35.0,,,,,,,82.0,141.0,,,1.0,4992.0,,,,,95.0,195.0,,,,,,,,,,
3532,WISE REGIONAL HEALTH SYSTEM (450271),2021,Acute Care,Government - Hospital District or Authority,127.0,33.220263,-97.593107,TX,37.0,41.0,88.0,41.0,,,,,,,65.0,2020.0,,,1.0,27059.0,,,,,188.0,188.0,0.0,21.0,73.0,22.0,,,61.0,41.0,,
3533,CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS (450272),2021,Acute Care,Voluntary non-profit - Private,161.0,29.852359,-97.947738,TX,50.0,52.0,80.0,20.0,,,,,,,89.0,571.0,,,2.0,27401.0,,,328.0,13.0,150.0,196.0,0.0,29.0,77.0,39.0,,,79.0,52.0,94.0,32.0
3534,HARRIS HEALTH SYSTEM (450289),2021,Acute Care,Government - Hospital District or Authority,699.0,29.685422,-95.387094,TX,58.0,165.0,92.0,85.0,100.0,26.0,,,,,93.0,12763.0,,,5.0,171196.0,,,628.0,40.0,276.0,368.0,2.0,108.0,88.0,119.0,88.0,32.0,75.0,165.0,95.0,87.0
3535,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN (450292),2021,Acute Care,Voluntary non-profit - Private,61.0,32.591127,-96.317363,TX,64.0,14.0,93.0,57.0,,,,,,,91.0,407.0,,,2.0,25305.0,,,,,121.0,199.0,,,100.0,12.0,,,86.0,14.0,,
3536,TEXOMA MEDICAL CENTER (450324),2021,Acute Care,Proprietary,331.0,33.711133,-96.586956,TX,59.0,39.0,100.0,74.0,,,,,,,58.0,3257.0,,,1.0,69256.0,,,,,140.0,186.0,1.0,111.0,85.0,27.0,,,69.0,39.0,100.0,18.0
3537,OAKBEND MEDICAL CENTER (450330),2021,Acute Care,Government - Hospital District or Authority,205.0,29.577713,-95.771297,TX,43.0,49.0,97.0,143.0,,,,,73.0,11.0,94.0,2156.0,,,0.0,47357.0,,,,,128.0,177.0,0.0,49.0,64.0,36.0,,,78.0,49.0,93.0,29.0
3538,BAPTIST BEAUMONT HOSPITAL (450346),2021,Acute Care,Voluntary non-profit - Private,392.0,30.068473,-94.120255,TX,79.0,104.0,82.0,68.0,,,,,,,97.0,2667.0,,,5.0,67707.0,,,294.0,42.0,211.0,1231.0,0.0,67.0,96.0,84.0,,,86.0,104.0,89.0,36.0
3539,HUNTSVILLE MEMORIAL HOSPITAL (450347),2021,Acute Care,Voluntary non-profit - Private,96.0,30.69849,-95.55799,TX,40.0,42.0,89.0,44.0,,,,,92.0,12.0,83.0,696.0,,,2.0,26185.0,,,,,184.0,162.0,0.0,22.0,63.0,30.0,,,76.0,42.0,92.0,26.0
3540,FALLS COMMUNITY HOSPITAL AND CLINIC (450348),2021,Acute Care,Voluntary non-profit - Private,39.0,31.30747,-96.893901,TX,,,,,,,,,,,54.0,151.0,,,,,,,,,94.0,190.0,,,,,,,,,,
3541,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2021,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,85.0,41.0,56.0,63.0,,,,,,,79.0,575.0,,,1.0,17617.0,,,,,134.0,202.0,,,90.0,40.0,,,98.0,41.0,100.0,30.0
3542,HUNT REGIONAL MEDICAL CENTER (450352),2021,Acute Care,Government - Hospital District or Authority,172.0,,,TX,42.0,26.0,100.0,75.0,,,,,79.0,28.0,89.0,1574.0,,,1.0,65814.0,,,,,138.0,232.0,0.0,36.0,75.0,20.0,,,85.0,26.0,85.0,13.0
3543,HOUSTON METHODIST HOSPITAL (450358),2021,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,95.0,39.0,100.0,77.0,100.0,56.0,,,,,99.0,17504.0,,,3.0,45513.0,,,430.0,11.0,185.0,188.0,1.0,69.0,100.0,37.0,,,95.0,39.0,100.0,32.0
3544,CHILDRESS REGIONAL MEDICAL CENTER (450369),2021,Acute Care,Government - Hospital District or Authority,38.0,,,TX,,,100.0,18.0,,,,,,,85.0,288.0,,,2.0,5506.0,,,,,111.0,181.0,0.0,13.0,,,,,,,,
3545,COLUMBUS COMMUNITY HOSPITAL (450370),2021,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,,,100.0,15.0,,,,,,,92.0,266.0,,,1.0,7848.0,,,,,152.0,193.0,0.0,19.0,,,,,,,,
3546,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE (450372),2021,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,74.0,43.0,95.0,81.0,,,,,93.0,14.0,97.0,1480.0,,,1.0,26901.0,63.0,12.0,,,200.0,183.0,0.0,14.0,94.0,35.0,,,86.0,44.0,92.0,24.0
3547,DALLAS MEDICAL CENTER (450379),2021,Acute Care,Proprietary,119.0,32.914335,-96.873098,TX,80.0,15.0,72.0,39.0,,,,,,,92.0,481.0,,,1.0,11840.0,,,161.0,15.0,116.0,188.0,,,86.0,14.0,,,93.0,15.0,,
3548,METHODIST HOSPITAL (450388),2021,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,60.0,60.0,91.0,100.0,,,,,93.0,14.0,71.0,10787.0,,,0.0,286438.0,,,197.0,14.0,156.0,229.0,4.0,52.0,77.0,48.0,,,85.0,61.0,91.0,35.0
3549,UT HEALTH EAST TEXAS ATHENS HOSPITAL (450389),2021,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,83.0,46.0,100.0,75.0,70.0,56.0,,,86.0,21.0,96.0,680.0,,,2.0,30009.0,,,,,122.0,185.0,0.0,42.0,100.0,39.0,,,87.0,46.0,97.0,36.0
3550,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON (450395),2021,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,63.0,30.0,100.0,27.0,,,,,12.0,17.0,79.0,351.0,,,2.0,26918.0,,,,,173.0,157.0,8.0,12.0,90.0,21.0,,,70.0,30.0,100.0,17.0
3551,BROWNFIELD REGIONAL MEDICAL CENTER (450399),2021,Acute Care,Government - Hospital District or Authority,28.0,33.187102,-102.26775,TX,,,,,,,,,,,85.0,216.0,,,2.0,4458.0,,,,,94.0,192.0,,,,,,,,,,
3552,PARKVIEW REGIONAL HOSPITAL (450400),2021,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,69.0,13.0,100.0,36.0,,,,,,,94.0,202.0,,,1.0,9373.0,,,,,68.0,188.0,,,,,,,77.0,13.0,,
3553,MEDICAL CENTER OF MCKINNEY (450403),2021,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,62.0,56.0,88.0,17.0,,,,,,,79.0,1666.0,,,0.0,44793.0,,,276.0,18.0,126.0,254.0,0.0,29.0,79.0,47.0,,,86.0,56.0,98.0,42.0
3554,EASTLAND MEMORIAL HOSPITAL (450411),2021,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,15.0,13.0,55.0,29.0,,,,,,,86.0,219.0,,,1.0,8940.0,,,,,144.0,199.0,,,,,,,23.0,13.0,,
3555,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2021,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,85.0,39.0,92.0,39.0,,,,,,,89.0,695.0,,,1.0,23010.0,,,,,129.0,204.0,,,97.0,37.0,,,97.0,39.0,96.0,25.0
3556,BAYLOR SCOTT AND WHITE MEDICAL CENTER UPTOWN (450422),2021,Acute Care,Voluntary non-profit - Private,24.0,32.80453,-96.794757,TX,,,,,,,,,,,96.0,673.0,,,,,,,,,110.0,178.0,,,,,,,,,,
3557,HOUSTON METHODIST BAYTOWN HOSPITAL (450424),2021,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,75.0,65.0,99.0,73.0,94.0,16.0,,,94.0,16.0,99.0,3102.0,,,3.0,61490.0,,,,,202.0,185.0,5.0,109.0,96.0,51.0,100.0,13.0,83.0,65.0,94.0,48.0
3558,ST DAVID'S MEDICAL CENTER (450431),2021,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,73.0,44.0,91.0,35.0,,,,,,,87.0,3566.0,,,1.0,80150.0,,,160.0,17.0,134.0,254.0,2.0,63.0,89.0,37.0,,,89.0,44.0,93.0,30.0
3559,NAVARRO REGIONAL HOSPITAL (450447),2021,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,57.0,63.0,100.0,56.0,,,,,,,55.0,718.0,,,4.0,23652.0,,,154.0,11.0,108.0,189.0,3.0,37.0,83.0,48.0,,,81.0,63.0,93.0,43.0
3560,GLEN ROSE MEDICAL CENTER (450451),2021,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,,,,,,,,,,,90.0,303.0,,,,,,,,,114.0,177.0,,,,,,,,,,
3561,TYLER COUNTY HOSPITAL (450460),2021,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,,,,,,,,,,,89.0,228.0,,,,,,,,,131.0,112.0,,,,,,,,,,
3562,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS (450462),2021,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,80.0,20.0,97.0,63.0,,,,,,,74.0,6010.0,,,2.0,71332.0,,,272.0,12.0,162.0,206.0,3.0,63.0,95.0,19.0,,,100.0,20.0,93.0,15.0
3563,MATAGORDA REGIONAL MEDICAL CENTER (450465),2021,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,40.0,47.0,99.0,114.0,,,,,,,88.0,496.0,,,2.0,19676.0,,,,,136.0,180.0,0.0,36.0,71.0,34.0,64.0,11.0,79.0,48.0,90.0,29.0
3564,WILSON N JONES REGIONAL MEDICAL CENTER (450469),2021,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,63.0,49.0,,,,,,,,,98.0,827.0,,,,,,,,,148.0,170.0,4.0,24.0,97.0,32.0,100.0,16.0,72.0,50.0,91.0,32.0
3565,UT HEALTH EAST TEXAS HENDERSON HOSPITAL (450475),2021,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,36.0,11.0,,,,,,,,,96.0,370.0,,,1.0,14917.0,,,,,134.0,185.0,0.0,19.0,,,,,64.0,11.0,,
3566,WOODLAND HEIGHTS MEDICAL CENTER (450484),2021,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,49.0,51.0,,,,,,,,,45.0,882.0,,,2.0,24939.0,,,,,116.0,200.0,10.0,21.0,76.0,37.0,,,78.0,51.0,88.0,25.0
3567,MEDICAL ARTS HOSPITAL (450489),2021,Acute Care,Government - Hospital District or Authority,22.0,32.750279,-101.96647,TX,,,,,,,,,,,100.0,159.0,,,2.0,6369.0,,,,,111.0,169.0,,,,,,,,,,
3568,STEPHENS MEMORIAL HOSPITAL (450498),2021,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,,,,,,,81.0,16.0,,,76.0,140.0,,,,,,,184.0,33.0,100.0,981.0,,,,,,,,,,
3569,NACOGDOCHES COUNTY HOSPITAL DISTRICT (450508),2021,Acute Care,Government - Hospital District or Authority,137.0,31.613397,-94.649455,TX,25.0,28.0,,,,,,,,,69.0,868.0,,,,,,,,,142.0,174.0,12.0,17.0,67.0,15.0,,,64.0,28.0,80.0,15.0
3570,THE MEDICAL CENTER OF SOUTHEAST TEXAS (450518),2021,Acute Care,Proprietary,218.0,29.934952,-93.985007,TX,27.0,55.0,95.0,140.0,,,,,86.0,21.0,91.0,1717.0,,,1.0,38683.0,,,184.0,14.0,136.0,181.0,0.0,57.0,67.0,24.0,,,62.0,55.0,63.0,27.0
3571,METHODIST RICHARDSON MEDICAL CENTER (450537),2021,Acute Care,Government - Hospital District or Authority,208.0,32.996143,-96.669176,TX,69.0,42.0,100.0,33.0,,,,,,,96.0,1749.0,,,4.0,46113.0,,,266.0,22.0,174.0,188.0,0.0,24.0,94.0,35.0,76.0,17.0,88.0,42.0,93.0,30.0
3572,COVENANT HOSPITAL PLAINVIEW (450539),2021,Acute Care,Voluntary non-profit - Private,49.0,34.207214,-101.731626,TX,36.0,28.0,,,,,,,58.0,12.0,99.0,444.0,,,,,,,,,178.0,176.0,0.0,22.0,,,,,50.0,28.0,71.0,14.0
3573,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE (450563),2021,Acute Care,Voluntary non-profit - Private,297.0,32.9356,-97.093897,TX,90.0,40.0,94.0,17.0,,,,,,,97.0,2510.0,,,1.0,44099.0,,,,,176.0,194.0,4.0,27.0,95.0,39.0,,,98.0,40.0,100.0,32.0
3574,PALO PINTO GENERAL HOSPITAL (450565),2021,Acute Care,Government - Hospital District or Authority,47.0,32.799552,-98.145406,TX,55.0,29.0,,,,,,,,,80.0,563.0,100.0,11.0,0.0,19044.0,,,,,89.0,197.0,0.0,24.0,86.0,21.0,,,79.0,29.0,90.0,21.0
3575,SHANNON MEDICAL CENTER (450571),2021,Acute Care,Voluntary non-profit - Private,341.0,31.464485,-100.43509,TX,59.0,138.0,,,,,,,,,84.0,3503.0,,,,,,,,,161.0,285.0,0.0,17.0,86.0,97.0,94.0,18.0,78.0,138.0,87.0,84.0
3576,CHRISTUS JASPER MEMORIAL HOSPITAL (450573),2021,Acute Care,Government - Local,43.0,30.907639,-94.008533,TX,,,,,,,,,,,100.0,144.0,,,,,,,,,135.0,180.0,,,,,,,,,,
3577,HEMPHILL COUNTY HOSPITAL (450578),2021,Acute Care,Government - Hospital District or Authority,15.0,35.903792,-100.387399,TX,,,100.0,11.0,,,,,,,99.0,167.0,,,0.0,1513.0,,,116.0,15.0,118.0,462.0,,,,,,,,,,
3578,WILBARGER GENERAL HOSPITAL (450584),2021,Acute Care,Government - Hospital District or Authority,38.0,34.159419,-99.31333,TX,83.0,52.0,0.0,36.0,,,,,,,98.0,404.0,,,1.0,8203.0,,,,,91.0,634.0,,,98.0,45.0,,,92.0,52.0,86.0,22.0
3579,SEYMOUR HOSPITAL (450586),2021,Acute Care,Government - Hospital District or Authority,27.0,33.589788,-99.247697,TX,,,,,,,,,,,75.0,134.0,,,0.0,2275.0,,,,,65.0,174.0,,,,,,,,,,
3580,HENDRICK MEDICAL CENTER BROWNWOOD (450587),2021,Acute Care,Proprietary,102.0,31.680211,-98.988158,TX,50.0,38.0,100.0,31.0,,,,,58.0,12.0,98.0,505.0,,,1.0,21859.0,,,,,162.0,199.0,3.0,31.0,88.0,25.0,,,71.0,38.0,89.0,19.0
3581,LAKE GRANBURY MEDICAL CENTER (450596),2021,Acute Care,Proprietary,47.0,32.431845,-97.802729,TX,59.0,56.0,100.0,64.0,,,,,,,86.0,985.0,,,2.0,21549.0,,,,,148.0,195.0,0.0,17.0,77.0,44.0,,,79.0,56.0,100.0,30.0
3582,CUERO REGIONAL HOSPITAL (450597),2021,Acute Care,Government - Hospital District or Authority,47.0,29.112495,-97.281693,TX,87.0,39.0,100.0,27.0,,,,,,,77.0,526.0,,,1.0,9958.0,,,,,124.0,218.0,0.0,12.0,100.0,34.0,,,87.0,39.0,100.0,28.0
3583,HILL COUNTRY MEMORIAL HOSPITAL INC (450604),2021,Acute Care,Voluntary non-profit - Private,62.0,30.262187,-98.880491,TX,72.0,78.0,,,,,,,,,88.0,793.0,,,,,,,237.0,23.0,134.0,732.0,0.0,26.0,92.0,61.0,,,81.0,78.0,98.0,46.0
