,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - non psychiatric/mental health disorders (ED_2_Strata_1 - Electronic Clinical Quality Measure) (Sample),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure),Admit Decision Time to ED Departure Time for Admitted Patients - psychiatric/mental health disorders (ED_2_Strata_2 - Electronic Clinical Quality Measure) (Sample),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure),Anticoagulation Therapy for Atrial Fibrillation/Flutter (STK_3 - Electronic Clinical Quality Measure) (Sample),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure),Antithrombotic Therapy by End of Hospital Day 2 (STK_5 - Electronic Clinical Quality Measure) (Sample),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure),Discharged on Antithrombotic Therapy (STK_2 - Electronic Clinical Quality Measure) (Sample),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure),Discharged on Statin Medication (STK_6 - Electronic Clinical Quality Measure) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination),Healthcare workers given influenza vaccination (IMM_3 - Healthcare Personnel Vaccination) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure),Intensive Care Unit Venous Thromboembolism Prophylaxis (VTE_2 - Electronic Clinical Quality Measure) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination),Percentage of healthcare personnel who completed COVID-19 primary vaccination series (HCP_COVID_19 - Healthcare Personnel Vaccination) (Sample),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure),Safe Use of Opioids - Concurrent Prescribing (SAFE_USE_OF_OPIOIDS - Electronic Clinical Quality Measure) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure),Venous Thromboembolism Prophylaxis (VTE_1 - Electronic Clinical Quality Measure) (Sample)
3303,PRISMA HEALTH GREER MEMORIAL HOSPITAL (420033),2023,Acute Care,Voluntary non-profit - Other,63.0,34.91931,-82.242031,SC,73.0,991.0,,,,,,,52.0,273.0,,,97.0,37.0,90.0,107.0,,,,,74.0,1410.0,,,100.0,280.0,3.0,39187.0,53.0,15.0,396.0,12.0,209.0,406.0,63.2,1177.0,,,44.0,90.0,83.0,24.0,78.0,274.0,89.0,142.0,96.0,1045.0
3304,MUSC HEALTH LANCASTER MEDICAL CENTER (420036),2023,Acute Care,Proprietary,185.0,34.716906,-80.786842,SC,,,,,,,,,71.0,189.0,,,88.0,58.0,82.0,212.0,,,83.0,12.0,76.0,745.0,,,100.0,65.0,1.0,28818.0,91.0,11.0,1164.0,18.0,168.0,356.0,73.2,608.0,18.0,633.0,73.0,66.0,95.0,41.0,86.0,191.0,95.0,131.0,99.0,1361.0
3305,PRISMA HEALTH HILLCREST HOSPITAL (420037),2023,Acute Care,Government - Hospital District or Authority,43.0,34.718134,-82.246736,SC,86.0,575.0,,,,,,,60.0,159.0,,,,,93.0,153.0,,,,,66.0,880.0,,,100.0,171.0,6.0,32420.0,50.0,17.0,,,194.0,405.0,58.8,797.0,,,60.0,53.0,86.0,21.0,81.0,161.0,92.0,92.0,99.0,612.0
3306,PRISMA HEALTH LAURENS COUNTY HOSPITAL (420038),2023,Acute Care,Government - Hospital District or Authority,64.0,34.479718,-81.941152,SC,115.0,710.0,,,,,89.0,35.0,69.0,163.0,,,100.0,43.0,96.0,105.0,,,,,71.0,766.0,,,100.0,220.0,2.0,25904.0,,,400.0,22.0,170.0,391.0,61.2,632.0,,,76.0,51.0,97.0,29.0,80.0,164.0,95.0,102.0,97.0,794.0
3307,CHEROKEE MEDICAL CENTER (420043),2023,Acute Care,Voluntary non-profit - Private,90.0,35.090092,-81.635753,SC,,,,,,,,,51.0,45.0,,,,,97.0,67.0,,,80.0,20.0,44.0,535.0,,,97.0,138.0,4.0,26745.0,,,266.0,11.0,147.0,370.0,70.5,348.0,,,50.0,18.0,,,80.0,45.0,100.0,22.0,,
3308,KERSHAWHEALTH (420048),2023,Acute Care,Proprietary,186.0,34.253164,-80.589579,SC,,,,,,,,,43.0,81.0,,,,,94.0,69.0,,,,,99.0,836.0,,,99.0,263.0,3.0,25999.0,63.0,11.0,351.0,23.0,168.0,493.0,67.8,724.0,18.0,533.0,48.0,25.0,,,78.0,81.0,78.0,50.0,98.0,831.0
3309,CONWAY MEDICAL CENTER (420049),2023,Acute Care,Voluntary non-profit - Private,227.0,33.786524,-79.002854,SC,,,,,,,97.0,39.0,58.0,96.0,96.0,49.0,98.0,48.0,99.0,128.0,,,70.0,20.0,97.0,1855.0,,,84.0,685.0,5.0,51135.0,,,307.0,16.0,165.0,412.0,89.1,2401.0,20.0,1124.0,47.0,45.0,75.0,12.0,89.0,96.0,96.0,51.0,82.0,1834.0
3310,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE (420051),2023,Acute Care,Voluntary non-profit - Private,521.0,34.195931,-79.758784,SC,,,,,,,83.0,187.0,55.0,92.0,85.0,188.0,88.0,180.0,89.0,240.0,,,,,93.0,9161.0,,,90.0,1792.0,6.0,69026.0,,,525.0,16.0,286.0,344.0,87.6,8591.0,,,56.0,27.0,100.0,13.0,76.0,93.0,87.0,54.0,,
3311,NEWBERRY COUNTY MEMORIAL HOSPITAL (420053),2023,Acute Care,Voluntary non-profit - Other,70.0,34.289433,-81.604915,SC,,,,,,,,,59.0,56.0,,,,,98.0,65.0,,,,,96.0,672.0,,,92.0,118.0,3.0,19349.0,,,169.0,26.0,96.0,445.0,99.6,556.0,,,65.0,26.0,,,86.0,56.0,98.0,40.0,97.0,422.0
3312,MUSC HEALTH MARION MEDICAL CENTER (420055),2023,Acute Care,Proprietary,146.0,34.189232,-79.321945,SC,,,,,,,,,81.0,179.0,96.0,25.0,96.0,25.0,98.0,86.0,,,68.0,22.0,88.0,432.0,,,93.0,178.0,2.0,19258.0,,,354.0,20.0,140.0,347.0,84.2,235.0,19.0,280.0,89.0,55.0,98.0,42.0,88.0,179.0,95.0,122.0,,
3313,BON SECOURS-ST FRANCIS XAVIER HOSPITAL (420065),2023,Acute Care,Voluntary non-profit - Private,188.0,32.810751,-80.042264,SC,78.0,1784.0,110.0,81.0,,,,,64.0,95.0,,,99.0,74.0,98.0,84.0,,,92.0,12.0,96.0,1562.0,,,97.0,288.0,3.0,46454.0,34.0,12.0,232.0,16.0,182.0,425.0,99.0,1347.0,,,79.0,24.0,88.0,16.0,83.0,95.0,87.0,60.0,82.0,2028.0
3314,LAKE CITY COMMUNITY HOSPITAL (420066),2023,Acute Care,Government - Hospital District or Authority,27.0,33.88037,-79.759089,SC,,,,,,,,,,,,,,,,,,,,,75.0,312.0,,,,,8.0,12958.0,,,162.0,17.0,95.0,573.0,89.9,277.0,,,,,,,,,,,,
3315,BEAUFORT COUNTY MEMORIAL HOSPITAL (420067),2023,Acute Care,Voluntary non-profit - Other,195.0,32.417244,-80.688546,SC,,,,,,,,,74.0,173.0,97.0,67.0,99.0,67.0,97.0,219.0,,,60.0,20.0,93.0,2305.0,,,95.0,202.0,3.0,43308.0,,,399.0,13.0,208.0,476.0,93.5,2071.0,,,80.0,40.0,80.0,15.0,87.0,173.0,91.0,130.0,93.0,2054.0
3316,TRMC OF ORANGEBURG & CALHOUN (420068),2023,Acute Care,Government - Local,285.0,,,SC,,,,,,,99.0,75.0,61.0,127.0,97.0,75.0,100.0,75.0,94.0,68.0,,,83.0,12.0,84.0,2120.0,,,,,8.0,41463.0,87.0,27.0,424.0,14.0,230.0,371.0,86.6,1958.0,15.0,649.0,85.0,40.0,100.0,29.0,85.0,127.0,72.0,81.0,,
3317,PRISMA HEALTH TUOMEY HOSPITAL (420070),2023,Acute Care,Voluntary non-profit - Private,241.0,33.923496,-80.344356,SC,102.0,2115.0,88.0,32.0,,,90.0,77.0,54.0,118.0,,,92.0,76.0,93.0,70.0,,,74.0,19.0,84.0,1806.0,,,98.0,404.0,6.0,52158.0,67.0,23.0,884.0,18.0,200.0,402.0,79.4,1560.0,,,63.0,38.0,95.0,19.0,73.0,118.0,90.0,71.0,96.0,2419.0
3318,SELF REGIONAL HEALTHCARE (420071),2023,Acute Care,Voluntary non-profit - Private,342.0,34.175362,-82.157868,SC,100.0,1562.0,112.0,35.0,,,,,47.0,359.0,96.0,133.0,98.0,130.0,,,,,57.0,23.0,100.0,2706.0,,,98.0,810.0,2.0,50641.0,,,284.0,19.0,184.0,376.0,91.1,2342.0,,,52.0,149.0,85.0,60.0,79.0,359.0,84.0,201.0,94.0,2618.0
3319,HAMPTON REGIONAL MEDICAL CENTER (420072),2023,Acute Care,Voluntary non-profit - Private,32.0,32.855258,-81.087692,SC,,,,,,,,,29.0,28.0,,,,,45.0,67.0,,,13.0,15.0,75.0,329.0,,,90.0,131.0,5.0,10186.0,,,,,167.0,341.0,87.6,293.0,16.0,166.0,,,,,54.0,28.0,75.0,12.0,85.0,435.0
3320,LEXINGTON MEDICAL CENTER (420073),2023,Acute Care,Government - Hospital District or Authority,446.0,34.004403,-81.114361,SC,,,,,,,,,68.0,225.0,99.0,317.0,99.0,308.0,79.0,58.0,,,67.0,12.0,68.0,5455.0,,,97.0,1558.0,4.0,100892.0,,,178.0,18.0,216.0,384.0,93.1,5227.0,,,73.0,70.0,89.0,38.0,82.0,225.0,93.0,110.0,96.0,7169.0
3321,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL (420078),2023,Acute Care,Government - State,822.0,34.829156,-82.319204,SC,108.0,7509.0,157.0,163.0,,,93.0,350.0,48.0,387.0,,,97.0,438.0,88.0,261.0,,,90.0,20.0,87.0,9052.0,,,99.0,3118.0,3.0,113785.0,,,606.0,33.0,215.0,386.0,76.7,7917.0,,,44.0,165.0,89.0,45.0,76.0,387.0,95.0,192.0,97.0,7351.0
3322,TRIDENT MEDICAL CENTER (420079),2023,Acute Care,Proprietary,425.0,32.975128,-80.072274,SC,285.0,7331.0,170.0,644.0,,,92.0,186.0,83.0,140.0,,,,,99.0,100.0,,,100.0,13.0,35.0,3931.0,,,99.0,807.0,1.0,153254.0,,,405.0,21.0,139.0,423.0,78.3,3185.0,,,78.0,27.0,100.0,20.0,92.0,141.0,94.0,88.0,90.0,6170.0
3323,HILTON HEAD REGIONAL MEDICAL CENTER (420080),2023,Acute Care,Proprietary,98.0,32.21932,-80.7125,SC,,,,,,,,,54.0,92.0,93.0,86.0,,,100.0,21.0,,,100.0,14.0,74.0,732.0,,,89.0,240.0,3.0,22774.0,,,305.0,19.0,185.0,455.0,89.0,718.0,19.0,771.0,62.0,29.0,77.0,13.0,82.0,92.0,80.0,51.0,87.0,1813.0
3324,AIKEN REGIONAL MEDICAL CENTER (420082),2023,Acute Care,Proprietary,255.0,33.56989,-81.765071,SC,,,,,,,96.0,76.0,60.0,117.0,,,95.0,86.0,86.0,79.0,,,69.0,13.0,57.0,1298.0,,,98.0,325.0,3.0,42372.0,,,386.0,32.0,214.0,375.0,84.5,1656.0,,,67.0,30.0,93.0,15.0,77.0,117.0,88.0,52.0,92.0,2136.0
3325,GRAND STRAND REGIONAL MEDICAL CENTER (420085),2023,Acute Care,Proprietary,312.0,33.754763,-78.817079,SC,383.0,8328.0,141.0,444.0,,,89.0,231.0,59.0,83.0,,,,,81.0,21.0,,,,,31.0,2645.0,,,100.0,2485.0,1.0,107614.0,,,131.0,13.0,150.0,397.0,69.6,2536.0,,,39.0,18.0,,,94.0,83.0,72.0,53.0,96.0,5141.0
3326,PRISMA HEALTH BAPTIST (420086),2023,Acute Care,Voluntary non-profit - Private,359.0,34.007227,-81.033748,SC,291.0,1785.0,,,,,89.0,73.0,49.0,77.0,,,92.0,79.0,93.0,81.0,,,,,75.0,2408.0,,,98.0,570.0,8.0,34298.0,,,323.0,45.0,160.0,376.0,72.9,2352.0,,,58.0,24.0,,,68.0,78.0,88.0,33.0,95.0,2202.0
3327,ROPER HOSPITAL (420087),2023,Acute Care,Proprietary,359.0,32.782372,-79.948734,SC,67.0,2098.0,58.0,26.0,,,,,76.0,58.0,,,100.0,76.0,94.0,72.0,,,100.0,11.0,90.0,5085.0,,,98.0,763.0,1.0,63996.0,,,119.0,15.0,94.0,421.0,98.7,4393.0,,,100.0,17.0,77.0,13.0,83.0,58.0,97.0,38.0,78.0,3557.0
3328,EAST COOPER MEDICAL CENTER (420089),2023,Acute Care,Proprietary,131.0,32.820997,-79.849613,SC,,,,,,,,,64.0,74.0,,,,,96.0,57.0,,,,,87.0,742.0,,,97.0,148.0,1.0,14139.0,,,149.0,13.0,142.0,415.0,91.7,1022.0,14.0,1010.0,86.0,21.0,86.0,14.0,74.0,74.0,93.0,44.0,97.0,598.0
3329,MUSC HEALTH FLORENCE MEDICAL CENTER (420091),2023,Acute Care,Proprietary,362.0,34.158829,-79.754236,SC,,,,,,,,,72.0,154.0,94.0,104.0,96.0,102.0,50.0,156.0,,,,,89.0,2193.0,,,96.0,562.0,2.0,37414.0,,,581.0,15.0,222.0,383.0,82.2,1768.0,17.0,1516.0,81.0,69.0,95.0,41.0,85.0,154.0,94.0,88.0,,
3330,TIDELANDS WACCAMAW COMMUNITY HOSPITAL (420098),2023,Acute Care,Voluntary non-profit - Private,148.0,,,SC,243.0,1765.0,234.0,32.0,,,85.0,47.0,50.0,115.0,98.0,61.0,100.0,61.0,95.0,242.0,,,91.0,22.0,99.0,1440.0,,,,,5.0,28103.0,54.0,19.0,,,217.0,388.0,90.9,1860.0,19.0,1004.0,64.0,42.0,80.0,20.0,78.0,115.0,79.0,63.0,,
3331,NH Beaufort (42009F),2023,Acute Care (DOD),Department of Defense,,,,,,,,,,,,,,,,,,,100.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,COASTAL CAROLINA HOSPITAL (420101),2023,Acute Care,Proprietary,41.0,32.314817,-81.055429,SC,,,,,,,,,67.0,94.0,93.0,46.0,,,97.0,95.0,,,82.0,28.0,90.0,582.0,,,99.0,160.0,2.0,32812.0,58.0,15.0,134.0,12.0,117.0,465.0,87.3,610.0,12.0,445.0,64.0,33.0,79.0,14.0,88.0,94.0,94.0,63.0,97.0,542.0
3333,PRISMA HEALTH  PATEWOOD HOSPITAL (420102),2023,Acute Care,Government - Hospital District or Authority,58.0,34.852735,-82.326115,SC,,,,,,,,,,,,,,,81.0,262.0,,,,,64.0,1002.0,,,,,,,,,,,,,48.6,848.0,,,,,,,,,,,99.0,72.0
3334,PELHAM MEDICAL CENTER (420103),2023,Acute Care,Government - Hospital District or Authority,48.0,34.86351,-82.217661,SC,,,,,,,97.0,33.0,49.0,55.0,96.0,45.0,,,71.0,28.0,,,50.0,14.0,60.0,993.0,,,100.0,119.0,2.0,33415.0,,,,,174.0,384.0,76.3,642.0,,,41.0,17.0,,,76.0,55.0,100.0,23.0,97.0,1021.0
3335,MOUNT PLEASANT HOSPITAL (420104),2023,Acute Care,Voluntary non-profit - Private,84.0,32.878021,-79.766199,SC,45.0,632.0,,,,,,,70.0,56.0,,,,,95.0,93.0,,,,,99.0,789.0,,,98.0,185.0,1.0,17955.0,43.0,11.0,,,114.0,435.0,98.2,560.0,,,64.0,14.0,,,88.0,56.0,92.0,38.0,94.0,734.0
3336,MCLEOD LORIS  HOSPITAL (420105),2023,Acute Care,Voluntary non-profit - Private,180.0,34.057697,-78.897796,SC,,,,,,,91.0,34.0,68.0,91.0,100.0,27.0,100.0,26.0,65.0,146.0,,,71.0,38.0,92.0,1902.0,,,93.0,422.0,3.0,69437.0,36.0,24.0,,,134.0,360.0,85.5,1730.0,,,74.0,23.0,,,83.0,92.0,89.0,57.0,,
3337,PRISMA HEALTH BAPTIST PARKRIDGE (420106),2023,Acute Care,Voluntary non-profit - Private,76.0,,,SC,173.0,1125.0,,,,,,,57.0,77.0,,,,,,,,,36.0,14.0,56.0,1013.0,,,99.0,340.0,7.0,30932.0,51.0,11.0,280.0,14.0,180.0,392.0,51.8,1024.0,,,65.0,26.0,,,74.0,77.0,95.0,38.0,97.0,1088.0
3338,MCLEOD HEALTH CHERAW (420107),2023,Acute Care,Voluntary non-profit - Private,52.0,34.695372,-79.918096,SC,,,,,,,,,46.0,84.0,,,,,90.0,67.0,,,79.0,19.0,94.0,490.0,,,80.0,200.0,1.0,19080.0,,,298.0,14.0,149.0,338.0,83.3,436.0,,,48.0,31.0,77.0,13.0,76.0,84.0,87.0,47.0,,
3339,UNION MEDICAL CENTER (420108),2023,Acute Care,Voluntary non-profit - Other,35.0,34.711438,-81.628668,SC,39.0,83.0,,,,,,,,,,,,,,,,,,,66.0,356.0,,,,,1.0,18187.0,,,274.0,12.0,115.0,365.0,76.2,234.0,21.0,91.0,,,,,,,,,90.0,261.0
3340,MCLEOD HEALTH CLARENDON (420109),2023,Acute Care,Voluntary non-profit - Private,52.0,33.687866,-80.211767,SC,,,,,,,,,67.0,36.0,,,,,96.0,50.0,,,72.0,18.0,97.0,530.0,,,86.0,94.0,7.0,21251.0,,,282.0,18.0,232.0,338.0,90.3,521.0,,,,,,,86.0,36.0,81.0,16.0,,
3341,ROPER ST FRANCIS HOSPITAL-BERKELEY INC (420110),2023,Acute Care,Voluntary non-profit - Private,46.0,,,SC,49.0,822.0,,,,,,,72.0,71.0,,,97.0,33.0,100.0,17.0,,,83.0,12.0,97.0,861.0,,,94.0,265.0,3.0,40256.0,42.0,15.0,136.0,15.0,124.0,424.0,98.2,607.0,,,74.0,19.0,91.0,11.0,87.0,71.0,90.0,49.0,79.0,607.0
3342,ABBEVILLE AREA MEDICAL CENTER (421301),2023,Critical Access,Government - Local,24.0,34.156125,-82.380174,SC,,,,,,,,,,,,,,,,,,,,,58.0,388.0,,,,,,,,,,,110.0,381.0,83.1,396.0,,,,,,,,,,,,
3343,EDGEFIELD COUNTY HEALTHCARE AN AFFILIATE OF SELF R (421304),2023,Critical Access,Government - Local,25.0,33.777444,-81.929835,SC,,,,,,,,,,,,,,,,,,,,,97.0,185.0,,,,,,,,,78.0,12.0,77.0,374.0,90.9,154.0,,,,,,,,,,,87.0,30.0
3344,"PRAIRIE LAKES HEALTHCARE SYSTEM, INC (430005)",2023,Acute Care,Voluntary non-profit - Private,81.0,44.910837,-97.120812,SD,,,,,,,,,80.0,80.0,,,,,100.0,63.0,,,73.0,11.0,79.0,766.0,,,,,1.0,13271.0,,,175.0,14.0,121.0,339.0,87.4,835.0,,,88.0,33.0,91.0,22.0,90.0,81.0,97.0,58.0,,
3345,BROOKINGS HEALTH SYSTEM (430008),2023,Acute Care,Government - Local,128.0,44.307751,-96.768199,SD,,,,,,,,,70.0,74.0,,,,,92.0,63.0,,,,,99.0,496.0,,,,,0.0,9732.0,,,120.0,31.0,96.0,449.0,86.6,396.0,19.0,150.0,71.0,31.0,72.0,18.0,95.0,74.0,93.0,57.0,,
3346,AVERA SACRED HEART HOSPITAL (430012),2023,Acute Care,Voluntary non-profit - Private,267.0,42.872573,-97.406945,SD,,,,,,,,,88.0,107.0,,,,,96.0,75.0,72.0,18.0,92.0,13.0,94.0,941.0,,,,,0.0,9976.0,,,156.0,439.0,120.0,7851.0,88.5,768.0,14.0,425.0,95.0,39.0,91.0,23.0,93.0,107.0,99.0,75.0,,
3347,AVERA QUEEN OF PEACE (430013),2023,Acute Care,Voluntary non-profit - Church,148.0,43.713842,-98.007325,SD,,,,,,,,,94.0,88.0,,,,,99.0,97.0,,,,,90.0,697.0,,,,,0.0,7379.0,,,119.0,299.0,101.0,5671.0,92.7,641.0,14.0,221.0,96.0,27.0,79.0,14.0,99.0,89.0,100.0,57.0,,
3348,AVERA ST LUKES (430014),2023,Acute Care,Voluntary non-profit - Church,224.0,45.461795,-98.47935,SD,,,,,,,,,65.0,129.0,96.0,25.0,,,,,,,,,83.0,987.0,,,,,0.0,9306.0,,,146.0,16.0,132.0,379.0,84.3,897.0,15.0,481.0,73.0,51.0,78.0,23.0,81.0,129.0,97.0,62.0,,
3349,AVERA ST MARY'S HOSPITAL (430015),2023,Acute Care,Voluntary non-profit - Private,110.0,44.361268,-100.342235,SD,,,,,,,,,64.0,75.0,,,,,94.0,160.0,,,,,81.0,642.0,,,,,1.0,6729.0,,,164.0,110.0,114.0,1960.0,92.4,542.0,14.0,209.0,63.0,19.0,,,79.0,75.0,98.0,40.0,,
3350,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER (430016),2023,Acute Care,Voluntary non-profit - Private,600.0,43.534607,-96.711304,SD,,,,,86.0,43.0,97.0,136.0,50.0,338.0,99.0,173.0,98.0,166.0,97.0,594.0,,,,,89.0,7018.0,,,,,1.0,37700.0,36.0,13.0,160.0,16.0,136.0,381.0,93.2,6463.0,22.0,3046.0,49.0,104.0,77.0,35.0,71.0,338.0,95.0,149.0,,
3351,SANFORD USD MEDICAL CENTER (430027),2023,Acute Care,Voluntary non-profit - Other,479.0,43.536678,-96.743388,SD,81.0,5041.0,87.0,79.0,84.0,62.0,93.0,232.0,39.0,95.0,99.0,281.0,91.0,261.0,99.0,91.0,,,,,99.0,12349.0,,,,,4.0,44840.0,,,210.0,20.0,193.0,383.0,92.3,4704.0,,,45.0,33.0,,,69.0,95.0,84.0,44.0,,
3352,MONUMENT HEALTH SPEARFISH HOSPITAL (430048),2023,Acute Care,Voluntary non-profit - Private,29.0,44.497887,-103.861136,SD,,,,,,,,,61.0,51.0,,,,,98.0,61.0,43.0,23.0,38.0,13.0,90.0,643.0,,,97.0,68.0,1.0,9202.0,,,172.0,18.0,116.0,372.0,80.5,493.0,12.0,247.0,67.0,21.0,,,84.0,51.0,87.0,30.0,96.0,200.0
3353,MONUMENT HEALTH RAPID CITY HOSPITAL (430077),2023,Acute Care,Voluntary non-profit - Private,406.0,44.05861,-103.224964,SD,,,,,,,93.0,91.0,44.0,134.0,97.0,106.0,,,79.0,63.0,,,36.0,11.0,88.0,4325.0,,,95.0,1003.0,,,,,220.0,26.0,201.0,379.0,90.3,3034.0,,,54.0,48.0,74.0,19.0,72.0,134.0,84.0,68.0,96.0,4497.0
3354,PHS INDIAN HOSPITAL AT ROSEBUD (430084),2023,Acute Care,Government - Federal,35.0,43.255335,-100.842121,SD,,,,,,,,,8.0,13.0,,,,,,,,,,,91.0,243.0,,,,,,,,,,,,,97.4,181.0,8.0,132.0,,,,,23.0,13.0,,,17.0,647.0
3355,DUNES SURGICAL HOSPITAL (430089),2023,Acute Care,Proprietary,39.0,42.504753,-96.496816,SD,,,,,,,,,,,,,,,99.0,74.0,,,,,70.0,567.0,,,,,,,,,,,,,84.2,441.0,,,,,,,,,,,10.0,196.0
3356,SIOUX FALLS SPECIALTY HOSPITAL (430090),2023,Acute Care,Proprietary,32.0,43.534829,-96.714388,SD,,,,,,,,,,,,,,,93.0,45.0,,,,,95.0,388.0,,,,,,,,,,,,,84.4,367.0,17.0,541.0,,,,,,,,,97.0,198.0
3357,BLACK HILLS SURGICAL HOSPITAL LLP (430091),2023,Acute Care,Physician,26.0,44.046035,-103.222912,SD,,,,,,,,,,,,,,,,,,,,,91.0,608.0,,,,,,,,,,,,,79.2,524.0,,,,,,,,,,,,
3358,SAME DAY SURGERY CENTER LLC (430093),2023,Acute Care,Proprietary,6.0,44.05919,-103.229102,SD,,,,,,,,,,,,,,,98.0,44.0,,,,,100.0,223.0,,,,,,,,,,,,,80.9,52.0,18.0,49.0,,,,,,,,,100.0,44.0
3359,AVERA HEART HOSPITAL OF SOUTH DAKOTA (430095),2023,Acute Care,Proprietary,53.0,43.489922,-96.780906,SD,,,,,,,,,,,,,,,,,,,,,84.0,652.0,,,,,0.0,2902.0,,,130.0,14.0,112.0,251.0,92.0,655.0,12.0,304.0,,,,,,,,,,
3360,SANFORD MEDICAL CENTER ABERDEEN (430097),2023,Acute Care,Voluntary non-profit - Private,48.0,45.46214,-98.447237,SD,,,,,,,,,47.0,32.0,,,,,97.0,34.0,,,,,99.0,725.0,,,,,0.0,7547.0,,,,,126.0,380.0,91.3,290.0,,,,,,,73.0,33.0,94.0,16.0,,
3361,PINE RIDGE IHS HOSPITAL (430098),2023,Acute Care,Government - Federal,45.0,,,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,533.0,7.0,131.0,,,,,,,,,71.0,581.0
3362,MADISON REGIONAL HEALTH SYSTEM (431300),2023,Critical Access,Voluntary non-profit - Private,23.0,43.993021,-97.119752,SD,20.0,181.0,,,,,,,93.0,15.0,,,,,,,,,,,95.0,352.0,,,,,0.0,3278.0,,,116.0,17.0,111.0,285.0,,,54.0,41.0,,,,,100.0,15.0,93.0,14.0,61.0,223.0
3363,FAULKTON AREA MEDICAL CENTER (431301),2023,Critical Access,Voluntary non-profit - Private,12.0,45.029999,-99.13157,SD,,,,,,,,,,,,,,,,,,,,,96.0,94.0,,,,,,,,,,,116.0,282.0,,,,,,,,,,,,,70.0,44.0
3364,AVERA MISSOURI RIVER HEALTH CENTER (431302),2023,Critical Access,Voluntary non-profit - Church,60.0,45.013551,-99.948128,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,18.0,115.0,352.0,,,,,,,,,,,,,,
