,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care),Healthcare workers given influenza vaccination (IMM_3 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care),Septic Shock 3-Hour Bundle (SEP_SH_3HR - Sepsis Care) (Sample),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care),Septic Shock 6-Hour Bundle (SEP_SH_6HR - Sepsis Care) (Sample),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care),Severe Sepsis 3-Hour Bundle (SEV_SEP_3HR - Sepsis Care) (Sample),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care),Severe Sepsis 6-Hour Bundle (SEV_SEP_6HR - Sepsis Care) (Sample)
3636,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO (450771),2020,Acute Care,Voluntary non-profit - Private,365.0,33.045125,-96.837073,TX,67.0,153.0,93.0,29.0,97.0,63.0,,,,,,,85.0,3794.0,,,2.0,40844.0,,,294.0,23.0,137.0,652.0,181.0,414.0,9.0,105.0,92.0,116.0,63.0,19.0,86.0,153.0,84.0,101.0
3637,TOPS SURGICAL SPECIALTY HOSPITAL (450774),2020,Acute Care,Physician,16.0,30.018542,-95.444846,TX,,,99.0,227.0,100.0,118.0,,,,,,,,,,,1.0,154.0,,,,,,,,,,,,,,,,,,
3638,KINGWOOD MEDICAL CENTER (450775),2020,Acute Care,Proprietary,420.0,,,TX,70.0,227.0,81.0,59.0,87.0,76.0,,,,,88.0,16.0,67.0,5942.0,,,0.0,85213.0,,,179.0,19.0,86.0,1248.0,108.0,552.0,0.0,60.0,90.0,187.0,65.0,26.0,90.0,227.0,87.0,126.0
3639,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F (450779),2020,Acute Care,Voluntary non-profit - Private,232.0,32.658595,-97.419671,TX,64.0,132.0,100.0,11.0,86.0,14.0,,,,,,,96.0,2565.0,,,2.0,63271.0,46.0,12.0,188.0,15.0,97.0,766.0,159.0,419.0,2.0,56.0,84.0,101.0,57.0,14.0,86.0,133.0,85.0,78.0
3640,METHODIST HOSPITAL AMBULATORY SURGERY (450780),2020,Acute Care,Proprietary,23.0,29.527605,-98.595995,TX,,,,,,,,,,,,,98.0,116.0,,,0.0,802.0,,,,,,,70.0,269.0,,,,,,,,,,
3641,"CORPUS CHRISTI MEDICAL CENTER,THE (450788)",2020,Acute Care,Proprietary,419.0,27.681644,-97.359284,TX,60.0,143.0,77.0,26.0,100.0,34.0,,,,,67.0,18.0,57.0,3096.0,,,1.0,95241.0,,,206.0,20.0,142.0,629.0,129.0,554.0,2.0,155.0,80.0,111.0,67.0,12.0,90.0,143.0,80.0,92.0
3642,CHRISTUS ST MICHAEL HEALTH SYSTEM (450801),2020,Acute Care,Voluntary non-profit - Church,324.0,33.46249,-94.074448,TX,35.0,117.0,88.0,105.0,87.0,83.0,,,,,81.0,37.0,,,,,2.0,57313.0,,,,,140.0,722.0,175.0,385.0,2.0,55.0,73.0,56.0,,,57.0,117.0,72.0,39.0
3643,DOCTORS HOSPITAL TIDWELL (450803),2020,Acute Care,Physician,119.0,29.847222,-95.407991,TX,,,42.0,26.0,,,,,,,,,,,,,9.0,7299.0,,,293.0,41.0,135.0,418.0,220.0,1467.0,,,,,,,,,,
3644,TEXAS ORTHOPEDIC HOSPITAL (450804),2020,Acute Care,Voluntary non-profit - Other,49.0,29.700315,-95.409675,TX,,,,,,,,,,,,,67.0,718.0,,,0.0,302.0,,,,,,,98.0,254.0,,,,,,,,,,
3645,NORTHWEST HILLS SURGICAL HOSPITAL (450808),2020,Acute Care,Physician,8.0,30.350316,-97.751026,TX,,,86.0,148.0,64.0,25.0,,,,,,,43.0,362.0,,,0.0,22.0,,,,,,,,,,,,,,,,,,
3646,NORTH AUSTIN MEDICAL CENTER (450809),2020,Acute Care,Proprietary,370.0,30.412144,-97.708113,TX,83.0,149.0,95.0,19.0,100.0,58.0,,,,,,,78.0,3792.0,,,1.0,89452.0,,,247.0,27.0,89.0,766.0,133.0,558.0,0.0,121.0,97.0,129.0,93.0,27.0,91.0,149.0,94.0,89.0
3647,HOUSTON METHODIST SUGARLAND HOSPITAL (450820),2020,Acute Care,Voluntary non-profit - Private,283.0,29.590539,-95.631886,TX,84.0,106.0,100.0,18.0,100.0,72.0,100.0,16.0,,,95.0,41.0,100.0,2993.0,,,2.0,43058.0,,,,,63.0,819.0,174.0,387.0,0.0,64.0,99.0,92.0,87.0,15.0,91.0,107.0,94.0,69.0
3648,MEDICAL CITY LAS COLINAS (450822),2020,Acute Care,Proprietary,86.0,32.902047,-96.958679,TX,80.0,69.0,100.0,18.0,100.0,74.0,,,,,,,98.0,592.0,,,1.0,29083.0,,,192.0,12.0,76.0,570.0,124.0,487.0,0.0,53.0,94.0,62.0,81.0,16.0,90.0,69.0,100.0,53.0
3649,CORNERSTONE REGIONAL HOSPITAL (450825),2020,Acute Care,Proprietary,14.0,26.263096,-98.199164,TX,,,50.0,40.0,,,,,,,,,,,,,4.0,79.0,,,,,,,167.0,39.0,,,,,,,,,,
3650,KELL WEST REGIONAL HOSPITAL (450827),2020,Acute Care,Proprietary,41.0,33.872376,-98.579707,TX,71.0,14.0,,,,,,,,,,,,,,,2.0,7501.0,,,,,84.0,258.0,119.0,479.0,,,,,,,71.0,14.0,,
3651,CHRISTUS SPOHN HOSPITAL ALICE (450828),2020,Acute Care,Voluntary non-profit - Private,85.0,27.765508,-98.043713,TX,47.0,106.0,43.0,23.0,42.0,19.0,,,15.0,13.0,81.0,27.0,,,,,2.0,28026.0,,,181.0,11.0,207.0,527.0,151.0,368.0,0.0,20.0,76.0,71.0,,,69.0,106.0,95.0,39.0
3652,SURGERY SPECIALTY HOSPITALS OF AMERICA S E HOUSTON (450831),2020,Acute Care,Proprietary,38.0,29.658717,-95.178161,TX,,,,,,,,,,,,,,,,,2.0,340.0,,,,,90.0,96.0,165.0,107.0,,,,,,,,,,
3653,ENNIS REGIONAL MEDICAL CENTER (450833),2020,Acute Care,Proprietary,53.0,32.308542,-96.642024,TX,53.0,32.0,70.0,63.0,97.0,33.0,,,,,,,83.0,217.0,,,1.0,14974.0,,,109.0,12.0,56.0,475.0,93.0,375.0,,,83.0,23.0,,,78.0,32.0,89.0,19.0
3654,"PHYSICIANS CENTRE,THE (450834)",2020,Acute Care,Proprietary,16.0,30.649585,-96.296515,TX,,,,,,,,,,,,,,,100.0,675.0,4.0,200.0,,,,,,,93.0,165.0,,,,,,,,,,
3655,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN (450840),2020,Acute Care,Government - Federal,58.0,33.115433,-96.671504,TX,81.0,96.0,88.0,60.0,96.0,46.0,,,,,,,83.0,1135.0,,,1.0,22562.0,,,280.0,21.0,119.0,519.0,165.0,404.0,5.0,20.0,94.0,86.0,77.0,22.0,93.0,98.0,96.0,76.0
3656,HOUSTON METHODIST WILLOWBROOK HOSPITAL (450844),2020,Acute Care,Voluntary non-profit - Church,297.0,29.964059,-95.550789,TX,60.0,151.0,28.0,67.0,82.0,67.0,82.0,17.0,,,88.0,40.0,,,,,4.0,55780.0,,,,,83.0,800.0,206.0,387.0,0.0,74.0,88.0,109.0,56.0,16.0,81.0,151.0,86.0,90.0
3657,MEMORIAL HERMANN KATY HOSPITAL (450847),2020,Acute Care,Voluntary non-profit - Private,180.0,29.785918,-95.785657,TX,51.0,145.0,,,97.0,37.0,,,,,71.0,31.0,94.0,3043.0,,,0.0,53440.0,,,,,81.0,833.0,177.0,388.0,3.0,61.0,74.0,107.0,,,76.0,145.0,96.0,69.0
3658,MEMORIAL HERMANN SUGAR LAND HOSPITAL (450848),2020,Acute Care,Voluntary non-profit - Private,124.0,29.56408,-95.68791,TX,48.0,117.0,81.0,16.0,97.0,37.0,,,,,47.0,15.0,95.0,2587.0,,,1.0,43548.0,,,,,95.0,790.0,176.0,389.0,2.0,66.0,75.0,77.0,,,72.0,117.0,87.0,55.0
3659,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS (450851),2020,Acute Care,Proprietary,52.0,32.788288,-96.780663,TX,,,,,,,,,,,,,99.0,1578.0,,,,,,,,,,,,,,,,,,,,,,
3660,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO (450853),2020,Acute Care,Proprietary,68.0,33.10671,-96.837919,TX,76.0,21.0,100.0,30.0,100.0,42.0,,,,,,,99.0,1591.0,,,0.0,13606.0,,,,,8.0,203.0,122.0,382.0,2.0,185.0,89.0,18.0,,,90.0,21.0,93.0,14.0
3661,HARLINGEN MEDICAL CENTER (450855),2020,Acute Care,Proprietary,112.0,26.157323,-97.676968,TX,84.0,112.0,100.0,33.0,94.0,54.0,,,,,,,,,,,1.0,37904.0,,,188.0,14.0,223.0,1049.0,122.0,441.0,0.0,246.0,94.0,101.0,91.0,11.0,94.0,112.0,94.0,70.0
3662,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL (450856),2020,Acute Care,Proprietary,30.0,29.613207,-98.478493,TX,,,,,,,,,,,,,92.0,302.0,,,1.0,99.0,,,,,,,95.0,70.0,,,,,,,,,,
3663,SUGAR LAND SURGICAL HOSPITAL LLP (450860),2020,Acute Care,Proprietary,6.0,29.590609,-95.636696,TX,,,100.0,83.0,100.0,84.0,,,,,,,98.0,243.0,,,1.0,222.0,,,,,,,,,,,,,,,,,,
3664,ST LUKE'S THE WOODLANDS HOSPITAL (450862),2020,Acute Care,Voluntary non-profit - Private,214.0,30.20566,-95.460773,TX,70.0,111.0,94.0,62.0,87.0,84.0,,,,,,,95.0,2095.0,,,1.0,43395.0,,,,,140.0,791.0,141.0,391.0,1.0,157.0,92.0,85.0,85.0,13.0,84.0,111.0,86.0,58.0
3665,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL (450864),2020,Acute Care,Physician,19.0,32.329248,-95.299467,TX,,,,,,,,,,,,,,,,,0.0,1036.0,,,,,76.0,37.0,132.0,251.0,,,,,,,,,,
3666,ASCENSION SETON  SOUTHWEST (450865),2020,Acute Care,Voluntary non-profit - Private,25.0,30.22696,-97.88951,TX,,,93.0,175.0,92.0,73.0,,,,,,,,,,,1.0,14808.0,46.0,15.0,173.0,21.0,63.0,233.0,148.0,337.0,,,,,,,,,,
3667,SETON NORTHWEST HOSPITAL (450867),2020,Acute Care,Voluntary non-profit - Private,106.0,30.40482,-97.74501,TX,69.0,80.0,94.0,264.0,78.0,156.0,,,,,0.0,12.0,,,,,1.0,34107.0,36.0,23.0,269.0,18.0,72.0,587.0,184.0,374.0,5.0,22.0,89.0,62.0,,,81.0,80.0,95.0,56.0
3668,DOCTORS HOSPITAL AT RENAISSANCE (450869),2020,Acute Care,Proprietary,522.0,26.252424,-98.204109,TX,79.0,780.0,90.0,1132.0,94.0,64.0,91.0,23.0,,,,,95.0,5999.0,,,2.0,45465.0,,,319.0,17.0,173.0,553.0,220.0,464.0,0.0,382.0,91.0,679.0,93.0,121.0,88.0,782.0,98.0,447.0
3669,U S M D HOSPITAL AT ARLINGTON L P (450872),2020,Acute Care,Physician,35.0,32.679151,-97.115971,TX,41.0,17.0,89.0,72.0,92.0,72.0,,,,,,,57.0,765.0,,,3.0,12353.0,,,,,104.0,179.0,130.0,386.0,,,,,,,47.0,17.0,,
3670,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS (450874),2020,Acute Care,Proprietary,20.0,32.912261,-96.948091,TX,,,,,,,,,,,,,,,,,2.0,1765.0,,,,,,,83.0,257.0,,,,,,,,,,
3671,QUAIL CREEK SURGICAL HOSPITAL (450875),2020,Acute Care,Proprietary,35.0,35.210675,-101.913568,TX,,,,,,,,,,,,,,,,,0.0,13.0,,,,,,,,,,,,,,,,,,
3672,LUBBOCK HEART HOSPITAL LP (450876),2020,Acute Care,Proprietary,73.0,33.602527,-101.914287,TX,29.0,14.0,42.0,53.0,95.0,98.0,,,,,,,65.0,1752.0,,,1.0,4239.0,,,,,75.0,138.0,131.0,297.0,,,42.0,12.0,,,86.0,14.0,,
3673,FOUNDATION SURGICAL HOSPITAL OF EL PASO (450877),2020,Acute Care,Proprietary,40.0,31.734985,-106.301578,TX,,,,,,,,,,,,,,,,,,,,,,,,,112.0,502.0,,,,,,,,,,
3674,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH (450880),2020,Acute Care,Voluntary non-profit - Private,32.0,32.725778,-97.346185,TX,,,,,,,,,,,,,,,,,0.0,848.0,,,,,82.0,21.0,107.0,276.0,,,,,,,,,,
3675,BAYLOR MEDICAL CENTER AT TROPHY CLUB (450883),2020,Acute Care,Proprietary,21.0,32.987984,-97.175031,TX,,,,,,,,,,,,,84.0,401.0,,,1.0,2515.0,,,,,54.0,19.0,83.0,253.0,,,,,,,,,,
3676,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL (450885),2020,Acute Care,Voluntary non-profit - Other,118.0,33.115871,-96.769892,TX,92.0,78.0,98.0,58.0,95.0,94.0,,,,,,,100.0,1247.0,,,0.0,16012.0,,,179.0,19.0,77.0,428.0,144.0,382.0,0.0,36.0,97.0,70.0,,,95.0,78.0,100.0,55.0
3677,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE (450888),2020,Acute Care,Government - State,16.0,32.94097,-97.127578,TX,,,,,,,,,,,,,99.0,384.0,,,0.0,977.0,,,,,,,130.0,255.0,,,,,,,,,,
3678,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT (450889),2020,Acute Care,Proprietary,9.0,32.876377,-96.761726,TX,,,,,,,,,,,,,99.0,272.0,,,0.0,49.0,,,,,,,,,,,,,,,,,,
3679,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO (450890),2020,Acute Care,Voluntary non-profit - Other,136.0,33.014361,-96.791185,TX,76.0,86.0,100.0,11.0,89.0,44.0,,,,,,,99.0,2195.0,,,1.0,23947.0,,,,,79.0,798.0,163.0,397.0,,,90.0,72.0,,,86.0,87.0,97.0,62.0
3680,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY (450891),2020,Acute Care,Proprietary,18.0,33.045103,-96.832226,TX,,,96.0,71.0,97.0,219.0,,,,,,,94.0,218.0,,,7.0,101.0,,,,,,,132.0,43.0,,,,,,,,,,
3681,THE HEART HOSPITAL BAYLOR DENTON (450893),2020,Acute Care,Physician,20.0,33.17697,-97.088199,TX,,,,,,,,,,,,,100.0,588.0,,,0.0,1320.0,,,,,78.0,191.0,105.0,247.0,,,,,,,,,,
3682,PARMER COUNTY COMMUNITY HOSPITAL (451300),2020,Critical Access,Voluntary non-profit - Private,25.0,34.643634,-102.721088,TX,,,,,,,,,,,,,91.0,126.0,,,,,,,,,5.0,30.0,146.0,373.0,,,,,,,,,,
3683,LIMESTONE MEDICAL CENTER (451303),2020,Critical Access,Government - Hospital District or Authority,16.0,31.531923,-96.529621,TX,,,,,,,,,,,,,97.0,332.0,,,2.0,6448.0,,,,,45.0,162.0,107.0,261.0,,,,,,,,,,
3684,SCHLEICHER COUNTY MEDICAL CENTER (451304),2020,Critical Access,Proprietary,14.0,30.869869,-100.590393,TX,,,,,,,,,,,,,98.0,61.0,,,,,,,,,0.0,15.0,85.0,361.0,,,,,,,,,,
3685,CHI ST JOSEPH HEALTH BURLESON HOSPITAL (451305),2020,Critical Access,Voluntary non-profit - Church,21.0,30.520307,-96.717714,TX,,,,,,,,,,,,,,,,,,,,,,,58.0,36.0,60.0,351.0,,,,,,,,,,
3686,KIMBLE HOSPITAL (451306),2020,Critical Access,Government - Hospital District or Authority,15.0,30.499194,-99.780254,TX,,,,,,,,,,,,,,,,,,,,,275.0,16.0,30.0,65.0,175.0,372.0,,,,,,,,,,
3687,IRAAN GENERAL HOSPITAL (451307),2020,Critical Access,Government - Hospital District or Authority,14.0,30.914189,-101.906673,TX,,,,,,,,,,,,,,,,,0.0,410.0,,,,,,,,,,,,,,,,,,
3688,SWEENY COMMUNITY HOSPITAL (451311),2020,Critical Access,Government - Hospital District or Authority,14.0,29.048514,-95.691392,TX,23.0,22.0,,,,,,,,,,,71.0,278.0,,,2.0,6093.0,,,260.0,11.0,101.0,180.0,90.0,386.0,,,,,,,45.0,22.0,,
3689,FISHER COUNTY HOSPITAL DISTRICT (451313),2020,Critical Access,Government - Hospital District or Authority,12.0,32.834342,-100.435419,TX,,,,,,,,,,,,,,,,,0.0,1122.0,,,,,14.0,36.0,90.0,383.0,,,,,,,,,,
3690,MADISON ST JOSEPH HEALTH CENTER (451316),2020,Critical Access,Voluntary non-profit - Church,19.0,30.942046,-95.909956,TX,,,,,,,,,,,,,,,,,,,,,,,69.0,24.0,77.0,325.0,,,,,,,,,,
3691,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE (451319),2020,Critical Access,Voluntary non-profit - Private,22.0,31.937954,-95.249429,TX,,,,,,,,,,,95.0,19.0,,,,,,,,,,,51.0,403.0,106.0,371.0,,,,,,,,,,
3692,BAYSIDE COMMUNITY HOSPITAL (451320),2020,Critical Access,Government - Local,14.0,29.753012,-94.68685,TX,,,,,,,,,,,,,,,,,,,,,170.0,15.0,0.0,73.0,97.0,377.0,,,,,,,,,,
3693,GRIMES ST JOSEPH HEALTH CENTER (451322),2020,Critical Access,Voluntary non-profit - Private,18.0,30.392895,-96.077168,TX,,,,,,,,,,,,,,,,,,,,,124.0,11.0,43.0,25.0,72.0,337.0,,,,,,,,,,
3694,ROLLINS BROOK COMMUNITY HOSPITAL (451323),2020,Critical Access,Voluntary non-profit - Church,25.0,31.07233,-98.185644,TX,,,98.0,49.0,99.0,69.0,,,,,,,93.0,133.0,,,,,,,205.0,11.0,89.0,229.0,108.0,392.0,,,,,,,,,,
3695,MEDINA REGIONAL HOSPITAL (451330),2020,Critical Access,Government - Hospital District or Authority,25.0,29.335247,-99.133416,TX,,,,,,,,,,,,,,,,,,,,,136.0,11.0,31.0,303.0,84.0,383.0,0.0,28.0,,,,,,,,
3696,MARTIN COUNTY HOSPITAL DISTRICT (451333),2020,Critical Access,Government - Hospital District or Authority,20.0,,,TX,,,,,,,,,,,,,,,,,,,,,,,43.0,103.0,100.0,386.0,,,,,,,,,,
3697,PARKVIEW HOSPITAL (451334),2020,Critical Access,Government - Hospital District or Authority,15.0,35.439363,-100.270803,TX,,,,,,,,,,,,,93.0,135.0,,,,,,,,,,,,,,,,,,,,,,
3698,W J MANGOLD MEMORIAL HOSPITAL (451337),2020,Critical Access,Government - Hospital District or Authority,25.0,34.126621,-101.441788,TX,,,88.0,16.0,83.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,HASKELL MEMORIAL HOSPITAL (451341),2020,Critical Access,Government - Hospital District or Authority,25.0,,,TX,,,,,,,,,,,,,,,,,,,,,128.0,19.0,14.0,76.0,90.0,378.0,,,,,,,,,,
3700,MITCHELL COUNTY HOSPITAL DISTRICT (451342),2020,Critical Access,Government - Hospital District or Authority,25.0,32.388145,-100.855736,TX,,,,,,,,,,,,,73.0,298.0,,,0.0,3682.0,,,,,33.0,250.0,61.0,391.0,,,,,,,,,,
3701,ELECTRA MEMORIAL HOSPITAL (451343),2020,Critical Access,Government - Hospital District or Authority,19.0,34.018455,-98.923874,TX,,,,,,,,,,,,,,,,,0.0,2423.0,,,,,30.0,157.0,105.0,233.0,,,,,,,,,,
3702,HANSFORD COUNTY HOSPITAL (451344),2020,Critical Access,Government - Hospital District or Authority,21.0,36.190475,-101.200127,TX,,,,,,,,,,,,,,,,,0.0,1710.0,,,,,6.0,35.0,102.0,257.0,,,,,,,,,,
3703,YOAKUM COMMUNITY HOSPITAL (451346),2020,Critical Access,Voluntary non-profit - Private,24.0,29.30662,-97.130306,TX,74.0,27.0,,,,,,,,,,,67.0,267.0,,,,,,,,,52.0,306.0,102.0,338.0,,,95.0,21.0,,,86.0,28.0,86.0,14.0
3704,COLEMAN COUNTY MEDICAL CENTER COMPANY (451347),2020,Critical Access,Government - Hospital District or Authority,25.0,31.828626,-99.425238,TX,,,,,,,,,,,,,,,,,,,,,240.0,13.0,55.0,333.0,115.0,393.0,,,,,,,,,,
3705,PLAINS MEMORIAL HOSPITAL (451350),2020,Critical Access,Government - Hospital District or Authority,17.0,34.555591,-102.315764,TX,,,,,,,,,,,,,89.0,139.0,,,,,,,,,7.0,39.0,129.0,264.0,,,,,,,,,,
3706,CRANE COUNTY HOSPITAL DISTRICT (451353),2020,Critical Access,Government - Hospital District or Authority,23.0,31.390565,-102.349373,TX,,,,,,,,,,,,,,,,,,,,,171.0,13.0,15.0,41.0,107.0,294.0,,,,,,,,,,
3707,HAMILTON HOSPITAL (451354),2020,Critical Access,Government - Hospital District or Authority,24.0,33.369669,-98.76463,TX,,,,,,,,,,,,,87.0,191.0,,,0.0,3447.0,,,,,40.0,75.0,77.0,239.0,,,,,,,,,,
3708,COLLINGSWORTH GENERAL HOSPITAL (451355),2020,Critical Access,Proprietary,14.0,34.84911,-100.212015,TX,,,,,,,,,,,,,,,,,1.0,1175.0,,,,,5.0,66.0,114.0,356.0,,,,,,,,,,
3709,MEMORIAL MEDICAL CENTER (451356),2020,Critical Access,Government - Local,25.0,28.619885,-96.63063,TX,,,,,,,,,,,,,99.0,365.0,,,2.0,8888.0,,,,,,,,,0.0,41.0,,,,,,,,
3710,OCHILTREE GENERAL HOSPITAL (451359),2020,Critical Access,Voluntary non-profit - Church,25.0,36.369691,-100.799798,TX,,,,,,,,,,,,,70.0,190.0,,,1.0,3273.0,,,114.0,23.0,16.0,152.0,77.0,380.0,18.0,22.0,,,,,,,,
3711,SABINE COUNTY HOSPITAL (451361),2020,Critical Access,Proprietary,25.0,,,TX,,,,,,,,,,,,,,,,,0.0,3964.0,,,234.0,17.0,16.0,106.0,115.0,387.0,,,,,,,,,,
3712,JACKSON HEALTHCARE CENTER (451363),2020,Critical Access,Government - Hospital District or Authority,25.0,28.969388,-96.634839,TX,,,,,,,,,,,,,,,,,,,,,207.0,105.0,61.0,123.0,111.0,2721.0,,,,,,,,,,
3713,OTTO KAISER MEMORIAL HOSPITAL (451364),2020,Critical Access,Government - Hospital District or Authority,25.0,28.80425,-97.856642,TX,,,,,,,,,,,,,,,,,1.0,9618.0,,,,,40.0,32.0,,,,,,,,,,,,
3714,ASCENSION SETON HIGHLAND LAKES (451365),2020,Critical Access,Voluntary non-profit - Private,25.0,,,TX,,,95.0,80.0,80.0,80.0,,,,,,,,,,,1.0,11209.0,34.0,12.0,,,57.0,316.0,148.0,280.0,,,,,,,,,,
3715,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL (451367),2020,Critical Access,Voluntary non-profit - Other,25.0,33.02843,-94.962966,TX,77.0,39.0,98.0,48.0,91.0,76.0,,,,,59.0,17.0,97.0,283.0,,,1.0,14091.0,,,,,58.0,506.0,112.0,288.0,,,97.0,31.0,,,87.0,39.0,90.0,29.0
3716,GOLDEN PLAINS COMMUNITY HOSPITAL (451369),2020,Critical Access,Proprietary,25.0,35.653834,-101.409041,TX,,,,,,,,,,,,,47.0,260.0,,,,,,,,,58.0,282.0,,,,,,,,,,,,
3717,TMC- BONHAM HOSPITAL (451370),2020,Critical Access,Government - Hospital District or Authority,24.0,33.57813,-96.167479,TX,,,,,,,,,,,,,94.0,232.0,,,1.0,11897.0,,,173.0,11.0,,,74.0,354.0,,,,,,,,,,
3718,ASCENSION SETON EDGAR B DAVIS (451371),2020,Critical Access,Government - Federal,24.0,29.67253,-97.654254,TX,,,,,94.0,49.0,,,,,,,,,,,1.0,10144.0,49.0,11.0,268.0,17.0,58.0,357.0,122.0,304.0,,,,,,,,,,
3719,MULESHOE AREA MEDICAL CENTER (451372),2020,Critical Access,Proprietary,25.0,34.221029,-102.728458,TX,,,,,,,,,,,,,,,,,,,,,,,0.0,78.0,121.0,363.0,,,,,,,,,,
3720,WARD MEMORIAL HOSPITAL (451373),2020,Critical Access,Government - Local,24.0,31.59397,-102.884583,TX,,,,,,,,,,,,,79.0,145.0,,,,,,,149.0,91.0,,,104.0,2549.0,,,,,,,,,,
3721,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR (451374),2020,Critical Access,Voluntary non-profit - Private,25.0,30.591931,-97.415265,TX,,,,,,,,,,,,,96.0,160.0,,,,,,,,,,,,,,,,,,,,,,
3722,LIBERTY DAYTON REGIONAL MEDICAL CENTER (451375),2020,Critical Access,Proprietary,25.0,30.068515,-94.797888,TX,,,,,,,,,,,,,,,,,5.0,9331.0,,,219.0,13.0,62.0,74.0,140.0,386.0,,,,,,,,,,
3723,LAVACA MEDICAL CENTER (451376),2020,Critical Access,Government - Hospital District or Authority,25.0,29.457145,-96.939877,TX,,,,,,,,,,,73.0,11.0,,,,,,,,,,,62.0,149.0,,,,,,,,,,,,
3724,BIG BEND REGIONAL MEDICAL CENTER (451378),2020,Critical Access,Proprietary,25.0,30.383811,-103.67214,TX,100.0,12.0,100.0,31.0,90.0,20.0,,,,,,,97.0,211.0,,,0.0,5244.0,,,150.0,16.0,63.0,309.0,108.0,382.0,,,100.0,12.0,,,100.0,12.0,100.0,12.0
