,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain),Aspirin at Arrival (OP_4 - Heart Attack or Chest Pain) (Sample),Door to diagnostic eval (OP_20 - Emergency Department),Door to diagnostic eval (OP_20 - Emergency Department) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain),Median Time to Fibrinolysis (OP_1 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Median time to pain med (OP_21 - Emergency Department),Median time to pain med (OP_21 - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample),Thrombolytic Therapy (STK_4 - Stroke Care),Thrombolytic Therapy (STK_4 - Stroke Care) (Sample),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment),Warfarin therapy discharge instructions (VTE_5 - Blood Clot Prevention and Treatment) (Sample)
3880,RIVERSIDE TAPPAHANNOCK HOSPITAL (490084),2017,Acute Care,Voluntary non-profit - Private,67.0,37.900668,-76.877614,VA,95.0,84.0,20.0,443.0,90.0,63.0,100.0,63.0,,,,,95.0,375.0,,,100.0,289.0,,,3.0,20512.0,8.0,85.0,,,,,90.0,450.0,132.0,415.0,291.0,450.0,24.0,65.0,,,,,,
3881,BEDFORD MEMORIAL HOSPITAL (490088),2017,Acute Care,Voluntary non-profit - Private,142.0,37.351563,-79.516415,VA,90.0,122.0,18.0,738.0,98.0,54.0,100.0,172.0,,,79.0,14.0,100.0,437.0,,,100.0,471.0,,,1.0,16310.0,5.0,123.0,,,34.0,12.0,95.0,977.0,113.0,660.0,258.0,981.0,50.0,60.0,,,,,,
3882,CARILION FRANKLIN MEMORIAL HOSPITAL (490089),2017,Acute Care,Voluntary non-profit - Private,37.0,36.994584,-79.889813,VA,99.0,138.0,46.0,386.0,97.0,76.0,84.0,62.0,,,,,75.0,753.0,,,99.0,268.0,,,3.0,19249.0,11.0,138.0,,,,,82.0,572.0,165.0,359.0,277.0,578.0,72.0,68.0,,,,,100.0,12.0
3883,"SOUTHSIDE COMMUNITY HOSPITAL, INC (490090)",2017,Acute Care,Voluntary non-profit - Other,84.0,37.303317,-78.403058,VA,95.0,131.0,30.0,1608.0,98.0,120.0,99.0,187.0,,,55.0,20.0,99.0,843.0,,,100.0,522.0,,,2.0,36777.0,6.0,141.0,,,58.0,19.0,80.0,933.0,149.0,1470.0,262.0,934.0,37.0,101.0,0.0,66.0,,,100.0,14.0
3884,SOUTHAMPTON MEMORIAL HOSPITAL (490092),2017,Acute Care,Proprietary,205.0,36.691171,-76.934942,VA,100.0,23.0,20.0,430.0,100.0,95.0,95.0,42.0,,,,,64.0,614.0,,,100.0,273.0,,,3.0,14700.0,3.0,24.0,,,,,62.0,436.0,125.0,400.0,250.0,437.0,61.0,37.0,0.0,27.0,,,,
3885,SENTARA CAREPLEX HOSPITAL (490093),2017,Acute Care,Voluntary non-profit - Private,193.0,37.056448,-76.392362,VA,91.0,34.0,33.0,6415.0,86.0,90.0,92.0,96.0,,,,,75.0,1477.0,0.0,19.0,98.0,600.0,,,0.0,108562.0,6.0,38.0,,,,,110.0,863.0,128.0,6228.0,354.0,864.0,30.0,57.0,,,,,100.0,61.0
3886,BON SECOURS RICHMOND COMMUNITY HOSPITAL (490094),2017,Acute Care,Voluntary non-profit - Private,101.0,37.540264,-77.406271,VA,92.0,12.0,14.0,382.0,94.0,52.0,,,,,,,93.0,358.0,,,100.0,275.0,,,1.0,33644.0,12.0,13.0,,,,,106.0,226.0,95.0,366.0,245.0,226.0,41.0,53.0,,,,,,
3887,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER (490097),2017,Acute Care,Proprietary,80.0,36.701568,-77.535985,VA,97.0,79.0,14.0,427.0,99.0,148.0,100.0,66.0,,,,,69.0,392.0,,,100.0,284.0,,,1.0,14328.0,5.0,83.0,,,,,49.0,648.0,95.0,385.0,195.0,648.0,51.0,74.0,,,,,,
3888,"COMMUNITY MEMORIAL HEALTHCENTER, INC (490098)",2017,Acute Care,Voluntary non-profit - Private,229.0,36.747656,-78.104106,VA,100.0,142.0,22.0,382.0,100.0,135.0,99.0,670.0,,,,,97.0,1084.0,,,89.0,275.0,,,3.0,22706.0,1.0,162.0,,,,,105.0,555.0,152.0,344.0,295.0,555.0,49.0,193.0,,,,,100.0,24.0
3889,INOVA FAIR OAKS HOSPITAL (490101),2017,Acute Care,Voluntary non-profit - Other,178.0,38.882234,-77.382499,VA,99.0,79.0,16.0,945.0,88.0,66.0,94.0,77.0,,,92.0,13.0,98.0,2469.0,0.0,15.0,95.0,458.0,,,0.0,51193.0,8.0,84.0,,,44.0,22.0,90.0,420.0,143.0,890.0,225.0,420.0,31.0,164.0,1.0,339.0,,,100.0,15.0
3890,RESTON HOSPITAL CENTER (490107),2017,Acute Care,Voluntary non-profit - Private,204.0,38.96189,-77.362657,VA,94.0,16.0,7.0,497.0,95.0,92.0,99.0,98.0,,,83.0,23.0,46.0,3179.0,0.0,18.0,100.0,475.0,,,0.0,53807.0,5.0,17.0,,,,,65.0,630.0,144.0,450.0,214.0,630.0,28.0,199.0,1.0,96.0,100.0,15.0,100.0,69.0
3891,LEWISGALE HOSPITAL MONTGOMERY (490110),2017,Acute Care,Proprietary,91.0,37.185621,-80.408612,VA,,,8.0,473.0,100.0,44.0,100.0,35.0,,,,,94.0,840.0,,,100.0,414.0,,,0.0,28567.0,,,,,,,47.0,640.0,119.0,440.0,196.0,639.0,18.0,54.0,3.0,37.0,,,,
3892,WYTHE COUNTY COMMUNITY HOSPITAL (490111),2017,Acute Care,Proprietary,100.0,36.953297,-81.095069,VA,90.0,106.0,11.0,525.0,5.0,88.0,69.0,105.0,,,,,86.0,414.0,,,95.0,271.0,,,8.0,19400.0,4.0,113.0,,,,,44.0,420.0,105.0,478.0,199.0,420.0,26.0,144.0,9.0,35.0,,,,
3893,CJW MEDICAL CENTER (490112),2017,Acute Care,Proprietary,787.0,37.515832,-77.52488,VA,,,6.0,551.0,100.0,98.0,100.0,99.0,,,,,58.0,5893.0,0.0,40.0,99.0,627.0,,,1.0,137289.0,,,,,,,86.0,923.0,132.0,525.0,246.0,923.0,29.0,328.0,0.0,89.0,100.0,11.0,100.0,95.0
3894,SENTARA NORTHERN VIRGINIA MEDICAL CENTER (490113),2017,Acute Care,Voluntary non-profit - Private,163.0,38.634953,-77.284211,VA,95.0,39.0,38.0,18722.0,96.0,79.0,100.0,72.0,,,,,80.0,1871.0,0.0,17.0,92.0,514.0,,,2.0,78661.0,12.0,39.0,,,,,134.0,646.0,146.0,17843.0,384.0,646.0,72.0,281.0,0.0,184.0,,,100.0,18.0
3895,LONESOME PINE HOSPITAL (490114),2017,Acute Care,Voluntary non-profit - Other,119.0,36.877284,-82.75567,VA,95.0,59.0,23.0,756.0,31.0,129.0,70.0,84.0,,,,,99.0,820.0,,,96.0,506.0,,,0.0,33275.0,10.0,64.0,,,,,53.0,917.0,120.0,709.0,213.0,917.0,64.0,107.0,5.0,20.0,,,88.0,17.0
3896,TWIN COUNTY REGIONAL HOSPITAL (490115),2017,Acute Care,Voluntary non-profit - Private,155.0,36.671813,-80.923814,VA,98.0,173.0,19.0,464.0,44.0,96.0,92.0,96.0,88.0,16.0,88.0,16.0,79.0,808.0,,,98.0,268.0,,,2.0,23217.0,5.0,181.0,22.0,16.0,,,54.0,504.0,116.0,404.0,199.0,504.0,30.0,136.0,0.0,28.0,,,,
3897,LEWISGALE HOSPITAL PULASKI (490116),2017,Acute Care,Proprietary,84.0,37.068744,-80.758807,VA,98.0,64.0,6.0,523.0,96.0,55.0,100.0,74.0,,,79.0,14.0,96.0,494.0,,,100.0,270.0,,,0.0,19456.0,0.0,67.0,,,38.0,12.0,59.0,591.0,121.0,482.0,204.0,594.0,24.0,52.0,,,,,100.0,11.0
3898,CARILION TAZEWELL COMMUNITY HOSPITAL (490117),2017,Acute Care,Voluntary non-profit - Other,48.0,,,VA,94.0,49.0,45.0,376.0,,,,,,,,,71.0,364.0,,,94.0,229.0,,,2.0,9918.0,16.0,49.0,,,,,45.0,547.0,147.0,359.0,237.0,547.0,63.0,37.0,,,,,,
3899,HENRICO DOCTORS' HOSPITAL (490118),2017,Acute Care,Proprietary,765.0,37.604045,-77.537717,VA,,,5.0,512.0,99.0,98.0,98.0,98.0,,,75.0,16.0,87.0,3559.0,0.0,35.0,100.0,607.0,,,0.0,97589.0,,,,,,,57.0,766.0,107.0,484.0,211.0,776.0,24.0,207.0,0.0,94.0,100.0,11.0,100.0,76.0
3900,SENTARA PRINCESS ANNE HOSPITAL (490119),2017,Acute Care,Voluntary non-profit - Other,166.0,36.777194,-76.096738,VA,99.0,70.0,47.0,3909.0,98.0,83.0,98.0,89.0,,,43.0,14.0,81.0,2251.0,6.0,16.0,93.0,543.0,,,3.0,71427.0,7.0,75.0,,,92.0,11.0,99.0,764.0,160.0,3825.0,352.0,770.0,28.0,102.0,2.0,161.0,,,100.0,36.0
3901,CHESAPEAKE GENERAL HOSPITAL (490120),2017,Acute Care,Government - Hospital District or Authority,309.0,36.746111,-76.244828,VA,,,30.0,337.0,95.0,235.0,94.0,776.0,,,52.0,27.0,98.0,2753.0,,,99.0,530.0,,,1.0,77195.0,,,,,,,93.0,752.0,177.0,383.0,300.0,753.0,72.0,176.0,2.0,261.0,,,94.0,32.0
3902,INOVA MOUNT VERNON HOSPITAL (490122),2017,Acute Care,Voluntary non-profit - Private,236.0,38.740184,-77.07479,VA,98.0,81.0,10.0,1236.0,72.0,54.0,97.0,35.0,,,92.0,12.0,94.0,2141.0,0.0,14.0,94.0,576.0,,,0.0,42327.0,6.0,83.0,,,37.0,15.0,149.0,770.0,122.0,1156.0,226.0,770.0,34.0,161.0,,,100.0,11.0,100.0,11.0
3903,LEWISGALE HOSPITAL ALLEGHANY (490126),2017,Acute Care,Voluntary non-profit - Private,109.0,,,VA,99.0,118.0,7.0,445.0,100.0,101.0,100.0,52.0,,,,,80.0,350.0,,,100.0,279.0,,,0.0,15504.0,3.0,118.0,,,,,56.0,506.0,103.0,394.0,203.0,506.0,27.0,56.0,,,,,,
3904,BUCHANAN GENERAL HOSPITAL (490127),2017,Acute Care,Voluntary non-profit - Private,84.0,37.285506,-82.067817,VA,99.0,99.0,20.0,455.0,,,11.0,36.0,100.0,11.0,,,90.0,288.0,,,97.0,280.0,,,1.0,12244.0,3.0,115.0,13.0,11.0,,,51.0,507.0,142.0,409.0,203.0,508.0,61.0,104.0,,,,,,
3905,RIVERSIDE WALTER REED HOSPITAL (490130),2017,Acute Care,Voluntary non-profit - Private,67.0,37.419475,-76.54318,VA,99.0,74.0,37.0,381.0,95.0,64.0,100.0,64.0,,,64.0,14.0,96.0,620.0,,,96.0,286.0,,,1.0,23022.0,8.0,83.0,,,,,123.0,565.0,132.0,359.0,276.0,565.0,38.0,134.0,,,,,100.0,21.0
3906,BON SECOURS ST FRANCIS MEDICAL CENTER (490136),2017,Acute Care,Voluntary non-profit - Church,130.0,37.466398,-77.659056,VA,96.0,26.0,8.0,437.0,95.0,168.0,98.0,225.0,,,,,97.0,1811.0,0.0,19.0,99.0,588.0,,,0.0,52834.0,6.0,30.0,,,,,112.0,688.0,126.0,431.0,251.0,694.0,37.0,138.0,0.0,53.0,59.0,17.0,55.0,20.0
3907,"STAFFORD HOSPITAL, LLC (490140)",2017,Acute Care,Voluntary non-profit - Private,90.0,38.413924,-77.408606,VA,90.0,52.0,33.0,407.0,95.0,77.0,98.0,124.0,,,,,88.0,1289.0,,,87.0,452.0,,,1.0,35165.0,12.0,53.0,,,,,140.0,585.0,176.0,394.0,323.0,588.0,75.0,147.0,0.0,157.0,,,69.0,16.0
3908,SPOTSYLVANIA REGIONAL MEDICAL CENTER (490141),2017,Acute Care,Proprietary,130.0,38.219496,-77.49645,VA,,,6.0,486.0,75.0,20.0,98.0,45.0,,,,,69.0,1108.0,,,99.0,485.0,,,0.0,41858.0,,,,,,,60.0,886.0,144.0,453.0,237.0,889.0,28.0,154.0,0.0,71.0,,,100.0,19.0
3909,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG (490143),2017,Acute Care,Voluntary non-profit - Private,40.0,37.251622,-76.666875,VA,100.0,30.0,30.0,394.0,95.0,19.0,100.0,53.0,,,,,98.0,381.0,,,100.0,336.0,,,1.0,18883.0,8.0,32.0,,,,,62.0,656.0,144.0,387.0,214.0,655.0,32.0,129.0,,,,,,
3910,NOVANT HEALTH UVA HEALTH HAYMARKET MEDICAL CENTER (490144),2017,Acute Care,Voluntary non-profit - Private,55.0,38.822174,-77.641889,VA,98.0,62.0,26.0,474.0,93.0,75.0,90.0,59.0,,,75.0,16.0,98.0,675.0,,,99.0,236.0,,,0.0,24251.0,2.0,63.0,,,,,68.0,267.0,126.0,449.0,258.0,269.0,20.0,122.0,0.0,42.0,,,,
3911,STONESPRINGS HOSPITAL CENTER (490145),2017,Acute Care,Proprietary,124.0,38.941185,-77.544301,VA,94.0,16.0,6.0,221.0,,,,,,,,,,,,,,,,,,,7.0,17.0,,,,,42.0,254.0,92.0,214.0,173.0,254.0,23.0,85.0,0.0,16.0,,,,
3912,BATH COMMUNITY HOSPITAL (491300),2017,Critical Access,Voluntary non-profit - Private,19.0,37.99389,-79.830959,VA,,,,,,,,,,,,,82.0,158.0,,,71.0,14.0,,,,,,,,,,,72.0,90.0,,,262.0,92.0,,,,,,,,
3913,CARILION GILES COMMUNITY HOSPITAL (491302),2017,Critical Access,Voluntary non-profit - Private,25.0,37.332697,-80.710747,VA,99.0,92.0,24.0,574.0,,,,,,,,,66.0,573.0,,,97.0,292.0,,,3.0,11080.0,11.0,97.0,,,,,86.0,506.0,156.0,563.0,282.0,574.0,53.0,35.0,,,,,,
3914,CARILION STONEWALL JACKSON HOSPITAL (491304),2017,Critical Access,Voluntary non-profit - Private,25.0,37.778455,-79.442049,VA,,,,,,,,,,,,,71.0,607.0,,,98.0,265.0,,,1.0,13686.0,,,,,,,97.0,526.0,,,277.0,548.0,,,,,,,,
3915,SHENANDOAH MEMORIAL HOSPITAL (491305),2017,Critical Access,Voluntary non-profit - Private,25.0,38.871586,-78.513936,VA,95.0,19.0,15.0,501.0,,,,,,,,,94.0,415.0,,,98.0,333.0,,,,,8.0,20.0,,,,,113.0,551.0,129.0,474.0,278.0,551.0,37.0,79.0,,,,,,
3916,"PAGE MEMORIAL HOSPITAL, INC (491307)",2017,Critical Access,Voluntary non-profit - Private,25.0,38.662482,-78.469864,VA,90.0,31.0,18.0,464.0,,,,,,,,,97.0,297.0,,,94.0,218.0,,,,,8.0,33.0,,,,,85.0,476.0,101.0,414.0,258.0,476.0,66.0,71.0,,,,,,
3917,RAPPAHANNOCK GENERAL HOSPITAL (491308),2017,Critical Access,Voluntary non-profit - Private,35.0,37.70029,-76.389778,VA,,,14.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,96.0,49.0,156.0,26.0,249.0,49.0,,,,,,,,
3918,NORTHWEST HOSPITAL (500001),2017,Acute Care,Voluntary non-profit - Other,201.0,47.712263,-122.335936,WA,,,32.0,407.0,86.0,29.0,100.0,17.0,,,,,80.0,3315.0,9.0,11.0,90.0,524.0,,,2.0,36612.0,,,,,,,130.0,697.0,194.0,382.0,340.0,697.0,68.0,144.0,0.0,31.0,97.0,33.0,100.0,52.0
3919,PROVIDENCE ST MARY MEDICAL CENTER (500002),2017,Acute Care,Voluntary non-profit - Private,98.0,46.06294,-118.343136,WA,,,16.0,384.0,98.0,236.0,90.0,191.0,,,,,86.0,1223.0,,,82.0,423.0,,,2.0,20815.0,,,,,,,147.0,471.0,128.0,360.0,293.0,471.0,62.0,170.0,0.0,74.0,,,100.0,16.0
3920,SKAGIT VALLEY HOSPITAL (500003),2017,Acute Care,Government - Hospital District or Authority,136.0,48.417422,-122.324335,WA,100.0,15.0,32.0,409.0,97.0,260.0,96.0,546.0,,,87.0,30.0,92.0,2595.0,,,100.0,489.0,,,2.0,33240.0,17.0,15.0,,,,,126.0,700.0,189.0,369.0,289.0,700.0,65.0,149.0,0.0,115.0,,,89.0,38.0
3921,VIRGINIA MASON MEDICAL CENTER (500005),2017,Acute Care,Voluntary non-profit - Private,267.0,47.610179,-122.327809,WA,,,17.0,484.0,95.0,128.0,97.0,120.0,,,,,100.0,6400.0,0.0,25.0,98.0,590.0,,,2.0,24790.0,,,,,,,111.0,412.0,142.0,434.0,242.0,418.0,62.0,40.0,,,,,94.0,68.0
3922,ISLAND HOSPITAL (500007),2017,Acute Care,Government - Hospital District or Authority,42.0,48.502883,-122.615825,WA,96.0,55.0,24.0,559.0,85.0,127.0,82.0,131.0,,,100.0,18.0,90.0,1000.0,,,96.0,342.0,,,2.0,16026.0,15.0,55.0,,,68.0,12.0,103.0,393.0,150.0,526.0,230.0,394.0,68.0,86.0,4.0,82.0,,,,
3923,UNIVERSITY OF WASHINGTON MEDICAL CTR (500008),2017,Acute Care,Government - State,466.0,47.650506,-122.307482,WA,,,22.0,385.0,100.0,48.0,89.0,54.0,,,,,96.0,11241.0,0.0,35.0,99.0,527.0,,,1.0,27189.0,,,,,,,159.0,341.0,258.0,340.0,418.0,343.0,57.0,45.0,7.0,15.0,,,92.0,38.0
3924,HIGHLINE MEDICAL CENTER (500011),2017,Acute Care,Voluntary non-profit - Private,164.0,47.456778,-122.341455,WA,88.0,16.0,24.0,412.0,91.0,65.0,75.0,64.0,,,64.0,14.0,95.0,1472.0,,,94.0,507.0,,,1.0,57708.0,7.0,20.0,,,,,129.0,806.0,154.0,380.0,310.0,806.0,55.0,209.0,0.0,65.0,94.0,16.0,96.0,28.0
3925,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER (500012),2017,Acute Care,Proprietary,138.0,46.597985,-120.521096,WA,,,31.0,430.0,82.0,55.0,65.0,43.0,,,58.0,12.0,73.0,940.0,,,78.0,405.0,,,2.0,36226.0,,,,,,,130.0,603.0,126.0,394.0,296.0,603.0,60.0,128.0,,,,,73.0,26.0
3926,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT (500014),2017,Acute Care,Voluntary non-profit - Church,505.0,48.000086,-122.207979,WA,,,36.0,432.0,100.0,36.0,100.0,41.0,,,36.0,53.0,87.0,5982.0,4.0,24.0,69.0,509.0,,,5.0,100148.0,,,,,,,128.0,614.0,214.0,394.0,320.0,614.0,66.0,325.0,1.0,423.0,88.0,34.0,99.0,207.0
3927,MULTICARE AUBURN MEDICAL CENTER (500015),2017,Acute Care,Voluntary non-profit - Private,146.0,47.309343,-122.229833,WA,95.0,20.0,31.0,397.0,,,89.0,19.0,,,77.0,13.0,98.0,1623.0,,,95.0,492.0,,,4.0,39405.0,14.0,28.0,,,,,161.0,658.0,177.0,363.0,373.0,658.0,62.0,198.0,1.0,130.0,,,94.0,31.0
3928,CENTRAL WASHINGTON HOSPITAL (500016),2017,Acute Care,Voluntary non-profit - Private,190.0,47.407963,-120.324593,WA,,,27.0,1090.0,,,,,,,50.0,12.0,94.0,2804.0,0.0,23.0,93.0,752.0,,,,,,,,,,,58.0,634.0,133.0,1171.0,219.0,646.0,42.0,182.0,0.0,173.0,84.0,19.0,89.0,63.0
3929,PROVIDENCE CENTRALIA HOSPITAL (500019),2017,Acute Care,Voluntary non-profit - Other,106.0,46.71235,-122.986989,WA,92.0,107.0,24.0,392.0,31.0,333.0,30.0,250.0,,,64.0,22.0,84.0,1091.0,,,90.0,502.0,,,3.0,36395.0,10.0,109.0,,,43.0,11.0,96.0,795.0,158.0,365.0,287.0,795.0,49.0,206.0,0.0,63.0,,,100.0,23.0
3930,ST CLARE HOSPITAL (500021),2017,Acute Care,Voluntary non-profit - Church,100.0,47.154213,-122.504495,WA,91.0,75.0,22.0,416.0,,,43.0,14.0,,,,,94.0,1374.0,,,98.0,548.0,,,3.0,49199.0,13.0,77.0,,,75.0,11.0,128.0,987.0,170.0,379.0,310.0,988.0,63.0,107.0,,,,,98.0,41.0
3931,PROVIDENCE ST PETER HOSPITAL (500024),2017,Acute Care,Voluntary non-profit - Private,324.0,47.052791,-122.844369,WA,,,66.0,380.0,90.0,40.0,92.0,76.0,,,64.0,11.0,83.0,3766.0,0.0,42.0,93.0,519.0,,,5.0,75205.0,,,,,,,141.0,671.0,202.0,366.0,337.0,673.0,79.0,225.0,1.0,161.0,75.0,20.0,93.0,101.0
3932,SWEDISH MEDICAL CENTER / CHERRY HILL (500025),2017,Acute Care,Voluntary non-profit - Church,207.0,47.606221,-122.310249,WA,76.0,51.0,13.0,407.0,,,,,,,,,84.0,2547.0,0.0,21.0,91.0,583.0,,,1.0,119512.0,9.0,61.0,,,,,117.0,317.0,154.0,338.0,222.0,321.0,77.0,36.0,,,100.0,44.0,39.0,72.0
3933,SWEDISH EDMONDS HOSPITAL (500026),2017,Acute Care,Voluntary non-profit - Private,168.0,47.802884,-122.33569,WA,91.0,45.0,15.0,406.0,91.0,76.0,87.0,120.0,,,93.0,27.0,85.0,1940.0,18.0,11.0,97.0,505.0,,,1.0,45837.0,0.0,47.0,,,,,123.0,666.0,145.0,366.0,321.0,667.0,31.0,97.0,0.0,89.0,54.0,24.0,44.0,43.0
3934,SWEDISH MEDICAL CENTER (500027),2017,Acute Care,Voluntary non-profit - Private,666.0,47.60924,-122.320767,WA,95.0,270.0,11.0,1631.0,93.0,201.0,90.0,177.0,,,56.0,36.0,83.0,10009.0,3.0,39.0,89.0,864.0,,,1.0,119512.0,10.0,280.0,,,49.0,26.0,90.0,481.0,112.0,1498.0,263.0,481.0,39.0,447.0,1.0,540.0,,,23.0,108.0
3935,ST JOSEPH MEDICAL CENTER (500030),2017,Acute Care,Voluntary non-profit - Other,244.0,48.772278,-122.474878,WA,,,45.0,397.0,,,79.0,19.0,,,36.0,25.0,85.0,3698.0,,,87.0,539.0,,,2.0,65189.0,,,,,,,138.0,726.0,182.0,378.0,306.0,726.0,69.0,458.0,1.0,158.0,67.0,18.0,87.0,67.0
3936,GRAYS HARBOR COMMUNITY HOSPITAL (500031),2017,Acute Care,Voluntary non-profit - Private,83.0,46.9796,-123.846387,WA,95.0,303.0,38.0,518.0,89.0,114.0,100.0,121.0,53.0,19.0,72.0,18.0,89.0,760.0,,,90.0,485.0,,,3.0,31518.0,17.0,326.0,29.0,19.0,,,104.0,983.0,156.0,502.0,300.0,985.0,75.0,303.0,4.0,57.0,,,100.0,19.0
3937,SAMARITAN HOSPITAL (500033),2017,Acute Care,Government - Hospital District or Authority,47.0,47.131115,-119.264735,WA,100.0,130.0,4.0,571.0,35.0,20.0,91.0,32.0,31.0,13.0,71.0,21.0,94.0,734.0,,,78.0,320.0,,,1.0,19472.0,4.0,133.0,33.0,13.0,,,69.0,321.0,151.0,537.0,254.0,323.0,62.0,146.0,3.0,116.0,,,79.0,19.0
3938,YAKIMA VALLEY MEMORIAL HOSPITAL (500036),2017,Acute Care,Voluntary non-profit - Private,235.0,46.592727,-120.550396,WA,,,31.0,402.0,96.0,25.0,87.0,62.0,,,77.0,22.0,99.0,3286.0,,,80.0,466.0,,,1.0,82573.0,,,,,,,84.0,481.0,108.0,395.0,196.0,486.0,43.0,256.0,2.0,65.0,84.0,25.0,94.0,63.0
3939,TOPPENISH COMMUNITY HOSPITAL (500037),2017,Acute Care,Proprietary,39.0,46.37135,-120.316682,WA,100.0,23.0,17.0,432.0,,,,,,,,,83.0,211.0,,,94.0,230.0,,,1.0,22077.0,6.0,24.0,,,,,70.0,301.0,97.0,400.0,220.0,301.0,42.0,136.0,0.0,51.0,,,,
3940,HARRISON MEMORIAL HOSPITAL (500039),2017,Acute Care,Voluntary non-profit - Private,274.0,47.583429,-122.62601,WA,,,30.0,405.0,59.0,17.0,89.0,19.0,,,80.0,41.0,88.0,3416.0,,,95.0,515.0,,,1.0,80197.0,,,,,,,116.0,603.0,182.0,376.0,299.0,603.0,59.0,251.0,0.0,133.0,100.0,17.0,96.0,103.0
3941,PEACHEALTH ST JOHN MEDICAL CENTER (500041),2017,Acute Care,Voluntary non-profit - Church,170.0,46.130992,-122.941192,WA,91.0,126.0,52.0,418.0,86.0,93.0,72.0,118.0,9.0,11.0,84.0,25.0,85.0,2149.0,,,77.0,539.0,,,4.0,53580.0,8.0,126.0,42.0,11.0,,,118.0,757.0,144.0,388.0,290.0,757.0,67.0,280.0,0.0,70.0,67.0,18.0,58.0,36.0
3942,DEACONESS HOSPITAL (500044),2017,Acute Care,Voluntary non-profit - Private,285.0,,,WA,,,34.0,407.0,100.0,120.0,100.0,118.0,,,,,83.0,2035.0,6.0,16.0,99.0,582.0,,,3.0,29813.0,,,,,,,122.0,628.0,178.0,385.0,330.0,633.0,60.0,133.0,2.0,44.0,,,100.0,48.0
3943,WALLA WALLA GENERAL HOSPITAL (500049),2017,Acute Care,Voluntary non-profit - Church,36.0,,,WA,100.0,18.0,16.0,384.0,92.0,61.0,89.0,63.0,,,,,89.0,496.0,,,96.0,245.0,,,0.0,13189.0,4.0,20.0,,,,,76.0,378.0,85.0,363.0,204.0,379.0,47.0,53.0,0.0,19.0,,,,
