,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care),Appropriate care for severe sepsis and septic shock (SEP_1 - Sepsis Care) (Sample),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care),Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients (OP_29 - Colonoscopy care) (Sample),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care),Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use (OP_30 - Colonoscopy care) (Sample),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care),External Beam Radiotherapy for Bone Metastases (OP_33 - Cancer care) (Sample),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain),Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival (OP_2 - Heart Attack or Chest Pain) (Sample),Head CT results (OP_23 - Emergency Department),Head CT results (OP_23 - Emergency Department) (Sample),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care),Healthcare workers given influenza vaccination (IMM_3_OP_27_FAC_ADHPCT - Preventive Care) (Sample),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment),Hospital acquired potentially preventable venous thromboembolism (VTE_6 - Blood Clot Prevention and Treatment) (Sample),Immunization for influenza (IMM_2 - Preventive Care),Immunization for influenza (IMM_2 - Preventive Care) (Sample),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome),Improvement in Patients Visual Function within 90 Days Following Cataract Surgery (OP_31 - Cataract surgery outcome) (Sample),Left before being seen (OP_22 - Emergency Department),Left before being seen (OP_22 - Emergency Department) (Sample),Median Time to ECG (OP_5 - Heart Attack or Chest Pain),Median Time to ECG (OP_5 - Heart Attack or Chest Pain) (Sample),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain),Median Time to Transfer to Another Facility for Acute Coronary Intervention (OP_3b - Heart Attack or Chest Pain) (Sample),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department),Median time Psychiatric/Mental Health patients spent in the ED before leaving from visit (OP_18c - Emergency Department) (Sample),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department),Median time patients spent in the ED after a doctor admitted them and before leaving the ED for an inpatient room (ED_2b - Emergency Department) (Sample),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department),Median time patients spent in the ED before leaving from visit (OP_18b - Emergency Department) (Sample),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department),Median time patients spent in the ED before they were admitted as an inpatient (ED_1b - Emergency Department) (Sample),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care),Percent of newborns whose deliveries were scheduled 1-3 weeks early when a scheduled delivery was not medically necessary (PC_01 - Pregnancy and Delivery Care) (Sample)
3605,HILL REGIONAL HOSPITAL (450192),2019,Acute Care,Voluntary non-profit - Private,60.0,32.011912,-97.099153,TX,87.0,31.0,95.0,41.0,100.0,61.0,,,,,55.0,11.0,62.0,269.0,,,92.0,270.0,,,2.0,12844.0,7.0,96.0,,,124.0,12.0,42.0,389.0,109.0,383.0,198.0,389.0,0.0,24.0
3606,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME (450193),2019,Acute Care,Voluntary non-profit - Church,674.0,29.707116,-95.39918,TX,44.0,121.0,94.0,63.0,89.0,63.0,,,,,,,66.0,5648.0,0.0,44.0,98.0,611.0,,,3.0,62851.0,,,,,,,164.0,624.0,120.0,401.0,379.0,625.0,,
3607,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL (450194),2019,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,41.0,32.0,78.0,63.0,92.0,38.0,,,,,,,91.0,301.0,,,87.0,220.0,,,1.0,12366.0,3.0,67.0,,,231.0,12.0,54.0,249.0,100.0,347.0,196.0,249.0,0.0,47.0
3608,PARIS REGIONAL MEDICAL CENTER (450196),2019,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,40.0,202.0,86.0,71.0,83.0,83.0,,,,,,,87.0,1359.0,0.0,11.0,94.0,704.0,,,0.0,37924.0,,,,,252.0,63.0,109.0,971.0,139.0,2214.0,266.0,971.0,0.0,57.0
3609,WADLEY REGIONAL MEDICAL CENTER (450200),2019,Acute Care,Physician,198.0,33.428482,-94.047188,TX,35.0,226.0,100.0,138.0,100.0,142.0,,,,,,,97.0,1132.0,,,83.0,546.0,,,4.0,44504.0,,,,,,,192.0,696.0,118.0,390.0,383.0,699.0,7.0,59.0
3610,MEDICAL CITY WEATHERFORD (450203),2019,Acute Care,Proprietary,84.0,32.747472,-97.785369,TX,51.0,74.0,75.0,106.0,99.0,226.0,,,,,65.0,17.0,95.0,925.0,,,91.0,519.0,,,2.0,26404.0,5.0,18.0,,,193.0,11.0,84.0,702.0,156.0,384.0,256.0,703.0,7.0,54.0
3611,NORTHWEST TEXAS HOSPITAL (450209),2019,Acute Care,Voluntary non-profit - Private,437.0,35.199765,-101.921881,TX,29.0,58.0,95.0,60.0,94.0,66.0,,,,,,,98.0,3327.0,0.0,25.0,98.0,524.0,,,1.0,59350.0,,,,,181.0,15.0,206.0,656.0,127.0,393.0,394.0,664.0,0.0,47.0
3612,UT HEALTH EAST TEXAS CARTHAGE HOSPITAL (450210),2019,Acute Care,Voluntary non-profit - Private,43.0,32.167126,-94.346039,TX,20.0,25.0,59.0,49.0,50.0,18.0,,,,,,,76.0,227.0,,,93.0,264.0,,,2.0,10638.0,15.0,55.0,,,,,73.0,498.0,100.0,343.0,236.0,498.0,,
3613,CHI ST LUKES HEALTH MEMORIAL LUFKIN (450211),2019,Acute Care,Voluntary non-profit - Private,179.0,31.337324,-94.742481,TX,36.0,118.0,92.0,26.0,77.0,13.0,,,,,67.0,15.0,80.0,1529.0,,,93.0,538.0,,,2.0,39014.0,,,,,176.0,13.0,156.0,566.0,125.0,354.0,324.0,572.0,4.0,54.0
3614,UNIVERSITY HEALTH SYSTEM (450213),2019,Acute Care,Government - Hospital District or Authority,592.0,29.509488,-98.577062,TX,25.0,455.0,90.0,72.0,89.0,75.0,,,,,,,100.0,11808.0,2.0,47.0,87.0,550.0,,,1.0,93294.0,,,,,,,327.0,729.0,304.0,374.0,538.0,735.0,4.0,53.0
3615,BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO (450219),2019,Acute Care,Voluntary non-profit - Private,25.0,30.743345,-98.677996,TX,65.0,20.0,100.0,27.0,91.0,11.0,,,,,,,98.0,164.0,,,99.0,88.0,,,0.0,4940.0,5.0,71.0,70.0,15.0,136.0,12.0,98.0,172.0,84.0,341.0,168.0,172.0,,
3616,HCA HOUSTON HEALTHCARE CONROE (450222),2019,Acute Care,Proprietary,297.0,30.284022,-95.468722,TX,74.0,149.0,100.0,44.0,95.0,62.0,,,,,,,83.0,1876.0,0.0,14.0,99.0,738.0,,,0.0,55821.0,0.0,11.0,,,373.0,28.0,90.0,1191.0,124.0,553.0,219.0,1191.0,2.0,51.0
3617,HENDRICK MEDICAL CENTER (450229),2019,Acute Care,Voluntary non-profit - Private,405.0,32.471553,-99.73118,TX,45.0,117.0,83.0,18.0,96.0,75.0,94.0,16.0,,,,,94.0,4673.0,,,95.0,535.0,,,3.0,72462.0,,,,,257.0,15.0,168.0,665.0,134.0,398.0,352.0,666.0,6.0,172.0
3618,BAPTIST ST ANTHONY'S HOSPITAL (450231),2019,Acute Care,Proprietary,415.0,35.195115,-101.91885,TX,59.0,135.0,94.0,90.0,99.0,83.0,98.0,53.0,,,,,99.0,4103.0,0.0,25.0,93.0,561.0,,,3.0,65889.0,,,,,,,136.0,774.0,194.0,392.0,325.0,777.0,0.0,49.0
3619,MEMORIAL HOSPITAL (450235),2019,Acute Care,Government - Hospital District or Authority,34.0,29.515895,-97.428868,TX,,,100.0,20.0,62.0,26.0,,,,,,,75.0,268.0,,,98.0,111.0,,,1.0,9601.0,14.0,16.0,,,289.0,13.0,60.0,154.0,100.0,360.0,238.0,154.0,6.0,31.0
3620,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS (450236),2019,Acute Care,Government - Hospital District or Authority,83.0,33.15622,-95.599648,TX,57.0,186.0,97.0,38.0,81.0,48.0,,,,,37.0,19.0,99.0,741.0,,,94.0,309.0,,,4.0,21301.0,7.0,39.0,,,,,111.0,433.0,132.0,377.0,264.0,433.0,0.0,102.0
3621,CHRISTUS SANTA ROSA MEDICAL CENTER (450237),2019,Acute Care,Voluntary non-profit - Church,478.0,29.512909,-98.591557,TX,54.0,861.0,66.0,136.0,72.0,187.0,,,,,83.0,47.0,88.0,4474.0,0.0,28.0,89.0,565.0,,,4.0,195539.0,6.0,253.0,54.0,11.0,215.0,19.0,144.0,740.0,145.0,379.0,313.0,743.0,3.0,288.0
3622,FAITH COMMUNITY HOSPITAL (450241),2019,Acute Care,Government - Hospital District or Authority,16.0,33.230386,-98.166732,TX,,,15.0,20.0,,,,,,,,,82.0,211.0,,,77.0,69.0,,,2.0,876.0,12.0,26.0,,,,,23.0,143.0,142.0,177.0,186.0,153.0,37.0,43.0
3623,HAMLIN MEMORIAL HOSPITAL (450243),2019,Acute Care,Government - Hospital District or Authority,25.0,,,TX,,,,,,,,,,,,,100.0,48.0,,,80.0,46.0,,,1.0,1045.0,,,,,,,13.0,67.0,85.0,280.0,98.0,67.0,,
3624,BELLVILLE ST JOSEPH HEALTH CENTER (450253),2019,Acute Care,Proprietary,28.0,29.952265,-96.260747,TX,,,61.0,93.0,100.0,11.0,,,,,,,99.0,138.0,,,91.0,53.0,,,1.0,4823.0,7.0,43.0,,,150.0,11.0,46.0,58.0,101.0,388.0,215.0,63.0,,
3625,WISE REGIONAL HEALTH SYSTEM (450271),2019,Acute Care,Government - Hospital District or Authority,127.0,33.220263,-97.593107,TX,47.0,175.0,80.0,131.0,97.0,90.0,,,,,83.0,23.0,79.0,1795.0,0.0,11.0,94.0,515.0,,,0.0,27862.0,7.0,13.0,,,196.0,11.0,96.0,795.0,152.0,450.0,253.0,795.0,0.0,47.0
3626,CENTRAL TEXAS MEDICAL CENTER (450272),2019,Acute Care,Voluntary non-profit - Private,161.0,29.852359,-97.947738,TX,70.0,103.0,100.0,14.0,90.0,30.0,,,,,89.0,37.0,94.0,1144.0,,,98.0,375.0,,,2.0,28801.0,4.0,12.0,,,118.0,17.0,74.0,520.0,144.0,406.0,222.0,528.0,4.0,45.0
3627,HARRIS HEALTH SYSTEM (450289),2019,Acute Care,Government - Hospital District or Authority,699.0,29.685422,-95.387094,TX,44.0,430.0,73.0,115.0,99.0,178.0,100.0,34.0,,,,,91.0,5745.0,2.0,56.0,95.0,956.0,,,5.0,172173.0,12.0,69.0,,,974.0,55.0,275.0,855.0,361.0,661.0,612.0,863.0,1.0,313.0
3628,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN (450292),2019,Acute Care,Voluntary non-profit - Private,61.0,32.591127,-96.317363,TX,57.0,75.0,16.0,43.0,,,,,,,94.0,18.0,98.0,409.0,,,99.0,324.0,,,3.0,26438.0,6.0,132.0,,,,,88.0,631.0,144.0,406.0,237.0,631.0,,
3629,COLLEGE STATION MEDICAL CENTER (450299),2019,Acute Care,Proprietary,141.0,30.582626,-96.291014,TX,69.0,100.0,66.0,32.0,44.0,34.0,,,,,,,92.0,803.0,,,95.0,419.0,,,2.0,20021.0,,,,,328.0,22.0,53.0,418.0,124.0,406.0,196.0,418.0,5.0,40.0
3630,TEXOMA MEDICAL CENTER (450324),2019,Acute Care,Proprietary,331.0,33.711133,-96.586956,TX,60.0,133.0,100.0,78.0,100.0,80.0,,,,,,,84.0,2743.0,3.0,31.0,100.0,563.0,,,1.0,61849.0,,,,,,,97.0,896.0,118.0,388.0,219.0,896.0,0.0,35.0
3631,OAKBEND MEDICAL CENTER (450330),2019,Acute Care,Government - Hospital District or Authority,205.0,29.577713,-95.771297,TX,43.0,326.0,100.0,196.0,100.0,33.0,,,,,89.0,27.0,99.0,1829.0,0.0,13.0,100.0,461.0,,,0.0,36322.0,8.0,39.0,,,172.0,19.0,60.0,616.0,106.0,350.0,179.0,618.0,3.0,185.0
3632,SAN ANGELO COMMUNITY MEDICAL CENTER (450340),2019,Acute Care,Proprietary,131.0,31.420076,-100.470132,TX,54.0,234.0,99.0,118.0,100.0,111.0,,,,,40.0,20.0,83.0,1383.0,,,90.0,460.0,,,2.0,23367.0,,,,,304.0,12.0,56.0,506.0,124.0,411.0,213.0,506.0,0.0,40.0
3633,BAPTIST BEAUMONT HOSPITAL (450346),2019,Acute Care,Voluntary non-profit - Private,392.0,30.068473,-94.120255,TX,85.0,325.0,84.0,80.0,100.0,15.0,,,,,96.0,48.0,93.0,3048.0,,,99.0,662.0,,,5.0,74940.0,17.0,27.0,,,,,141.0,897.0,203.0,409.0,372.0,897.0,0.0,79.0
3634,HUNTSVILLE MEMORIAL HOSPITAL (450347),2019,Acute Care,Voluntary non-profit - Private,96.0,30.69849,-95.55799,TX,28.0,145.0,64.0,39.0,83.0,53.0,,,,,67.0,27.0,84.0,861.0,,,66.0,476.0,,,3.0,26036.0,11.0,93.0,184.0,18.0,211.0,15.0,138.0,769.0,183.0,372.0,350.0,772.0,1.0,68.0
3635,FALLS COMMUNITY HOSPITAL AND CLINIC (450348),2019,Acute Care,Voluntary non-profit - Private,39.0,31.30747,-96.893901,TX,,,,,,,,,,,,,95.0,230.0,,,87.0,194.0,,,4.0,6304.0,,,,,,,52.0,290.0,96.0,381.0,195.0,291.0,,
3636,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2019,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,70.0,70.0,51.0,63.0,87.0,63.0,,,,,83.0,18.0,98.0,507.0,,,100.0,290.0,,,2.0,17880.0,6.0,119.0,,,,,81.0,333.0,163.0,408.0,254.0,335.0,0.0,33.0
3637,HUNT REGIONAL MEDICAL CENTER (450352),2019,Acute Care,Government - Hospital District or Authority,172.0,,,TX,42.0,77.0,98.0,63.0,100.0,63.0,,,,,85.0,46.0,96.0,1614.0,,,89.0,476.0,,,2.0,67036.0,5.0,175.0,,,187.0,14.0,105.0,711.0,114.0,460.0,273.0,711.0,11.0,35.0
3638,HOUSTON METHODIST HOSPITAL (450358),2019,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,40.0,282.0,100.0,77.0,100.0,74.0,84.0,49.0,,,82.0,11.0,99.0,14336.0,0.0,159.0,100.0,594.0,,,3.0,43405.0,,,,,316.0,13.0,196.0,542.0,176.0,375.0,442.0,546.0,1.0,110.0
3639,CHILDRESS REGIONAL MEDICAL CENTER (450369),2019,Acute Care,Government - Hospital District or Authority,38.0,,,TX,,,100.0,35.0,86.0,22.0,,,,,,,85.0,273.0,,,98.0,275.0,,,1.0,5509.0,6.0,47.0,,,156.0,14.0,42.0,251.0,112.0,373.0,171.0,257.0,0.0,28.0
3640,COLUMBUS COMMUNITY HOSPITAL (450370),2019,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,69.0,13.0,100.0,22.0,99.0,190.0,,,,,,,91.0,211.0,,,100.0,274.0,,,1.0,7135.0,2.0,59.0,,,176.0,13.0,60.0,240.0,127.0,384.0,260.0,240.0,5.0,40.0
3641,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE (450372),2019,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,70.0,94.0,93.0,76.0,92.0,73.0,100.0,11.0,,,84.0,32.0,100.0,1469.0,0.0,15.0,99.0,551.0,,,2.0,63862.0,6.0,165.0,,,,,90.0,827.0,163.0,388.0,286.0,827.0,0.0,29.0
3642,DALLAS MEDICAL CENTER (450379),2019,Acute Care,Proprietary,119.0,32.914335,-96.873098,TX,88.0,49.0,100.0,14.0,97.0,31.0,,,,,,,94.0,654.0,,,91.0,367.0,,,1.0,11291.0,,,,,116.0,12.0,103.0,492.0,112.0,428.0,252.0,492.0,,
3643,METHODIST HOSPITAL (450388),2019,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,55.0,163.0,95.0,103.0,98.0,100.0,,,,,89.0,35.0,79.0,11670.0,0.0,117.0,97.0,679.0,,,0.0,277496.0,4.0,24.0,,,280.0,15.0,148.0,735.0,157.0,491.0,328.0,735.0,1.0,169.0
3644,UT HEALTH EAST TEXAS ATHENS HOSPITAL (450389),2019,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,53.0,64.0,98.0,65.0,100.0,15.0,100.0,49.0,54.0,24.0,74.0,43.0,89.0,751.0,,,90.0,442.0,,,2.0,48500.0,5.0,540.0,,,255.0,25.0,64.0,582.0,123.0,509.0,272.0,583.0,3.0,116.0
3645,MEMORIAL MEDICAL CENTER LIVINGSTON (450395),2019,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,22.0,72.0,96.0,90.0,98.0,113.0,,,,,19.0,36.0,81.0,456.0,,,92.0,239.0,,,3.0,25868.0,10.0,469.0,,,217.0,12.0,70.0,331.0,169.0,307.0,292.0,334.0,8.0,40.0
3646,BROWNFIELD REGIONAL MEDICAL CENTER (450399),2019,Acute Care,Government - Hospital District or Authority,28.0,33.187102,-102.26775,TX,,,,,,,,,,,,,76.0,232.0,,,65.0,210.0,,,2.0,5140.0,9.0,61.0,,,,,25.0,276.0,106.0,288.0,134.0,296.0,0.0,13.0
3647,PARKVIEW REGIONAL HOSPITAL (450400),2019,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,,,93.0,42.0,91.0,35.0,,,,,,,92.0,255.0,,,92.0,211.0,,,1.0,8680.0,5.0,80.0,,,,,62.0,292.0,92.0,353.0,218.0,292.0,,
3648,MEDICAL CENTER OF MCKINNEY (450403),2019,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,87.0,94.0,,,81.0,16.0,,,,,91.0,23.0,95.0,1872.0,0.0,18.0,99.0,621.0,,,0.0,40283.0,,,,,212.0,13.0,93.0,869.0,122.0,477.0,229.0,870.0,0.0,60.0
3649,EASTLAND MEMORIAL HOSPITAL (450411),2019,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,18.0,22.0,19.0,63.0,16.0,19.0,,,,,31.0,13.0,96.0,237.0,,,71.0,199.0,,,4.0,8701.0,13.0,72.0,,,,,65.0,207.0,123.0,341.0,254.0,295.0,,
3650,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2019,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,71.0,87.0,94.0,33.0,94.0,34.0,,,,,86.0,14.0,98.0,654.0,,,99.0,296.0,,,3.0,23688.0,5.0,215.0,42.0,13.0,,,92.0,666.0,130.0,410.0,238.0,666.0,,
3651,BAYLOR MEDICAL CENTER AT UPTOWN (450422),2019,Acute Care,Voluntary non-profit - Private,24.0,32.80453,-96.794757,TX,,,,,,,,,,,,,98.0,650.0,,,92.0,315.0,,,2.0,4799.0,7.0,38.0,,,181.0,11.0,49.0,13.0,102.0,379.0,264.0,13.0,,
3652,HOUSTON METHODIST SAN JACINTO HOSPITAL (450424),2019,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,66.0,156.0,100.0,71.0,92.0,71.0,,,,,100.0,20.0,82.0,2521.0,0.0,13.0,99.0,541.0,,,3.0,55339.0,,,,,370.0,12.0,226.0,832.0,194.0,363.0,436.0,832.0,0.0,185.0
3653,ST DAVID'S MEDICAL CENTER (450431),2019,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,75.0,129.0,95.0,81.0,94.0,100.0,,,,,81.0,16.0,89.0,4104.0,0.0,19.0,100.0,640.0,,,0.0,79980.0,6.0,69.0,29.0,13.0,184.0,26.0,126.0,648.0,137.0,534.0,244.0,649.0,0.0,120.0
3654,NAVARRO REGIONAL HOSPITAL (450447),2019,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,87.0,153.0,100.0,63.0,100.0,63.0,,,,,92.0,13.0,82.0,436.0,,,100.0,277.0,,,2.0,25243.0,5.0,134.0,,,,,51.0,406.0,98.0,400.0,208.0,406.0,9.0,67.0
3655,GLEN ROSE MEDICAL CENTER (450451),2019,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,,,90.0,90.0,64.0,177.0,,,,,,,74.0,342.0,,,94.0,141.0,,,1.0,6647.0,6.0,45.0,,,,,44.0,214.0,94.0,314.0,220.0,214.0,,
3656,TYLER COUNTY HOSPITAL (450460),2019,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,,,,,,,,,,,,,98.0,189.0,,,52.0,193.0,,,1.0,8542.0,22.0,38.0,,,145.0,11.0,60.0,264.0,85.0,292.0,225.0,306.0,,
3657,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS (450462),2019,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,60.0,115.0,95.0,63.0,100.0,63.0,,,,,,,85.0,6143.0,4.0,45.0,99.0,570.0,,,3.0,69663.0,,,,,347.0,22.0,176.0,535.0,206.0,414.0,354.0,535.0,3.0,97.0
3658,MATAGORDA REGIONAL MEDICAL CENTER (450465),2019,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,36.0,90.0,100.0,172.0,100.0,77.0,,,,,83.0,18.0,94.0,561.0,,,92.0,240.0,,,2.0,19747.0,6.0,61.0,,,194.0,11.0,83.0,311.0,141.0,373.0,249.0,313.0,0.0,71.0
3659,WILSON N JONES REGIONAL MEDICAL CENTER (450469),2019,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,59.0,177.0,100.0,11.0,100.0,14.0,,,,,,,84.0,1245.0,,,96.0,485.0,,,3.0,22951.0,,,,,195.0,19.0,57.0,700.0,129.0,349.0,260.0,702.0,12.0,76.0
3660,UT HEALTH EAST TEXAS HENDERSON HOSPITAL (450475),2019,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,68.0,34.0,96.0,26.0,,,,,,,64.0,25.0,85.0,313.0,,,90.0,247.0,,,1.0,14450.0,5.0,107.0,,,284.0,20.0,58.0,427.0,95.0,453.0,193.0,431.0,10.0,20.0
3661,WOODLAND HEIGHTS MEDICAL CENTER (450484),2019,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,68.0,324.0,,,,,,,,,,,64.0,1058.0,,,92.0,526.0,,,0.0,233331.0,,,,,229.0,13.0,82.0,651.0,114.0,408.0,252.0,651.0,11.0,70.0
3662,MEDICAL ARTS HOSPITAL (450489),2019,Acute Care,Government - Hospital District or Authority,22.0,32.750279,-101.96647,TX,,,,,,,,,,,,,83.0,263.0,,,80.0,152.0,,,1.0,6556.0,14.0,33.0,,,,,28.0,195.0,105.0,346.0,168.0,195.0,,
3663,STEPHENS MEMORIAL HOSPITAL (450498),2019,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,43.0,14.0,,,,,,,,,,,85.0,132.0,,,63.0,122.0,,,2.0,852.0,1.0,62.0,,,167.0,79.0,10.0,166.0,101.0,2599.0,157.0,175.0,,
3664,MEMORIAL HOSPITAL (450508),2019,Acute Care,Government - Hospital District or Authority,137.0,31.613397,-94.649455,TX,35.0,115.0,69.0,48.0,85.0,62.0,,,,,,,96.0,864.0,,,85.0,330.0,,,2.0,27457.0,,,,,193.0,18.0,95.0,412.0,152.0,352.0,306.0,416.0,9.0,123.0
3665,THE MEDICAL CENTER OF SOUTHEAST TEXAS (450518),2019,Acute Care,Proprietary,218.0,29.934952,-93.985007,TX,35.0,240.0,82.0,136.0,88.0,41.0,,,,,88.0,57.0,65.0,1645.0,13.0,23.0,91.0,722.0,,,2.0,40903.0,,,,,240.0,49.0,218.0,950.0,137.0,1087.0,470.0,954.0,0.0,53.0
3666,METHODIST RICHARDSON MEDICAL CENTER (450537),2019,Acute Care,Government - Hospital District or Authority,208.0,32.996143,-96.669176,TX,39.0,95.0,60.0,15.0,90.0,20.0,,,,,,,99.0,1759.0,0.0,15.0,83.0,561.0,,,1.0,34961.0,,,,,182.0,24.0,110.0,835.0,140.0,387.0,248.0,836.0,7.0,30.0
3667,COVENANT HOSPITAL PLAINVIEW (450539),2019,Acute Care,Voluntary non-profit - Private,49.0,34.207214,-101.731626,TX,74.0,102.0,8.0,83.0,72.0,39.0,,,,,24.0,29.0,98.0,488.0,,,91.0,246.0,,,2.0,15300.0,13.0,229.0,180.0,92.0,149.0,19.0,52.0,262.0,141.0,353.0,223.0,271.0,1.0,69.0
3668,ABILENE REGIONAL MEDICAL CENTER (450558),2019,Acute Care,Proprietary,202.0,32.374006,-99.742595,TX,63.0,202.0,100.0,67.0,100.0,63.0,,,,,,,91.0,1450.0,,,99.0,538.0,,,2.0,24735.0,,,,,220.0,18.0,94.0,493.0,150.0,402.0,273.0,493.0,13.0,47.0
3669,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE (450563),2019,Acute Care,Voluntary non-profit - Private,297.0,32.9356,-97.093897,TX,86.0,127.0,94.0,18.0,75.0,32.0,,,,,69.0,35.0,99.0,2904.0,0.0,29.0,100.0,529.0,,,1.0,42724.0,5.0,11.0,,,,,82.0,692.0,148.0,394.0,216.0,697.0,5.0,40.0
3670,PALO PINTO GENERAL HOSPITAL (450565),2019,Acute Care,Government - Hospital District or Authority,47.0,32.799552,-98.145406,TX,72.0,36.0,100.0,18.0,100.0,38.0,,,,,78.0,23.0,100.0,663.0,,,93.0,271.0,98.0,61.0,1.0,19141.0,6.0,142.0,,,,,42.0,387.0,81.0,396.0,179.0,394.0,0.0,36.0
3671,SHANNON MEDICAL CENTER (450571),2019,Acute Care,Voluntary non-profit - Private,341.0,31.464485,-100.43509,TX,57.0,388.0,100.0,409.0,100.0,562.0,,,,,,,94.0,2475.0,8.0,13.0,92.0,548.0,,,5.0,47304.0,,,,,152.0,15.0,92.0,779.0,167.0,384.0,230.0,779.0,0.0,130.0
3672,CHRISTUS JASPER MEMORIAL HOSPITAL (450573),2019,Acute Care,Government - Local,43.0,30.907639,-94.008533,TX,,,100.0,14.0,,,,,,,82.0,11.0,98.0,239.0,,,88.0,219.0,,,2.0,23602.0,8.0,219.0,,,276.0,12.0,150.0,336.0,136.0,351.0,319.0,337.0,0.0,33.0
3673,HEMPHILL COUNTY HOSPITAL (450578),2019,Acute Care,Government - Hospital District or Authority,15.0,35.903792,-100.387399,TX,,,,,,,,,,,,,89.0,200.0,,,95.0,40.0,,,0.0,1681.0,,,,,139.0,43.0,30.0,57.0,112.0,1419.0,160.0,57.0,,
3674,WILBARGER GENERAL HOSPITAL (450584),2019,Acute Care,Government - Hospital District or Authority,38.0,34.159419,-99.31333,TX,54.0,39.0,38.0,93.0,92.0,80.0,,,,,100.0,12.0,92.0,308.0,,,94.0,323.0,,,2.0,7481.0,7.0,61.0,,,124.0,22.0,136.0,506.0,76.0,1235.0,204.0,552.0,,
3675,SEYMOUR HOSPITAL (450586),2019,Acute Care,Government - Hospital District or Authority,27.0,33.589788,-99.247697,TX,29.0,24.0,8.0,13.0,,,,,,,,,62.0,162.0,,,95.0,170.0,,,0.0,1156.0,10.0,14.0,,,,,0.0,141.0,70.0,348.0,90.0,148.0,,
