,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CAUTI (SIR),CAUTI Observed Cases,CAUTI Predicted Cases,CAUTI Urinary Catheter Days,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Number of Procedures,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Number of Procedures,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
3257,MONUMENT HEALTH CUSTER HOSPITAL (431323),2020,Critical Access,Voluntary non-profit - Private,87.0,43.772816,-103.591173,SD,,0.0,0.102,158.0,,0.0,0.318,1157.0,,,,,,,,,,,,,,,,
3258,AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH (431324),2020,Critical Access,Voluntary non-profit - Private,16.0,44.080394,-98.563682,SD,,0.0,0.378,155.0,,0.0,0.133,599.0,,22.0,0.0,0.006,,,,,,,,,,,,
3259,MILBANK AREA HOSPITAL/AVERA HEALTH (431326),2020,Critical Access,Voluntary non-profit - Private,26.0,,,SD,,,,,,0.0,0.366,1657.0,,,,,,,,,,,,,,,,
3260,ST MICHAEL'S HOSPITAL - CAH (431327),2020,Critical Access,Government - Local,25.0,42.991253,-97.867896,SD,,0.0,0.671,429.0,,0.0,0.346,1568.0,,38.0,0.0,0.01,,,,,,,,,,,,
3261,PIONEER MEMORIAL HOSPITAL - CAH (431328),2020,Critical Access,Voluntary non-profit - Private,62.0,,,SD,,0.0,0.054,33.0,,0.0,0.104,471.0,,,,,,,,,,,,,,,,
3262,SANFORD CHAMBERLAIN MEDICAL CENTER (431329),2020,Critical Access,Voluntary non-profit - Private,69.0,43.78511,-99.326134,SD,,0.0,0.214,209.0,,0.0,0.37,1674.0,,474.0,0.0,0.13,,0.0,0.037,1844.0,,,,,,,,
3263,AVERA ST BENEDICT HEALTH CENTER - CAH (431330),2020,Critical Access,Voluntary non-profit - Private,73.0,43.398945,-97.990061,SD,,0.0,0.168,257.0,,1.0,0.591,2678.0,,198.0,0.0,0.053,,,,,,,,,,,,
3264,AVERA DELLS AREA HOSPITAL  - CAH (431331),2020,Critical Access,Voluntary non-profit - Private,21.0,43.828588,-96.715344,SD,,0.0,0.054,82.0,,1.0,0.184,829.0,,,,,,,,,,,,,,,,
3265,AVERA DE SMET MEMORIAL HOSPITAL - CAH (431332),2020,Critical Access,Voluntary non-profit - Private,9.0,,,SD,,0.0,0.046,70.0,,0.0,0.088,282.0,,15.0,0.0,0.004,,,,,,,,,,,,
3266,SANFORD CANTON-INWOOD MEDICAL CENTER - CAH (431333),2020,Critical Access,Voluntary non-profit - Private,14.0,43.304944,-96.557249,SD,,0.0,0.366,150.0,,0.0,0.434,1348.0,,,,,,,,,,,,,,,,
3267,WINNER REGIONAL HEALTHCARE CENTER - CAH (431334),2020,Critical Access,Voluntary non-profit - Private,103.0,43.370947,-99.847617,SD,,0.0,0.391,160.0,,0.0,0.341,1547.0,,,,,,,,,,,,,,,,
3268,HURON REGIONAL MEDICAL CENTER (431335),2020,Critical Access,Voluntary non-profit - Private,25.0,44.362035,-98.210751,SD,,0.0,0.417,639.0,0.0,0.0,1.153,5223.0,,,,,,,,,,,,,,,,
3269,SANFORD VERMILLION HOSPITAL (431336),2020,Critical Access,Voluntary non-profit - Private,25.0,42.778635,-96.919918,SD,,0.0,0.092,141.0,,1.0,0.49,2220.0,,124.0,0.0,0.033,,,,,,,,,,,,
3270,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC (431337),2020,Critical Access,Voluntary non-profit - Private,25.0,44.520623,-98.992044,SD,,0.0,0.21,86.0,,1.0,0.218,989.0,,,,,,,,,,,,,,,,
3271,AVERA GREGORY HOSPITAL (431338),2020,Critical Access,Voluntary non-profit - Private,80.0,,,SD,,0.0,0.08,123.0,,1.0,0.468,2116.0,,104.0,0.0,0.028,,,,,,,,,,,,
3272,COTEAU DES PRAIRIES HEALTH CARE SYSTEM (431339),2020,Critical Access,Voluntary non-profit - Private,25.0,45.658371,-97.050864,SD,,0.0,0.156,64.0,,0.0,0.059,265.0,,,,,,,,,,,,,,,,
3273,UNICOI COUNTY  HOSPITAL (440001),2020,Acute Care,Voluntary non-profit - Private,62.0,36.121365,-82.445621,TN,,0.0,0.1,194.0,,0.0,0.643,2152.0,,41.0,0.0,0.026,,0.0,0.06,2152.0,,,,,,,,
3274,JACKSON-MADISON COUNTY GENERAL HOSPITAL (440002),2020,Acute Care,Government - Hospital District or Authority,662.0,35.63954,-88.831973,TN,1.097,34.0,30.994,20203.0,0.597,60.0,100.466,144553.0,1.173,20719.0,26.0,22.166,1.507,22.0,14.603,156830.0,1.971,293.0,5.0,2.537,397.0,13.0,10.947,1.188
3275,SUMNER REGIONAL MEDICAL CENTER (440003),2020,Acute Care,Proprietary,158.0,36.391117,-86.434341,TN,1.588,5.0,3.148,4508.0,0.71,17.0,23.945,25060.0,0.0,2915.0,0.0,2.041,4.029,5.0,1.241,27284.0,,44.0,0.0,0.394,42.0,0.0,1.04,0.0
3276,TRISTAR SKYLINE MEDICAL CENTER (440006),2020,Acute Care,Voluntary non-profit - Private,355.0,36.245301,-86.756463,TN,0.567,4.0,7.06,5577.0,0.318,9.0,28.342,63806.0,0.753,7764.0,5.0,6.64,0.788,4.0,5.079,63806.0,,46.0,0.0,0.36,134.0,1.0,3.924,0.255
3277,UNITY MEDICAL CENTER (440007),2020,Acute Care,Physician,57.0,35.497932,-86.078141,TN,,0.0,0.26,529.0,,0.0,0.802,4019.0,,196.0,0.0,0.114,,0.0,0.113,4019.0,,2.0,0.0,0.014,2.0,0.0,0.065,
3278,HENDERSON COUNTY COMMUNITY HOSPITAL (440008),2020,Acute Care,Proprietary,36.0,35.654195,-88.398838,TN,,0.0,0.112,231.0,,0.0,0.64,1965.0,,57.0,0.0,0.033,,0.0,0.039,1965.0,,,,,,,,
3279,CUMBERLAND MEDICAL CENTER (440009),2020,Acute Care,Voluntary non-profit - Private,99.0,35.942713,-85.023007,TN,0.0,0.0,2.275,3645.0,0.112,1.0,8.93,20090.0,0.689,2334.0,1.0,1.452,,1.0,0.853,21135.0,,17.0,0.0,0.151,34.0,0.0,0.954,
3280,WAYNE MEDICAL CENTER (440010),2020,Acute Care,Voluntary non-profit - Other,30.0,35.325355,-87.757533,TN,,0.0,0.134,274.0,,1.0,0.845,3419.0,,137.0,0.0,0.08,,0.0,0.066,3419.0,,,,,,,,
3281,BLOUNT MEMORIAL HOSPITAL (440011),2020,Acute Care,Government - Local,294.0,35.754975,-83.958602,TN,0.482,3.0,6.221,7477.0,0.575,12.0,20.887,47653.0,0.754,7830.0,4.0,5.305,2.874,6.0,2.088,48739.0,,19.0,0.0,0.181,134.0,1.0,3.6,0.278
3282,WELLMONT BRISTOL REGIONAL MEDICAL CENTER (440012),2020,Acute Care,Government - Hospital District or Authority,293.0,,,TN,0.837,13.0,15.531,12595.0,0.659,27.0,40.957,75691.0,0.393,9841.0,4.0,10.181,0.957,5.0,5.223,76434.0,,106.0,0.0,0.888,181.0,4.0,4.727,0.846
3283,UNIVERSITY OF TN MEDICAL CENTER (440015),2020,Acute Care,Voluntary non-profit - Private,608.0,35.93826,-83.946678,TN,0.63,24.0,38.117,25278.0,0.579,88.0,152.116,179078.0,0.368,28384.0,11.0,29.86,0.496,11.0,22.158,203569.0,0.446,527.0,2.0,4.485,383.0,16.0,11.212,1.427
3284,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY (440016),2020,Acute Care,Voluntary non-profit - Private,60.0,36.023041,-88.413492,TN,,0.0,0.44,889.0,0.397,1.0,2.518,5571.0,,304.0,0.0,0.178,,0.0,0.098,5571.0,,,,,3.0,0.0,0.066,
3285,WELLMONT HOLSTON VALLEY MEDICAL CENTER (440017),2020,Acute Care,Voluntary non-profit - Private,342.0,36.553005,-82.55426,TN,0.315,6.0,19.063,13054.0,0.624,38.0,60.853,80896.0,0.734,10106.0,8.0,10.897,0.82,7.0,8.535,83167.0,1.116,318.0,3.0,2.687,170.0,8.0,4.691,1.705
3286,SYCAMORE SHOALS HOSPITAL (440018),2020,Acute Care,Voluntary non-profit - Private,121.0,36.343941,-82.249623,TN,0.0,0.0,1.98,2539.0,0.596,4.0,6.709,15220.0,,696.0,0.0,0.565,,0.0,0.791,15220.0,,16.0,0.0,0.15,23.0,0.0,0.576,
3287,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI (440020),2020,Acute Care,Proprietary,95.0,35.19129,-87.004322,TN,,0.0,0.575,1096.0,0.219,1.0,4.567,5964.0,,436.0,0.0,0.268,,0.0,0.158,6306.0,,1.0,0.0,0.008,6.0,1.0,0.195,
3288,WILLIAMSON MEDICAL CENTER (440029),2020,Acute Care,Government - Hospital District or Authority,190.0,35.916684,-86.817047,TN,0.0,0.0,4.467,6450.0,0.878,21.0,23.921,32078.0,0.42,3404.0,1.0,2.381,0.0,0.0,1.391,36546.0,,120.0,0.0,0.922,79.0,1.0,1.977,0.506
3289,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION (440030),2020,Acute Care,Government - Local,131.0,36.211948,-83.304345,TN,0.609,3.0,4.93,6760.0,0.113,2.0,17.761,29826.0,0.0,3096.0,0.0,2.304,0.707,1.0,1.414,31058.0,0.0,110.0,0.0,1.023,49.0,0.0,1.365,0.0
3290,ROANE MEDICAL CENTER (440031),2020,Acute Care,Government - Hospital District or Authority,50.0,35.888312,-84.554418,TN,,0.0,0.796,1529.0,0.199,1.0,5.037,10817.0,,1060.0,1.0,0.665,,0.0,0.371,10844.0,,2.0,0.0,0.015,55.0,1.0,1.503,0.665
3291,HAWKINS COUNTY MEMORIAL HOSPITAL (440032),2020,Acute Care,Voluntary non-profit - Private,37.0,36.399736,-83.012943,TN,,0.0,0.312,614.0,0.739,1.0,1.353,3961.0,,424.0,0.0,0.252,,0.0,0.111,3961.0,,,,,3.0,0.0,0.077,
3292,LAFOLLETTE MEDICAL CENTER (440033),2020,Acute Care,Voluntary non-profit - Church,142.0,36.387967,-84.111365,TN,0.0,0.0,1.299,2473.0,0.0,0.0,3.192,8375.0,,87.0,0.0,0.055,,0.0,0.195,8375.0,,,,,,,,
3293,METHODIST MEDICAL CENTER OF OAK RIDGE (440034),2020,Acute Care,Voluntary non-profit - Private,208.0,36.023397,-84.2439,TN,0.791,6.0,7.581,8783.0,0.142,5.0,35.273,48470.0,0.215,5790.0,1.0,4.656,1.533,4.0,2.61,49280.0,,49.0,0.0,0.394,87.0,3.0,2.19,1.37
3294,TENNOVA HEALTHCARE-CLARKSVILLE (440035),2020,Acute Care,Government - Hospital District or Authority,261.0,36.580414,-87.268485,TN,0.237,1.0,4.211,4836.0,1.248,20.0,16.028,36793.0,2.011,2446.0,4.0,1.989,1.186,2.0,1.686,42405.0,1.639,131.0,2.0,1.22,84.0,1.0,2.173,0.46
3295,VANDERBILT UNIVERSITY MEDICAL CENTER (440039),2020,Acute Care,Voluntary non-profit - Private,1019.0,36.142832,-86.800174,TN,0.811,56.0,69.01,39671.0,0.487,81.0,166.354,329341.0,0.669,64761.0,51.0,76.182,1.653,44.0,26.613,362338.0,0.701,287.0,2.0,2.854,893.0,20.0,27.782,0.72
3296,PERRY COMMUNITY HOSPITAL (440040),2020,Acute Care,Proprietary,34.0,35.591854,-87.862909,TN,,,,,,0.0,0.252,1381.0,,,,,,0.0,0.033,1381.0,,,,,,,,
3297,TRISTAR HORIZON MEDICAL CENTER (440046),2020,Acute Care,Proprietary,119.0,36.07212,-87.374808,TN,0.0,0.0,1.39,1964.0,0.367,3.0,8.168,21100.0,,1126.0,0.0,0.77,,0.0,0.85,22671.0,,48.0,0.0,0.456,44.0,1.0,1.112,0.899
3298,BAPTIST MEMORIAL HOSPITAL (440048),2020,Acute Care,Voluntary non-profit - Private,808.0,35.130758,-89.861022,TN,0.448,12.0,26.812,19661.0,0.627,93.0,148.372,219847.0,0.491,35412.0,19.0,38.729,0.798,14.0,17.542,245245.0,0.629,510.0,3.0,4.766,307.0,7.0,8.132,0.861
3299,METHODIST HEALTHCARE MEMPHIS HOSPITALS (440049),2020,Acute Care,Voluntary non-profit - Church,1358.0,35.137088,-90.019145,TN,0.284,13.0,45.756,31561.0,0.251,42.0,167.1,335102.0,0.406,59834.0,28.0,69.026,1.249,36.0,28.82,372760.0,0.154,789.0,1.0,6.499,748.0,14.0,20.492,0.683
3300,GREENEVILLE COMMUNITY HOSPITAL (440050),2020,Acute Care,Voluntary non-profit - Private,121.0,36.175393,-82.790893,TN,0.574,1.0,1.741,2371.0,0.343,2.0,5.829,13073.0,,839.0,0.0,0.59,,1.0,0.817,13524.0,,3.0,0.0,0.03,83.0,3.0,2.262,1.326
3301,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2020,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,0.49,10.0,20.428,16933.0,0.688,28.0,40.688,82499.0,0.329,11933.0,4.0,12.161,1.004,8.0,7.967,93006.0,2.439,158.0,3.0,1.23,285.0,4.0,7.582,0.528
3302,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL (440056),2020,Acute Care,Proprietary,58.0,36.10686,-83.51964,TN,0.0,0.0,1.307,2561.0,0.18,2.0,11.089,20483.0,,889.0,0.0,0.544,,0.0,0.781,20483.0,,,,,40.0,3.0,1.066,2.814
3303,CLAIBORNE MEDICAL CENTER (440057),2020,Acute Care,Government - Local,143.0,36.453341,-83.571972,TN,,0.0,0.346,633.0,0.0,0.0,2.065,4540.0,,403.0,0.0,0.246,,0.0,0.151,4540.0,,,,,8.0,0.0,0.202,
3304,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER (440058),2020,Acute Care,Proprietary,198.0,35.176023,-86.091076,TN,0.0,0.0,1.346,2026.0,0.526,4.0,7.6,17416.0,,419.0,0.0,0.292,,0.0,0.747,18404.0,,,,,26.0,0.0,0.669,
3305,COOKEVILLE REGIONAL MEDICAL CENTER (440059),2020,Acute Care,Government - Local,240.0,36.16996,-85.50935,TN,0.825,15.0,18.176,21242.0,0.465,13.0,27.961,60080.0,0.384,9722.0,3.0,7.813,1.627,7.0,4.302,63567.0,,1.0,0.0,0.005,91.0,0.0,2.406,0.0
3306,MILAN GENERAL HOSPITAL (440060),2020,Acute Care,Government - Local,47.0,35.913311,-88.753495,TN,,0.0,0.212,423.0,,0.0,0.43,1893.0,,238.0,0.0,0.141,,0.0,0.033,1893.0,,,,,36.0,0.0,0.945,
3307,VOLUNTEER COMMUNITY HOSPITAL (440061),2020,Acute Care,Proprietary,44.0,36.333569,-88.869022,TN,,0.0,0.594,1161.0,0.0,0.0,1.828,3918.0,,229.0,0.0,0.142,,0.0,0.096,4076.0,,1.0,0.0,0.01,1.0,0.0,0.027,
3308,JOHNSON CITY MEDICAL CENTER (440063),2020,Acute Care,Voluntary non-profit - Private,552.0,36.30826,-82.38649,TN,1.065,13.0,12.205,7944.0,0.464,39.0,84.079,118641.0,0.858,10664.0,11.0,12.821,0.943,10.0,10.608,128796.0,,28.0,0.0,0.237,129.0,6.0,3.503,1.713
3309,NORTHCREST MEDICAL CENTER (440065),2020,Acute Care,Voluntary non-profit - Other,109.0,36.479518,-86.888898,TN,0.0,0.0,1.542,2141.0,0.681,4.0,5.876,13646.0,,883.0,1.0,0.61,,0.0,0.54,15425.0,,21.0,0.0,0.173,11.0,1.0,0.285,
3310,STARR REGIONAL MEDICAL CENTER ATHENS (440068),2020,Acute Care,Proprietary,199.0,35.440789,-84.608823,TN,0.0,0.0,1.249,2029.0,0.297,1.0,3.363,10723.0,,564.0,0.0,0.388,,1.0,0.542,12426.0,,20.0,0.0,0.177,36.0,0.0,0.996,
3311,DYERSBURG REGIONAL MEDICAL CENTER (440072),2020,Acute Care,Proprietary,100.0,36.047358,-89.38059,TN,0.396,2.0,5.049,5772.0,0.864,9.0,10.413,19183.0,0.0,1867.0,0.0,1.499,,0.0,0.85,20033.0,,9.0,0.0,0.09,53.0,1.0,1.413,0.708
3312,MAURY REGIONAL HOSPITAL (440073),2020,Acute Care,Government - Local,260.0,35.605855,-87.065844,TN,0.945,6.0,6.347,7175.0,0.27,7.0,25.959,59421.0,0.724,5036.0,3.0,4.146,0.0,0.0,2.709,61403.0,0.0,153.0,0.0,1.358,175.0,5.0,4.869,1.027
3313,LECONTE MEDICAL CENTER (440081),2020,Acute Care,Voluntary non-profit - Other,106.0,35.853855,-83.536965,TN,,2.0,0.876,1683.0,0.49,4.0,8.155,16271.0,,1245.0,0.0,0.776,,0.0,0.809,18084.0,,58.0,0.0,0.489,51.0,0.0,1.408,0.0
3314,SAINT THOMAS WEST HOSPITAL (440082),2020,Acute Care,Voluntary non-profit - Church,478.0,,,TN,0.882,24.0,27.224,18041.0,0.546,29.0,53.096,102166.0,0.904,25623.0,24.0,26.535,0.722,7.0,9.698,102166.0,,80.0,0.0,0.676,222.0,7.0,6.161,1.136
3315,SWEETWATER HOSPITAL ASSOCIATION (440084),2020,Acute Care,Voluntary non-profit - Private,59.0,35.60025,-84.464223,TN,0.0,0.0,1.32,2158.0,0.275,1.0,3.637,9276.0,,319.0,0.0,0.235,,0.0,0.554,9780.0,,10.0,0.0,0.053,23.0,0.0,0.503,
3316,"MEMORIAL HEALTHCARE SYSTEM, INC (440091)",2020,Acute Care,Voluntary non-profit - Church,418.0,35.040037,-85.261129,TN,0.763,13.0,17.027,19327.0,0.414,22.0,53.17,86814.0,0.609,18372.0,9.0,14.77,0.647,4.0,6.186,86814.0,,117.0,1.0,0.944,390.0,22.0,10.214,2.154
3317,LINCOLN MEDICAL CENTER (440102),2020,Acute Care,Government - Local,56.0,35.149005,-86.557341,TN,,0.0,0.389,752.0,0.0,0.0,2.913,4613.0,,289.0,0.0,0.181,,0.0,0.116,5080.0,,2.0,0.0,0.026,8.0,1.0,0.194,
3318,ERLANGER MEDICAL CENTER (440104),2020,Acute Care,Government - Hospital District or Authority,617.0,35.047899,-85.290853,TN,1.552,46.0,29.647,23102.0,0.413,43.0,104.151,178835.0,0.535,32615.0,18.0,33.674,1.158,20.0,17.273,203188.0,1.302,815.0,9.0,6.911,373.0,4.0,11.271,0.355
3319,HARDIN MEDICAL CENTER (440109),2020,Acute Care,Government - Local,122.0,35.22713,-88.230362,TN,,0.0,0.214,438.0,0.0,0.0,1.069,5195.0,,58.0,0.0,0.033,,0.0,0.146,5195.0,,5.0,0.0,0.032,1.0,0.0,0.022,
3320,FORT LOUDOUN MEDICAL CENTER (440110),2020,Acute Care,Voluntary non-profit - Other,35.0,35.827108,-84.271752,TN,,1.0,0.509,999.0,0.531,3.0,5.647,10007.0,,1058.0,0.0,0.641,,1.0,0.226,10007.0,,,,,38.0,3.0,1.082,2.773
3321,METRO NASHVILLE GENERAL HOSPITAL (440111),2020,Acute Care,Government - Hospital District or Authority,115.0,36.166135,-86.806327,TN,0.767,1.0,1.303,1279.0,0.1,1.0,10.0,13955.0,2.318,1447.0,3.0,1.294,1.967,2.0,1.017,14917.0,,16.0,0.0,0.136,30.0,4.0,0.882,
3322,PHYSICIANS REGIONAL MEDICAL CENTER (440120),2020,Acute Care,Proprietary,452.0,36.05333,-83.996592,TN,0.446,3.0,6.719,9489.0,0.14,5.0,35.657,66421.0,0.624,9106.0,4.0,6.409,1.923,7.0,3.641,66421.0,0.754,154.0,1.0,1.327,311.0,6.0,8.065,0.744
3323,FORT SANDERS REGIONAL MEDICAL CENTER (440125),2020,Acute Care,Voluntary non-profit - Private,360.0,35.95681,-83.937134,TN,0.872,9.0,10.322,10022.0,0.218,13.0,59.586,95947.0,1.035,8467.0,7.0,6.762,1.866,10.0,5.358,95947.0,0.778,302.0,2.0,2.57,300.0,2.0,7.991,0.25
3324,BAPTIST MEMORIAL HOSPITAL UNION CITY (440130),2020,Acute Care,Voluntary non-profit - Private,67.0,36.414423,-89.039037,TN,1.669,2.0,1.198,2180.0,0.216,1.0,4.625,9676.0,,700.0,0.0,0.431,,0.0,0.38,10417.0,,9.0,0.0,0.093,8.0,0.0,0.248,
3325,BAPTIST MEMORIAL HOSPITAL TIPTON (440131),2020,Acute Care,Voluntary non-profit - Church,65.0,35.535248,-89.676169,TN,,0.0,0.134,271.0,,2.0,0.656,2493.0,,165.0,0.0,0.097,,0.0,0.058,2493.0,,8.0,0.0,0.067,,,,
3326,HENRY COUNTY MEDICAL CENTER (440132),2020,Acute Care,Government - Hospital District or Authority,112.0,36.296802,-88.311271,TN,0.591,1.0,1.691,2995.0,0.0,0.0,4.153,11047.0,,1275.0,0.0,0.832,,0.0,0.639,12608.0,,14.0,0.0,0.111,28.0,1.0,0.717,
3327,SAINT THOMAS MIDTOWN HOSPITAL (440133),2020,Acute Care,Voluntary non-profit - Private,428.0,36.1534,-86.800835,TN,0.408,8.0,19.616,14837.0,0.303,12.0,39.605,82730.0,0.583,14443.0,9.0,15.437,0.763,6.0,7.868,106657.0,1.219,745.0,8.0,6.563,353.0,7.0,9.444,0.741
3328,TENNOVA HEALTHCARE-SHELBYVILLE (440137),2020,Acute Care,Proprietary,52.0,35.563218,-86.446372,TN,,0.0,0.4,760.0,,2.0,0.922,2969.0,,485.0,0.0,0.308,,0.0,0.12,2969.0,,,,,13.0,0.0,0.424,
3329,TENNOVA HEALTHCARE-HARTON (440144),2020,Acute Care,Voluntary non-profit - Other,101.0,35.382921,-86.230533,TN,0.0,0.0,1.274,1830.0,1.614,8.0,4.957,12224.0,,1365.0,2.0,0.974,,1.0,0.529,12224.0,,37.0,0.0,0.358,54.0,2.0,1.449,1.38
3330,DEKALB COMMUNITY HOSPITAL (440148),2020,Acute Care,Voluntary non-profit - Church,44.0,35.959403,-85.829841,TN,,0.0,0.107,217.0,,0.0,0.4,1332.0,,87.0,0.0,0.051,,0.0,0.04,1332.0,,,,,,,,
3331,TRISTAR SUMMIT MEDICAL CENTER (440150),2020,Acute Care,Proprietary,195.0,36.177999,-86.606015,TN,0.535,3.0,5.609,5969.0,0.111,3.0,27.116,59206.0,0.0,5298.0,0.0,4.29,0.654,2.0,3.06,62274.0,0.927,130.0,1.0,1.079,115.0,2.0,2.938,0.681
3332,SAINT THOMAS RIVER PARK HOSPITAL (440151),2020,Acute Care,Proprietary,107.0,35.698694,-85.742339,TN,0.905,1.0,1.105,1856.0,0.549,1.0,1.82,5532.0,,647.0,0.0,0.431,,0.0,0.309,6296.0,,,,,,,,
3333,REGIONAL ONE HEALTH (440152),2020,Acute Care,Government - Hospital District or Authority,324.0,35.142634,-90.031297,TN,1.483,41.0,27.644,12029.0,0.679,25.0,36.828,55094.0,0.632,14745.0,16.0,25.332,4.577,30.0,6.554,78618.0,,68.0,1.0,0.585,217.0,16.0,8.286,1.931
3334,NEWPORT MEDICAL CENTER (440153),2020,Acute Care,Voluntary non-profit - Church,89.0,35.965067,-83.181619,TN,0.0,0.0,1.15,2092.0,0.8,4.0,4.997,7222.0,,1356.0,0.0,0.819,,0.0,0.27,7619.0,,4.0,0.0,0.04,5.0,0.0,0.131,
3335,PARKRIDGE MEDICAL CENTER (440156),2020,Acute Care,Proprietary,458.0,35.033739,-85.26886,TN,1.152,6.0,5.207,5843.0,0.161,5.0,30.997,94894.0,0.261,4600.0,1.0,3.829,1.086,5.0,4.606,101696.0,0.318,389.0,1.0,3.145,85.0,3.0,2.337,1.284
3336,DELTA SPECIALTY HOSPITAL (440159),2020,Acute Care,Proprietary,228.0,35.067788,-89.932213,TN,,0.0,0.02,31.0,,0.0,0.248,1493.0,,172.0,0.0,0.112,,0.0,0.022,1493.0,,,,,,,,
3337,TRISTAR CENTENNIAL MEDICAL CENTER (440161),2020,Acute Care,Proprietary,667.0,36.152907,-86.807646,TN,0.687,10.0,14.566,12303.0,0.14,9.0,64.066,125098.0,0.594,19270.0,12.0,20.218,1.281,18.0,14.051,148782.0,0.747,1290.0,8.0,10.714,371.0,15.0,10.238,1.465
3338,PARKWEST MEDICAL CENTER (440173),2020,Acute Care,Voluntary non-profit - Private,410.0,35.917806,-84.10115,TN,1.248,9.0,7.214,8372.0,0.215,11.0,51.281,83531.0,1.485,10157.0,12.0,8.083,1.63,8.0,4.909,85714.0,1.13,343.0,3.0,2.654,188.0,6.0,4.658,1.288
3339,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE (440175),2020,Acute Care,Proprietary,96.0,,,TN,,0.0,0.751,1241.0,0.247,1.0,4.046,5491.0,,598.0,0.0,0.358,,0.0,0.163,6107.0,,28.0,0.0,0.262,1.0,0.0,0.024,
3340,INDIAN PATH COMMUNITY HOSPITAL (440176),2020,Acute Care,Voluntary non-profit - Private,151.0,36.550686,-82.517916,TN,1.52,2.0,1.316,2196.0,0.762,9.0,11.818,20219.0,,1181.0,0.0,0.855,,0.0,0.986,21460.0,,8.0,0.0,0.055,57.0,2.0,1.458,1.372
3341,"JELLICO MEDICAL CENTER, INC (440180)",2020,Acute Care,Voluntary non-profit - Church,47.0,36.573619,-84.12724,TN,,0.0,0.151,308.0,,0.0,0.782,1395.0,,81.0,0.0,0.046,,0.0,0.031,1395.0,,5.0,0.0,0.039,2.0,0.0,0.06,
3342,ST FRANCIS HOSPITAL (440183),2020,Acute Care,Proprietary,443.0,35.099901,-89.864516,TN,0.257,1.0,3.89,3808.0,0.391,17.0,43.47,65911.0,0.0,4086.0,0.0,4.117,0.931,4.0,4.298,69810.0,0.0,114.0,0.0,1.045,125.0,0.0,3.565,0.0
3343,FRANKLIN WOODS COMMUNITY HOSPITAL (440184),2020,Acute Care,Voluntary non-profit - Private,102.0,36.337945,-82.401047,TN,0.0,0.0,1.054,2054.0,0.624,9.0,14.432,22995.0,,746.0,0.0,0.461,0.0,0.0,1.176,25433.0,0.0,153.0,0.0,1.242,137.0,2.0,3.505,0.571
3344,TENNOVA HEALTH CARE-CLEVELAND (440185),2020,Acute Care,Proprietary,187.0,35.176743,-84.868591,TN,0.485,2.0,4.126,5166.0,0.545,10.0,18.348,44256.0,0.0,1919.0,0.0,1.362,2.545,7.0,2.751,46391.0,,55.0,0.0,0.536,76.0,0.0,1.969,0.0
3345,LIVINGSTON REGIONAL HOSPITAL (440187),2020,Acute Care,Voluntary non-profit - Other,114.0,36.384695,-85.328097,TN,,4.0,0.875,1551.0,0.725,4.0,5.515,6826.0,,173.0,0.0,0.101,,0.0,0.225,6913.0,,10.0,0.0,0.084,1.0,0.0,0.022,
3346,SAINT THOMAS HIGHLANDS HOSPITAL (440192),2020,Acute Care,Proprietary,39.0,35.94812,-85.477074,TN,,0.0,0.196,399.0,,0.0,0.217,1189.0,,58.0,0.0,0.034,,0.0,0.043,1189.0,,4.0,0.0,0.031,1.0,0.0,0.028,
3347,VANDERBILT WILSON COUNTY HOSPITAL (440193),2020,Acute Care,Voluntary non-profit - Private,230.0,36.219173,-86.328318,TN,0.413,1.0,2.42,3487.0,1.013,8.0,7.898,12463.0,,1318.0,1.0,0.935,,1.0,0.578,13299.0,,22.0,0.0,0.188,23.0,0.0,0.624,
3348,TRISTAR HENDERSONVILLE MEDICAL CENTER (440194),2020,Acute Care,Voluntary non-profit - Other,110.0,36.324156,-86.620198,TN,0.527,1.0,1.896,2771.0,0.299,4.0,13.393,24783.0,0.0,3143.0,0.0,2.179,,0.0,0.951,28291.0,,112.0,1.0,0.971,81.0,3.0,2.121,1.414
