,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,CDIFF (SIR),CDIFF Observed Cases,CDIFF Predicted Cases,CDIFF patient days,CLABSI (SIR),CLABSI Number of Device Days,CLABSI Observed Cases,CLABSI Predicted Cases,MRSA (SIR),MRSA Observed Cases,MRSA Predicted Cases,MRSA patient days,SSI Abdominal Hysterectomy,SSI Abdominal Observed Cases,SSI Abdominal Predicted Cases,SSI Colon Observed Cases,SSI Colon Predicted Cases,SSI Colon Surgery (SIR)
3076,REGIONAL ONE HEALTH (440152),2016,Acute Care,Government - Hospital District or Authority,324.0,35.142634,-90.031297,TN,0.749,35.0,46.756,69910.0,1.434,16982.0,41.0,28.596,4.79,31.0,6.472,81921.0,,1.0,0.577,12.0,5.225,2.297
3077,TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER (440153),2016,Acute Care,Voluntary non-profit - Church,89.0,35.965067,-83.181619,TN,1.119,5.0,4.468,6028.0,,356.0,0.0,0.248,,0.0,0.183,6591.0,,,,0.0,0.035,
3078,PARKRIDGE MEDICAL CENTER (440156),2016,Acute Care,Proprietary,458.0,35.033739,-85.26886,TN,0.972,40.0,41.163,62455.0,2.295,8391.0,14.0,6.101,1.47,4.0,2.722,61889.0,0.0,0.0,3.266,3.0,2.128,1.41
3079,DELTA MEDICAL CENTER (440159),2016,Acute Care,Proprietary,228.0,35.067788,-89.932213,TN,0.353,3.0,8.492,44170.0,,883.0,2.0,0.574,0.0,0.0,1.036,44170.0,,0.0,0.119,,,
3080,TRISTAR CENTENNIAL MEDICAL CENTER (440161),2016,Acute Care,Proprietary,667.0,36.152907,-86.807646,TN,1.207,122.0,101.055,119375.0,0.86,22817.0,20.0,23.26,1.282,15.0,11.703,145097.0,1.885,21.0,11.141,8.0,7.032,1.138
3081,PARKWEST MEDICAL CENTER (440173),2016,Acute Care,Voluntary non-profit - Private,410.0,35.917806,-84.10115,TN,0.821,49.0,59.656,77079.0,0.697,12443.0,7.0,10.041,0.956,4.0,4.183,79134.0,1.816,5.0,2.753,0.0,5.049,0.0
3082,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE (440175),2016,Acute Care,Proprietary,96.0,,,TN,0.572,2.0,3.498,7607.0,,666.0,0.0,0.448,,0.0,0.135,7607.0,,2.0,0.108,0.0,0.208,
3083,INDIAN PATH MEDICAL CENTER (440176),2016,Acute Care,Voluntary non-profit - Private,151.0,36.550686,-82.517916,TN,1.074,12.0,11.176,27530.0,0.748,3210.0,2.0,2.674,3.738,4.0,1.07,27833.0,,0.0,0.167,0.0,1.846,0.0
3084,JELLICO COMMUNITY HOSPITAL (440180),2016,Acute Care,Voluntary non-profit - Church,47.0,36.573619,-84.12724,TN,0.479,1.0,2.086,4145.0,,370.0,1.0,0.251,,0.0,0.098,4586.0,,0.0,0.029,0.0,0.195,
3085,BOLIVAR GENERAL HOSPITAL (440181),2016,Acute Care,Government - Hospital District or Authority,33.0,,,TN,,0.0,0.2,826.0,,,,,,0.0,0.015,826.0,,,,,,
3086,MCKENZIE REGIONAL HOSPITAL (440182),2016,Acute Care,Proprietary,30.0,,,TN,,0.0,0.574,1940.0,,20.0,0.0,0.012,,0.0,0.039,1936.0,,0.0,0.361,0.0,0.077,
3087,ST FRANCIS HOSPITAL (440183),2016,Acute Care,Proprietary,443.0,35.099901,-89.864516,TN,0.735,30.0,40.82,74599.0,1.96,9181.0,18.0,9.183,0.924,4.0,4.328,77937.0,0.0,0.0,1.069,1.0,3.355,0.298
3088,FRANKLIN WOODS COMMUNITY HOSPITAL (440184),2016,Acute Care,Voluntary non-profit - Private,102.0,36.337945,-82.401047,TN,0.693,8.0,11.548,20958.0,0.0,1653.0,0.0,1.253,,0.0,0.845,23316.0,0.0,0.0,1.431,3.0,3.318,0.904
3089,TENNOVA HEALTHCARE-CLEVELAND (440185),2016,Acute Care,Proprietary,187.0,35.176743,-84.868591,TN,0.516,9.0,17.436,39517.0,1.018,4017.0,3.0,2.946,2.283,4.0,1.752,41765.0,,0.0,0.13,3.0,2.053,1.461
3090,LIVINGSTON REGIONAL HOSPITAL (440187),2016,Acute Care,Voluntary non-profit - Other,114.0,36.384695,-85.328097,TN,1.004,7.0,6.975,11341.0,,175.0,0.0,0.117,,1.0,0.346,11341.0,,0.0,0.081,,,
3091,TENNOVA HEALTHCARE-REGIONAL JACKSON (440189),2016,Acute Care,Proprietary,115.0,,,TN,0.874,11.0,12.583,20968.0,0.303,4919.0,1.0,3.299,,0.0,0.783,21579.0,,0.0,0.357,0.0,2.125,0.0
3092,SAINT THOMAS HIGHLANDS HOSPITAL (440192),2016,Acute Care,Proprietary,39.0,35.94812,-85.477074,TN,,0.0,0.574,2227.0,,133.0,0.0,0.089,,0.0,0.07,2227.0,,1.0,0.399,0.0,0.194,
3093,TENNOVA HEALTHCARE-LEBANON (440193),2016,Acute Care,Voluntary non-profit - Private,230.0,36.219173,-86.328318,TN,1.025,12.0,11.71,21569.0,0.0,3507.0,0.0,2.413,0.917,1.0,1.091,23032.0,,0.0,0.784,0.0,0.868,
3094,TRISTAR HENDERSONVILLE MEDICAL CENTER (440194),2016,Acute Care,Voluntary non-profit - Other,110.0,36.324156,-86.620198,TN,1.007,18.0,17.867,20941.0,1.165,3774.0,3.0,2.575,,1.0,0.649,20941.0,,1.0,0.529,1.0,1.713,0.584
3095,TRISTAR SOUTHERN HILLS MEDICAL CENTER (440197),2016,Acute Care,Proprietary,110.0,36.077872,-86.723814,TN,0.575,8.0,13.907,21303.0,0.452,3191.0,1.0,2.21,0.973,1.0,1.028,21303.0,,0.0,0.093,1.0,1.717,0.582
3096,SAINT THOMAS STONES RIVER HOSPITAL (440200),2016,Acute Care,Proprietary,49.0,35.832865,-86.072943,TN,,0.0,0.976,2626.0,,114.0,0.0,0.074,,0.0,0.066,2626.0,,,,,,
3097,SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY (440218),2016,Acute Care,Voluntary non-profit - Other,23.0,36.155764,-86.803889,TN,,0.0,0.32,2199.0,,,,,,0.0,0.025,2199.0,,,,,,
3098,TRISTAR STONECREST MEDICAL CENTER (440227),2016,Acute Care,Proprietary,109.0,35.973743,-86.56376,TN,1.153,16.0,13.877,22256.0,1.508,2789.0,3.0,1.989,0.0,0.0,1.045,25851.0,,0.0,0.92,2.0,0.934,
3099,SAINT FRANCIS BARTLETT MEDICAL CENTER (440228),2016,Acute Care,Proprietary,161.0,35.207034,-89.802347,TN,0.67,10.0,14.929,33981.0,0.0,5870.0,0.0,4.058,0.543,1.0,1.843,35096.0,,0.0,0.474,0.0,1.869,0.0
3100,TRUSTPOINT HOSPITAL (440231),2016,Acute Care,Proprietary,140.0,35.863421,-86.428977,TN,1.542,3.0,1.946,11513.0,,201.0,0.0,0.131,,0.0,0.27,11513.0,,,,,,
3101,HOUSTON COUNTY COMMUNITY HOSPITAL (440232),2016,Acute Care,Government - Local,25.0,,,TN,,0.0,0.323,1772.0,,40.0,0.0,0.027,,0.0,0.041,1772.0,,,,,,
3102,TROUSDALE MEDICAL CENTER (441301),2016,Critical Access,Voluntary non-profit - Other,25.0,36.388136,-86.167692,TN,,,,,,115.0,0.0,0.035,,,,,,,,,,
3103,RIVERVIEW REGIONAL MEDICAL CENTER (441307),2016,Critical Access,Proprietary,33.0,36.263607,-85.948556,TN,0.395,1.0,2.531,6380.0,,14.0,0.0,0.004,,0.0,0.133,6380.0,,0.0,0.008,0.0,0.038,
3104,PROVIDENCE MEMORIAL HOSPITAL (450002),2016,Acute Care,Proprietary,429.0,31.771161,-106.499345,TX,0.623,21.0,33.701,60236.0,0.27,9233.0,3.0,11.128,0.252,1.0,3.969,74778.0,0.0,0.0,1.076,0.0,2.206,0.0
3105,PETERSON REGIONAL MEDICAL CENTER (450007),2016,Acute Care,Voluntary non-profit - Private,116.0,30.044944,-99.151857,TX,1.285,19.0,14.791,21463.0,0.29,5070.0,1.0,3.449,,0.0,0.805,21880.0,,1.0,0.783,4.0,1.157,3.457
3106,UNITED REGIONAL HEALTH CARE SYSTEM (450010),2016,Acute Care,Voluntary non-profit - Private,257.0,33.902312,-98.501482,TX,0.807,47.0,58.234,63931.0,0.219,9255.0,2.0,9.147,0.971,4.0,4.118,69416.0,,0.0,0.568,2.0,4.335,0.461
3107,ST JOSEPH REGIONAL HEALTH CENTER (450011),2016,Acute Care,Voluntary non-profit - Private,237.0,30.655526,-96.347638,TX,0.586,15.0,25.61,54211.0,1.064,6635.0,6.0,5.637,1.533,5.0,3.262,57168.0,,0.0,0.753,3.0,4.51,0.665
3108,PARKLAND HEALTH AND HOSPITAL SYSTEM (450015),2016,Acute Care,Government - Hospital District or Authority,820.0,32.811798,-96.836981,TX,1.017,146.0,143.542,173657.0,1.06,29168.0,37.0,34.913,1.17,17.0,14.524,208371.0,0.296,1.0,3.38,10.0,7.3,1.37
3109,UNIVERSITY OF TEXAS MEDICAL BRANCH (450018),2016,Acute Care,Government - State,587.0,29.311443,-94.776261,TX,0.644,52.0,80.801,111402.0,1.263,23425.0,34.0,26.914,1.9,19.0,10.001,128319.0,0.471,1.0,2.124,0.0,2.515,0.0
3110,BAYLOR UNIVERSITY MEDICAL CENTER (450021),2016,Acute Care,Voluntary non-profit - Church,848.0,32.790567,-96.78081,TX,1.259,271.0,215.243,229070.0,1.12,45595.0,60.0,53.561,0.78,20.0,25.638,255011.0,0.833,3.0,3.601,17.0,16.534,1.028
3111,CITIZENS MEDICAL CENTER (450023),2016,Acute Care,Voluntary non-profit - Other,329.0,28.813157,-96.976759,TX,0.503,11.0,21.855,33422.0,2.573,5606.0,10.0,3.887,1.262,2.0,1.585,36971.0,0.68,1.0,1.47,3.0,2.632,1.14
3112,UNIVERSITY MEDICAL CENTER OF EL PASO (450024),2016,Acute Care,Government - Hospital District or Authority,270.0,31.771291,-106.436022,TX,0.869,26.0,29.907,66781.0,3.182,6765.0,23.0,7.229,0.494,2.0,4.049,69591.0,2.939,4.0,1.361,14.0,4.925,2.843
3113,"VHS BROWNSVILLE HOSPITAL COMPANY, LLC (450028)",2016,Acute Care,Proprietary,262.0,25.917931,-97.511998,TX,0.242,6.0,24.75,38977.0,2.121,4160.0,7.0,3.3,1.674,3.0,1.792,45295.0,1.985,3.0,1.511,1.0,1.642,0.609
3114,LAREDO MEDICAL CENTER (450029),2016,Acute Care,Voluntary non-profit - Church,310.0,27.5306,-99.478571,TX,1.027,36.0,35.037,61408.0,1.696,16236.0,23.0,13.56,0.736,3.0,4.078,70861.0,,0.0,0.591,1.0,2.632,0.38
3115,GOOD SHEPHERD MEDICAL CENTER MARSHALL (450032),2016,Acute Care,Voluntary non-profit - Private,251.0,32.501448,-94.731471,TX,0.0,0.0,3.712,13352.0,,690.0,0.0,0.486,,1.0,0.408,14387.0,,0.0,0.091,0.0,0.807,
3116,VHS HARLINGEN HOSPITAL COMPANY LLC (450033),2016,Acute Care,Proprietary,408.0,26.173414,-97.670666,TX,0.293,14.0,47.739,67240.0,0.943,8654.0,9.0,9.544,0.194,1.0,5.163,75400.0,0.598,1.0,1.672,6.0,4.029,1.489
3117,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH (450034),2016,Acute Care,Voluntary non-profit - Church,412.0,30.085583,-94.131702,TX,0.472,14.0,29.68,73129.0,0.13,10868.0,1.0,7.681,1.38,6.0,4.348,79968.0,0.576,1.0,1.736,2.0,4.413,0.453
3118,ST JOSEPH MEDICAL CENTER (450035),2016,Acute Care,Proprietary,360.0,29.747898,-95.36639,TX,0.731,17.0,23.258,48314.0,2.006,7531.0,16.0,7.977,1.705,9.0,5.28,64432.0,0.0,0.0,1.455,0.0,2.507,0.0
3119,GOOD SHEPHERD MEDICAL CENTER (450037),2016,Acute Care,Voluntary non-profit - Private,375.0,,,TX,0.453,17.0,37.546,80251.0,0.718,4751.0,4.0,5.574,1.151,6.0,5.212,87836.0,0.0,0.0,1.322,5.0,3.389,1.475
3120,JPS HEALTH NETWORK (450039),2016,Acute Care,Government - Hospital District or Authority,541.0,32.727335,-97.326405,TX,1.068,77.0,72.125,127371.0,0.338,13832.0,5.0,14.782,0.492,6.0,12.189,142753.0,1.499,3.0,2.001,9.0,6.324,1.423
3121,COVENANT MEDICAL CENTER (450040),2016,Acute Care,Voluntary non-profit - Church,446.0,33.577867,-101.892357,TX,1.207,131.0,108.569,111075.0,0.545,19412.0,9.0,16.499,0.922,8.0,8.68,116075.0,0.762,2.0,2.623,4.0,6.905,0.579
3122,PROVIDENCE HEALTH CENTER (450042),2016,Acute Care,Government - Hospital District or Authority,436.0,31.513243,-97.198431,TX,0.602,19.0,31.578,65914.0,0.835,10150.0,7.0,8.387,1.123,4.0,3.563,65865.0,,0.0,0.584,3.0,4.448,0.674
3123,UT SOUTHWESTERN UNIVERSITY HOSPITAL (450044),2016,Acute Care,Government - State,459.0,,,TX,1.261,129.0,102.317,112759.0,1.01,20043.0,22.0,21.787,0.782,6.0,7.673,119868.0,1.356,3.0,2.212,6.0,7.651,0.784
3124,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI (450046),2016,Acute Care,Voluntary non-profit - Private,652.0,27.777489,-97.395121,TX,1.175,138.0,117.437,153683.0,1.215,33970.0,36.0,29.634,2.551,32.0,12.545,162327.0,0.349,1.0,2.866,6.0,8.094,0.741
3125,METHODIST DALLAS MEDICAL CENTER (450051),2016,Acute Care,Voluntary non-profit - Other,388.0,32.761639,-96.823006,TX,0.667,50.0,74.908,91019.0,0.739,18589.0,15.0,20.303,0.236,2.0,8.467,110526.0,0.592,1.0,1.689,8.0,4.559,1.755
3126,SCOTT & WHITE MEDICAL CENTER - TEMPLE (450054),2016,Acute Care,Voluntary non-profit - Private,633.0,31.078693,-97.365938,TX,1.247,142.0,113.838,152614.0,1.063,23811.0,28.0,26.34,0.409,4.0,9.785,159824.0,0.0,0.0,2.332,5.0,9.526,0.525
3127,ROLLING PLAINS MEMORIAL HOSPITAL (450055),2016,Acute Care,Government - Hospital District or Authority,39.0,32.453882,-100.398314,TX,0.0,0.0,1.376,4332.0,,67.0,0.0,0.049,,0.0,0.084,4732.0,,0.0,0.122,0.0,0.5,
3128,SETON MEDICAL CENTER AUSTIN (450056),2016,Acute Care,Voluntary non-profit - Private,716.0,30.306154,-97.745218,TX,0.734,46.0,62.709,88874.0,1.036,20995.0,22.0,21.234,0.344,2.0,5.808,109583.0,0.476,1.0,2.099,6.0,9.539,0.629
3129,BAPTIST MEDICAL CENTER (450058),2016,Acute Care,Proprietary,1426.0,29.432877,-98.492773,TX,1.291,214.0,165.768,251017.0,0.33,37997.0,10.0,30.281,0.759,12.0,15.814,293282.0,0.734,2.0,2.723,18.0,16.447,1.094
3130,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL (450064),2016,Acute Care,Voluntary non-profit - Private,249.0,32.750126,-97.116086,TX,1.533,51.0,33.261,48838.0,1.036,9352.0,8.0,7.719,1.869,4.0,2.14,52956.0,0.0,0.0,1.629,4.0,3.243,1.233
3131,MEMORIAL HERMANN TEXAS MEDICAL CENTER (450068),2016,Acute Care,Voluntary non-profit - Private,973.0,29.713684,-95.397627,TX,0.623,97.0,155.66,237801.0,0.824,43449.0,46.0,55.816,0.488,14.0,28.666,315780.0,1.303,3.0,2.303,21.0,8.753,2.399
3132,BRAZOSPORT REGIONAL HEALTH SYSTEM (450072),2016,Acute Care,Voluntary non-profit - Private,97.0,29.030091,-95.451388,TX,0.854,9.0,10.533,16010.0,0.0,1667.0,0.0,1.139,,1.0,0.672,16010.0,,0.0,0.042,0.0,0.585,
3133,ANSON GENERAL HOSPITAL (450078),2016,Acute Care,Government - Local,20.0,32.768101,-99.895514,TX,,0.0,0.596,1901.0,,,,,,0.0,0.043,1901.0,,,,,,
3134,BAYLOR MEDICAL CENTER AT IRVING (450079),2016,Acute Care,Voluntary non-profit - Private,213.0,32.835496,-96.959226,TX,0.951,41.0,43.131,54836.0,1.752,4884.0,6.0,3.424,0.0,0.0,2.42,61116.0,,0.0,0.722,1.0,3.802,0.263
3135,TITUS REGIONAL MEDICAL CENTER (450080),2016,Acute Care,Government - Hospital District or Authority,94.0,33.175402,-94.970433,TX,3.754,10.0,2.664,8816.0,,254.0,0.0,0.185,,0.0,0.39,10280.0,,0.0,0.442,2.0,0.288,
3136,CHRISTUS SPOHN HOSPITAL BEEVILLE (450082),2016,Acute Care,Voluntary non-profit - Church,45.0,28.408353,-97.731925,TX,0.924,2.0,2.164,5697.0,,347.0,1.0,0.264,,0.0,0.294,6261.0,,0.0,0.094,0.0,0.154,
3137,EAST TEXAS MEDICAL CENTER (450083),2016,Acute Care,Voluntary non-profit - Private,418.0,32.338102,-95.291862,TX,1.297,62.0,47.8,101929.0,1.286,15572.0,16.0,12.439,2.081,11.0,5.286,103094.0,,0.0,0.15,3.0,6.492,0.462
3138,GRAHAM REGIONAL MEDICAL CENTER (450085),2016,Acute Care,Government - Hospital District or Authority,27.0,33.089973,-98.584356,TX,,,,,,,,,,0.0,0.0,5.0,,0.0,0.011,0.0,0.105,
3139,NORTH HILLS HOSPITAL (450087),2016,Acute Care,Proprietary,159.0,32.829476,-97.212234,TX,1.126,24.0,21.308,31510.0,0.356,4016.0,1.0,2.807,0.0,0.0,1.292,31593.0,1.708,2.0,1.171,1.0,2.071,0.483
3140,NORTH TEXAS MEDICAL CENTER (450090),2016,Acute Care,Government - Hospital District or Authority,43.0,33.645356,-97.161976,TX,2.521,5.0,1.983,5124.0,,398.0,0.0,0.271,,0.0,0.117,6104.0,,0.0,0.099,0.0,0.196,
3141,FORT DUNCAN MEDICAL CENTER (450092),2016,Acute Care,Proprietary,102.0,28.711418,-100.454105,TX,0.0,0.0,5.354,15094.0,0.0,1572.0,0.0,1.063,,2.0,0.863,17670.0,,0.0,0.24,0.0,0.53,
3142,BAYSHORE MEDICAL CENTER (450097),2016,Acute Care,Proprietary,347.0,29.665163,-95.183799,TX,1.038,55.0,52.997,95501.0,1.054,12069.0,10.0,9.484,0.885,4.0,4.522,110889.0,1.823,3.0,1.646,4.0,3.911,1.023
3143,PAMPA REGIONAL MEDICAL CENTER (450099),2016,Acute Care,Proprietary,71.0,35.656991,-101.407964,TX,1.056,2.0,1.894,5604.0,,311.0,0.0,0.262,,0.0,0.215,6025.0,,0.0,0.033,1.0,0.351,
3144,HILLCREST BAPTIST MEDICAL CENTER (450101),2016,Acute Care,Voluntary non-profit - Private,277.0,31.489212,-97.156804,TX,0.563,14.0,24.875,51932.0,0.415,4703.0,2.0,4.82,0.333,1.0,3.001,57100.0,2.822,3.0,1.063,2.0,2.931,0.682
3145,MOTHER FRANCES HOSPITAL (450102),2016,Acute Care,Voluntary non-profit - Church,429.0,32.3417,-95.290915,TX,1.128,87.0,77.11,103054.0,0.503,19424.0,9.0,17.883,0.905,7.0,7.736,112699.0,0.695,1.0,1.438,2.0,5.378,0.372
3146,GUADALUPE REGIONAL MEDICAL CENTER (450104),2016,Acute Care,Government - Local,131.0,29.569043,-97.948334,TX,0.067,1.0,14.902,16026.0,,1257.0,2.0,0.856,,0.0,0.931,17870.0,,0.0,0.332,2.0,1.664,1.202
3147,LAS PALMAS MEDICAL CENTER (450107),2016,Acute Care,Proprietary,577.0,31.770483,-106.498753,TX,1.065,97.0,91.113,125897.0,0.662,15028.0,9.0,13.602,0.717,5.0,6.977,136924.0,0.255,1.0,3.929,3.0,3.436,0.873
3148,CONNALLY MEMORIAL MEDICAL CENTER (450108),2016,Acute Care,Government - Hospital District or Authority,44.0,29.159429,-98.173205,TX,2.219,3.0,1.352,4252.0,,549.0,0.0,0.366,,1.0,0.092,4252.0,,0.0,0.008,0.0,0.376,
3149,SOUTH TEXAS HEALTH SYSTEM (450119),2016,Acute Care,Proprietary,828.0,26.263341,-98.182849,TX,0.842,58.0,68.898,93679.0,0.262,8962.0,2.0,7.622,1.57,7.0,4.459,100032.0,,0.0,0.654,0.0,3.03,0.0
3150,UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE (450124),2016,Acute Care,Voluntary non-profit - Private,225.0,30.275055,-97.732977,TX,0.976,34.0,34.848,58606.0,0.855,17073.0,12.0,14.036,0.484,2.0,4.131,61050.0,,4.0,0.624,3.0,5.839,0.514
3151,KNAPP MEDICAL CENTER (450128),2016,Acute Care,Voluntary non-profit - Private,200.0,26.151972,-97.977581,TX,0.689,8.0,11.613,31775.0,7.171,1803.0,9.0,1.255,2.398,3.0,1.251,34928.0,,1.0,0.241,0.0,0.765,
3152,NIX HEALTH CARE SYSTEM (450130),2016,Acute Care,Proprietary,228.0,29.499165,-98.577128,TX,0.514,11.0,21.419,57172.0,0.397,3700.0,1.0,2.517,0.0,0.0,2.488,57172.0,,0.0,0.019,1.0,1.294,0.773
3153,MEDICAL CENTER HOSPITAL (450132),2016,Acute Care,Government - Hospital District or Authority,340.0,31.844399,-102.37491,TX,1.004,53.0,52.786,71156.0,1.12,5102.0,6.0,5.358,1.004,4.0,3.985,74102.0,,0.0,0.747,6.0,3.266,1.837
3154,MIDLAND MEMORIAL HOSPITAL (450133),2016,Acute Care,Government - Hospital District or Authority,222.0,31.997494,-102.099976,TX,0.586,53.0,90.38,61225.0,1.262,7272.0,8.0,6.341,0.703,3.0,4.266,67080.0,1.44,3.0,2.083,3.0,3.45,0.87
3155,TEXAS HEALTH HARRIS METHODIST FORT WORTH (450135),2016,Acute Care,Voluntary non-profit - Church,648.0,32.73848,-97.339313,TX,0.858,139.0,161.92,177665.0,0.616,35834.0,24.0,38.948,0.171,2.0,11.699,192052.0,1.32,5.0,3.788,12.0,12.678,0.947
3156,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER (450137),2016,Acute Care,Voluntary non-profit - Private,398.0,32.730288,-97.343729,TX,1.263,68.0,53.827,82738.0,1.902,8816.0,15.0,7.886,1.046,5.0,4.778,102254.0,0.478,1.0,2.092,4.0,3.179,1.258
3157,SETON SMITHVILLE REGIONAL HOSPITAL (450143),2016,Acute Care,Voluntary non-profit - Church,21.0,,,TX,,1.0,0.178,874.0,,41.0,0.0,0.027,,0.0,0.017,874.0,,,,,,
3158,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO (450144),2016,Acute Care,Government - Hospital District or Authority,63.0,32.337424,-102.546866,TX,,1.0,0.388,1812.0,,9.0,0.0,0.006,,0.0,0.045,2276.0,,0.0,0.054,0.0,0.024,
3159,DETAR HOSPITAL NAVARRO (450147),2016,Acute Care,Proprietary,209.0,28.807549,-97.00021,TX,0.657,11.0,16.744,35886.0,0.545,4510.0,2.0,3.67,4.376,6.0,1.371,30798.0,0.0,0.0,2.365,0.0,3.827,0.0
3160,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE (450148),2016,Acute Care,Voluntary non-profit - Church,100.0,32.330845,-97.439189,TX,1.542,12.0,7.781,14721.0,0.0,2161.0,0.0,1.467,,0.0,0.61,15703.0,,0.0,0.157,0.0,0.99,
3161,METROPLEX HOSPITAL (450152),2016,Acute Care,Voluntary non-profit - Private,208.0,31.11335,-97.799519,TX,0.85,8.0,9.41,24526.0,,953.0,0.0,0.696,1.698,2.0,1.178,28899.0,,1.0,0.584,0.0,1.123,0.0
3162,VAL VERDE REGIONAL MEDICAL CENTER (450154),2016,Acute Care,Government - Hospital District or Authority,55.0,29.374425,-100.893034,TX,0.386,1.0,2.593,8088.0,,631.0,1.0,0.425,,0.0,0.416,9670.0,,0.0,0.09,0.0,0.11,
3163,HEREFORD REGIONAL MEDICAL CENTER (450155),2016,Acute Care,Government - Hospital District or Authority,36.0,34.821162,-102.3902,TX,,2.0,0.528,2897.0,,26.0,0.0,0.017,,1.0,0.067,3485.0,,0.0,0.055,,,
3164,GRACE MEDICAL CENTER (450162),2016,Acute Care,Proprietary,92.0,33.548786,-101.869098,TX,,0.0,0.283,1012.0,,664.0,1.0,0.436,,0.0,0.018,1000.0,,5.0,0.666,1.0,0.418,
3165,CHRISTUS SPOHN HOSPITAL KLEBERG (450163),2016,Acute Care,Voluntary non-profit - Private,58.0,27.491416,-97.849831,TX,0.564,3.0,5.32,12413.0,,1275.0,1.0,0.929,,2.0,0.689,12853.0,,0.0,0.061,2.0,0.687,
3166,SOUTH TEXAS REGIONAL MEDICAL CENTER (450165),2016,Acute Care,Proprietary,67.0,,,TX,1.153,2.0,1.734,5272.0,,730.0,0.0,0.52,,0.0,0.094,5272.0,,0.0,0.06,1.0,0.399,
3167,MISSION REGIONAL MEDICAL CENTER (450176),2016,Acute Care,Voluntary non-profit - Private,276.0,26.196599,-98.312668,TX,0.871,27.0,30.982,37805.0,2.376,4377.0,9.0,3.788,0.443,1.0,2.255,43522.0,,0.0,0.315,2.0,0.955,
3168,UVALDE MEMORIAL HOSPITAL (450177),2016,Acute Care,Government - Hospital District or Authority,59.0,,,TX,0.516,2.0,3.874,6602.0,,368.0,0.0,0.272,,0.0,0.307,7238.0,,0.0,0.012,0.0,0.048,
3169,PECOS COUNTY MEMORIAL HOSPITAL (450178),2016,Acute Care,Government - Local,26.0,,,TX,,0.0,0.759,3517.0,,114.0,0.0,0.09,,0.0,0.094,3869.0,,0.0,0.022,,,
3170,MEMORIAL HERMANN HOSPITAL SYSTEM (450184),2016,Acute Care,Voluntary non-profit - Private,1303.0,29.812266,-95.430899,TX,0.83,162.0,195.217,320704.0,1.339,41787.0,43.0,32.112,0.744,15.0,20.161,393499.0,1.195,4.0,3.348,13.0,17.15,0.758
3171,SCOTT & WHITE HOSPITAL BRENHAM (450187),2016,Acute Care,Voluntary non-profit - Private,54.0,30.145082,-96.398937,TX,1.382,3.0,2.17,4527.0,,223.0,0.0,0.164,,0.0,0.144,4760.0,,0.0,0.26,0.0,0.247,
3172,HILL REGIONAL HOSPITAL (450192),2016,Acute Care,Voluntary non-profit - Private,60.0,32.011912,-97.099153,TX,,0.0,0.884,2933.0,,143.0,0.0,0.094,,1.0,0.071,2933.0,,,,0.0,0.082,
3173,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME (450193),2016,Acute Care,Voluntary non-profit - Church,674.0,29.707116,-95.39918,TX,1.451,207.0,142.662,172530.0,0.846,49409.0,42.0,49.63,1.152,18.0,15.62,172530.0,0.0,0.0,1.348,13.0,10.685,1.217
3174,EAST TEXAS MEDICAL CENTER JACKSONVILLE (450194),2016,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,0.552,1.0,1.811,5428.0,,78.0,0.0,0.054,,0.0,0.133,6226.0,,0.0,0.244,0.0,0.187,
3175,PARIS REGIONAL MEDICAL CENTER (450196),2016,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,0.889,19.0,21.37,27427.0,1.391,3113.0,3.0,2.157,1.542,2.0,1.297,28836.0,,0.0,0.338,0.0,1.862,0.0
3176,WADLEY REGIONAL MEDICAL CENTER (450200),2016,Acute Care,Physician,198.0,33.428482,-94.047188,TX,0.733,9.0,12.285,27403.0,2.58,2261.0,5.0,1.938,2.373,3.0,1.264,29167.0,,0.0,0.322,0.0,1.96,0.0
3177,WEATHERFORD REGIONAL MEDICAL CENTER (450203),2016,Acute Care,Proprietary,84.0,32.747472,-97.785369,TX,0.466,8.0,17.166,47694.0,0.0,2602.0,0.0,1.873,0.0,0.0,1.5,47874.0,,2.0,0.573,0.0,1.054,0.0
3178,NORTHWEST TEXAS HOSPITAL (450209),2016,Acute Care,Voluntary non-profit - Private,437.0,35.199765,-101.921881,TX,1.258,55.0,43.706,48309.0,1.708,10526.0,19.0,11.126,1.621,6.0,3.701,60318.0,,0.0,0.71,1.0,3.958,0.253
