,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
2876,"UNIVERSITY HEALTH SYSTEM, INC (440015)",2021,Acute Care,Voluntary non-profit - Private,608.0,35.93826,-83.946678,TN,2.8,35.5,4.5
2877,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY (440016),2021,Acute Care,Voluntary non-profit - Private,60.0,36.023041,-88.413492,TN,2.8,,
2878,WELLMONT HOLSTON VALLEY MEDICAL CENTER (440017),2021,Acute Care,Voluntary non-profit - Private,342.0,36.553005,-82.55426,TN,2.8,41.9,4.2
2879,SYCAMORE SHOALS HOSPITAL (440018),2021,Acute Care,Voluntary non-profit - Private,121.0,36.343941,-82.249623,TN,3.3,,
2880,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI (440020),2021,Acute Care,Proprietary,95.0,35.19129,-87.004322,TN,1.9,,
2881,WILLIAMSON MEDICAL CENTER (440029),2021,Acute Care,Government - Hospital District or Authority,190.0,35.916684,-86.817047,TN,1.4,,
2882,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION (440030),2021,Acute Care,Government - Local,131.0,36.211948,-83.304345,TN,0.9,,
2883,ROANE MEDICAL CENTER (440031),2021,Acute Care,Government - Hospital District or Authority,50.0,35.888312,-84.554418,TN,0.6,,
2884,HAWKINS COUNTY MEMORIAL HOSPITAL (440032),2021,Acute Care,Voluntary non-profit - Private,37.0,36.399736,-83.012943,TN,0.0,,
2885,LAFOLLETTE MEDICAL CENTER (440033),2021,Acute Care,Voluntary non-profit - Church,142.0,36.387967,-84.111365,TN,0.0,,
2886,METHODIST MEDICAL CENTER OF OAK RIDGE (440034),2021,Acute Care,Voluntary non-profit - Private,208.0,36.023397,-84.2439,TN,1.9,,
2887,TENNOVA HEALTHCARE-CLARKSVILLE (440035),2021,Acute Care,Government - Hospital District or Authority,261.0,36.580414,-87.268485,TN,1.7,,1.9
2888,VANDERBILT UNIVERSITY MEDICAL CENTER (440039),2021,Acute Care,Voluntary non-profit - Private,1019.0,36.142832,-86.800174,TN,2.5,,5.4
2889,TRISTAR HORIZON MEDICAL CENTER (440046),2021,Acute Care,Proprietary,119.0,36.07212,-87.374808,TN,1.3,,
2890,BAPTIST MEMORIAL HOSPITAL (440048),2021,Acute Care,Voluntary non-profit - Private,808.0,35.130758,-89.861022,TN,0.9,29.3,4.2
2891,METHODIST HOSPITALS OF MEMPHIS (440049),2021,Acute Care,Voluntary non-profit - Church,1358.0,35.137088,-90.019145,TN,2.5,30.9,3.7
2892,GREENEVILLE COMMUNITY HOSPITAL (440050),2021,Acute Care,Voluntary non-profit - Private,121.0,36.175393,-82.790893,TN,1.9,,3.2
2893,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2021,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,0.2,,2.1
2894,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL (440056),2021,Acute Care,Proprietary,58.0,36.10686,-83.51964,TN,0.0,,4.2
2895,CLAIBORNE MEDICAL CENTER (440057),2021,Acute Care,Government - Local,143.0,36.453341,-83.571972,TN,0.0,,
2896,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER (440058),2021,Acute Care,Proprietary,198.0,35.176023,-86.091076,TN,0.8,,3.5
2897,COOKEVILLE REGIONAL MEDICAL CENTER (440059),2021,Acute Care,Government - Local,240.0,36.16996,-85.50935,TN,1.4,,3.3
2898,MILAN GENERAL HOSPITAL (440060),2021,Acute Care,Government - Local,47.0,35.913311,-88.753495,TN,2.8,,
2899,VOLUNTEER COMMUNITY HOSPITAL (440061),2021,Acute Care,Proprietary,44.0,36.333569,-88.869022,TN,0.0,,
2900,JOHNSON CITY MEDICAL CENTER (440063),2021,Acute Care,Voluntary non-profit - Private,552.0,36.30826,-82.38649,TN,2.1,,4.9
2901,NORTHCREST MEDICAL CENTER (440065),2021,Acute Care,Voluntary non-profit - Other,109.0,36.479518,-86.888898,TN,3.0,,
2902,STARR REGIONAL MEDICAL CENTER ATHENS (440068),2021,Acute Care,Proprietary,199.0,35.440789,-84.608823,TN,1.9,,
2903,DYERSBURG REGIONAL MEDICAL CENTER (440072),2021,Acute Care,Proprietary,100.0,36.047358,-89.38059,TN,1.1,,
2904,MAURY REGIONAL HOSPITAL (440073),2021,Acute Care,Government - Local,260.0,35.605855,-87.065844,TN,4.5,41.2,5.7
2905,LECONTE MEDICAL CENTER (440081),2021,Acute Care,Voluntary non-profit - Other,106.0,35.853855,-83.536965,TN,1.2,,3.6
2906,SAINT THOMAS WEST HOSPITAL (440082),2021,Acute Care,Voluntary non-profit - Church,478.0,,,TN,0.0,,3.2
2907,SWEETWATER HOSPITAL ASSOCIATION (440084),2021,Acute Care,Voluntary non-profit - Private,59.0,35.60025,-84.464223,TN,5.2,,
2908,"MEMORIAL HEALTHCARE SYSTEM, INC (440091)",2021,Acute Care,Voluntary non-profit - Church,418.0,35.040037,-85.261129,TN,2.7,,3.6
2909,LINCOLN MEDICAL CENTER (440102),2021,Acute Care,Government - Local,56.0,35.149005,-86.557341,TN,1.0,,
2910,ERLANGER MEDICAL CENTER (440104),2021,Acute Care,Government - Hospital District or Authority,617.0,35.047899,-85.290853,TN,1.8,41.5,5.0
2911,HARDIN MEDICAL CENTER (440109),2021,Acute Care,Government - Local,122.0,35.22713,-88.230362,TN,0.4,,
2912,FORT LOUDOUN MEDICAL CENTER (440110),2021,Acute Care,Voluntary non-profit - Other,35.0,35.827108,-84.271752,TN,2.1,,4.1
2913,METRO NASHVILLE GENERAL HOSPITAL (440111),2021,Acute Care,Government - Hospital District or Authority,115.0,36.166135,-86.806327,TN,0.0,,
2914,PHYSICIANS REGIONAL MEDICAL CENTER (440120),2021,Acute Care,Proprietary,452.0,36.05333,-83.996592,TN,1.0,,3.5
2915,FORT SANDERS REGIONAL MEDICAL CENTER (440125),2021,Acute Care,Voluntary non-profit - Private,360.0,35.95681,-83.937134,TN,3.4,43.2,3.6
2916,BAPTIST MEMORIAL HOSPITAL UNION CITY (440130),2021,Acute Care,Voluntary non-profit - Private,67.0,36.414423,-89.039037,TN,1.5,,2.5
2917,BAPTIST MEMORIAL HOSPITAL TIPTON (440131),2021,Acute Care,Voluntary non-profit - Church,65.0,35.535248,-89.676169,TN,0.0,,
2918,HENRY COUNTY MEDICAL CENTER (440132),2021,Acute Care,Government - Hospital District or Authority,112.0,36.296802,-88.311271,TN,4.5,,5.2
2919,TENNOVA HEALTHCARE-SHELBYVILLE (440137),2021,Acute Care,Proprietary,52.0,35.563218,-86.446372,TN,1.0,,
2920,VANDERBILT TULLAHOMA-HARTON HOSPITAL (440144),2021,Acute Care,Voluntary non-profit - Other,101.0,35.382921,-86.230533,TN,1.3,,1.1
2921,DEKALB COMMUNITY HOSPITAL (440148),2021,Acute Care,Voluntary non-profit - Church,44.0,35.959403,-85.829841,TN,4.1,,
2922,TRISTAR SUMMIT MEDICAL CENTER (440150),2021,Acute Care,Proprietary,195.0,36.177999,-86.606015,TN,1.4,,4.0
2923,SAINT THOMAS RIVER PARK HOSPITAL (440151),2021,Acute Care,Proprietary,107.0,35.698694,-85.742339,TN,1.8,,2.3
2924,REGIONAL ONE HEALTH (440152),2021,Acute Care,Government - Hospital District or Authority,324.0,35.142634,-90.031297,TN,3.1,,
2925,NEWPORT MEDICAL CENTER (440153),2021,Acute Care,Voluntary non-profit - Church,89.0,35.965067,-83.181619,TN,0.8,,
2926,PARKRIDGE MEDICAL CENTER (440156),2021,Acute Care,Proprietary,458.0,35.033739,-85.26886,TN,1.4,,
2927,TRISTAR CENTENNIAL MEDICAL CENTER (440161),2021,Acute Care,Proprietary,667.0,36.152907,-86.807646,TN,1.9,,3.4
2928,PARKWEST MEDICAL CENTER (440173),2021,Acute Care,Voluntary non-profit - Private,410.0,35.917806,-84.10115,TN,0.7,,5.0
2929,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE (440175),2021,Acute Care,Proprietary,96.0,,,TN,5.1,,
2930,INDIAN PATH COMMUNITY HOSPITAL (440176),2021,Acute Care,Voluntary non-profit - Private,151.0,36.550686,-82.517916,TN,1.1,,
2931,"JELLICO REGIONAL HOSPITAL, LLC (440180)",2021,Acute Care,Voluntary non-profit - Church,47.0,36.573619,-84.12724,TN,1.6,,
2932,ST FRANCIS HOSPITAL (440183),2021,Acute Care,Proprietary,443.0,35.099901,-89.864516,TN,1.4,26.3,0.0
2933,FRANKLIN WOODS COMMUNITY HOSPITAL (440184),2021,Acute Care,Voluntary non-profit - Private,102.0,36.337945,-82.401047,TN,3.0,,0.0
2934,TENNOVA HEALTH CARE-CLEVELAND (440185),2021,Acute Care,Proprietary,187.0,35.176743,-84.868591,TN,2.3,,2.7
2935,LIVINGSTON REGIONAL HOSPITAL (440187),2021,Acute Care,Voluntary non-profit - Other,114.0,36.384695,-85.328097,TN,3.8,,
2936,SAINT THOMAS HIGHLANDS HOSPITAL (440192),2021,Acute Care,Proprietary,39.0,35.94812,-85.477074,TN,0.0,,
2937,VANDERBILT WILSON COUNTY HOSPITAL (440193),2021,Acute Care,Voluntary non-profit - Private,230.0,36.219173,-86.328318,TN,1.0,,
2938,TRISTAR HENDERSONVILLE MEDICAL CENTER (440194),2021,Acute Care,Voluntary non-profit - Other,110.0,36.324156,-86.620198,TN,2.5,,3.2
2939,TRISTAR SOUTHERN HILLS MEDICAL CENTER (440197),2021,Acute Care,Proprietary,110.0,36.077872,-86.723814,TN,2.0,,
2940,TRISTAR STONECREST MEDICAL CENTER (440227),2021,Acute Care,Proprietary,109.0,35.973743,-86.56376,TN,2.1,,2.1
2941,SAINT FRANCIS BARTLETT MEDICAL CENTER (440228),2021,Acute Care,Proprietary,161.0,35.207034,-89.802347,TN,2.2,,5.0
2942,BIG SOUTH FORK MEDICAL CENTER (440235),2021,Acute Care,Proprietary,25.0,36.504212,-84.515194,TN,0.0,,
2943,SAINT THOMAS HICKMAN HOSPITAL (441300),2021,Critical Access,Voluntary non-profit - Private,65.0,35.779539,-87.460242,TN,1.8,,
2944,THREE RIVERS HOSPITAL (441303),2021,Critical Access,Voluntary non-profit - Private,25.0,36.075057,-87.792741,TN,0.0,,
2945,MACON COMMUNITY HOSPITAL (441305),2021,Critical Access,Voluntary non-profit - Private,25.0,36.5197,-86.025362,TN,0.0,,
2946,RIVERVIEW REGIONAL MEDICAL CENTER (441307),2021,Critical Access,Proprietary,33.0,36.263607,-85.948556,TN,2.3,,
2947,TRISTAR ASHLAND CITY MEDICAL CENTER (441311),2021,Critical Access,Proprietary,12.0,36.276974,-87.065976,TN,0.0,,
2948,CAMDEN GENERAL HOSPITAL (441316),2021,Critical Access,Government - Hospital District or Authority,25.0,36.05578,-88.107517,TN,1.3,,
2949,HOUSTON COUNTY COMMUNITY HOSPITAL (441322),2021,Critical Access,Government - Local,25.0,36.319516,-87.689193,TN,0.0,,
2950,THE HOSPITALS OF PROVIDENCE - MEMORIAL CAMPUS (450002),2021,Acute Care,Proprietary,429.0,31.771161,-106.499345,TX,3.5,,
2951,PETERSON REGIONAL MEDICAL CENTER (450007),2021,Acute Care,Voluntary non-profit - Private,116.0,30.044944,-99.151857,TX,1.4,42.4,4.8
2952,UNITED REGIONAL HEALTH CARE SYSTEM (450010),2021,Acute Care,Voluntary non-profit - Private,257.0,33.902312,-98.501482,TX,2.2,,2.2
2953,ST JOSEPH REGIONAL HEALTH CENTER (450011),2021,Acute Care,Voluntary non-profit - Private,237.0,30.655526,-96.347638,TX,2.9,41.1,
2954,PARKLAND HEALTH & HOSPITAL SYSTEM (450015),2021,Acute Care,Government - Hospital District or Authority,820.0,32.811798,-96.836981,TX,1.1,55.3,1.9
2955,UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON (450018),2021,Acute Care,Government - State,587.0,29.311443,-94.776261,TX,6.4,47.4,4.1
2956,BAYLOR UNIVERSITY MEDICAL CENTER (450021),2021,Acute Care,Voluntary non-profit - Church,848.0,32.790567,-96.78081,TX,0.4,,
2957,CITIZENS MEDICAL CENTER (450023),2021,Acute Care,Voluntary non-profit - Other,329.0,28.813157,-96.976759,TX,2.4,,3.7
2958,UNIVERSITY MEDICAL CENTER OF EL PASO (450024),2021,Acute Care,Government - Hospital District or Authority,270.0,31.771291,-106.436022,TX,1.4,,
2959,VALLEY BAPTIST MEDICAL CENTER- BROWNSVILLE (450028),2021,Acute Care,Proprietary,262.0,25.917931,-97.511998,TX,1.2,,
2960,LAREDO MEDICAL CENTER (450029),2021,Acute Care,Voluntary non-profit - Church,310.0,27.5306,-99.478571,TX,2.1,,
2961,CHRISTUS GOOD SHEPHERD MEDICAL CENTER (450032),2021,Acute Care,Voluntary non-profit - Private,251.0,32.501448,-94.731471,TX,1.8,54.9,5.6
2962,VHS HARLINGEN HOSPITAL COMPANY LLC (450033),2021,Acute Care,Proprietary,408.0,26.173414,-97.670666,TX,4.7,,
2963,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH (450034),2021,Acute Care,Voluntary non-profit - Church,412.0,30.085583,-94.131702,TX,2.8,37.8,2.6
2964,ST JOSEPH MEDICAL CENTER (450035),2021,Acute Care,Proprietary,360.0,29.747898,-95.36639,TX,0.0,,
2965,JPS HEALTH NETWORK (450039),2021,Acute Care,Government - Hospital District or Authority,541.0,32.727335,-97.326405,TX,3.4,,1.4
2966,COVENANT MEDICAL CENTER (450040),2021,Acute Care,Voluntary non-profit - Church,446.0,33.577867,-101.892357,TX,6.4,,
2967,PROVIDENCE HEALTH CENTER (450042),2021,Acute Care,Government - Hospital District or Authority,436.0,31.513243,-97.198431,TX,1.9,35.7,
2968,UT SOUTHWESTERN UNIVERSITY HOSPITAL - WILLIAM P. CLEMENTS JR. (450044),2021,Acute Care,Government - State,459.0,,,TX,2.5,35.4,3.3
2969,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI (450046),2021,Acute Care,Voluntary non-profit - Private,652.0,27.777489,-97.395121,TX,0.7,,
2970,METHODIST DALLAS MEDICAL CENTER (450051),2021,Acute Care,Voluntary non-profit - Other,388.0,32.761639,-96.823006,TX,4.3,,
2971,BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE (450054),2021,Acute Care,Voluntary non-profit - Private,633.0,31.078693,-97.365938,TX,3.1,42.3,4.4
2972,ROLLING PLAINS MEMORIAL HOSPITAL (450055),2021,Acute Care,Government - Hospital District or Authority,39.0,32.453882,-100.398314,TX,0.0,,
2973,ASCENSION SETON MEDICAL CENTER AUSTIN (450056),2021,Acute Care,Voluntary non-profit - Private,716.0,30.306154,-97.745218,TX,0.0,,2.1
2974,BAPTIST MEDICAL CENTER (450058),2021,Acute Care,Proprietary,1426.0,29.432877,-98.492773,TX,0.2,,1.9
2975,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL (450064),2021,Acute Care,Voluntary non-profit - Private,249.0,32.750126,-97.116086,TX,0.0,,
2976,MEMORIAL HERMANN - TEXAS MEDICAL CENTER (450068),2021,Acute Care,Voluntary non-profit - Private,973.0,29.713684,-95.397627,TX,4.8,47.4,4.5
2977,CHI ST. LUKES' BRAZOSPORT HOSPITAL (450072),2021,Acute Care,Voluntary non-profit - Private,97.0,29.030091,-95.451388,TX,0.0,,
2978,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING (450079),2021,Acute Care,Voluntary non-profit - Private,213.0,32.835496,-96.959226,TX,1.1,,
2979,TITUS REGIONAL MEDICAL CENTER (450080),2021,Acute Care,Government - Hospital District or Authority,94.0,33.175402,-94.970433,TX,2.6,,5.1
2980,CHRISTUS SPOHN HOSPITAL BEEVILLE (450082),2021,Acute Care,Voluntary non-profit - Church,45.0,28.408353,-97.731925,TX,1.2,,
2981,UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL (450083),2021,Acute Care,Voluntary non-profit - Private,418.0,32.338102,-95.291862,TX,1.1,,4.2
2982,GRAHAM REGIONAL MEDICAL CENTER (450085),2021,Acute Care,Government - Hospital District or Authority,27.0,33.089973,-98.584356,TX,3.7,,
2983,MEDICAL CITY NORTH HILLS (450087),2021,Acute Care,Proprietary,159.0,32.829476,-97.212234,TX,0.0,,
2984,NORTH TEXAS MEDICAL CENTER (450090),2021,Acute Care,Government - Hospital District or Authority,43.0,33.645356,-97.161976,TX,1.0,,
2985,FORT DUNCAN MEDICAL CENTER (450092),2021,Acute Care,Proprietary,102.0,28.711418,-100.454105,TX,1.4,,
2986,HCA HOUSTON HEALTHCARE SOUTHEAST (450097),2021,Acute Care,Proprietary,347.0,29.665163,-95.183799,TX,0.0,,
2987,PAMPA REGIONAL MEDICAL CENTER (450099),2021,Acute Care,Proprietary,71.0,35.656991,-101.407964,TX,2.7,,
2988,BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST (450101),2021,Acute Care,Voluntary non-profit - Private,277.0,31.489212,-97.156804,TX,2.8,37.7,5.1
2989,CHRISTUS MOTHER FRANCES HOSPITAL (450102),2021,Acute Care,Voluntary non-profit - Church,429.0,32.3417,-95.290915,TX,5.7,45.9,4.4
2990,GUADALUPE REGIONAL MEDICAL CENTER (450104),2021,Acute Care,Government - Local,131.0,29.569043,-97.948334,TX,6.2,,
2991,LAS PALMAS DEL SOL HEALTHCARE (450107),2021,Acute Care,Proprietary,577.0,31.770483,-106.498753,TX,0.4,,2.2
2992,CONNALLY MEMORIAL MEDICAL CENTER (450108),2021,Acute Care,Government - Hospital District or Authority,44.0,29.159429,-98.173205,TX,1.7,,
2993,SOUTH TEXAS HEALTH SYSTEM (450119),2021,Acute Care,Proprietary,828.0,26.263341,-98.182849,TX,1.9,,
2994,DELL SETON  MED CENTER AT THE UNIVERSITY OF TX (450124),2021,Acute Care,Voluntary non-profit - Private,225.0,30.275055,-97.732977,TX,0.0,,
2995,KNAPP MEDICAL CENTER (450128),2021,Acute Care,Voluntary non-profit - Private,200.0,26.151972,-97.977581,TX,4.1,,
2996,MEDICAL CENTER HOSPITAL (450132),2021,Acute Care,Government - Hospital District or Authority,340.0,31.844399,-102.37491,TX,2.1,38.2,2.6
2997,MIDLAND MEMORIAL HOSPITAL (450133),2021,Acute Care,Government - Hospital District or Authority,222.0,31.997494,-102.099976,TX,2.2,41.9,1.2
2998,TEXAS HEALTH HARRIS METHODIST HOSPITAL FORT WORTH (450135),2021,Acute Care,Voluntary non-profit - Church,648.0,32.73848,-97.339313,TX,0.4,,
2999,BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER FORT WORTH (450137),2021,Acute Care,Voluntary non-profit - Private,398.0,32.730288,-97.343729,TX,1.8,,2.2
3000,ASCENSION SETON SMITHVILLE (450143),2021,Acute Care,Voluntary non-profit - Church,21.0,,,TX,0.8,,
3001,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO (450144),2021,Acute Care,Government - Hospital District or Authority,63.0,32.337424,-102.546866,TX,1.8,,
3002,DE TAR HOSPITAL NAVARRO (450147),2021,Acute Care,Proprietary,209.0,28.807549,-97.00021,TX,0.0,,
3003,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE (450148),2021,Acute Care,Voluntary non-profit - Church,100.0,32.330845,-97.439189,TX,1.2,,
3004,ADVENTHEALTH CENTRAL TEXAS (450152),2021,Acute Care,Voluntary non-profit - Private,208.0,31.11335,-97.799519,TX,3.5,37.0,1.1
3005,VAL VERDE REGIONAL MEDICAL CENTER (450154),2021,Acute Care,Government - Hospital District or Authority,55.0,29.374425,-100.893034,TX,1.2,,
3006,HEREFORD REGIONAL MEDICAL CENTER (450155),2021,Acute Care,Government - Hospital District or Authority,36.0,34.821162,-102.3902,TX,1.4,,
3007,CHRISTUS SPOHN HOSPITAL KLEBERG (450163),2021,Acute Care,Voluntary non-profit - Private,58.0,27.491416,-97.849831,TX,2.0,,
3008,METHODIST HOSPITAL SOUTH (450165),2021,Acute Care,Proprietary,67.0,,,TX,2.7,,
3009,MISSION REGIONAL MEDICAL CENTER (450176),2021,Acute Care,Voluntary non-profit - Private,276.0,26.196599,-98.312668,TX,0.0,,
3010,MEMORIAL HERMANN HOSPITAL SYSTEM (450184),2021,Acute Care,Voluntary non-profit - Private,1303.0,29.812266,-95.430899,TX,3.6,39.9,4.1
3011,BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM (450187),2021,Acute Care,Voluntary non-profit - Private,54.0,30.145082,-96.398937,TX,2.1,,
3012,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME (450193),2021,Acute Care,Voluntary non-profit - Church,674.0,29.707116,-95.39918,TX,8.5,,6.7
3013,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL (450194),2021,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,1.7,,
3014,PARIS REGIONAL MEDICAL CENTER (450196),2021,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,0.0,,
3015,WADLEY REGIONAL MEDICAL CENTER (450200),2021,Acute Care,Physician,198.0,33.428482,-94.047188,TX,3.6,34.5,
3016,MEDICAL CITY WEATHERFORD (450203),2021,Acute Care,Proprietary,84.0,32.747472,-97.785369,TX,1.2,,
3017,NORTHWEST TEXAS HOSPITAL (450209),2021,Acute Care,Voluntary non-profit - Private,437.0,35.199765,-101.921881,TX,1.3,,
3018,EAST TEXAS MEDICAL CENTER - CARTHAGE (450210),2021,Acute Care,Voluntary non-profit - Private,43.0,32.167126,-94.346039,TX,0.0,,
3019,CHI ST LUKES HEALTH MEMORIAL LUFKIN (450211),2021,Acute Care,Voluntary non-profit - Private,179.0,31.337324,-94.742481,TX,3.3,,3.9
3020,UNIVERSITY HEALTH SYSTEM (450213),2021,Acute Care,Government - Hospital District or Authority,592.0,29.509488,-98.577062,TX,2.2,,1.8
3021,HCA HOUSTON HEALTHCARE CONROE (450222),2021,Acute Care,Proprietary,297.0,30.284022,-95.468722,TX,4.2,,2.3
3022,HENDRICK MEDICAL CENTER (450229),2021,Acute Care,Voluntary non-profit - Private,405.0,32.471553,-99.73118,TX,4.5,,2.8
3023,BAPTIST ST ANTHONY'S HOSPITAL (450231),2021,Acute Care,Proprietary,415.0,35.195115,-101.91885,TX,0.5,,2.7
3024,MEMORIAL HOSPITAL (450235),2021,Acute Care,Government - Hospital District or Authority,34.0,29.515895,-97.428868,TX,1.8,,
3025,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS (450236),2021,Acute Care,Government - Hospital District or Authority,83.0,33.15622,-95.599648,TX,4.0,,1.1
3026,CHRISTUS SANTA ROSA MEDICAL CENTER (450237),2021,Acute Care,Voluntary non-profit - Church,478.0,29.512909,-98.591557,TX,1.2,,4.5
3027,BELLVILLE ST JOSEPH HEALTH CENTER (450253),2021,Acute Care,Proprietary,28.0,29.952265,-96.260747,TX,1.9,,
3028,WISE REGIONAL HEALTH SYSTEM (450271),2021,Acute Care,Government - Hospital District or Authority,127.0,33.220263,-97.593107,TX,1.2,45.5,
3029,CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS (450272),2021,Acute Care,Voluntary non-profit - Private,161.0,29.852359,-97.947738,TX,1.5,,
3030,HARRIS HEALTH SYSTEM (450289),2021,Acute Care,Government - Hospital District or Authority,699.0,29.685422,-95.387094,TX,1.7,,1.4
3031,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN (450292),2021,Acute Care,Voluntary non-profit - Private,61.0,32.591127,-96.317363,TX,0.0,,
3032,TEXOMA MEDICAL CENTER (450324),2021,Acute Care,Proprietary,331.0,33.711133,-96.586956,TX,4.9,62.3,
3033,OAKBEND MEDICAL CENTER (450330),2021,Acute Care,Government - Hospital District or Authority,205.0,29.577713,-95.771297,TX,2.5,,
3034,BAPTIST BEAUMONT HOSPITAL (450346),2021,Acute Care,Voluntary non-profit - Private,392.0,30.068473,-94.120255,TX,1.8,,0.0
3035,HUNTSVILLE MEMORIAL HOSPITAL (450347),2021,Acute Care,Voluntary non-profit - Private,96.0,30.69849,-95.55799,TX,2.1,,
3036,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2021,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,0.7,,
3037,HUNT REGIONAL MEDICAL CENTER (450352),2021,Acute Care,Government - Hospital District or Authority,172.0,,,TX,6.1,38.3,
3038,HOUSTON METHODIST HOSPITAL (450358),2021,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,4.9,50.5,3.4
3039,CHILDRESS REGIONAL MEDICAL CENTER (450369),2021,Acute Care,Government - Hospital District or Authority,38.0,,,TX,0.0,,
3040,COLUMBUS COMMUNITY HOSPITAL (450370),2021,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,4.9,,
3041,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE (450372),2021,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,1.5,,
3042,METHODIST HOSPITAL (450388),2021,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,1.3,,4.7
3043,UT HEALTH EAST TEXAS ATHENS HOSPITAL (450389),2021,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,1.3,,2.4
3044,CHI ST LUKES HEALTH MEMORIAL LIVINGSTON (450395),2021,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,0.8,,4.5
3045,PARKVIEW REGIONAL HOSPITAL (450400),2021,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,1.3,,
3046,MEDICAL CENTER OF MCKINNEY (450403),2021,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,1.3,,
3047,EASTLAND MEMORIAL HOSPITAL (450411),2021,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,9.1,,
3048,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2021,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,0.6,,
3049,HOUSTON METHODIST BAYTOWN HOSPITAL (450424),2021,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,2.3,,
3050,ST DAVID'S MEDICAL CENTER (450431),2021,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,0.0,,3.4
3051,NAVARRO REGIONAL HOSPITAL (450447),2021,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,1.8,,1.6
3052,GLEN ROSE MEDICAL CENTER (450451),2021,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,5.0,,
3053,TYLER COUNTY HOSPITAL (450460),2021,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,1.2,,
3054,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS (450462),2021,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,0.3,,7.1
3055,MATAGORDA REGIONAL MEDICAL CENTER (450465),2021,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,2.3,,
3056,WILSON N JONES REGIONAL MEDICAL CENTER (450469),2021,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,0.6,,
3057,UT HEALTH EAST TEXAS HENDERSON HOSPITAL (450475),2021,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,0.0,,5.5
3058,WOODLAND HEIGHTS MEDICAL CENTER (450484),2021,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,1.7,,
3059,STEPHENS MEMORIAL HOSPITAL (450498),2021,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,41.5,,
