,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,Abdomen CT Use of Contrast Material (OP-10),Breast Cancer Screening Recall Rates (OP-39),MRI Lumbar Spine for Low Back Pain (OP-8),Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery (OP-13)
3409,OCHILTREE GENERAL HOSPITAL (451359),2022,Critical Access,Voluntary non-profit - Church,25.0,36.369691,-100.799798,TX,1.4,,,
3410,SABINE COUNTY HOSPITAL (451361),2022,Critical Access,Proprietary,25.0,,,TX,7.6,,,
3411,JACKSON HEALTHCARE CENTER (451363),2022,Critical Access,Government - Hospital District or Authority,25.0,28.969388,-96.634839,TX,5.7,,,
3412,OTTO KAISER MEMORIAL HOSPITAL (451364),2022,Critical Access,Government - Hospital District or Authority,25.0,28.80425,-97.856642,TX,7.2,2.4,,
3413,ASCENSION SETON HIGHLAND LAKES (451365),2022,Critical Access,Voluntary non-profit - Private,25.0,,,TX,15.6,7.2,,0.0
3414,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL (451367),2022,Critical Access,Voluntary non-profit - Other,25.0,33.02843,-94.962966,TX,2.0,,,3.6
3415,TMC- BONHAM HOSPITAL (451370),2022,Critical Access,Government - Hospital District or Authority,24.0,33.57813,-96.167479,TX,11.5,,,
3416,ASCENSION SETON EDGAR B DAVIS (451371),2022,Critical Access,Government - Federal,24.0,29.67253,-97.654254,TX,3.3,13.4,,
3417,MULESHOE AREA MEDICAL CENTER (451372),2022,Critical Access,Proprietary,25.0,34.221029,-102.728458,TX,5.5,,,
3418,WARD MEMORIAL HOSPITAL (451373),2022,Critical Access,Government - Local,24.0,31.59397,-102.884583,TX,1.2,,,
3419,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR (451374),2022,Critical Access,Voluntary non-profit - Private,25.0,30.591931,-97.415265,TX,4.4,7.7,,
3420,LIBERTY DAYTON REGIONAL MEDICAL CENTER (451375),2022,Critical Access,Proprietary,25.0,30.068515,-94.797888,TX,7.8,,,
3421,LAVACA MEDICAL CENTER (451376),2022,Critical Access,Government - Hospital District or Authority,25.0,29.457145,-96.939877,TX,12.0,7.7,,
3422,REEVES COUNTY HOSPITAL DISTRICT (451377),2022,Critical Access,Government - Local,25.0,31.401575,-103.512831,TX,5.3,,,
3423,BIG BEND REGIONAL MEDICAL CENTER (451378),2022,Critical Access,Proprietary,25.0,30.383811,-103.67214,TX,13.0,,,
3424,CORYELL MEMORIAL HOSPITAL (451379),2022,Critical Access,Government - Hospital District or Authority,25.0,31.433152,-97.778822,TX,1.5,6.5,,5.1
3425,UT HEALTH EAST TEXAS QUITMAN HOSPITAL (451380),2022,Critical Access,Voluntary non-profit - Private,25.0,32.796155,-95.445296,TX,2.8,,,3.4
3426,COMANCHE COUNTY MEDICAL CENTER (451382),2022,Critical Access,Voluntary non-profit - Private,25.0,31.984614,-98.563264,TX,19.6,3.5,,3.2
3427,COGDELL MEMORIAL HOSPITAL (451384),2022,Critical Access,Government - Hospital District or Authority,25.0,32.688519,-100.916021,TX,11.7,9.8,,
3428,GOODALL WITCHER HOSPITAL (451385),2022,Critical Access,Government - Hospital District or Authority,25.0,31.777153,-97.588431,TX,9.5,12.9,,
3429,MEMORIAL HOSPITAL (451386),2022,Critical Access,Government - Hospital District or Authority,20.0,35.864264,-101.971006,TX,6.6,11.5,,
3430,UVALDE MEMORIAL HOSPITAL (451387),2022,Critical Access,Government - Hospital District or Authority,21.0,29.215126,-99.768668,TX,12.3,2.5,,2.1
3431,FRIO REGIONAL HOSPITAL (451391),2022,Critical Access,Voluntary non-profit - Private,23.0,28.897048,-99.116013,TX,10.0,2.6,,
3432,HAMILTON GENERAL HOSPITAL (451392),2022,Critical Access,Government - Hospital District or Authority,25.0,31.703852,-98.113462,TX,2.5,2.5,,
3433,HILL REGIONAL HOSPITAL (451395),2022,Critical Access,Voluntary non-profit - Private,25.0,32.011912,-97.099153,TX,2.3,3.8,,
3434,UTAH VALLEY HOSPITAL (460001),2022,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,4.1,7.2,43.4,
3435,SALT LAKE REGIONAL MEDICAL CENTER (460003),2022,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,10.7,11.2,,
3436,MCKAY DEE HOSPITAL (460004),2022,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,2.9,8.4,54.7,6.6
3437,OGDEN REGIONAL MEDICAL CENTER (460005),2022,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,3.7,8.7,56.1,3.8
3438,LDS HOSPITAL (460006),2022,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,6.1,7.7,,
3439,CEDAR CITY HOSPITAL (460007),2022,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,5.2,11.3,56.8,0.0
3440,UNIVERSITY OF UTAH HOSPITALS AND CLINICS (460009),2022,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,4.7,6.5,50.0,4.4
3441,INTERMOUNTAIN MEDICAL CENTER (460010),2022,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,1.8,7.1,44.4,4.9
3442,CASTLEVIEW HOSPITAL (460011),2022,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,2.6,4.7,53.0,7.6
3443,MOUNTAIN VIEW HOSPITAL (460013),2022,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,7.0,8.6,,
3444,MOUNTAIN WEST MEDICAL CENTER (460014),2022,Acute Care,Proprietary,36.0,,,UT,0.9,7.9,,
3445,LOGAN REGIONAL HOSPITAL (460015),2022,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,8.6,6.4,55.2,3.8
3446,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2022,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,16.9,1.8,,
3447,UINTAH BASIN MEDICAL CENTER (460019),2022,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,0.4,4.0,51.1,5.5
3448,ST. GEORGE REGIONAL HOSPITAL (460021),2022,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,8.9,4.2,42.9,7.8
3449,AMERICAN FORK HOSPITAL (460023),2022,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,2.7,7.7,45.0,
3450,SEVIER VALLEY HOSPITAL (460026),2022,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,7.3,8.1,47.1,2.5
3451,ASHLEY REGIONAL MEDICAL CENTER (460030),2022,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,4.7,10.0,,
3452,BEAR RIVER VALLEY HOSPITAL (460039),2022,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,7.3,7.4,,
3453,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2022,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,1.8,7.3,,
3454,LAKEVIEW HOSPITAL (460042),2022,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,4.2,10.0,52.0,
3455,OREM COMMUNITY HOSPITAL (460043),2022,Acute Care,Voluntary non-profit - Private,20.0,40.303255,-111.705407,UT,6.7,5.6,56.1,
3456,ALTA VIEW HOSPITAL (460044),2022,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,3.9,7.0,51.0,
3457,ST MARK'S HOSPITAL (460047),2022,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,5.1,6.1,61.5,3.2
3458,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2022,Acute Care,Voluntary non-profit - Private,38.0,,,UT,9.4,,52.3,
3459,JORDAN VALLEY MEDICAL CENTER (460051),2022,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,3.3,12.0,60.0,5.4
3460,TIMPANOGOS REGIONAL HOSPITAL (460052),2022,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,8.9,15.9,,
3461,CACHE VALLEY HOSPITAL (460054),2022,Acute Care,Proprietary,25.0,41.775714,-111.823092,UT,,2.2,,
3462,PARK CITY HOSPITAL (460057),2022,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,5.0,3.3,48.1,3.2
3463,RIVERTON HOSPITAL (460058),2022,Acute Care,Voluntary non-profit - Private,88.0,40.522238,-111.979725,UT,4.5,8.7,,
3464,LONE PEAK HOSPITAL (460060),2022,Acute Care,Proprietary,33.0,40.535238,-111.891464,UT,3.9,5.5,44.7,3.3
3465,LAYTON HOSPITAL (460061),2022,Acute Care,Voluntary non-profit - Private,36.0,41.054447,-111.96761,UT,1.9,,53.1,
3466,DELTA COMMUNITY HOSPITAL (461300),2022,Critical Access,Voluntary non-profit - Private,18.0,39.350294,-112.560023,UT,4.6,7.2,,
3467,FILLMORE COMMUNITY HOSPITAL (461301),2022,Critical Access,Voluntary non-profit - Private,16.0,38.954161,-112.339455,UT,,12.6,,
3468,SANPETE VALLEY HOSPITAL - CAH (461303),2022,Critical Access,Voluntary non-profit - Private,18.0,39.531803,-111.461194,UT,2.8,10.1,,
3469,CENTRAL VALLEY MEDICAL CENTER - CAH (461304),2022,Critical Access,Voluntary non-profit - Private,25.0,39.730587,-111.837215,UT,3.2,14.9,,
3470,HEBER VALLEY HOSPITAL (461307),2022,Critical Access,Voluntary non-profit - Private,19.0,40.489047,-111.409218,UT,2.9,5.7,50.0,
3471,SAN JUAN HOSPITAL (461308),2022,Critical Access,Government - Local,22.0,37.873875,-109.350062,UT,4.3,,,
3472,GARFIELD MEMORIAL HOSPITAL (461333),2022,Critical Access,Voluntary non-profit - Other,36.0,37.828772,-112.435476,UT,1.7,8.1,,
3473,BEAVER VALLEY HOSPITAL (461335),2022,Critical Access,Government - Local,25.0,38.289258,-112.643204,UT,1.7,,,
3474,CENTRAL VERMONT MEDICAL CENTER (470001),2022,Acute Care,Voluntary non-profit - Private,79.0,,,VT,3.2,6.4,42.5,4.0
3475,UNIV. OF VERMONT - FLETCHER ALLEN HEALTH CARE (470003),2022,Acute Care,Voluntary non-profit - Other,456.0,44.480991,-73.195518,VT,5.2,9.1,30.5,2.4
3476,RUTLAND REGIONAL MEDICAL CENTER (470005),2022,Acute Care,Voluntary non-profit - Other,124.0,43.599188,-72.956195,VT,2.2,8.0,39.5,2.7
3477,BRATTLEBORO MEMORIAL HOSPITAL (470011),2022,Acute Care,Voluntary non-profit - Private,47.0,42.84207,-72.564643,VT,4.4,3.8,40.5,5.4
3478,SOUTHWESTERN VERMONT MEDICAL CENTER (470012),2022,Acute Care,Voluntary non-profit - Private,76.0,42.873911,-73.204343,VT,5.2,9.5,46.8,4.5
3479,NORTHWESTERN MEDICAL CENTER INC (470024),2022,Acute Care,Voluntary non-profit - Other,52.0,44.806463,-73.072549,VT,8.3,10.1,44.9,3.0
3480,GRACE COTTAGE HOSPITAL (471300),2022,Critical Access,Voluntary non-profit - Private,19.0,,,VT,4.6,,,
3481,GIFFORD MEDICAL CENTER (471301),2022,Critical Access,Voluntary non-profit - Private,38.0,43.917547,-72.666255,VT,2.6,5.2,,2.8
3482,NORTHEASTERN VERMONT REGIONAL HOSPITAL (471303),2022,Critical Access,Voluntary non-profit - Private,25.0,44.445262,-72.009516,VT,2.8,22.8,,5.8
3483,NORTH COUNTRY HOSPITAL AND HEALTH CENTER (471304),2022,Critical Access,Voluntary non-profit - Private,25.0,44.954614,-72.200339,VT,1.8,6.5,50.0,0.0
3484,COPLEY HOSPITAL (471305),2022,Critical Access,Voluntary non-profit - Private,25.0,44.554186,-72.591214,VT,2.2,16.0,,1.3
3485,"PORTER HOSPITAL, INC (471307)",2022,Critical Access,Voluntary non-profit - Private,25.0,43.99947,-73.169803,VT,5.5,5.1,,2.5
3486,"ROY LESTER SCHNEIDER HOSPITAL,THE (480001)",2022,Acute Care,Government - Local,115.0,,,VI,1.9,,,4.3
3487,RUSSELL COUNTY HOSPITAL (490002),2022,Acute Care,Voluntary non-profit - Private,63.0,36.899027,-82.078105,VA,0.8,2.0,,
3488,SENTARA RMH MEDICAL CENTER (490004),2022,Acute Care,Voluntary non-profit - Private,238.0,38.40614,-78.858322,VA,6.4,5.6,51.3,4.4
3489,WINCHESTER MEDICAL CENTER (490005),2022,Acute Care,Voluntary non-profit - Private,461.0,39.1916,-78.193088,VA,6.6,6.8,34.8,3.7
3490,SENTARA NORFOLK GENERAL HOSPITAL (490007),2022,Acute Care,Voluntary non-profit - Other,527.0,36.859728,-76.30482,VA,6.3,6.7,25.0,4.0
3491,UNIVERSITY OF VIRGINIA MEDICAL CENTER (490009),2022,Acute Care,Government - State,600.0,38.031829,-78.498455,VA,2.9,11.0,,2.9
3492,SENTARA HALIFAX REGIONAL HOSPITAL (490013),2022,Acute Care,Voluntary non-profit - Private,143.0,36.713485,-78.913198,VA,5.6,8.5,40.0,3.8
3493,BON SECOURS MARYVIEW MEDICAL CENTER (490017),2022,Acute Care,Voluntary non-profit - Private,341.0,36.836211,-76.348365,VA,9.3,6.5,33.9,2.5
3494,AUGUSTA HEALTH (490018),2022,Acute Care,Voluntary non-profit - Private,244.0,38.092332,-78.988461,VA,7.1,11.6,46.4,4.5
3495,NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE (490019),2022,Acute Care,Voluntary non-profit - Other,70.0,38.454848,-78.011305,VA,0.7,8.2,,7.2
3496,JOHN RANDOLPH MEDICAL CENTER (490020),2022,Acute Care,Proprietary,147.0,37.307065,-77.291491,VA,6.8,10.2,36.2,
3497,CENTRA HEALTH -  LYNCHBURG GEN HOSPITAL (490021),2022,Acute Care,Voluntary non-profit - Private,605.0,37.416648,-79.169753,VA,4.0,8.2,,4.3
3498,MARY WASHINGTON HOSPITAL (490022),2022,Acute Care,Voluntary non-profit - Private,432.0,38.310732,-77.481482,VA,0.4,,,0.9
3499,FAUQUIER HOSPITAL (490023),2022,Acute Care,Voluntary non-profit - Private,97.0,38.714858,-77.808306,VA,6.3,5.8,46.3,2.5
3500,CARILION MEDICAL CENTER (490024),2022,Acute Care,Voluntary non-profit - Private,728.0,37.252046,-79.942297,VA,6.4,7.6,41.8,3.0
3501,MEDICAL COLLEGE OF VIRGINIA HOSPITALS (490032),2022,Acute Care,Government - Hospital District or Authority,754.0,,,VA,7.6,8.4,43.7,4.9
3502,WARREN MEMORIAL HOSPITAL (490033),2022,Acute Care,Voluntary non-profit - Other,166.0,38.930415,-78.19893,VA,6.0,6.2,,3.4
3503,RIVERSIDE SHORE MEMORIAL HOSPITAL (490037),2022,Acute Care,Voluntary non-profit - Private,95.0,37.699712,-75.720937,VA,5.3,8.0,,3.3
3504,SMYTH COUNTY COMMUNITY HOSPITAL (490038),2022,Acute Care,Voluntary non-profit - Private,152.0,36.850466,-81.489801,VA,2.6,2.1,53.8,6.2
3505,INOVA ALEXANDRIA HOSPITAL (490040),2022,Acute Care,Voluntary non-profit - Private,327.0,38.824128,-77.104437,VA,5.2,6.8,44.0,4.4
3506,MARY IMMACULATE HOSPITAL (490041),2022,Acute Care,Voluntary non-profit - Private,219.0,37.143006,-76.51312,VA,2.7,,,
3507,CARILION NEW RIVER VALLEY MEDICAL CENTER (490042),2022,Acute Care,Voluntary non-profit - Private,142.0,37.08894,-80.506786,VA,7.3,8.5,42.3,2.1
3508,INOVA LOUDOUN HOSPITAL (490043),2022,Acute Care,Voluntary non-profit - Private,282.0,39.074609,-77.475227,VA,3.0,9.4,44.1,3.4
3509,SENTARA OBICI HOSPITAL (490044),2022,Acute Care,Voluntary non-profit - Other,181.0,36.773058,-76.583413,VA,6.3,5.9,43.1,2.5
3510,NOVANT PRINCE WILLIAM MEDICAL CENTER (490045),2022,Acute Care,Voluntary non-profit - Private,144.0,38.767458,-77.484936,VA,4.3,5.6,,
3511,SENTARA LEIGH HOSPITAL (490046),2022,Acute Care,Voluntary non-profit - Other,251.0,36.850592,-76.191695,VA,9.0,8.0,42.6,3.5
3512,LEWISGALE MEDICAL CENTER (490048),2022,Acute Care,Voluntary non-profit - Other,365.0,37.2651,-80.033158,VA,3.7,2.2,45.0,3.3
3513,VIRGINIA HOSPITAL CENTER (490050),2022,Acute Care,Voluntary non-profit - Private,356.0,38.889088,-77.128654,VA,7.6,7.8,54.4,4.5
3514,RIVERSIDE REGIONAL MEDICAL CENTER (490052),2022,Acute Care,Voluntary non-profit - Private,357.0,37.06389,-76.4854,VA,3.3,4.7,37.3,4.1
3515,JOHNSTON MEMORIAL HOSPITAL (490053),2022,Acute Care,Voluntary non-profit - Private,118.0,36.72067,-81.90856,VA,4.6,2.1,48.1,2.8
3516,SENTARA VIRGINIA BEACH GENERAL HOSPITAL (490057),2022,Acute Care,Voluntary non-profit - Other,268.0,36.864158,-76.028342,VA,5.6,5.9,44.6,4.0
3517,BON SECOURS ST MARYS HOSPITAL (490059),2022,Acute Care,Voluntary non-profit - Church,416.0,37.584405,-77.513262,VA,4.7,6.1,45.4,2.1
3518,CLINCH VALLEY MEDICAL CENTER (490060),2022,Acute Care,Proprietary,175.0,37.093978,-81.819444,VA,13.7,4.0,39.6,3.3
3519,INOVA FAIRFAX HOSPITAL (490063),2022,Acute Care,Voluntary non-profit - Private,888.0,38.857674,-77.225833,VA,2.2,11.3,,3.6
3520,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER (490066),2022,Acute Care,Voluntary non-profit - Private,131.0,37.335033,-76.742161,VA,10.4,6.9,38.2,6.7
3521,SOUTHSIDE REGIONAL MEDICAL CENTER (490067),2022,Acute Care,Proprietary,301.0,37.183654,-77.361466,VA,9.7,7.2,46.2,
3522,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER (490069),2022,Acute Care,Voluntary non-profit - Church,223.0,37.629352,-77.388102,VA,8.5,5.2,36.6,4.1
3523,SOVAH HEALTH MARTINSVILLE (490075),2022,Acute Care,Proprietary,291.0,36.577072,-79.40481,VA,2.5,4.1,29.9,3.1
3524,SENTARA MARTHA JEFFERSON HOSPITAL (490077),2022,Acute Care,Voluntary non-profit - Private,162.0,38.025106,-78.444855,VA,7.4,8.4,41.2,2.3
3525,VCU HEALTH TAPPAHANNOCK HOSPITAL (490084),2022,Acute Care,Voluntary non-profit - Private,67.0,37.900668,-76.877614,VA,6.2,4.0,,3.2
3526,CENTRA BEDFORD MEMORIAL HOSPITAL (490088),2022,Acute Care,Voluntary non-profit - Private,142.0,37.351563,-79.516415,VA,3.4,9.2,,5.1
3527,CARILION FRANKLIN MEMORIAL HOSPITAL (490089),2022,Acute Care,Voluntary non-profit - Private,37.0,36.994584,-79.889813,VA,4.4,7.6,53.7,1.6
3528,"CENTRA SOUTHSIDE COMMUNITY HOSPITAL, INC (490090)",2022,Acute Care,Voluntary non-profit - Other,84.0,37.303317,-78.403058,VA,2.6,8.0,50.0,2.0
3529,BON SECOURS SOUTHAMPTON MEMORIAL HOSPITAL (490092),2022,Acute Care,Proprietary,205.0,36.691171,-76.934942,VA,16.9,7.7,,2.9
3530,SENTARA CAREPLEX HOSPITAL (490093),2022,Acute Care,Voluntary non-profit - Private,193.0,37.056448,-76.392362,VA,10.0,8.6,49.4,3.2
3531,BON SECOURS RICHMOND COMMUNITY HOSPITAL (490094),2022,Acute Care,Voluntary non-profit - Private,101.0,37.540264,-77.406271,VA,2.8,5.5,,
3532,BON SECOURS SOUTHERN VIRGINIA MEDICAL CENTER (490097),2022,Acute Care,Proprietary,80.0,36.701568,-77.535985,VA,6.3,8.1,,
3533,COMMUNITY MEMORIAL HOSPITAL (490098),2022,Acute Care,Voluntary non-profit - Private,229.0,36.747656,-78.104106,VA,3.8,7.0,,3.1
3534,INOVA FAIR OAKS HOSPITAL (490101),2022,Acute Care,Voluntary non-profit - Other,178.0,38.882234,-77.382499,VA,2.9,8.5,38.3,2.9
3535,RESTON HOSPITAL CENTER (490107),2022,Acute Care,Voluntary non-profit - Private,204.0,38.96189,-77.362657,VA,6.4,5.2,,
3536,LEWISGALE HOSPITAL MONTGOMERY (490110),2022,Acute Care,Proprietary,91.0,37.185621,-80.408612,VA,8.3,4.9,48.1,4.4
3537,WYTHE COUNTY COMMUNITY HOSPITAL (490111),2022,Acute Care,Proprietary,100.0,36.953297,-81.095069,VA,7.7,6.6,,2.7
3538,CJW MEDICAL CENTER (490112),2022,Acute Care,Proprietary,787.0,37.515832,-77.52488,VA,3.9,6.4,41.5,3.5
3539,SENTARA NORTHERN VIRGINIA MEDICAL CENTER (490113),2022,Acute Care,Voluntary non-profit - Private,163.0,38.634953,-77.284211,VA,7.8,4.4,40.0,
3540,LONESOME PINE HOSPITAL (490114),2022,Acute Care,Voluntary non-profit - Other,119.0,36.877284,-82.75567,VA,10.4,7.9,,
3541,TWIN COUNTY REGIONAL HOSPITAL (490115),2022,Acute Care,Voluntary non-profit - Private,155.0,36.671813,-80.923814,VA,7.0,4.4,50.0,
3542,LEWISGALE HOSPITAL PULASKI (490116),2022,Acute Care,Proprietary,84.0,37.068744,-80.758807,VA,1.6,5.7,,6.7
3543,CARILION TAZEWELL COMMUNITY HOSPITAL (490117),2022,Acute Care,Voluntary non-profit - Other,48.0,,,VA,4.6,5.7,,
3544,HENRICO DOCTORS' HOSPITAL (490118),2022,Acute Care,Proprietary,765.0,37.604045,-77.537717,VA,5.3,10.3,37.5,3.7
3545,SENTARA PRINCESS ANNE HOSPITAL (490119),2022,Acute Care,Voluntary non-profit - Other,166.0,36.777194,-76.096738,VA,4.4,5.2,42.9,4.7
3546,CHESAPEAKE GENERAL HOSPITAL (490120),2022,Acute Care,Government - Hospital District or Authority,309.0,36.746111,-76.244828,VA,9.8,8.9,53.7,2.7
3547,INOVA MOUNT VERNON HOSPITAL (490122),2022,Acute Care,Voluntary non-profit - Private,236.0,38.740184,-77.07479,VA,5.6,10.1,46.4,5.0
3548,LEWISGALE HOSPITAL ALLEGHANY (490126),2022,Acute Care,Voluntary non-profit - Private,109.0,,,VA,2.5,1.7,47.7,4.6
3549,BUCHANAN GENERAL HOSPITAL (490127),2022,Acute Care,Voluntary non-profit - Private,84.0,37.285506,-82.067817,VA,4.5,5.8,,
3550,RIVERSIDE WALTER REED HOSPITAL (490130),2022,Acute Care,Voluntary non-profit - Private,67.0,37.419475,-76.54318,VA,3.0,4.5,41.2,2.7
3551,BON SECOURS ST FRANCIS MEDICAL CENTER (490136),2022,Acute Care,Voluntary non-profit - Church,130.0,37.466398,-77.659056,VA,5.7,5.6,42.8,3.3
3552,"STAFFORD HOSPITAL, LLC (490140)",2022,Acute Care,Voluntary non-profit - Private,90.0,38.413924,-77.408606,VA,0.3,,,
3553,SPOTSYLVANIA REGIONAL MEDICAL CENTER (490141),2022,Acute Care,Proprietary,130.0,38.219496,-77.49645,VA,2.0,9.9,,0.0
3554,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG (490143),2022,Acute Care,Voluntary non-profit - Private,40.0,37.251622,-76.666875,VA,1.5,,,
3555,NOVANT HEALTH UVA HEALTH HAYMARKET MEDICAL CENTER (490144),2022,Acute Care,Voluntary non-profit - Private,55.0,38.822174,-77.641889,VA,4.1,5.9,42.1,
3556,STONESPRINGS HOSPITAL CENTER (490145),2022,Acute Care,Proprietary,124.0,38.941185,-77.544301,VA,4.4,19.4,,
3557,BATH COMMUNITY HOSPITAL (491300),2022,Critical Access,Voluntary non-profit - Private,19.0,37.99389,-79.830959,VA,5.7,4.2,,
3558,CARILION GILES COMMUNITY HOSPITAL (491302),2022,Critical Access,Voluntary non-profit - Private,25.0,37.332697,-80.710747,VA,11.6,8.3,,2.0
3559,CARILION STONEWALL JACKSON HOSPITAL (491304),2022,Critical Access,Voluntary non-profit - Private,25.0,37.778455,-79.442049,VA,4.9,6.1,,2.2
3560,SHENANDOAH MEMORIAL HOSPITAL (491305),2022,Critical Access,Voluntary non-profit - Private,25.0,38.871586,-78.513936,VA,4.3,4.8,41.5,0.0
3561,"PAGE MEMORIAL HOSPITAL, INC (491307)",2022,Critical Access,Voluntary non-profit - Private,25.0,38.662482,-78.469864,VA,4.5,9.9,,
3562,RAPPAHANNOCK GENERAL HOSPITAL (491308),2022,Critical Access,Voluntary non-profit - Private,35.0,37.70029,-76.389778,VA,8.4,5.5,45.9,2.5
3563,PROVIDENCE ST MARY MEDICAL CENTER (500002),2022,Acute Care,Voluntary non-profit - Private,98.0,46.06294,-118.343136,WA,5.1,9.4,31.0,3.3
3564,SKAGIT VALLEY HOSPITAL (500003),2022,Acute Care,Government - Hospital District or Authority,136.0,48.417422,-122.324335,WA,7.3,,42.4,2.5
3565,VIRGINIA MASON MEDICAL CENTER (500005),2022,Acute Care,Voluntary non-profit - Private,267.0,47.610179,-122.327809,WA,8.8,16.0,38.0,5.7
3566,ISLAND HOSPITAL (500007),2022,Acute Care,Government - Hospital District or Authority,42.0,48.502883,-122.615825,WA,5.8,8.0,44.4,2.6
3567,UNIVERSITY OF WASHINGTON MEDICAL CTR (500008),2022,Acute Care,Government - State,466.0,47.650506,-122.307482,WA,5.8,5.1,47.3,3.8
3568,HIGHLINE MEDICAL CENTER (500011),2022,Acute Care,Voluntary non-profit - Private,164.0,47.456778,-122.341455,WA,1.4,5.6,,2.6
3569,PROVIDENCE REGIONAL MEDICAL CENTER EVERETT (500014),2022,Acute Care,Voluntary non-profit - Church,505.0,48.000086,-122.207979,WA,2.5,5.4,38.8,1.8
3570,MULTICARE AUBURN MEDICAL CENTER (500015),2022,Acute Care,Voluntary non-profit - Private,146.0,47.309343,-122.229833,WA,4.0,,,
3571,CENTRAL WASHINGTON HOSPITAL (500016),2022,Acute Care,Voluntary non-profit - Private,190.0,47.407963,-120.324593,WA,3.3,,38.0,4.4
3572,PROVIDENCE CENTRALIA HOSPITAL (500019),2022,Acute Care,Voluntary non-profit - Other,106.0,46.71235,-122.986989,WA,4.7,7.6,51.0,3.5
3573,ST CLARE HOSPITAL (500021),2022,Acute Care,Voluntary non-profit - Church,100.0,47.154213,-122.504495,WA,3.5,,,5.3
3574,PROVIDENCE ST PETER HOSPITAL (500024),2022,Acute Care,Voluntary non-profit - Private,324.0,47.052791,-122.844369,WA,6.3,,,4.5
3575,SWEDISH MEDICAL CENTER / CHERRY HILL (500025),2022,Acute Care,Voluntary non-profit - Church,207.0,47.606221,-122.310249,WA,5.9,,38.8,3.8
3576,SWEDISH EDMONDS HOSPITAL (500026),2022,Acute Care,Voluntary non-profit - Private,168.0,47.802884,-122.33569,WA,1.6,10.8,,3.2
3577,SWEDISH MEDICAL CENTER (500027),2022,Acute Care,Voluntary non-profit - Private,666.0,47.60924,-122.320767,WA,3.2,9.4,51.1,
3578,ST JOSEPH HOSPITAL (500030),2022,Acute Care,Voluntary non-profit - Other,244.0,48.772278,-122.474878,WA,0.4,,,3.5
3579,GRAYS HARBOR COMMUNITY HOSPITAL (500031),2022,Acute Care,Voluntary non-profit - Private,83.0,46.9796,-123.846387,WA,9.4,7.1,37.3,2.2
3580,SAMARITAN HOSPITAL (500033),2022,Acute Care,Government - Hospital District or Authority,47.0,47.131115,-119.264735,WA,2.4,12.3,,
3581,YAKIMA VALLEY MEMORIAL (500036),2022,Acute Care,Voluntary non-profit - Private,235.0,46.592727,-120.550396,WA,7.1,8.7,42.1,5.6
3582,ASTRIA TOPPENISH HOSPITAL (500037),2022,Acute Care,Proprietary,39.0,46.37135,-120.316682,WA,2.6,5.8,,
3583,HARRISON MEDICAL CENTER (500039),2022,Acute Care,Voluntary non-profit - Private,274.0,47.583429,-122.62601,WA,7.3,9.1,41.5,2.9
3584,PEACEHEALTH ST JOHN MEDICAL CENTER (500041),2022,Acute Care,Voluntary non-profit - Church,170.0,46.130992,-122.941192,WA,1.7,4.8,52.2,1.4
