,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-COPD (Excess Readmission Ratio),READM-30-COPD (Expected Readmission Rate),READM-30-COPD (Number of Discharges),READM-30-COPD (Number of Readmissions),READM-30-COPD (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-HIP-KNEE (Excess Readmission Ratio),READM-30-HIP-KNEE (Expected Readmission Rate),READM-30-HIP-KNEE (Number of Discharges),READM-30-HIP-KNEE (Number of Readmissions),READM-30-HIP-KNEE (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
2534,SANFORD ABERDEEN MEDICAL CENTER (430097),2015,Acute Care,Voluntary non-profit - Private,48.0,45.46214,-98.447237,SD,,,,,,1.0069,21.0,,,21.1,0.9812,24.2,,,23.8,,,,,,0.9888,18.3,,,18.1
2535,UNICOI COUNTY MEMORIAL HOSPITAL (440001),2015,Acute Care,Voluntary non-profit - Private,62.0,36.121365,-82.445621,TN,,,,,,1.0135,17.2,132.0,24.0,17.5,1.0325,20.7,57.0,14.0,21.3,0.9745,5.3,,,5.2,1.0725,15.6,137.0,27.0,16.7
2536,JACKSON-MADISON COUNTY GENERAL HOSPITAL (440002),2015,Acute Care,Government - Hospital District or Authority,662.0,35.63954,-88.831973,TN,0.9931,17.6,1633.0,285.0,17.5,0.9668,22.4,1190.0,255.0,21.6,1.0311,23.9,1967.0,486.0,24.6,0.8977,5.4,766.0,35.0,4.8,1.0153,18.9,874.0,169.0,19.2
2537,SUMNER REGIONAL MEDICAL CENTER (440003),2015,Acute Care,Proprietary,158.0,36.391117,-86.434341,TN,0.9955,20.3,115.0,23.0,20.2,1.2514,21.7,389.0,123.0,27.1,1.0261,22.6,209.0,50.0,23.2,0.9517,4.7,,,4.5,1.2007,17.8,349.0,86.0,21.4
2538,TRISTAR SKYLINE MEDICAL CENTER (440006),2015,Acute Care,Voluntary non-profit - Private,355.0,36.245301,-86.756463,TN,1.0196,16.5,89.0,16.0,16.8,0.9817,21.9,401.0,85.0,21.5,1.0211,22.1,305.0,70.0,22.5,1.1108,5.4,168.0,12.0,6.0,1.0946,18.5,377.0,82.0,20.3
2539,UNITED REGIONAL MEDICAL CENTER (440007),2015,Acute Care,Physician,57.0,35.497932,-86.078141,TN,,,,,,1.013,21.7,,,22.0,0.9447,21.7,,,20.5,,,,,,0.8553,16.8,280.0,31.0,14.3
2540,HENDERSON COUNTY COMMUNITY HOSPITAL (440008),2015,Acute Care,Proprietary,36.0,35.654195,-88.398838,TN,,,,,,1.0328,19.6,151.0,33.0,20.3,1.0971,21.4,96.0,28.0,23.5,,,,,,1.0114,15.0,121.0,19.0,15.2
2541,CUMBERLAND MEDICAL CENTER (440009),2015,Acute Care,Voluntary non-profit - Private,99.0,35.942713,-85.023007,TN,1.0146,21.2,89.0,20.0,21.5,1.0479,21.6,457.0,107.0,22.6,0.9874,23.2,497.0,113.0,22.9,0.9837,4.8,,,4.8,1.0279,18.0,315.0,60.0,18.5
2542,WAYNE MEDICAL CENTER (440010),2015,Acute Care,Voluntary non-profit - Other,30.0,35.325355,-87.757533,TN,,,,,,1.0793,22.0,127.0,36.0,23.8,0.9525,23.6,75.0,14.0,22.5,,,,,,1.0641,18.9,130.0,30.0,20.1
2543,BLOUNT MEMORIAL HOSPITAL (440011),2015,Acute Care,Government - Local,294.0,35.754975,-83.958602,TN,1.0058,18.6,159.0,30.0,18.7,0.9921,19.6,446.0,86.0,19.4,1.0792,22.7,454.0,116.0,24.6,1.057,5.3,248.0,15.0,5.6,1.1296,17.6,831.0,173.0,19.9
2544,WELLMONT BRISTOL REGIONAL MEDICAL CENTER (440012),2015,Acute Care,Government - Hospital District or Authority,293.0,,,TN,0.9886,16.1,443.0,70.0,15.9,1.0672,20.5,589.0,134.0,21.9,1.1221,22.2,603.0,157.0,24.9,1.0015,4.8,334.0,16.0,4.8,1.113,17.5,802.0,163.0,19.5
2545,THE UNIVERSITY OF TN MEDICAL CENTER (440015),2015,Acute Care,Voluntary non-profit - Private,608.0,35.93826,-83.946678,TN,0.9932,16.4,328.0,53.0,16.3,1.0008,21.3,371.0,79.0,21.3,0.9815,22.5,554.0,121.0,22.0,0.8369,5.1,475.0,17.0,4.2,1.0,18.5,411.0,76.0,18.5
2546,BAPTIST MEMORIAL HOSPITAL HUNTINGDON (440016),2015,Acute Care,Voluntary non-profit - Private,60.0,36.023041,-88.413492,TN,,,,,,0.991,19.7,75.0,14.0,19.5,0.9651,20.3,97.0,17.0,19.6,,,,,,0.977,16.6,95.0,14.0,16.2
2547,WELLMONT HOLSTON VALLEY MEDICAL CENTER (440017),2015,Acute Care,Voluntary non-profit - Private,342.0,36.553005,-82.55426,TN,1.0699,16.9,639.0,119.0,18.1,1.0603,22.7,533.0,133.0,24.1,1.1588,23.4,631.0,180.0,27.1,1.2858,4.8,363.0,27.0,6.2,0.9971,19.0,497.0,94.0,18.9
2548,SYCAMORE SHOALS HOSPITAL (440018),2015,Acute Care,Voluntary non-profit - Private,121.0,36.343941,-82.249623,TN,,,,,,1.0054,20.5,246.0,51.0,20.6,0.9802,23.0,125.0,27.0,22.5,,,,,,1.1159,17.4,259.0,57.0,19.4
2549,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM PULASKI (440020),2015,Acute Care,Proprietary,95.0,35.19129,-87.004322,TN,,,,,,0.9274,19.0,133.0,18.0,17.6,0.9686,23.1,62.0,12.0,22.4,,,,,,0.9505,16.1,111.0,14.0,15.3
2550,"LAUGHLIN MEMORIAL HOSPITAL, INC (440025)",2015,Acute Care,Voluntary non-profit - Private,230.0,,,TN,0.9998,19.6,,,19.6,1.1658,19.7,233.0,65.0,23.0,1.0392,22.2,237.0,57.0,23.1,0.8332,4.9,,,4.1,0.989,17.3,502.0,85.0,17.1
2551,WILLIAMSON MEDICAL CENTER (440029),2015,Acute Care,Government - Hospital District or Authority,190.0,35.916684,-86.817047,TN,1.0192,15.4,115.0,19.0,15.7,1.0932,19.2,264.0,62.0,21.0,1.0047,21.7,302.0,66.0,21.8,0.8685,5.1,780.0,32.0,4.4,0.9534,16.4,364.0,54.0,15.6
2552,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION (440030),2015,Acute Care,Government - Local,131.0,36.211948,-83.304345,TN,1.0059,16.3,169.0,28.0,16.4,1.0214,20.7,490.0,105.0,21.1,1.1396,22.6,249.0,72.0,25.8,1.3104,5.2,194.0,18.0,6.8,1.1555,17.7,396.0,90.0,20.5
2553,ROANE MEDICAL CENTER (440031),2015,Acute Care,Government - Hospital District or Authority,50.0,35.888312,-84.554418,TN,,,,,,0.9404,20.5,143.0,23.0,19.3,1.0662,22.6,88.0,25.0,24.1,,,,,,0.9575,18.7,205.0,34.0,17.9
2554,WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL (440032),2015,Acute Care,Voluntary non-profit - Private,37.0,36.399736,-83.012943,TN,,,,,,1.0283,23.6,82.0,22.0,24.2,1.0033,23.5,67.0,16.0,23.6,,,,,,0.9795,18.3,85.0,14.0,17.9
2555,TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER (440033),2015,Acute Care,Voluntary non-profit - Church,142.0,36.387967,-84.111365,TN,,,,,,1.0169,21.9,196.0,45.0,22.3,1.0478,24.0,180.0,48.0,25.1,,,,,,1.0431,18.9,297.0,61.0,19.7
2556,METHODIST MEDICAL CENTER OF OAK RIDGE (440034),2015,Acute Care,Voluntary non-profit - Private,208.0,36.023397,-84.2439,TN,1.0734,16.7,263.0,51.0,18.0,1.0897,21.1,420.0,103.0,23.0,1.0186,22.4,507.0,117.0,22.9,0.8634,5.0,565.0,22.0,4.4,1.094,17.8,311.0,66.0,19.5
2557,GATEWAY MEDICAL CENTER (440035),2015,Acute Care,Government - Hospital District or Authority,261.0,36.580414,-87.268485,TN,1.0783,17.6,200.0,42.0,18.9,1.141,19.6,650.0,155.0,22.3,1.153,21.9,441.0,120.0,25.3,0.9008,5.0,307.0,12.0,4.5,0.9178,17.9,574.0,89.0,16.4
2558,VANDERBILT UNIVERSITY HOSPITAL (440039),2015,Acute Care,Voluntary non-profit - Private,1019.0,36.142832,-86.800174,TN,1.0366,17.0,586.0,105.0,17.6,1.0054,22.6,196.0,45.0,22.8,0.9281,22.2,918.0,185.0,20.6,0.9145,5.1,332.0,14.0,4.7,1.0399,18.2,400.0,78.0,18.9
2559,PERRY COMMUNITY HOSPITAL (440040),2015,Acute Care,Proprietary,34.0,35.591854,-87.862909,TN,,,,,,1.0023,21.9,54.0,12.0,21.9,0.9821,21.6,137.0,28.0,21.2,,,,,,1.0797,18.4,148.0,34.0,19.8
2560,TRISTAR HORIZON MEDICAL CENTER (440046),2015,Acute Care,Proprietary,119.0,36.07212,-87.374808,TN,0.9887,18.8,,,18.6,0.9643,20.8,313.0,60.0,20.0,1.1269,23.7,310.0,90.0,26.7,1.1551,6.1,,,7.0,0.9605,18.1,221.0,36.0,17.4
2561,BAPTIST MEMORIAL HOSPITAL (440048),2015,Acute Care,Voluntary non-profit - Private,808.0,35.130758,-89.861022,TN,0.9331,17.6,843.0,135.0,16.5,0.953,20.4,825.0,157.0,19.5,0.8989,22.2,1715.0,336.0,19.9,0.9237,4.8,644.0,27.0,4.4,0.9353,17.4,1094.0,174.0,16.3
2562,METHODIST HEALTHCARE MEMPHIS HOSPITALS (440049),2015,Acute Care,Voluntary non-profit - Church,1358.0,35.137088,-90.019145,TN,1.0388,16.8,1082.0,191.0,17.5,1.0108,19.7,1243.0,248.0,19.9,1.0571,22.2,2388.0,564.0,23.5,0.9151,4.8,1303.0,56.0,4.4,1.0867,16.9,1221.0,229.0,18.3
2563,TAKOMA REGIONAL HOSPITAL (440050),2015,Acute Care,Voluntary non-profit - Private,121.0,36.175393,-82.790893,TN,,,,,,0.904,21.5,100.0,12.0,19.5,0.9756,23.4,59.0,12.0,22.8,,,,,,1.0214,18.0,118.0,23.0,18.4
2564,MCNAIRY REGIONAL HOSPITAL (440051),2015,Acute Care,Proprietary,28.0,,,TN,,,,,,1.0146,19.9,153.0,32.0,20.2,1.0191,22.2,57.0,14.0,22.6,,,,,,0.9727,16.2,112.0,16.0,15.7
2565,SAINT THOMAS RUTHERFORD HOSPITAL (440053),2015,Acute Care,Voluntary non-profit - Church,298.0,35.85864,-86.424241,TN,1.1549,16.6,215.0,49.0,19.2,1.0099,22.0,558.0,125.0,22.3,1.1698,23.0,570.0,163.0,26.9,1.1083,5.0,511.0,30.0,5.5,1.0539,17.3,768.0,143.0,18.2
2566,TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL (440056),2015,Acute Care,Proprietary,58.0,36.10686,-83.51964,TN,1.0992,22.1,31.0,13.0,24.2,0.9956,19.3,179.0,34.0,19.2,0.9539,22.0,199.0,39.0,21.0,1.0255,4.6,,,4.7,0.8747,17.7,239.0,29.0,15.5
2567,CLAIBORNE MEDICAL CENTER (440057),2015,Acute Care,Government - Local,143.0,36.453341,-83.571972,TN,1.039,21.6,,,22.4,0.9,24.7,122.0,19.0,22.2,0.9182,24.2,158.0,30.0,22.2,,,,,,1.0597,19.2,179.0,40.0,20.3
2568,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER (440058),2015,Acute Care,Proprietary,198.0,35.176023,-86.091076,TN,1.0152,19.6,,,19.9,1.0875,19.4,422.0,95.0,21.1,1.1725,21.3,286.0,81.0,25.0,1.1511,5.5,,,6.3,0.9699,16.3,409.0,63.0,15.8
2569,COOKEVILLE REGIONAL MEDICAL CENTER (440059),2015,Acute Care,Government - Local,240.0,36.16996,-85.50935,TN,1.0584,16.1,652.0,114.0,17.0,1.0632,22.4,841.0,205.0,23.8,0.9086,23.6,685.0,141.0,21.4,1.0383,5.0,677.0,36.0,5.2,0.9775,18.4,701.0,125.0,18.0
2570,MILAN GENERAL HOSPITAL (440060),2015,Acute Care,Government - Local,47.0,35.913311,-88.753495,TN,,,,,,,,,,,0.9942,21.2,,,21.1,,,,,,0.9903,16.2,,,16.1
2571,VOLUNTEER COMMUNITY HOSPITAL (440061),2015,Acute Care,Proprietary,44.0,36.333569,-88.869022,TN,,,,,,0.9962,20.5,231.0,47.0,20.5,0.8932,22.7,175.0,29.0,20.3,,,,,,1.0796,16.9,270.0,54.0,18.3
2572,JOHNSON CITY MEDICAL CENTER (440063),2015,Acute Care,Voluntary non-profit - Private,552.0,36.30826,-82.38649,TN,1.1457,17.6,794.0,168.0,20.2,1.0704,23.6,641.0,167.0,25.2,1.0337,23.8,843.0,209.0,24.6,1.0656,5.2,487.0,28.0,5.5,1.1363,20.0,815.0,193.0,22.7
2573,NORTHCREST MEDICAL CENTER (440065),2015,Acute Care,Voluntary non-profit - Other,109.0,36.479518,-86.888898,TN,1.0097,17.0,,,17.1,0.9546,21.4,272.0,52.0,20.4,0.9307,25.0,100.0,19.0,23.3,1.0255,6.0,,,6.1,0.9934,18.8,394.0,73.0,18.6
2574,LAKEWAY REGIONAL HOSPITAL (440067),2015,Acute Care,Proprietary,135.0,,,TN,,,,,,1.1566,19.7,180.0,52.0,22.8,1.0522,22.6,84.0,23.0,23.8,1.0427,5.2,,,5.4,1.0229,18.9,143.0,29.0,19.3
2575,STARR REGIONAL MEDICAL CENTER ATHENS (440068),2015,Acute Care,Proprietary,199.0,35.440789,-84.608823,TN,,,,,,1.037,19.9,118.0,27.0,20.6,1.1149,21.8,126.0,37.0,24.3,0.93,4.7,,,4.4,0.9464,16.3,261.0,37.0,15.4
2576,DECATUR COUNTY GENERAL HOSPITAL (440070),2015,Acute Care,Government - Local,40.0,35.635713,-88.12317,TN,,,,,,1.044,19.4,98.0,23.0,20.3,1.0503,21.8,53.0,15.0,22.9,,,,,,1.0247,16.5,193.0,34.0,16.9
2577,DYERSBURG REGIONAL MEDICAL CENTER (440072),2015,Acute Care,Proprietary,100.0,36.047358,-89.38059,TN,1.0844,22.7,119.0,34.0,24.6,1.1188,19.2,389.0,92.0,21.5,1.0383,23.6,411.0,103.0,24.5,,,,,,1.0786,16.8,201.0,41.0,18.1
2578,MAURY REGIONAL HOSPITAL (440073),2015,Acute Care,Government - Local,260.0,35.605855,-87.065844,TN,1.1007,15.3,309.0,57.0,16.8,1.1282,20.9,469.0,120.0,23.6,1.0627,21.8,562.0,134.0,23.2,0.7917,5.0,634.0,21.0,4.0,1.0001,17.3,867.0,150.0,17.3
2579,LECONTE MEDICAL CENTER (440081),2015,Acute Care,Voluntary non-profit - Other,106.0,35.853855,-83.536965,TN,0.9634,17.2,,,16.6,0.9215,18.7,144.0,19.0,17.2,0.9505,20.8,141.0,25.0,19.8,0.8367,5.0,,,4.2,0.9683,16.2,222.0,33.0,15.7
2580,SAINT THOMAS WEST HOSPITAL (440082),2015,Acute Care,Voluntary non-profit - Church,478.0,,,TN,0.9939,17.0,1493.0,252.0,16.9,0.8974,22.7,630.0,120.0,20.3,0.991,23.3,1401.0,323.0,23.1,0.7313,5.2,1815.0,63.0,3.8,1.0849,18.0,646.0,131.0,19.5
2581,JAMESTOWN REGIONAL MEDICAL CENTER (440083),2015,Acute Care,Proprietary,76.0,,,TN,,,,,,1.0352,20.2,499.0,107.0,20.9,1.1122,22.4,199.0,56.0,25.0,,,0.0,,,1.0376,18.3,194.0,39.0,18.9
2582,SWEETWATER HOSPITAL ASSOCIATION (440084),2015,Acute Care,Voluntary non-profit - Private,59.0,35.60025,-84.464223,TN,,,,,,0.9719,19.9,140.0,25.0,19.4,1.0683,21.2,120.0,31.0,22.6,,,,,,0.9605,16.1,293.0,43.0,15.5
2583,"MEMORIAL HEALTHCARE SYSTEM, INC (440091)",2015,Acute Care,Voluntary non-profit - Church,418.0,35.040037,-85.261129,TN,0.9499,15.1,934.0,131.0,14.3,0.9076,19.3,1015.0,171.0,17.5,0.8511,21.1,1500.0,260.0,17.9,0.7139,5.1,1641.0,54.0,3.7,0.8913,16.1,1121.0,154.0,14.3
2584,LINCOLN MEDICAL CENTER (440102),2015,Acute Care,Government - Local,56.0,35.149005,-86.557341,TN,,,,,,0.9372,19.3,131.0,19.0,18.1,1.0966,19.8,123.0,32.0,21.7,0.9256,4.2,,,3.8,1.0779,14.8,211.0,38.0,16.0
2585,ERLANGER MEDICAL CENTER (440104),2015,Acute Care,Government - Hospital District or Authority,617.0,35.047899,-85.290853,TN,0.9139,15.5,273.0,34.0,14.2,0.9321,21.7,363.0,68.0,20.2,0.9472,23.0,327.0,68.0,21.8,0.9447,5.2,,,4.9,0.9526,17.9,364.0,59.0,17.0
2586,HARDIN MEDICAL CENTER (440109),2015,Acute Care,Government - Local,122.0,35.22713,-88.230362,TN,1.018,21.8,,,22.2,0.9508,21.7,,,20.6,0.9994,22.9,83.0,19.0,22.9,,,,,,0.9499,16.5,268.0,39.0,15.7
2587,FORT LOUDON MEDICAL CENTER (440110),2015,Acute Care,Voluntary non-profit - Other,35.0,35.827108,-84.271752,TN,1.0358,21.4,,,22.1,0.9426,19.5,99.0,14.0,18.4,0.9242,22.1,125.0,21.0,20.4,,,,,,1.0837,15.4,98.0,21.0,16.6
2588,TENNOVA HEALTHCARE (440120),2015,Acute Care,Proprietary,452.0,36.05333,-83.996592,TN,1.0312,16.3,496.0,85.0,16.8,0.9739,20.6,673.0,133.0,20.1,1.0306,22.6,773.0,182.0,23.3,0.8753,4.9,1066.0,43.0,4.3,0.8967,17.6,643.0,95.0,15.8
2589,FORT SANDERS REGIONAL MEDICAL CENTER (440125),2015,Acute Care,Voluntary non-profit - Private,360.0,35.95681,-83.937134,TN,1.0608,15.7,216.0,39.0,16.6,1.0163,21.2,388.0,85.0,21.6,1.0648,22.8,298.0,76.0,24.2,1.0508,5.0,249.0,14.0,5.3,1.0348,17.9,399.0,76.0,18.5
2590,BAPTIST MEMORIAL HOSPITAL UNION CITY (440130),2015,Acute Care,Voluntary non-profit - Private,67.0,36.414423,-89.039037,TN,,,,,,0.9912,18.2,164.0,29.0,18.1,0.9635,22.0,175.0,35.0,21.2,1.0974,5.2,,,5.7,0.9835,16.1,151.0,23.0,15.9
2591,BAPTIST MEMORIAL HOSPITAL TIPTON (440131),2015,Acute Care,Voluntary non-profit - Church,65.0,35.535248,-89.676169,TN,,,,,,1.0793,17.8,86.0,22.0,19.2,0.946,20.1,,,19.0,,,,,,1.0083,15.2,95.0,15.0,15.3
2592,HENRY COUNTY MEDICAL CENTER (440132),2015,Acute Care,Government - Hospital District or Authority,112.0,36.296802,-88.311271,TN,1.0113,20.5,50.0,11.0,20.7,0.977,18.3,177.0,30.0,17.9,0.9536,21.6,154.0,29.0,20.6,1.248,4.8,267.0,20.0,6.0,1.0147,16.1,191.0,32.0,16.3
2593,SAINT THOMAS MIDTOWN HOSPITAL (440133),2015,Acute Care,Voluntary non-profit - Private,428.0,36.1534,-86.800835,TN,0.9987,16.9,196.0,33.0,16.9,1.0047,20.2,402.0,82.0,20.3,0.923,21.3,644.0,122.0,19.7,0.8009,4.9,788.0,27.0,3.9,1.1594,16.4,452.0,95.0,19.0
2594,HERITAGE MEDICAL CENTER (440137),2015,Acute Care,Proprietary,52.0,35.563218,-86.446372,TN,,,,,,1.0467,19.5,268.0,58.0,20.4,1.0805,21.8,125.0,34.0,23.5,,,0.0,,,0.9888,16.1,199.0,31.0,15.9
2595,CUMBERLAND RIVER HOSPITAL (440141),2015,Acute Care,Physician,36.0,,,TN,,,,,,1.0186,19.1,101.0,21.0,19.5,1.0422,20.7,54.0,14.0,21.5,,,,,,1.0974,17.7,105.0,26.0,19.4
2596,HARTON REGIONAL MEDICAL CENTER (440144),2015,Acute Care,Voluntary non-profit - Other,101.0,35.382921,-86.230533,TN,0.9409,18.1,84.0,11.0,17.0,1.0481,20.1,397.0,87.0,21.0,1.1431,21.8,241.0,68.0,24.9,1.1875,5.4,,,6.4,1.027,16.9,324.0,58.0,17.4
2597,STONES RIVER HOSPITAL AND DEKALB COMMUNITY HOSP (440148),2015,Acute Care,Voluntary non-profit - Church,44.0,35.959403,-85.829841,TN,,,,,,0.9283,20.1,136.0,20.0,18.7,0.94,22.9,91.0,16.0,21.6,1.018,5.3,,,5.4,1.0415,17.6,139.0,28.0,18.4
2598,TRISTAR SUMMIT MEDICAL CENTER (440150),2015,Acute Care,Proprietary,195.0,36.177999,-86.606015,TN,0.9937,16.8,98.0,16.0,16.7,1.0574,20.6,408.0,93.0,21.8,0.9987,21.2,308.0,65.0,21.1,1.1922,4.8,171.0,13.0,5.8,0.9786,16.4,395.0,62.0,16.0
2599,RIVER PARK HOSPITAL (440151),2015,Acute Care,Proprietary,107.0,35.698694,-85.742339,TN,,,,,,1.0987,20.5,199.0,52.0,22.6,1.0568,23.3,259.0,67.0,24.6,0.9648,6.1,,,5.9,0.9839,17.4,345.0,58.0,17.1
2600,REGIONAL ONE HEALTH (440152),2015,Acute Care,Government - Hospital District or Authority,324.0,35.142634,-90.031297,TN,,,,,,,,,,,0.9971,20.7,,,20.7,1.0154,4.9,,,4.9,,,,,
2601,TENNOVA HEALTHCARE-NEWPORT MEDICAL CENTER (440153),2015,Acute Care,Voluntary non-profit - Church,89.0,35.965067,-83.181619,TN,,,,,,0.9697,21.3,219.0,43.0,20.7,1.081,23.6,111.0,33.0,25.5,,,,,,1.0159,18.0,224.0,42.0,18.3
2602,PARKRIDGE MEDICAL CENTER (440156),2015,Acute Care,Proprietary,458.0,35.033739,-85.26886,TN,0.8886,17.2,290.0,38.0,15.2,0.8779,20.5,447.0,71.0,18.0,0.8961,22.2,409.0,75.0,19.9,0.7877,5.2,569.0,19.0,4.1,0.9295,16.7,420.0,61.0,15.6
2603,DELTA MEDICAL CENTER (440159),2015,Acute Care,Proprietary,228.0,35.067788,-89.932213,TN,,,,,,0.9941,21.2,,,21.1,1.1656,23.5,82.0,32.0,27.4,1.0728,4.8,,,5.1,0.9903,19.0,,,18.8
2604,TRISTAR CENTENNIAL MEDICAL CENTER (440161),2015,Acute Care,Proprietary,667.0,36.152907,-86.807646,TN,0.9102,15.9,406.0,54.0,14.5,1.041,22.3,348.0,84.0,23.3,0.9699,22.9,739.0,162.0,22.2,0.9108,4.7,525.0,21.0,4.3,1.1084,18.5,486.0,106.0,20.5
2605,METHODIST HEALTHCARE FAYETTE HOSPITAL (440168),2015,Acute Care,Voluntary non-profit - Church,27.0,,,TN,,,,,,0.9989,17.4,,,17.4,1.025,23.7,,,24.3,,,,,,1.0266,16.5,,,17.0
2606,PARKWEST MEDICAL CENTER (440173),2015,Acute Care,Voluntary non-profit - Private,410.0,35.917806,-84.10115,TN,0.8296,15.7,434.0,47.0,13.1,0.9212,20.9,406.0,72.0,19.2,1.0406,22.2,682.0,160.0,23.1,1.0787,4.9,1346.0,73.0,5.3,1.0444,16.9,559.0,101.0,17.6
2607,HAYWOOD PARK COMMUNITY HOSPITAL (440174),2015,Acute Care,Proprietary,36.0,,,TN,,,,,,1.029,17.7,71.0,15.0,18.3,1.0399,19.5,68.0,16.0,20.3,,,,,,1.0677,16.6,51.0,13.0,17.8
2608,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE (440175),2015,Acute Care,Proprietary,96.0,,,TN,,,,,,0.9839,21.1,300.0,61.0,20.7,0.9569,22.8,145.0,29.0,21.8,,,,,,1.0762,16.5,346.0,66.0,17.8
2609,INDIAN PATH MEDICAL CENTER (440176),2015,Acute Care,Voluntary non-profit - Private,151.0,36.550686,-82.517916,TN,1.0413,19.8,91.0,21.0,20.6,1.1106,21.9,189.0,54.0,24.3,1.0764,27.1,159.0,51.0,29.1,0.8908,5.0,,,4.4,1.0405,19.6,267.0,57.0,20.4
2610,JELLICO COMMUNITY HOSPITAL (440180),2015,Acute Care,Voluntary non-profit - Church,47.0,36.573619,-84.12724,TN,,,,,,0.9822,20.7,198.0,39.0,20.4,1.0727,23.1,88.0,26.0,24.8,,,,,,1.1278,18.5,242.0,58.0,20.9
2611,BOLIVAR GENERAL HOSPITAL (440181),2015,Acute Care,Government - Hospital District or Authority,33.0,,,TN,,,,,,1.0145,22.3,,,22.6,1.0495,23.0,42.0,13.0,24.2,,,,,,0.9611,17.1,,,16.4
2612,MCKENZIE REGIONAL HOSPITAL (440182),2015,Acute Care,Proprietary,30.0,,,TN,,,,,,1.04,18.1,102.0,22.0,18.8,0.9734,20.1,,,19.5,,,,,,0.9757,15.9,106.0,15.0,15.5
2613,ST FRANCIS HOSPITAL (440183),2015,Acute Care,Proprietary,443.0,35.099901,-89.864516,TN,0.9496,16.7,232.0,34.0,15.8,0.9836,18.7,218.0,39.0,18.4,1.0038,20.9,651.0,137.0,21.0,1.0661,4.7,670.0,35.0,5.1,1.013,16.5,384.0,65.0,16.7
2614,FRANKLIN WOODS COMMUNITY HOSPITAL (440184),2015,Acute Care,Voluntary non-profit - Private,102.0,36.337945,-82.401047,TN,,,,,,1.0059,20.1,191.0,39.0,20.2,0.9603,23.4,95.0,19.0,22.5,,,,,,0.878,16.7,290.0,35.0,14.7
2615,SKYRIDGE MEDICAL CENTER (440185),2015,Acute Care,Proprietary,187.0,35.176743,-84.868591,TN,1.0186,20.3,82.0,18.0,20.7,1.0983,20.9,640.0,154.0,23.0,1.1515,22.5,396.0,111.0,25.9,0.9084,5.1,,,4.6,1.058,17.1,527.0,99.0,18.1
2616,LIVINGSTON REGIONAL HOSPITAL (440187),2015,Acute Care,Voluntary non-profit - Other,114.0,36.384695,-85.328097,TN,,,,,,1.1945,18.9,359.0,94.0,22.5,1.1515,20.7,146.0,43.0,23.8,,,,,,1.2787,16.2,415.0,101.0,20.8
2617,REGIONAL HOSPITAL OF JACKSON (440189),2015,Acute Care,Proprietary,115.0,,,TN,1.1914,20.2,352.0,95.0,24.1,1.0797,20.7,783.0,181.0,22.4,0.9966,23.9,349.0,83.0,23.8,1.4348,5.3,322.0,31.0,7.6,1.0146,20.7,210.0,45.0,21.0
2618,HIGHLANDS MEDICAL CENTER (440192),2015,Acute Care,Proprietary,39.0,35.94812,-85.477074,TN,1.0625,20.3,,,21.6,1.1473,20.4,139.0,43.0,23.5,1.0339,21.2,87.0,21.0,21.9,,,,,,1.1357,16.9,168.0,40.0,19.2
2619,UNIVERSITY MEDICAL CENTER (440193),2015,Acute Care,Voluntary non-profit - Private,230.0,36.219173,-86.328318,TN,0.9706,19.9,,,19.3,0.8968,19.9,285.0,43.0,17.9,1.0664,22.4,193.0,50.0,23.9,0.9222,4.9,,,4.6,1.0018,17.5,314.0,55.0,17.5
2620,TRISTAR HENDERSONVILLE MEDICAL CENTER (440194),2015,Acute Care,Voluntary non-profit - Other,110.0,36.324156,-86.620198,TN,0.9472,17.8,,,16.8,1.0291,21.3,246.0,56.0,21.9,0.9478,23.3,191.0,39.0,22.1,1.0734,5.3,,,5.7,1.0576,17.5,208.0,42.0,18.6
2621,TRISTAR SOUTHERN HILLS MEDICAL CENTER (440197),2015,Acute Care,Proprietary,110.0,36.077872,-86.723814,TN,0.9615,18.0,,,17.3,0.9699,19.2,162.0,28.0,18.6,0.9474,21.8,146.0,27.0,20.6,1.091,4.6,,,5.0,1.1073,15.3,165.0,34.0,17.0
