,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
2910,MEDICAL CITY DALLAS HOSPITAL (450647),2014,Acute Care,Proprietary,727.0,32.909447,-96.772089,TX,1.0093,17.1,154.0,27.0,17.3,0.9328,23.7,546.0,117.0,22.1,1.0313,18.1,338.0,65.0,18.7
2911,MEDICAL CENTER OF PLANO (450651),2014,Acute Care,Proprietary,428.0,33.019387,-96.76573,TX,1.0249,16.4,136.0,24.0,16.8,1.1234,23.6,379.0,107.0,26.5,1.0067,17.5,310.0,55.0,17.6
2912,SCENIC MOUNTAIN MEDICAL CENTER (450653),2014,Acute Care,Proprietary,84.0,32.240015,-101.492412,TX,1.0079,19.2,29.0,,19.4,1.0932,21.7,156.0,42.0,23.8,0.9969,16.4,154.0,25.0,16.3
2913,STARR COUNTY MEMORIAL HOSPITAL (450654),2014,Acute Care,Government - Hospital District or Authority,48.0,26.37754,-98.859886,TX,0.984,23.7,55.0,12.0,23.3,1.0601,25.9,104.0,32.0,27.5,1.084,18.4,358.0,76.0,19.9
2914,NACOGDOCHES MEDICAL CENTER (450656),2014,Acute Care,Voluntary non-profit - Other,152.0,31.652058,-94.654265,TX,1.0119,16.2,70.0,12.0,16.4,1.1082,20.9,209.0,54.0,23.2,0.9865,15.7,211.0,32.0,15.5
2915,EAST TEXAS MEDICAL CENTER - FAIRFIELD (450658),2014,Acute Care,Voluntary non-profit - Private,40.0,31.725644,-96.16961,TX,,,,,,0.9881,21.2,89.0,18.0,20.9,0.958,18.0,95.0,14.0,17.3
2916,PARK PLAZA HOSPITAL (450659),2014,Acute Care,Proprietary,192.0,29.722375,-95.388045,TX,0.9256,22.7,47.0,,21.0,0.9019,23.3,184.0,33.0,21.0,0.9631,19.1,104.0,17.0,18.4
2917,ODESSA REGIONAL HOSPITAL (450661),2014,Acute Care,Proprietary,211.0,31.851458,-102.366027,TX,0.9447,15.8,104.0,13.0,15.0,1.1045,20.3,186.0,47.0,22.4,0.8923,15.8,143.0,14.0,14.1
2918,VALLEY REGIONAL MEDICAL CENTER (450662),2014,Acute Care,Proprietary,207.0,,,TX,0.9321,19.0,149.0,23.0,17.7,1.1501,24.7,319.0,99.0,28.5,0.9385,19.4,360.0,62.0,18.2
2919,SIERRA MEDICAL CENTER (450668),2014,Acute Care,Proprietary,294.0,31.77867,-106.47965,TX,0.9067,17.6,141.0,18.0,16.0,0.9055,22.0,423.0,79.0,19.9,0.9948,17.2,381.0,65.0,17.1
2920,MEDICAL CENTER OF LEWISVILLE (450669),2014,Acute Care,Voluntary non-profit - Private,171.0,33.046306,-97.004207,TX,1.1553,19.7,48.0,18.0,22.7,1.1446,22.7,236.0,69.0,26.0,1.0721,18.7,189.0,42.0,20.1
2921,TOMBALL REGIONAL MEDICAL CENTER (450670),2014,Acute Care,Proprietary,298.0,30.088703,-95.623985,TX,0.9664,19.1,155.0,27.0,18.5,0.8915,24.9,516.0,108.0,22.2,0.8666,19.6,571.0,89.0,17.0
2922,PLAZA MEDICAL CENTER OF FORT WORTH (450672),2014,Acute Care,Proprietary,220.0,32.735481,-97.343704,TX,1.0298,17.9,351.0,66.0,18.4,0.9471,24.7,488.0,111.0,23.4,1.025,19.5,263.0,54.0,20.0
2923,"WOMANS HOSPITAL OF TEXAS,THE (450674)",2014,Acute Care,Proprietary,250.0,29.692977,-95.40109,TX,,,0.0,,,,,0.0,,,,,0.0,,
2924,MEDICAL CENTER OF ARLINGTON (450675),2014,Acute Care,Proprietary,301.0,32.691751,-97.1148,TX,1.0724,17.9,170.0,36.0,19.2,1.0219,23.9,375.0,93.0,24.5,1.0243,18.4,268.0,52.0,18.9
2925,HUGULEY MEMORIAL MEDICAL CENTER (450677),2014,Acute Care,Voluntary non-profit - Church,225.0,32.585454,-97.319102,TX,0.9008,18.8,201.0,29.0,16.9,0.9638,23.6,448.0,100.0,22.8,0.9849,18.0,321.0,56.0,17.7
2926,DOCTORS HOSPITAL (450678),2014,Acute Care,Proprietary,186.0,32.835521,-96.705001,TX,0.9988,17.9,118.0,21.0,17.8,0.9535,20.8,371.0,71.0,19.8,0.9766,16.9,304.0,49.0,16.6
2927,MEMORIAL HERMANN NORTHEAST (450684),2014,Acute Care,Government - Hospital District or Authority,251.0,29.994565,-95.275482,TX,0.9744,19.6,143.0,26.0,19.1,1.0831,23.9,449.0,121.0,25.9,0.8772,17.6,274.0,35.0,15.4
2928,UNIVERSITY MEDICAL CENTER (450686),2014,Acute Care,Government - Hospital District or Authority,445.0,33.589429,-101.887977,TX,1.0873,17.4,211.0,44.0,19.0,0.9729,22.4,456.0,98.0,21.8,1.067,17.4,369.0,72.0,18.5
2929,DALLAS REGIONAL MEDICAL CENTER (450688),2014,Acute Care,Proprietary,189.0,32.777575,-96.59972,TX,1.0302,16.9,118.0,22.0,17.5,1.0981,23.0,284.0,77.0,25.2,1.0436,17.5,85.0,18.0,18.3
2930,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER (450690),2014,Acute Care,Government - State,124.0,32.42369,-95.209291,TX,0.9916,17.6,48.0,,17.5,0.9591,24.4,185.0,41.0,23.4,0.9509,18.5,244.0,40.0,17.6
2931,EL CAMPO MEMORIAL HOSPITAL (450694),2014,Acute Care,Voluntary non-profit - Private,26.0,29.219122,-96.289576,TX,,,,,,1.0578,24.2,101.0,29.0,25.6,0.9027,19.2,126.0,16.0,17.3
2932,SOUTHWEST GENERAL HOSPITAL (450697),2014,Acute Care,Proprietary,249.0,29.352988,-98.546589,TX,0.9755,19.5,59.0,,19.0,0.9741,25.3,225.0,54.0,24.7,0.9542,18.9,126.0,20.0,18.0
2933,LAMB HEALTHCARE CENTER (450698),2014,Acute Care,Government - Local,42.0,33.911625,-102.345439,TX,,,,,,,,,,,0.9564,15.6,63.0,,15.0
2934,LONGVIEW REGIONAL MEDICAL CENTER (450702),2014,Acute Care,Proprietary,199.0,32.532201,-94.728814,TX,1.0391,17.0,86.0,17.0,17.7,0.9887,23.0,201.0,45.0,22.7,0.8953,17.1,197.0,24.0,15.3
2935,CHRISTUS ST JOHN HOSPITAL (450709),2014,Acute Care,Voluntary non-profit - Private,157.0,29.549771,-95.085203,TX,1.0066,17.7,77.0,14.0,17.8,1.0538,23.3,171.0,45.0,24.6,1.0499,17.9,203.0,41.0,18.8
2936,RIO GRANDE REGIONAL HOSPITAL (450711),2014,Acute Care,Proprietary,318.0,26.185939,-98.224124,TX,1.0969,20.4,163.0,41.0,22.3,0.9633,25.0,791.0,188.0,24.0,0.8869,20.0,508.0,83.0,17.7
2937,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER (450713),2014,Acute Care,Proprietary,279.0,30.227308,-97.773944,TX,1.1098,16.8,365.0,73.0,18.7,1.0171,23.6,675.0,163.0,24.0,1.0467,17.7,477.0,91.0,18.5
2938,CYPRESS FAIRBANKS MEDICAL CENTER (450716),2014,Acute Care,Proprietary,179.0,,,TX,0.9989,19.0,90.0,17.0,18.9,0.9442,25.6,142.0,31.0,24.1,0.9317,18.6,156.0,23.0,17.3
2939,ROUND ROCK MEDICAL CENTER (450718),2014,Acute Care,Voluntary non-profit - Other,163.0,30.509336,-97.712361,TX,0.9943,15.7,181.0,28.0,15.6,0.9115,22.5,268.0,50.0,20.5,0.9402,17.7,261.0,40.0,16.7
2940,METHODIST CHARLTON MEDICAL CENTER (450723),2014,Acute Care,Voluntary non-profit - Private,275.0,32.647444,-96.876265,TX,1.0512,20.6,141.0,33.0,21.6,0.8615,23.8,499.0,94.0,20.5,0.8878,18.6,356.0,52.0,16.5
2941,BAYLOR MEDICAL CENTER AT CARROLLTON (450730),2014,Acute Care,Proprietary,106.0,33.028966,-96.88395,TX,1.0073,20.6,61.0,13.0,20.7,0.9816,23.6,186.0,42.0,23.1,0.982,18.5,149.0,26.0,18.2
2942,LAKE POINTE MEDICAL CENTER (450742),2014,Acute Care,Proprietary,129.0,32.918351,-96.509536,TX,1.0171,20.7,53.0,12.0,21.1,0.9801,22.2,189.0,40.0,21.7,0.9936,17.4,251.0,43.0,17.3
2943,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON (450743),2014,Acute Care,Voluntary non-profit - Private,202.0,33.215899,-97.168409,TX,1.1534,17.8,122.0,32.0,20.6,0.8775,21.9,302.0,51.0,19.2,0.9742,17.3,454.0,75.0,16.8
2944,PALESTINE REGIONAL MEDICAL CENTER (450747),2014,Acute Care,Proprietary,147.0,31.733374,-95.625307,TX,0.98,19.8,41.0,,19.4,0.9389,22.1,142.0,26.0,20.7,1.0344,16.5,288.0,51.0,17.1
2945,EAST TEXAS MEDICAL CENTER TRINITY (450749),2014,Acute Care,Voluntary non-profit - Private,40.0,,,TX,,,0.0,,,1.0655,24.9,73.0,23.0,26.5,1.0668,19.7,77.0,20.0,21.1
2946,HAMILTON GENERAL HOSPITAL (450754),2014,Acute Care,Government - Hospital District or Authority,41.0,,,TX,,,,,,1.0134,21.1,212.0,46.0,21.4,1.019,16.8,181.0,32.0,17.1
2947,COVENANT HOSPITAL LEVELLAND (450755),2014,Acute Care,Voluntary non-profit - Private,47.0,33.573273,-102.367755,TX,,,,,,0.9878,21.3,65.0,13.0,21.0,0.9449,17.1,100.0,13.0,16.2
2948,UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY (450766),2014,Acute Care,Government - State,145.0,,,TX,,,0.0,,,,,,,,,,,,
2949,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO (450771),2014,Acute Care,Voluntary non-profit - Private,365.0,33.045125,-96.837073,TX,1.0708,17.4,154.0,32.0,18.7,1.0328,23.6,341.0,85.0,24.4,0.9339,17.3,277.0,41.0,16.2
2950,TOPS SURGICAL SPECIALTY HOSPITAL (450774),2014,Acute Care,Physician,16.0,30.018542,-95.444846,TX,,,0.0,,,,,0.0,,,,,0.0,,
2951,KINGWOOD MEDICAL CENTER (450775),2014,Acute Care,Proprietary,420.0,,,TX,0.9478,19.0,181.0,30.0,18.0,1.0478,24.4,494.0,129.0,25.6,0.9694,18.4,312.0,54.0,17.9
2952,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F (450779),2014,Acute Care,Voluntary non-profit - Private,232.0,32.658595,-97.419671,TX,0.9741,18.0,64.0,,17.6,0.9009,21.1,356.0,62.0,19.0,0.9618,16.2,354.0,53.0,15.6
2953,METHODIST AMBULATORY SURGERY HOSPITAL NW (450780),2014,Acute Care,Proprietary,23.0,29.527605,-98.595995,TX,,,0.0,,,,,0.0,,,,,0.0,,
2954,"CORPUS CHRISTI MEDICAL CENTER,THE (450788)",2014,Acute Care,Proprietary,419.0,27.681644,-97.359284,TX,1.1534,18.4,255.0,61.0,21.2,0.9327,23.0,614.0,128.0,21.5,1.0199,17.1,526.0,93.0,17.5
2955,ST ANTHONY'S HOSPITAL (450795),2014,Acute Care,Proprietary,39.0,,,TX,,,,,,1.0086,25.7,29.0,,25.9,1.0071,18.5,30.0,,18.7
2956,NORTHWEST TEXAS SURGERY CENTER (450796),2014,Acute Care,Proprietary,4.0,,,TX,,,0.0,,,,,0.0,,,,,0.0,,
2957,HOUSTON HOSPITAL FOR SPECIALIZED SURGERY (450797),2014,Acute Care,Proprietary,7.0,,,TX,,,0.0,,,,,0.0,,,,,0.0,,
2958,CHRISTUS ST MICHAEL HEALTH SYSTEM (450801),2014,Acute Care,Voluntary non-profit - Church,324.0,33.46249,-94.074448,TX,1.0188,16.6,467.0,80.0,16.9,0.9493,22.9,874.0,187.0,21.7,0.9625,18.2,693.0,119.0,17.5
2959,DOCTORS HOSPITAL TIDWELL (450803),2014,Acute Care,Physician,119.0,29.847222,-95.407991,TX,,,,,,0.9751,24.1,70.0,15.0,23.5,0.9085,18.5,80.0,,16.8
2960,TEXAS ORTHOPEDIC HOSPITAL (450804),2014,Acute Care,Voluntary non-profit - Other,49.0,29.700315,-95.409675,TX,,,0.0,,,,,0.0,,,,,0.0,,
2961,NORTHWEST HILLS SURGICAL HOSPITAL (450808),2014,Acute Care,Physician,8.0,30.350316,-97.751026,TX,,,0.0,,,,,0.0,,,,,0.0,,
2962,NORTH AUSTIN MEDICAL CENTER (450809),2014,Acute Care,Proprietary,370.0,30.412144,-97.708113,TX,0.9338,19.0,188.0,30.0,17.7,0.9142,23.3,399.0,80.0,21.3,0.9812,17.2,379.0,63.0,16.9
2963,METHODIST SUGAR LAND HOSPITAL (450820),2014,Acute Care,Voluntary non-profit - Private,283.0,29.590539,-95.631886,TX,0.9877,19.2,188.0,35.0,18.9,1.0235,23.7,411.0,101.0,24.3,0.8618,19.6,406.0,60.0,16.9
2964,LAS COLINAS MEDICAL CENTER (450822),2014,Acute Care,Proprietary,86.0,32.902047,-96.958679,TX,1.0406,17.3,34.0,,18.0,0.9544,22.9,85.0,16.0,21.8,0.9228,16.3,63.0,,15.0
2965,CORNERSTONE REGIONAL HOSPITAL (450825),2014,Acute Care,Proprietary,14.0,26.263096,-98.199164,TX,,,0.0,,,,,,,,,,,,
2966,KELL WEST REGIONAL HOSPITAL (450827),2014,Acute Care,Proprietary,41.0,33.872376,-98.579707,TX,,,,,,0.9565,20.1,33.0,,19.2,0.9725,14.3,90.0,11.0,13.9
2967,CHRISTUS SPOHN HOSPITAL ALICE (450828),2014,Acute Care,Voluntary non-profit - Private,85.0,27.765508,-98.043713,TX,0.9619,23.2,49.0,,22.3,0.9446,26.2,215.0,50.0,24.8,0.9456,19.4,257.0,44.0,18.4
2968,SURGERY SPECIALTY HOSPITALS OF AMERICA SE HOUSTON (450831),2014,Acute Care,Proprietary,38.0,29.658717,-95.178161,TX,,,0.0,,,,,0.0,,,,,0.0,,
2969,CHRISTUS ST CATHERINE HOSPITAL (450832),2014,Acute Care,Voluntary non-profit - Private,106.0,,,TX,1.0546,16.3,131.0,25.0,17.2,0.9921,22.1,303.0,66.0,21.9,0.988,17.6,194.0,33.0,17.4
2970,ENNIS REGIONAL MEDICAL CENTER (450833),2014,Acute Care,Proprietary,53.0,32.308542,-96.642024,TX,,,,,,1.0424,22.6,109.0,28.0,23.6,0.9672,17.3,178.0,28.0,16.8
2971,"PHYSICIANS CENTRE,THE (450834)",2014,Acute Care,Proprietary,16.0,30.649585,-96.296515,TX,,,0.0,,,,,0.0,,,,,,,
2972,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN (450840),2014,Acute Care,Government - Federal,58.0,33.115433,-96.671504,TX,,,,,,1.0267,23.7,109.0,28.0,24.3,1.0547,15.8,150.0,28.0,16.7
2973,METHODIST WILLOWBROOK HOSPITAL (450844),2014,Acute Care,Voluntary non-profit - Church,297.0,29.964059,-95.550789,TX,1.0014,20.2,222.0,45.0,20.2,1.0594,23.5,284.0,74.0,24.9,0.9631,18.9,265.0,46.0,18.2
2974,EL PASO SPECIALTY HOSPITAL (450845),2014,Acute Care,Proprietary,31.0,,,TX,,,0.0,,,,,0.0,,,,,0.0,,
2975,MEMORIAL HERMANN KATY HOSPITAL (450847),2014,Acute Care,Voluntary non-profit - Private,180.0,29.785918,-95.785657,TX,1.0579,20.4,43.0,12.0,21.5,0.9229,23.1,246.0,48.0,21.3,0.9458,17.8,363.0,58.0,16.8
2976,MEMORIAL HERMANN SUGAR LAND HOSPITAL (450848),2014,Acute Care,Voluntary non-profit - Private,124.0,29.56408,-95.68791,TX,,,,,,1.0541,24.0,91.0,26.0,25.3,0.8776,16.0,115.0,,14.0
2977,BAYLOR HEART AND VASCULAR HOSPITAL (450851),2014,Acute Care,Proprietary,52.0,32.788288,-96.780663,TX,0.8111,15.1,385.0,38.0,12.3,0.9446,21.0,227.0,42.0,19.8,,,,,
2978,BAYLOR MEDICAL CENTER AT FRISCO (450853),2014,Acute Care,Proprietary,68.0,33.10671,-96.837919,TX,,,0.0,,,,,,,,,,,,
2979,HARLINGEN MEDICAL CENTER (450855),2014,Acute Care,Proprietary,112.0,26.157323,-97.676968,TX,1.007,17.2,131.0,23.0,17.3,0.9876,23.8,280.0,65.0,23.5,0.9282,18.6,268.0,42.0,17.3
2980,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL (450856),2014,Acute Care,Proprietary,30.0,29.613207,-98.478493,TX,,,0.0,,,,,0.0,,,,,0.0,,
2981,SUGAR LAND SURGICAL HOSPITAL LLP (450860),2014,Acute Care,Proprietary,6.0,29.590609,-95.636696,TX,,,0.0,,,,,0.0,,,,,0.0,,
2982,ST LUKE'S THE WOODLANDS HOSPITAL (450862),2014,Acute Care,Voluntary non-profit - Private,214.0,30.20566,-95.460773,TX,0.989,17.7,100.0,17.0,17.5,0.9621,23.2,301.0,65.0,22.3,0.9652,18.5,275.0,47.0,17.8
2983,TEXAS SPINE AND JOINT HOSPITAL (450864),2014,Acute Care,Physician,19.0,32.329248,-95.299467,TX,,,0.0,,,,,0.0,,,,,0.0,,
2984,SETON SOUTHWEST HOSPITAL (450865),2014,Acute Care,Voluntary non-profit - Private,25.0,30.22696,-97.88951,TX,,,0.0,,,,,,,,1.0584,15.5,36.0,,16.4
2985,SETON  NORTHWEST HOSPITAL (450867),2014,Acute Care,Voluntary non-profit - Private,106.0,30.40482,-97.74501,TX,,,,,,0.95,21.8,110.0,20.0,20.7,1.027,16.1,191.0,33.0,16.5
2986,DOCTORS HOSPITAL AT RENAISSANCE (450869),2014,Acute Care,Proprietary,522.0,26.252424,-98.204109,TX,0.9873,19.8,321.0,62.0,19.5,1.0339,25.1,670.0,176.0,26.0,0.8994,19.0,381.0,59.0,17.1
2987,ARISE AUSTIN MEDICAL CENTER (450871),2014,Acute Care,Physician,22.0,30.271664,-97.795469,TX,,,0.0,,,,,0.0,,,,,,,
2988,USMD HOSPITAL AT ARLINGTON L P (450872),2014,Acute Care,Physician,35.0,32.679151,-97.115971,TX,,,0.0,,,,,,,,,,,,
2989,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS (450874),2014,Acute Care,Proprietary,20.0,32.912261,-96.948091,TX,,,0.0,,,,,0.0,,,,,0.0,,
2990,QUAIL CREEK SURGICAL HOSPITAL (450875),2014,Acute Care,Proprietary,35.0,35.210675,-101.913568,TX,,,0.0,,,,,0.0,,,,,0.0,,
2991,LUBBOCK HEART HOSPITAL LP (450876),2014,Acute Care,Proprietary,73.0,33.602527,-101.914287,TX,0.8863,15.7,421.0,53.0,13.9,1.0099,22.1,747.0,167.0,22.3,0.9464,17.6,193.0,29.0,16.6
2992,FOUNDATION SURGICAL HOSPITAL OF EL PASO (450877),2014,Acute Care,Proprietary,40.0,31.734985,-106.301578,TX,1.0195,16.7,30.0,,17.0,1.0199,21.1,111.0,25.0,21.6,1.0014,16.1,136.0,22.0,16.1
2993,BAYLOR SURGICAL HOSPITAL AT FORT WORTH (450880),2014,Acute Care,Voluntary non-profit - Private,32.0,32.725778,-97.346185,TX,,,0.0,,,,,0.0,,,,,0.0,,
2994,BAYLOR MEDICAL CENTER AT TROPHY CLUB (450883),2014,Acute Care,Proprietary,21.0,32.987984,-97.175031,TX,,,0.0,,,,,,,,,,,,
2995,EAST TEXAS MEDICAL CENTER - GILMER (450884),2014,Acute Care,Voluntary non-profit - Private,36.0,,,TX,,,,,,0.9875,23.2,108.0,24.0,22.9,0.978,16.6,63.0,,16.2
2996,CENTENNIAL MEDICAL CENTER (450885),2014,Acute Care,Voluntary non-profit - Other,118.0,33.115871,-96.769892,TX,1.0709,18.5,69.0,17.0,19.8,0.9931,24.6,161.0,39.0,24.5,0.9503,17.3,133.0,19.0,16.4
2997,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE (450888),2014,Acute Care,Government - State,16.0,32.94097,-97.127578,TX,,,0.0,,,,,0.0,,,,,0.0,,
2998,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT (450889),2014,Acute Care,Proprietary,9.0,32.876377,-96.761726,TX,,,0.0,,,,,0.0,,,,,0.0,,
2999,BAYLOR REGIONAL MEDICAL CENTER AT PLANO (450890),2014,Acute Care,Voluntary non-profit - Other,136.0,33.014361,-96.791185,TX,1.0089,18.4,30.0,,18.6,1.0098,23.5,251.0,60.0,23.7,1.0054,16.7,260.0,44.0,16.8
3000,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN (450891),2014,Acute Care,Proprietary,18.0,33.045103,-96.832226,TX,,,0.0,,,,,0.0,,,,,0.0,,
3001,THE HEART HOSPITAL BAYLOR DENTON (450893),2014,Acute Care,Physician,20.0,33.17697,-97.088199,TX,,,0.0,,,,,0.0,,,,,0.0,,
3002,PINE CREEK MEDICAL CENTER LLP (450894),2014,Acute Care,Physician,16.0,,,TX,,,0.0,,,,,0.0,,,,,0.0,,
3003,UTAH VALLEY REGIONAL MEDICAL CENTER (460001),2014,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,0.8391,13.8,324.0,30.0,11.6,0.8871,20.0,311.0,49.0,17.8,0.858,15.6,249.0,25.0,13.4
3004,SALT LAKE REGIONAL MEDICAL CENTER (460003),2014,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,1.0195,14.9,47.0,,15.2,0.9024,19.4,93.0,11.0,17.5,0.9908,13.3,57.0,,13.1
3005,MCKAY DEE HOSPITAL (460004),2014,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,0.9623,14.6,219.0,29.0,14.0,0.7543,20.6,255.0,25.0,15.5,0.8976,16.0,278.0,34.0,14.4
3006,OGDEN REGIONAL MEDICAL CENTER (460005),2014,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,0.9097,16.3,56.0,,14.8,0.8983,23.1,91.0,13.0,20.7,0.9937,16.9,163.0,27.0,16.8
3007,LDS HOSPITAL (460006),2014,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,,,,,,0.9717,21.1,76.0,14.0,20.5,0.8757,14.7,125.0,,12.9
3008,VALLEY VIEW MEDICAL CENTER (460007),2014,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,,,,,,0.9352,21.3,38.0,,19.9,0.898,16.0,138.0,14.0,14.4
3009,UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS (460009),2014,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,0.9551,15.1,181.0,24.0,14.4,0.9426,22.4,243.0,48.0,21.1,0.909,17.7,170.0,22.0,16.1
3010,INTERMOUNTAIN MEDICAL CENTER (460010),2014,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,0.8472,14.6,407.0,43.0,12.4,0.7857,21.7,531.0,78.0,17.1,0.8969,17.1,268.0,35.0,15.3
3011,CASTLEVIEW HOSPITAL (460011),2014,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,,,,,,0.9954,20.6,45.0,,20.5,0.8172,16.6,147.0,,13.6
3012,MOUNTAIN VIEW HOSPITAL (460013),2014,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,0.9472,15.1,38.0,,14.3,0.9022,19.1,60.0,,17.3,0.9424,15.5,145.0,18.0,14.6
3013,MOUNTAIN WEST MEDICAL CENTER (460014),2014,Acute Care,Proprietary,36.0,,,UT,,,,,,1.0063,20.6,66.0,14.0,20.7,0.8535,15.3,88.0,,13.1
3014,LOGAN REGIONAL HOSPITAL (460015),2014,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,,,,,,0.9284,20.7,78.0,11.0,19.2,0.9655,15.4,107.0,14.0,14.9
3015,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2014,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,,,0.0,,,,,,,,0.9991,14.0,36.0,,14.0
3016,UINTAH BASIN MEDICAL CENTER (460019),2014,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,,,,,,1.0382,18.6,57.0,13.0,19.4,1.0189,14.9,79.0,13.0,15.2
3017,DIXIE REGIONAL MEDICAL CENTER (460021),2014,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,0.8441,14.2,397.0,40.0,12.0,0.7769,20.7,361.0,45.0,16.1,0.9296,15.5,458.0,62.0,14.4
3018,AMERICAN FORK HOSPITAL (460023),2014,Acute Care,Voluntary non-profit - Private,87.0,40.380506,-111.769094,UT,,,,,,0.9683,21.8,65.0,12.0,21.2,0.8769,14.6,125.0,,12.8
3019,SEVIER VALLEY MEDICAL CENTER (460026),2014,Acute Care,Voluntary non-profit - Private,24.0,38.783275,-112.084663,UT,,,,,,1.0242,19.3,29.0,,19.7,0.9195,14.6,78.0,,13.4
3020,ASHLEY REGIONAL MEDICAL CENTER (460030),2014,Acute Care,Proprietary,38.0,40.45779,-109.530464,UT,,,,,,0.9006,18.1,39.0,,16.3,0.9629,14.4,65.0,,13.9
3021,GARFIELD MEMORIAL HOSPITAL (460033),2014,Acute Care,Voluntary non-profit - Other,41.0,,,UT,,,,,,,,,,,0.9527,16.1,37.0,,15.3
3022,BEAVER VALLEY HOSPITAL (460035),2014,Acute Care,Government - Local,49.0,,,UT,,,,,,,,,,,0.9744,15.6,62.0,,15.2
3023,BEAR RIVER VALLEY HOSPITAL (460039),2014,Acute Care,Voluntary non-profit - Private,16.0,41.723768,-112.181979,UT,,,,,,,,,,,0.9545,15.3,31.0,,14.6
3024,DAVIS HOSPITAL AND MEDICAL CENTER (460041),2014,Acute Care,Proprietary,204.0,41.089242,-111.995471,UT,0.9605,12.8,63.0,,12.3,0.8903,20.5,127.0,17.0,18.2,0.9467,15.2,167.0,21.0,14.4
3025,LAKEVIEW HOSPITAL (460042),2014,Acute Care,Proprietary,98.0,40.886855,-111.868618,UT,0.9589,14.1,58.0,,13.6,0.9207,19.6,74.0,,18.0,0.868,16.6,248.0,28.0,14.4
3026,OREM COMMUNITY HOSPITAL (460043),2014,Acute Care,Voluntary non-profit - Private,20.0,40.303255,-111.705407,UT,,,0.0,,,,,0.0,,,,,0.0,,
3027,ALTA VIEW HOSPITAL (460044),2014,Acute Care,Voluntary non-profit - Private,64.0,40.57736,-111.853191,UT,,,,,,0.9429,21.1,71.0,11.0,19.9,0.9745,13.5,132.0,16.0,13.2
3028,ST MARKS HOSPITAL (460047),2014,Acute Care,Voluntary non-profit - Other,275.0,40.687062,-111.857446,UT,0.9256,16.1,138.0,17.0,14.9,0.9785,20.5,280.0,55.0,20.1,0.8645,15.1,427.0,48.0,13.1
3029,THE ORTHOPEDIC SPECIALTY HOSPITAL (460049),2014,Acute Care,Voluntary non-profit - Private,38.0,,,UT,,,0.0,,,,,0.0,,,,,0.0,,
3030,JORDAN VALLEY MEDICAL CENTER (460051),2014,Acute Care,Voluntary non-profit - Other,294.0,40.587958,-111.975285,UT,0.9783,13.7,82.0,,13.4,1.0071,20.9,174.0,37.0,21.0,0.946,15.5,205.0,27.0,14.6
3031,TIMPANOGOS REGIONAL HOSPITAL (460052),2014,Acute Care,Proprietary,117.0,40.312173,-111.71499,UT,0.9612,15.8,58.0,,15.1,1.0016,22.2,40.0,,22.3,1.0126,15.9,64.0,11.0,16.1
3032,PARK CITY MEDICAL CENTER (460057),2014,Acute Care,Proprietary,34.0,40.687697,-111.468952,UT,,,0.0,,,,,,,,,,,,
