,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,READM-30-AMI (Excess Readmission Ratio),READM-30-AMI (Expected Readmission Rate),READM-30-AMI (Number of Discharges),READM-30-AMI (Number of Readmissions),READM-30-AMI (Predicted Readmission Rate),READM-30-HF (Excess Readmission Ratio),READM-30-HF (Expected Readmission Rate),READM-30-HF (Number of Discharges),READM-30-HF (Number of Readmissions),READM-30-HF (Predicted Readmission Rate),READM-30-PN (Excess Readmission Ratio),READM-30-PN (Expected Readmission Rate),READM-30-PN (Number of Discharges),READM-30-PN (Number of Readmissions),READM-30-PN (Predicted Readmission Rate)
2825,EAST TEXAS MEDICAL CENTER JACKSONVILLE (450194),2013,Acute Care,Voluntary non-profit - Private,37.0,31.961418,-95.270547,TX,,,18.0,,,1.1248,24.0,181.0,56.0,27.0,1.0203,17.3,164.0,30.0,17.7
2826,PARIS REGIONAL MEDICAL CENTER (450196),2013,Acute Care,Proprietary,250.0,33.66039,-95.547478,TX,0.9501,17.6,174.0,27.0,16.7,1.0173,23.4,512.0,123.0,23.8,1.0487,17.9,542.0,104.0,18.7
2827,WADLEY REGIONAL MEDICAL CENTER (450200),2013,Acute Care,Physician,198.0,33.428482,-94.047188,TX,1.0252,17.6,139.0,26.0,18.0,0.9342,23.6,286.0,59.0,22.0,1.1018,17.8,305.0,65.0,19.6
2828,WEATHERFORD REGIONAL MEDICAL CENTER (450203),2013,Acute Care,Proprietary,84.0,32.747472,-97.785369,TX,0.9982,20.3,25.0,5.0,20.3,0.9368,24.3,289.0,62.0,22.8,0.8775,18.7,268.0,37.0,16.4
2829,NORTHWEST TEXAS HOSPITAL (450209),2013,Acute Care,Voluntary non-profit - Private,437.0,35.199765,-101.921881,TX,0.8749,16.5,250.0,31.0,14.5,0.943,23.6,334.0,71.0,22.3,0.9708,16.8,230.0,36.0,16.3
2830,E. T. M. C. CARTHAGE (450210),2013,Acute Care,Voluntary non-profit - Private,43.0,32.167126,-94.346039,TX,,,21.0,,,1.0373,23.4,94.0,25.0,24.3,0.917,17.0,125.0,15.0,15.6
2831,MEMORIAL MEDICAL CENTER OF EAST TEXAS (450211),2013,Acute Care,Voluntary non-profit - Private,179.0,31.337324,-94.742481,TX,0.9269,18.8,230.0,37.0,17.4,1.0277,24.7,463.0,119.0,25.3,0.9879,19.2,521.0,98.0,18.9
2832,UNIVERSITY HEALTH SYSTEM (450213),2013,Acute Care,Government - Hospital District or Authority,592.0,29.509488,-98.577062,TX,0.9401,16.3,48.0,5.0,15.3,1.0329,25.0,93.0,26.0,25.8,0.9801,18.5,61.0,10.0,18.2
2833,GULF COAST MEDICAL CENTER (450214),2013,Acute Care,Proprietary,69.0,,,TX,,,10.0,,,0.9855,26.2,135.0,34.0,25.9,1.0214,21.0,97.0,22.0,21.5
2834,SCOTT & WHITE HOSPITAL-LLANO (450219),2013,Acute Care,Voluntary non-profit - Private,25.0,30.743345,-98.677996,TX,,,5.0,,,0.9669,24.4,51.0,10.0,23.6,0.8801,17.6,294.0,39.0,15.5
2835,MOORE COUNTY HOSPITAL (450221),2013,Acute Care,Government - Hospital District or Authority,53.0,,,TX,,,5.0,,,0.9443,22.7,109.0,20.0,21.4,0.9738,18.5,102.0,17.0,18.0
2836,CONROE REGIONAL MEDICAL CENTER (450222),2013,Acute Care,Proprietary,297.0,30.284022,-95.468722,TX,1.1004,17.6,316.0,65.0,19.4,1.0727,24.8,691.0,188.0,26.6,0.9546,19.0,504.0,89.0,18.2
2837,HENDRICK MEDICAL CENTER (450229),2013,Acute Care,Voluntary non-profit - Private,405.0,32.471553,-99.73118,TX,0.8829,17.3,477.0,68.0,15.3,0.8763,23.2,530.0,100.0,20.3,0.7947,18.2,422.0,49.0,14.4
2838,BAPTIST ST ANTHONYS HEALTH SYSTEM-BAPTIST CAMPUS (450231),2013,Acute Care,Proprietary,415.0,35.195115,-101.91885,TX,0.8435,16.9,487.0,63.0,14.3,0.8553,23.3,880.0,166.0,19.9,0.958,17.3,919.0,150.0,16.6
2839,MEMORIAL HOSPITAL (450235),2013,Acute Care,Government - Hospital District or Authority,34.0,29.515895,-97.428868,TX,,,10.0,,,0.9433,22.6,86.0,15.0,21.4,0.9708,16.8,163.0,25.0,16.3
2840,HOPKINS COUNTY MEMORIAL HOSPITAL (450236),2013,Acute Care,Government - Hospital District or Authority,83.0,33.15622,-95.599648,TX,0.914,20.3,68.0,9.0,18.6,0.9099,23.8,155.0,28.0,21.6,0.9203,16.2,236.0,31.0,14.9
2841,CHRISTUS SANTA ROSA HEALTHCARE (450237),2013,Acute Care,Voluntary non-profit - Church,478.0,29.512909,-98.591557,TX,0.9489,20.7,387.0,74.0,19.7,0.9078,24.6,837.0,181.0,22.3,0.8856,17.6,778.0,115.0,15.6
2842,FAITH COMMUNITY HOSPITAL (450241),2013,Acute Care,Government - Hospital District or Authority,16.0,33.230386,-98.166732,TX,1.0146,25.1,25.0,7.0,25.4,0.9903,26.6,44.0,11.0,26.4,0.9021,18.9,102.0,12.0,17.1
2843,HAMLIN MEMORIAL HOSPITAL (450243),2013,Acute Care,Government - Hospital District or Authority,25.0,,,TX,,,1.0,,,0.9877,21.4,27.0,5.0,21.1,0.9436,19.9,27.0,2.0,18.8
2844,BELLVILLE GENERAL HOSPITAL (450253),2013,Acute Care,Proprietary,28.0,29.952265,-96.260747,TX,,,8.0,,,1.0647,21.4,63.0,18.0,22.8,1.0092,18.3,57.0,11.0,18.4
2845,LAKE WHITNEY MEDICAL CENTER (450270),2013,Acute Care,Proprietary,49.0,,,TX,,,7.0,,,,,16.0,,,,,18.0,,
2846,WISE REGIONAL HEALTH SYSTEM (450271),2013,Acute Care,Government - Hospital District or Authority,127.0,33.220263,-97.593107,TX,1.023,17.2,103.0,19.0,17.6,1.0167,25.1,137.0,36.0,25.5,1.008,18.2,249.0,46.0,18.3
2847,CENTRAL TEXAS MEDICAL CENTER (450272),2013,Acute Care,Voluntary non-profit - Private,161.0,29.852359,-97.947738,TX,1.0018,20.7,67.0,14.0,20.8,0.9876,21.7,251.0,53.0,21.4,0.9052,16.5,255.0,33.0,14.9
2848,BAYLOR MEDICAL CENTER AT GARLAND (450280),2013,Acute Care,Government - Federal,161.0,,,TX,0.8303,18.7,183.0,21.0,15.5,0.92,24.8,592.0,130.0,22.8,0.9987,18.6,496.0,92.0,18.6
2849,HARRIS COUNTY HOSPITAL DISTRICT (450289),2013,Acute Care,Government - Hospital District or Authority,699.0,29.685422,-95.387094,TX,1.0364,18.7,44.0,10.0,19.4,1.035,23.9,153.0,40.0,24.8,1.0158,19.0,63.0,13.0,19.3
2850,TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN (450292),2013,Acute Care,Voluntary non-profit - Private,61.0,32.591127,-96.317363,TX,0.9354,23.6,40.0,6.0,22.1,0.9404,24.0,233.0,49.0,22.6,0.9606,18.2,121.0,19.0,17.5
2851,FRIO REGIONAL HOSPITAL (450293),2013,Acute Care,Government - Hospital District or Authority,22.0,,,TX,,,2.0,,,0.978,23.6,49.0,10.0,23.1,0.9543,16.3,41.0,4.0,15.5
2852,CLEVELAND REGIONAL MEDICAL CTR (450296),2013,Acute Care,Proprietary,107.0,,,TX,,,17.0,,,1.0549,26.1,148.0,44.0,27.5,1.1066,20.8,97.0,28.0,23.0
2853,COLLEGE STATION MEDICAL CENTER (450299),2013,Acute Care,Proprietary,141.0,30.582626,-96.291014,TX,0.9738,17.6,88.0,14.0,17.1,0.9565,24.9,242.0,55.0,23.8,0.9394,17.6,159.0,23.0,16.5
2854,STAMFORD MEMORIAL HOSPITAL (450306),2013,Acute Care,Government - Hospital District or Authority,21.0,,,TX,,,1.0,,,1.0481,23.0,30.0,10.0,24.1,1.0164,17.8,34.0,7.0,18.1
2855,TEXOMA MEDICAL CENTER (450324),2013,Acute Care,Proprietary,331.0,33.711133,-96.586956,TX,1.1154,18.5,211.0,48.0,20.6,0.8756,23.9,367.0,69.0,20.9,0.971,17.6,442.0,74.0,17.1
2856,OAKBEND MEDICAL CENTER (450330),2013,Acute Care,Government - Hospital District or Authority,205.0,29.577713,-95.771297,TX,1.0369,20.9,53.0,13.0,21.7,1.0121,23.9,220.0,54.0,24.2,0.975,18.8,247.0,44.0,18.4
2857,SAN ANGELO COMMUNITY MEDICAL CENTER (450340),2013,Acute Care,Proprietary,131.0,31.420076,-100.470132,TX,1.0683,17.6,108.0,23.0,18.8,1.0328,25.1,301.0,80.0,25.9,1.0099,18.9,312.0,60.0,19.1
2858,MEMORIAL HERMANN BAPTIST BEAUMONT HOSPITAL (450346),2013,Acute Care,Voluntary non-profit - Private,392.0,30.068473,-94.120255,TX,0.9411,19.5,281.0,49.0,18.3,1.0465,24.9,585.0,155.0,26.0,0.9665,18.2,646.0,112.0,17.6
2859,HUNTSVILLE MEMORIAL HOSPITAL (450347),2013,Acute Care,Voluntary non-profit - Private,96.0,30.69849,-95.55799,TX,,,10.0,,,1.0088,24.2,174.0,43.0,24.4,0.9577,18.3,235.0,39.0,17.6
2860,FALLS COMMUNITY HOSPITAL AND CLINIC (450348),2013,Acute Care,Voluntary non-profit - Private,39.0,31.30747,-96.893901,TX,,,2.0,,,1.0024,22.7,83.0,19.0,22.7,1.0504,16.3,195.0,36.0,17.2
2861,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILL (450351),2013,Acute Care,Voluntary non-profit - Private,51.0,32.223163,-98.204871,TX,1.0012,20.7,48.0,10.0,20.7,0.9156,22.6,179.0,32.0,20.7,0.9032,17.8,195.0,26.0,16.1
2862,HUNT REGIONAL MEDICAL CENTER (450352),2013,Acute Care,Government - Hospital District or Authority,172.0,,,TX,1.2035,22.4,33.0,17.0,27.0,0.9899,25.2,424.0,105.0,24.9,0.9767,18.0,468.0,81.0,17.6
2863,"METHODIST HOSPITAL,THE (450358)",2013,Acute Care,Voluntary non-profit - Private,1019.0,29.710567,-95.400118,TX,0.9586,20.9,678.0,134.0,20.0,0.9349,25.2,1408.0,328.0,23.6,0.9043,19.6,831.0,142.0,17.7
2864,CHILDRESS REGIONAL MEDICAL CENTER (450369),2013,Acute Care,Government - Hospital District or Authority,38.0,,,TX,,,5.0,,,1.0558,21.2,71.0,19.0,22.3,0.9613,15.0,125.0,16.0,14.4
2865,COLUMBUS COMMUNITY HOSPITAL (450370),2013,Acute Care,Voluntary non-profit - Private,40.0,29.694287,-96.542483,TX,,,3.0,,,1.0814,22.9,66.0,21.0,24.7,0.9885,18.5,124.0,22.0,18.2
2866,BAYLOR MEDICAL CENTER AT WAXAHACHIE (450372),2013,Acute Care,Voluntary non-profit - Private,88.0,32.429622,-96.859736,TX,,,22.0,,,0.9759,22.7,214.0,46.0,22.2,0.9592,17.3,303.0,48.0,16.6
2867,EAST TEXAS MEDICAL CENTER MOUNT VERNON (450373),2013,Acute Care,Voluntary non-profit - Other,30.0,,,TX,,,3.0,,,1.01,23.9,39.0,10.0,24.1,1.0145,19.2,114.0,23.0,19.5
2868,DALLAS MEDICAL CENTER (450379),2013,Acute Care,Proprietary,119.0,32.914335,-96.873098,TX,1.0244,20.1,34.0,8.0,20.6,1.0512,25.7,144.0,42.0,27.0,0.9784,20.2,97.0,18.0,19.8
2869,METHODIST HOSPITAL (450388),2013,Acute Care,Proprietary,1621.0,29.50684,-98.572976,TX,0.9451,18.2,1025.0,174.0,17.2,0.8922,24.7,2205.0,480.0,22.1,0.9062,18.7,1465.0,243.0,16.9
2870,EAST TEXAS MEDICAL CENTER ATHENS (450389),2013,Acute Care,Voluntary non-profit - Private,126.0,32.171435,-95.844022,TX,1.0913,23.4,87.0,26.0,25.5,1.0375,24.4,433.0,112.0,25.4,0.9677,17.3,493.0,81.0,16.8
2871,MEMORIAL MEDICAL CENTER LIVINGSTON (450395),2013,Acute Care,Voluntary non-profit - Private,61.0,30.35777,-95.085743,TX,,,18.0,,,1.0383,25.2,247.0,67.0,26.2,0.9227,18.7,233.0,36.0,17.3
2872,BROWNFIELD REGIONAL MEDICAL CENTER (450399),2013,Acute Care,Government - Hospital District or Authority,28.0,33.187102,-102.26775,TX,,,8.0,,,0.9874,22.6,57.0,12.0,22.3,0.9761,18.8,89.0,15.0,18.3
2873,PARKVIEW REGIONAL HOSPITAL (450400),2013,Acute Care,Proprietary,56.0,31.675059,-96.480013,TX,,,23.0,,,1.1134,22.9,198.0,57.0,25.5,1.1008,16.9,285.0,58.0,18.6
2874,MEDICAL CENTER OF MCKINNEY (450403),2013,Acute Care,Proprietary,231.0,33.159842,-96.635503,TX,0.9935,18.4,193.0,35.0,18.3,1.0806,26.1,448.0,131.0,28.2,0.9369,19.7,356.0,62.0,18.4
2875,EASTLAND MEMORIAL HOSPITAL (450411),2013,Acute Care,Government - Hospital District or Authority,32.0,32.400439,-98.821636,TX,,,4.0,,,1.027,23.1,141.0,35.0,23.7,0.9993,17.2,157.0,27.0,17.2
2876,TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE (450419),2013,Acute Care,Voluntary non-profit - Church,31.0,32.881196,-97.533769,TX,,,18.0,,,0.9136,23.3,156.0,28.0,21.3,0.949,17.2,207.0,31.0,16.3
2877,BAYLOR MEDICAL CENTER AT UPTOWN (450422),2013,Acute Care,Voluntary non-profit - Private,24.0,32.80453,-96.794757,TX,,,0.0,,,,,0.0,,,,,0.0,,
2878,SAN JACINTO METHODIST HOSPITAL (450424),2013,Acute Care,Voluntary non-profit - Private,247.0,29.76871,-94.977548,TX,0.9718,21.9,222.0,46.0,21.3,0.8697,25.9,495.0,103.0,22.5,0.9788,19.2,426.0,79.0,18.8
2879,ST. DAVIDS MEDICAL CENTER (450431),2013,Acute Care,Voluntary non-profit - Other,561.0,30.290447,-97.72587,TX,0.8931,18.5,233.0,34.0,16.5,0.8857,24.4,774.0,160.0,21.6,0.9602,17.9,461.0,77.0,17.2
2880,RIVERSIDE GENERAL HOSPITAL (450446),2013,Acute Care,Voluntary non-profit - Private,83.0,,,TX,,,0.0,,,,,1.0,,,,,0.0,,
2881,NAVARRO REGIONAL HOSPITAL (450447),2013,Acute Care,Voluntary non-profit - Other,96.0,32.085083,-96.503582,TX,1.0385,19.4,37.0,9.0,20.2,1.0336,24.0,286.0,73.0,24.8,1.0016,17.2,214.0,37.0,17.3
2882,GLEN ROSE MEDICAL CENTER (450451),2013,Acute Care,Government - Hospital District or Authority,16.0,32.24203,-97.7454,TX,,,5.0,,,0.9769,23.1,86.0,18.0,22.5,0.9082,17.0,142.0,17.0,15.5
2883,TYLER COUNTY HOSPITAL (450460),2013,Acute Care,Government - Hospital District or Authority,25.0,30.775287,-94.42822,TX,,,13.0,,,1.0266,24.2,70.0,19.0,24.9,1.0375,17.9,113.0,23.0,18.6
2884,TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS (450462),2013,Acute Care,Voluntary non-profit - Private,628.0,32.883139,-96.763574,TX,1.2362,17.7,304.0,75.0,21.8,0.9934,22.6,874.0,196.0,22.5,0.8849,16.7,657.0,91.0,14.8
2885,MATAGORDA REGIONAL MEDICAL CENTER (450465),2013,Acute Care,Government - Hospital District or Authority,57.0,28.982805,-95.99129,TX,1.0251,22.9,72.0,18.0,23.5,0.9335,27.0,140.0,31.0,25.2,1.0482,20.0,150.0,34.0,20.9
2886,TEXAS HEALTH PRESBYTERIAN HOSPITAL - W.N.J (450469),2013,Acute Care,Proprietary,206.0,33.635636,-96.622851,TX,0.9392,19.0,238.0,40.0,17.9,0.9423,24.0,497.0,109.0,22.6,1.0194,19.0,553.0,108.0,19.3
2887,E T M C HENDERSON (450475),2013,Acute Care,Voluntary non-profit - Private,42.0,32.161614,-94.796433,TX,,,14.0,,,1.2058,24.4,181.0,65.0,29.5,1.1253,18.0,122.0,31.0,20.2
2888,WOODLAND HEIGHTS MEDICAL CENTER (450484),2013,Acute Care,Proprietary,135.0,31.327737,-94.756139,TX,0.9768,17.6,110.0,18.0,17.2,0.8687,24.3,285.0,52.0,21.1,1.0959,18.3,250.0,55.0,20.0
2889,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE (450488),2013,Acute Care,Proprietary,61.0,,,TX,,,1.0,,,,,3.0,,,,,4.0,,
2890,MEDICAL ARTS HOSPITAL (450489),2013,Acute Care,Government - Hospital District or Authority,22.0,32.750279,-101.96647,TX,,,8.0,,,0.9181,25.0,83.0,14.0,23.0,0.9697,17.7,62.0,9.0,17.1
2891,BOWIE MEMORIAL HOSPITAL (450497),2013,Acute Care,Government - Hospital District or Authority,40.0,,,TX,,,12.0,,,1.0942,22.1,94.0,28.0,24.1,0.9262,16.5,222.0,30.0,15.3
2892,STEPHENS MEMORIAL HOSPITAL (450498),2013,Acute Care,Government - Hospital District or Authority,30.0,32.754056,-98.887719,TX,,,13.0,,,0.9767,23.8,62.0,13.0,23.2,0.9772,17.7,117.0,19.0,17.3
2893,MEMORIAL HOSPITAL (450508),2013,Acute Care,Government - Hospital District or Authority,137.0,31.613397,-94.649455,TX,0.9694,18.0,99.0,16.0,17.4,1.1101,23.8,381.0,107.0,26.4,1.1706,17.0,369.0,82.0,20.0
2894,THE MEDICAL CENTER OF SOUTHEAST TEXAS (450518),2013,Acute Care,Proprietary,218.0,29.934952,-93.985007,TX,0.9231,17.2,95.0,12.0,15.9,0.9533,25.2,324.0,75.0,24.0,0.9741,18.1,218.0,37.0,17.6
2895,METHODIST RICHARDSON MEDICAL CENTER (450537),2013,Acute Care,Government - Hospital District or Authority,208.0,32.996143,-96.669176,TX,0.9813,17.9,84.0,14.0,17.6,0.9644,24.3,197.0,44.0,23.4,1.0366,17.9,200.0,39.0,18.5
2896,COVENANT HOSPITAL PLAINVIEW (450539),2013,Acute Care,Voluntary non-profit - Private,49.0,34.207214,-101.731626,TX,,,5.0,,,0.9321,22.8,71.0,11.0,21.3,1.0572,16.4,232.0,43.0,17.3
2897,ABILENE REGIONAL MEDICAL CENTER (450558),2013,Acute Care,Proprietary,202.0,32.374006,-99.742595,TX,1.0626,16.8,233.0,44.0,17.9,0.9094,23.8,280.0,55.0,21.6,1.0026,17.9,294.0,53.0,18.0
2898,BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE (450563),2013,Acute Care,Voluntary non-profit - Private,297.0,32.9356,-97.093897,TX,1.0514,17.9,149.0,30.0,18.8,0.9365,24.5,401.0,88.0,22.9,1.0435,17.5,420.0,79.0,18.3
2899,PALO PINTO GENERAL HOSPITAL (450565),2013,Acute Care,Government - Hospital District or Authority,47.0,32.799552,-98.145406,TX,,,14.0,,,1.0322,23.4,108.0,28.0,24.2,0.9561,17.4,158.0,24.0,16.7
2900,SHANNON MEDICAL CENTER (450571),2013,Acute Care,Voluntary non-profit - Private,341.0,31.464485,-100.43509,TX,0.9966,18.0,347.0,62.0,17.9,0.9035,23.4,458.0,91.0,21.2,0.852,17.0,519.0,67.0,14.5
2901,CHRISTUS JASPER MEMORIAL HOSPITAL (450573),2013,Acute Care,Government - Local,43.0,30.907639,-94.008533,TX,,,8.0,,,0.9185,24.4,85.0,14.0,22.4,0.9243,18.7,221.0,34.0,17.3
2902,HEMPHILL COUNTY HOSPITAL (450578),2013,Acute Care,Government - Hospital District or Authority,15.0,35.903792,-100.387399,TX,,,3.0,,,,,12.0,,,0.9594,15.2,28.0,2.0,14.6
2903,EAST TEXAS MEDICAL CENTER CROCKETT (450580),2013,Acute Care,Government - Hospital District or Authority,42.0,,,TX,,,17.0,,,1.0405,22.3,231.0,56.0,23.2,1.0714,17.7,160.0,34.0,19.0
2904,WILBARGER GENERAL HOSPITAL (450584),2013,Acute Care,Government - Hospital District or Authority,38.0,34.159419,-99.31333,TX,,,8.0,,,0.9647,21.4,39.0,6.0,20.6,0.8883,17.1,86.0,7.0,15.2
2905,SEYMOUR HOSPITAL (450586),2013,Acute Care,Government - Hospital District or Authority,27.0,33.589788,-99.247697,TX,,,4.0,,,0.9494,26.7,52.0,10.0,25.4,0.9759,18.6,128.0,22.0,18.2
2906,BROWNWOOD REGIONAL MEDICAL CENTER (450587),2013,Acute Care,Proprietary,102.0,31.680211,-98.988158,TX,,,9.0,,,0.959,24.3,238.0,53.0,23.3,0.9199,18.9,394.0,64.0,17.4
2907,ANGLETON-DANBURY MEDICAL CENTER (450591),2013,Acute Care,Government - Hospital District or Authority,62.0,,,TX,,,17.0,,,0.9415,25.2,142.0,30.0,23.7,0.9245,18.5,147.0,21.0,17.1
2908,LAKE GRANBURY MEDICAL CENTER (450596),2013,Acute Care,Proprietary,47.0,32.431845,-97.802729,TX,0.9592,15.2,45.0,5.0,14.6,0.9032,22.0,165.0,27.0,19.9,0.8069,16.0,169.0,11.0,12.9
2909,CUERO COMMUNITY HOSPITAL (450597),2013,Acute Care,Government - Hospital District or Authority,47.0,29.112495,-97.281693,TX,1.0482,21.4,27.0,8.0,22.4,1.1032,24.1,192.0,57.0,26.6,0.9839,18.5,208.0,37.0,18.2
2910,HILL COUNTRY MEMORIAL HOSPITAL INC (450604),2013,Acute Care,Voluntary non-profit - Private,62.0,30.262187,-98.880491,TX,0.9296,19.3,33.0,3.0,17.9,0.8719,22.3,164.0,24.0,19.4,0.9269,16.0,310.0,42.0,14.8
2911,NORTH BAY GENERAL HOSPITAL (450605),2013,Acute Care,Proprietary,73.0,27.915921,-97.161829,TX,,,9.0,,,0.9755,23.4,94.0,20.0,22.8,0.9747,15.3,69.0,9.0,14.9
2912,MEMORIAL HERMANN MEMORIAL CITY HOSPITAL (450610),2013,Acute Care,Voluntary non-profit - Private,410.0,29.781023,-95.544422,TX,0.8098,18.0,256.0,29.0,14.5,0.8859,23.4,844.0,168.0,20.7,0.7844,18.1,503.0,59.0,14.2
2913,CLEAR LAKE REGIONAL MEDICAL CENTER (450617),2013,Acute Care,Proprietary,594.0,29.541062,-95.126274,TX,0.9636,19.8,437.0,82.0,19.1,1.0373,25.1,817.0,215.0,26.0,0.9611,19.1,557.0,100.0,18.3
2914,DIMMIT REGIONAL HOSPITAL DISTRICT (450620),2013,Acute Care,Voluntary non-profit - Private,34.0,,,TX,,,2.0,,,1.0876,22.4,78.0,24.0,24.4,1.1518,16.4,98.0,26.0,18.9
2915,DENTON REGIONAL MEDICAL CENTER (450634),2013,Acute Care,Proprietary,195.0,33.176831,-97.094019,TX,0.9963,17.7,234.0,41.0,17.6,1.0105,25.3,412.0,106.0,25.6,1.0243,19.5,470.0,95.0,19.9
2916,HOUSTON NORTHWEST MEDICAL CENTER (450638),2013,Acute Care,Proprietary,333.0,30.018099,-95.439796,TX,0.9616,21.1,250.0,49.0,20.3,0.9339,25.1,607.0,138.0,23.4,0.9357,19.0,323.0,54.0,17.8
2917,HARRIS METHODIST H E B HOSPITAL (450639),2013,Acute Care,Voluntary non-profit - Private,251.0,32.833513,-97.125241,TX,1.0001,18.2,165.0,30.0,18.2,0.9856,24.1,475.0,112.0,23.8,0.9634,18.0,450.0,76.0,17.3
2918,NOCONA GENERAL HOSPITAL (450641),2013,Acute Care,Government - Hospital District or Authority,26.0,33.777559,-97.731564,TX,,,5.0,,,0.9774,21.2,69.0,13.0,20.7,0.9332,16.3,148.0,19.0,15.2
2919,DOCTORS HOSPITAL OF LAREDO (450643),2013,Acute Care,Proprietary,183.0,27.60709,-99.476281,TX,1.0111,17.7,31.0,6.0,17.9,1.1752,24.1,378.0,117.0,28.3,1.0147,18.3,217.0,41.0,18.5
2920,WEST HOUSTON MEDICAL CENTER (450644),2013,Acute Care,Proprietary,237.0,29.730314,-95.59475,TX,0.9975,19.1,111.0,21.0,19.0,0.9188,26.2,287.0,64.0,24.1,0.9926,19.3,200.0,38.0,19.2
2921,MEDICAL CITY DALLAS HOSPITAL (450647),2013,Acute Care,Proprietary,727.0,32.909447,-96.772089,TX,0.9776,18.4,155.0,27.0,18.0,1.0302,25.0,575.0,150.0,25.8,1.0033,18.9,331.0,63.0,19.0
2922,MEDICAL CENTER OF PLANO (450651),2013,Acute Care,Proprietary,428.0,33.019387,-96.76573,TX,1.0425,18.0,135.0,27.0,18.8,1.0443,25.4,374.0,102.0,26.6,0.9709,18.5,292.0,51.0,18.0
2923,SCENIC MOUNTAIN MEDICAL CENTER (450653),2013,Acute Care,Proprietary,84.0,32.240015,-101.492412,TX,1.0537,21.5,30.0,9.0,22.7,1.0624,23.3,155.0,42.0,24.8,0.9366,17.1,152.0,21.0,16.0
2924,STARR COUNTY MEMORIAL HOSPITAL (450654),2013,Acute Care,Government - Hospital District or Authority,48.0,26.37754,-98.859886,TX,1.1046,24.8,57.0,20.0,27.3,1.0163,27.6,107.0,31.0,28.0,1.0797,19.2,357.0,78.0,20.7
2925,NACOGDOCHES MEDICAL CENTER (450656),2013,Acute Care,Voluntary non-profit - Other,152.0,31.652058,-94.654265,TX,1.006,17.7,94.0,17.0,17.8,1.0576,22.1,213.0,53.0,23.3,0.9745,15.9,234.0,35.0,15.5
2926,EAST TEXAS MEDICAL CENTER - FAIRFIELD (450658),2013,Acute Care,Voluntary non-profit - Private,40.0,31.725644,-96.16961,TX,,,10.0,,,1.0766,22.8,129.0,36.0,24.5,0.9218,18.4,108.0,14.0,16.9
2927,PARK PLAZA HOSPITAL (450659),2013,Acute Care,Proprietary,192.0,29.722375,-95.388045,TX,0.9622,23.8,64.0,13.0,22.9,0.8915,24.8,221.0,42.0,22.1,0.9547,20.2,122.0,21.0,19.3
2928,ODESSA REGIONAL HOSPITAL (450661),2013,Acute Care,Proprietary,211.0,31.851458,-102.366027,TX,0.9364,16.7,93.0,12.0,15.6,1.1009,21.5,209.0,55.0,23.6,0.99,15.6,126.0,19.0,15.5
2929,VALLEY REGIONAL MEDICAL CENTER (450662),2013,Acute Care,Proprietary,207.0,,,TX,0.94,19.2,125.0,20.0,18.0,1.1937,26.6,273.0,98.0,31.7,0.9812,20.2,359.0,70.0,19.8
2930,SIERRA MEDICAL CENTER (450668),2013,Acute Care,Proprietary,294.0,31.77867,-106.47965,TX,0.9696,18.4,158.0,27.0,17.9,0.9823,23.8,450.0,104.0,23.3,1.0221,18.1,362.0,68.0,18.5
2931,MEDICAL CENTER OF LEWISVILLE (450669),2013,Acute Care,Voluntary non-profit - Private,171.0,33.046306,-97.004207,TX,1.1441,20.8,39.0,15.0,23.8,1.0296,24.4,264.0,68.0,25.1,1.0744,19.2,238.0,53.0,20.6
2932,TOMBALL REGIONAL MEDICAL CENTER (450670),2013,Acute Care,Proprietary,298.0,30.088703,-95.623985,TX,1.0289,19.7,177.0,37.0,20.2,0.8912,26.6,583.0,131.0,23.7,0.8615,20.5,539.0,87.0,17.6
2933,PLAZA MEDICAL CENTER OF FORT WORTH (450672),2013,Acute Care,Proprietary,220.0,32.735481,-97.343704,TX,1.0621,18.5,338.0,69.0,19.7,0.9766,25.8,474.0,118.0,25.2,1.0655,19.9,286.0,64.0,21.2
2934,"WOMANS HOSPITAL OF TEXAS,THE (450674)",2013,Acute Care,Proprietary,250.0,29.692977,-95.40109,TX,,,0.0,,,,,0.0,,,,,0.0,,
2935,MEDICAL CENTER OF ARLINGTON (450675),2013,Acute Care,Proprietary,301.0,32.691751,-97.1148,TX,1.1025,19.4,201.0,47.0,21.4,0.9629,25.7,398.0,96.0,24.7,1.0733,19.6,276.0,62.0,21.1
2936,HUGULEY MEMORIAL MEDICAL CENTER (450677),2013,Acute Care,Voluntary non-profit - Church,225.0,32.585454,-97.319102,TX,0.8592,20.3,208.0,30.0,17.4,1.0216,24.6,433.0,110.0,25.1,1.0117,18.9,369.0,71.0,19.1
2937,DOCTORS HOSPITAL (450678),2013,Acute Care,Proprietary,186.0,32.835521,-96.705001,TX,0.932,20.1,133.0,22.0,18.7,1.0049,23.1,429.0,100.0,23.2,0.8521,18.1,314.0,40.0,15.4
