,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
3043,PEACE HARBOR MEDICAL CENTER (381316),2021,Critical Access,Voluntary non-profit - Church,34.0,43.974589,-124.117464,OR,51.0,21.1,101.0,14.7,35.0,16.1,30.0,19.9,56.0,3.6,,,,,,,,,,,51.0,-17.5,49.0,11.0,35.0,-18.2,32.0,3.0,,,,,
3044,ADVENTIST HEALTH TILLAMOOK (381317),2021,Critical Access,Voluntary non-profit - Church,33.0,45.456322,-123.854951,OR,72.0,21.1,155.0,15.3,82.0,16.5,,,86.0,3.7,,,,,,,,,,,72.0,-5.4,58.0,17.0,82.0,-15.3,79.0,17.0,,,,,
3045,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL (381318),2021,Critical Access,Voluntary non-profit - Church,25.0,45.704561,-121.523224,OR,34.0,22.5,177.0,15.8,69.0,16.7,29.0,19.0,137.0,4.0,,,,,49.0,6.2,,,,,34.0,-10.8,30.0,7.0,69.0,5.3,63.0,14.0,11.7,,,50.0,1.0
3046,ST ANTHONY HOSPITAL (381319),2021,Critical Access,Voluntary non-profit - Church,24.0,,,OR,76.0,19.7,113.0,14.8,71.0,15.6,32.0,19.4,47.0,3.6,,,,,38.0,6.7,,,,,76.0,-35.7,66.0,24.0,71.0,-30.9,70.0,18.0,10.2,523.0,17.5,112.0,0.9
3047,COLUMBIA MEMORIAL HOSPITAL (381320),2021,Critical Access,Proprietary,25.0,46.188503,-123.818502,OR,,,,,,,,,,,,,,,133.0,9.6,,,,,,,,,,,,,11.7,,,,
3048,GRANDE RONDE HOSPITAL (381321),2021,Critical Access,Voluntary non-profit - Private,25.0,45.319464,-118.104828,OR,48.0,21.7,175.0,15.4,94.0,15.8,61.0,19.5,133.0,4.1,,,,,44.0,6.8,,,,,48.0,-46.6,42.0,16.0,94.0,-12.3,86.0,19.0,10.7,,,,
3049,CURRY GENERAL HOSPITAL (381322),2021,Critical Access,Government - Hospital District or Authority,18.0,42.411659,-124.418658,OR,41.0,22.9,68.0,15.4,60.0,16.7,,,,,,,,,27.0,5.5,,,,,41.0,18.0,33.0,15.0,60.0,-20.8,57.0,19.0,11.4,62.0,16.0,,
3050,SAMARITAN LEBANON COMMUNITY HOSPITAL (381323),2021,Critical Access,Voluntary non-profit - Church,25.0,44.550528,-122.908414,OR,54.0,23.9,110.0,15.7,97.0,15.6,44.0,20.3,,,,,,,57.0,7.9,,,,,54.0,10.7,45.0,21.0,97.0,-42.1,86.0,30.0,13.1,501.0,15.0,31.0,1.1
3051,ST CHARLES MADRAS (381324),2021,Critical Access,Voluntary non-profit - Private,25.0,44.637362,-121.121358,OR,29.0,22.0,43.0,15.5,45.0,17.4,29.0,19.3,,,,,,,,,,,,,29.0,11.0,26.0,7.0,45.0,-4.7,41.0,17.0,,157.0,15.8,,
3052,GOOD SHEPHERD MEDICAL CENTER (381325),2021,Critical Access,Voluntary non-profit - Private,25.0,45.846135,-119.31095,OR,34.0,21.5,120.0,15.3,82.0,16.3,60.0,18.2,97.0,3.9,,,,,35.0,7.1,,,,,34.0,-15.4,31.0,9.0,82.0,-4.8,75.0,17.0,10.9,127.0,15.6,51.0,1.0
3053,GEISINGER-COMMUNITY MEDICAL CENTER (390001),2021,Acute Care,Voluntary non-profit - Private,282.0,41.400717,-75.64589,PA,583.0,20.9,1428.0,15.3,550.0,15.1,195.0,19.8,288.0,4.0,173.0,14.3,45.0,12.2,93.0,5.8,173.0,-24.8,166.0,37.0,583.0,10.1,480.0,158.0,550.0,-14.2,508.0,118.0,11.7,454.0,15.7,444.0,1.0
3054,UPMC MCKEESPORT HOSPITAL (390002),2021,Acute Care,Voluntary non-profit - Private,219.0,40.3523,-79.849218,PA,117.0,23.8,251.0,15.6,124.0,17.0,108.0,20.8,,,40.0,16.2,,,167.0,5.4,40.0,-10.4,39.0,10.0,117.0,-22.3,94.0,36.0,124.0,-0.6,104.0,30.0,11.4,224.0,15.1,33.0,1.4
3055,GEISINGER-BLOOMSBURG HOSPITAL (390003),2021,Acute Care,Voluntary non-profit - Private,69.0,41.008431,-76.453193,PA,49.0,22.0,83.0,15.7,59.0,18.2,,,,,,,,,,,,,,,49.0,41.7,46.0,14.0,59.0,34.1,56.0,18.0,,510.0,16.3,123.0,0.9
3056,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER (390004),2021,Acute Care,Voluntary non-profit - Private,310.0,40.25141,-76.923468,PA,401.0,20.7,842.0,14.2,436.0,16.6,115.0,19.6,85.0,3.9,210.0,15.0,88.0,12.8,,,210.0,15.1,200.0,54.0,401.0,2.9,318.0,100.0,436.0,0.6,386.0,96.0,,330.0,15.4,452.0,0.8
3057,GEISINGER MEDICAL CENTER (390006),2021,Acute Care,Voluntary non-profit - Private,545.0,40.969585,-76.60622,PA,755.0,20.7,2087.0,15.2,573.0,16.4,241.0,19.0,248.0,3.5,359.0,13.7,110.0,10.2,774.0,6.2,359.0,-1.1,326.0,89.0,755.0,19.2,605.0,214.0,573.0,12.3,482.0,161.0,10.6,2703.0,14.5,1516.0,0.8
3058,SAINT VINCENT HOSPITAL (390009),2021,Acute Care,Voluntary non-profit - Private,349.0,42.110708,-80.079932,PA,493.0,19.9,1095.0,14.5,345.0,15.9,245.0,19.7,303.0,3.8,252.0,14.7,102.0,10.5,153.0,5.9,252.0,-0.8,235.0,63.0,493.0,-20.3,394.0,134.0,345.0,-21.3,305.0,79.0,12.8,1186.0,16.8,472.0,0.8
3059,ABINGTON HEALTH LANSDALE HOSPITAL (390012),2021,Acute Care,Voluntary non-profit - Other,133.0,40.2512,-75.271523,PA,355.0,25.1,844.0,15.9,404.0,16.6,148.0,20.7,390.0,4.2,54.0,16.4,,,,,54.0,-5.0,53.0,21.0,355.0,22.0,254.0,92.0,404.0,-1.0,377.0,86.0,,141.0,16.9,357.0,0.9
3060,EVANGELICAL COMMUNITY HOSPITAL (390013),2021,Acute Care,Voluntary non-profit - Other,131.0,,,PA,240.0,19.1,613.0,15.5,228.0,16.7,99.0,18.9,715.0,3.4,81.0,14.9,,,25.0,5.9,81.0,-2.7,78.0,18.0,240.0,-19.0,186.0,53.0,228.0,2.4,212.0,52.0,11.0,480.0,16.4,705.0,0.7
3061,UPMC JAMESON (390016),2021,Acute Care,Voluntary non-profit - Other,202.0,41.013452,-80.351116,PA,244.0,18.9,412.0,15.1,222.0,17.5,104.0,21.5,77.0,4.0,55.0,15.3,,,30.0,5.6,55.0,-27.7,55.0,12.0,244.0,-30.7,180.0,60.0,222.0,6.9,189.0,53.0,11.1,318.0,15.4,175.0,1.3
3062,JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA) (39001F),2021,Acute Care (VA),Government - Federal,,,,,61.0,22.2,74.0,15.7,43.0,16.4,80.0,19.1,,,,,,,,,,,,,61.0,1.1,49.0,13.0,43.0,-7.5,40.0,6.0,,,,,
3063,CHESTNUT HILL HOSPITAL (390026),2021,Acute Care,Proprietary,140.0,40.078791,-75.212752,PA,400.0,21.5,759.0,16.0,364.0,16.2,117.0,20.0,110.0,4.0,35.0,15.3,,,,,35.0,-27.3,34.0,11.0,400.0,5.1,311.0,107.0,364.0,-9.7,333.0,79.0,,337.0,15.6,178.0,1.2
3064,TEMPLE UNIVERSITY HOSPITAL (390027),2021,Acute Care,Voluntary non-profit - Private,764.0,40.004667,-75.1522,PA,414.0,21.4,1068.0,16.1,186.0,15.9,303.0,19.9,65.0,4.1,94.0,15.7,67.0,11.6,176.0,5.9,94.0,-13.1,93.0,24.0,414.0,-1.8,315.0,103.0,186.0,31.2,174.0,39.0,13.5,901.0,14.4,243.0,0.9
3065,UPMC MERCY (390028),2021,Acute Care,Voluntary non-profit - Private,464.0,40.436831,-79.985623,PA,178.0,23.3,833.0,16.1,142.0,16.6,126.0,19.4,33.0,3.7,60.0,16.9,,,46.0,5.5,60.0,15.6,59.0,20.0,178.0,-4.4,149.0,51.0,142.0,-3.9,135.0,30.0,11.9,279.0,17.6,222.0,1.2
3066,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET (390030),2021,Acute Care,Voluntary non-profit - Private,176.0,40.683749,-76.188858,PA,240.0,24.0,782.0,16.3,280.0,16.8,144.0,19.9,36.0,4.1,,,,,28.0,5.2,,,,,240.0,25.3,204.0,70.0,280.0,10.2,259.0,66.0,11.4,62.0,17.2,161.0,1.0
3067,ALLEGHENY VALLEY HOSPITAL (390032),2021,Acute Care,Voluntary non-profit - Other,211.0,40.617378,-79.737106,PA,188.0,21.7,233.0,15.6,159.0,16.3,79.0,20.6,86.0,4.4,,,,,,,,,,,188.0,15.0,152.0,60.0,159.0,-8.5,136.0,35.0,,467.0,17.6,106.0,0.9
3068,ST LUKES QUAKERTOWN HOSPITAL (390035),2021,Acute Care,Voluntary non-profit - Private,64.0,40.437795,-75.348774,PA,185.0,24.2,343.0,15.5,163.0,16.1,56.0,20.2,28.0,3.8,,,,,85.0,6.0,,,,,185.0,20.7,160.0,54.0,163.0,-18.4,150.0,35.0,11.9,110.0,16.7,260.0,1.0
3069,HERITAGE VALLEY BEAVER (390036),2021,Acute Care,Voluntary non-profit - Private,244.0,40.710345,-80.324352,PA,388.0,19.7,633.0,14.9,367.0,16.6,138.0,18.9,112.0,3.8,102.0,15.1,37.0,13.0,159.0,6.1,102.0,8.1,100.0,19.0,388.0,-33.2,311.0,99.0,367.0,12.7,309.0,81.0,10.3,166.0,17.6,216.0,0.9
3070,HERITAGE VALLEY SEWICKLEY (390037),2021,Acute Care,Voluntary non-profit - Private,162.0,40.543523,-80.178756,PA,123.0,23.3,318.0,15.6,120.0,16.3,52.0,20.3,296.0,4.5,,,,,48.0,5.4,,,,,123.0,10.1,99.0,31.0,120.0,-14.9,103.0,24.0,10.5,293.0,18.2,126.0,1.3
3071,UPMC SOMERSET (390039),2021,Acute Care,Voluntary non-profit - Private,107.0,40.007081,-79.078598,PA,64.0,21.4,188.0,15.6,91.0,16.1,46.0,19.7,66.0,3.7,32.0,16.1,,,37.0,5.8,32.0,8.8,31.0,9.0,64.0,-8.2,48.0,23.0,91.0,-15.3,81.0,27.0,11.4,617.0,13.1,94.0,1.2
3072,UNIONTOWN HOSPITAL (390041),2021,Acute Care,Voluntary non-profit - Other,178.0,39.901996,-79.737619,PA,214.0,22.5,348.0,16.2,213.0,18.9,114.0,19.0,88.0,4.3,47.0,16.6,,,78.0,6.2,47.0,19.2,46.0,15.0,214.0,44.0,157.0,57.0,213.0,63.0,197.0,70.0,11.4,221.0,17.9,221.0,0.9
3073,"WASHINGTON HOSPITAL, THE (390042)",2021,Acute Care,Voluntary non-profit - Private,258.0,40.183244,-80.247471,PA,243.0,21.3,499.0,16.1,219.0,16.6,118.0,20.5,30.0,4.3,116.0,14.5,44.0,11.4,,,116.0,-9.4,112.0,29.0,243.0,-8.9,198.0,69.0,219.0,1.1,189.0,60.0,,238.0,16.2,190.0,0.9
3074,READING HOSPITAL (390044),2021,Acute Care,Voluntary non-profit - Other,689.0,40.329863,-75.948059,PA,1266.0,20.1,2836.0,15.6,1183.0,15.2,351.0,21.0,801.0,3.3,289.0,14.9,121.0,12.9,405.0,4.8,289.0,28.3,285.0,59.0,1266.0,-3.2,987.0,305.0,1183.0,-4.7,1033.0,238.0,13.6,432.0,17.7,592.0,1.2
3075,WILLIAMSPORT REGIONAL MEDICAL CENTER (390045),2021,Acute Care,Voluntary non-profit - Other,232.0,41.24547,-77.014432,PA,468.0,19.4,1140.0,15.0,412.0,15.1,202.0,19.2,398.0,4.0,356.0,14.8,138.0,13.2,199.0,6.0,356.0,-5.8,338.0,80.0,468.0,-28.1,389.0,112.0,412.0,-19.3,373.0,91.0,11.0,1082.0,18.1,658.0,0.8
3076,WELLSPAN YORK HOSPITAL (390046),2021,Acute Care,Voluntary non-profit - Private,579.0,39.946668,-76.720535,PA,1181.0,19.6,2723.0,15.4,782.0,16.1,410.0,19.2,36.0,4.0,447.0,16.8,70.0,14.0,206.0,4.8,447.0,15.0,427.0,110.0,1181.0,1.4,929.0,270.0,782.0,9.2,710.0,156.0,10.3,939.0,15.6,781.0,0.9
3077,GEISINGER-LEWISTOWN HOSPITAL (390048),2021,Acute Care,Voluntary non-profit - Private,126.0,40.617853,-77.567402,PA,228.0,19.5,291.0,15.3,246.0,15.6,132.0,19.2,25.0,3.8,,,,,74.0,5.3,,,,,228.0,19.8,185.0,53.0,246.0,-13.5,217.0,61.0,12.1,152.0,17.2,198.0,0.9
3078,ST LUKE'S HOSPITAL BETHLEHEM (390049),2021,Acute Care,Voluntary non-profit - Private,581.0,40.608697,-75.392507,PA,1005.0,22.0,2939.0,15.3,658.0,17.5,275.0,20.1,561.0,4.5,344.0,16.1,183.0,12.2,330.0,5.0,344.0,6.1,335.0,97.0,1005.0,-3.2,777.0,257.0,658.0,20.1,590.0,160.0,12.6,1986.0,17.3,1120.0,1.3
3079,ALLEGHENY GENERAL HOSPITAL (390050),2021,Acute Care,Voluntary non-profit - Other,539.0,40.456149,-80.003249,PA,341.0,22.2,1413.0,15.8,214.0,16.7,107.0,21.1,193.0,3.9,226.0,16.9,99.0,13.9,131.0,7.1,226.0,19.6,216.0,69.0,341.0,-3.5,285.0,103.0,214.0,13.0,191.0,57.0,12.7,384.0,14.3,512.0,0.7
3080,PENN HIGHLANDS CLEARFIELD (390052),2021,Acute Care,Voluntary non-profit - Other,71.0,41.033012,-78.449999,PA,99.0,22.4,137.0,15.9,80.0,16.6,69.0,20.5,41.0,3.9,,,,,,,,,,,99.0,-14.4,79.0,35.0,80.0,-23.0,69.0,21.0,,452.0,16.2,65.0,1.1
3081,PENN HIGHLANDS HUNTINGDON (390056),2021,Acute Care,Voluntary non-profit - Other,70.0,40.493656,-78.013908,PA,106.0,21.3,192.0,15.5,108.0,15.6,78.0,19.4,,,50.0,15.3,,,,,50.0,-14.0,50.0,13.0,106.0,-8.9,91.0,28.0,108.0,-18.9,94.0,28.0,,704.0,16.8,42.0,0.9
3082,GRAND VIEW HEALTH (390057),2021,Acute Care,Voluntary non-profit - Other,186.0,40.362567,-75.324169,PA,296.0,20.0,828.0,15.2,427.0,18.1,158.0,18.7,423.0,3.7,,,,,,,,,,,296.0,-11.3,248.0,67.0,427.0,-10.9,382.0,97.0,,186.0,16.9,449.0,0.9
3083,UPMC CARLISLE (390058),2021,Acute Care,Proprietary,137.0,40.184767,-77.223007,PA,203.0,23.3,556.0,15.0,234.0,14.2,141.0,20.6,217.0,4.2,,,,,95.0,6.9,,,,,203.0,29.5,169.0,53.0,234.0,13.9,207.0,33.0,11.1,646.0,14.3,331.0,0.9
3084,ERIE VA MEDICAL CENTER (39005F),2021,Acute Care (VA),Government - Federal,,,,,31.0,21.3,59.0,15.5,80.0,15.1,52.0,18.7,,,,,,,,,,,,,31.0,-3.3,30.0,6.0,80.0,-48.9,74.0,7.0,,,,,
3085,"NASON MEDICAL CENTER, LLC (390062)",2021,Acute Care,Voluntary non-profit - Private,45.0,40.338067,-78.388945,PA,56.0,22.8,133.0,15.4,59.0,16.0,27.0,19.7,140.0,5.2,,,,,,,,,,,56.0,-27.0,48.0,22.0,59.0,19.7,55.0,7.0,,300.0,15.4,143.0,1.0
3086,UPMC HAMOT HOSPITAL (390063),2021,Acute Care,Voluntary non-profit - Private,412.0,42.133331,-80.087825,PA,760.0,23.2,1868.0,15.8,398.0,16.1,264.0,19.6,395.0,3.2,402.0,14.6,102.0,13.8,253.0,6.8,402.0,-20.8,381.0,91.0,760.0,3.0,609.0,232.0,398.0,-15.5,351.0,92.0,11.8,219.0,17.9,581.0,1.0
3087,GETTYSBURG HOSPITAL (390065),2021,Acute Care,Voluntary non-profit - Other,75.0,39.823317,-77.234044,PA,272.0,21.1,638.0,15.6,285.0,17.3,196.0,20.2,149.0,4.0,80.0,15.6,,,210.0,5.2,80.0,-4.0,80.0,23.0,272.0,-1.8,226.0,71.0,285.0,11.1,264.0,66.0,12.1,1628.0,15.9,407.0,0.8
3088,WELLSPAN GOOD SAMARITAN HOSPITAL (390066),2021,Acute Care,Voluntary non-profit - Other,155.0,40.146353,-77.128598,PA,337.0,21.8,703.0,14.7,362.0,15.7,153.0,20.5,176.0,3.8,166.0,13.9,64.0,11.7,113.0,5.5,166.0,-25.0,152.0,32.0,337.0,4.0,261.0,87.0,362.0,-4.0,330.0,82.0,11.2,1063.0,15.7,307.0,0.8
3089,UPMC PINNACLE (390067),2021,Acute Care,Voluntary non-profit - Other,600.0,40.256258,-76.875329,PA,995.0,20.3,3375.0,15.2,1045.0,15.8,351.0,19.5,1580.0,4.4,359.0,16.0,236.0,10.7,250.0,5.1,359.0,3.2,350.0,99.0,995.0,-5.4,803.0,252.0,1045.0,0.3,940.0,215.0,11.7,810.0,16.5,1082.0,0.9
3090,HEART OF LANCASTER REGIONAL MEDICAL CENTER (390068),2021,Acute Care,Proprietary,86.0,40.134257,-76.309414,PA,73.0,22.4,298.0,15.1,90.0,16.9,33.0,19.1,64.0,4.3,,,,,34.0,6.0,,,,,73.0,1.3,62.0,16.0,90.0,-13.0,85.0,24.0,11.7,161.0,16.6,189.0,1.1
3091,LEBANON VA MEDICAL CENTER (39006F),2021,Acute Care (VA),Government - Federal,,,,,217.0,19.5,495.0,16.0,204.0,15.9,140.0,20.1,287.0,7.0,,,,,,,,,,,217.0,-45.9,177.0,59.0,204.0,-34.3,182.0,49.0,,,,,
3092,LOWER BUCKS HOSPITAL (390070),2021,Acute Care,Proprietary,157.0,40.104065,-74.864626,PA,90.0,23.2,198.0,16.2,98.0,17.2,60.0,19.6,,,57.0,17.1,,,,,57.0,12.9,57.0,20.0,90.0,-11.8,81.0,32.0,98.0,4.0,88.0,27.0,,,,34.0,1.0
3093,UPMC LOCK HAVEN (390071),2021,Acute Care,Proprietary,127.0,41.132812,-77.470183,PA,80.0,21.8,79.0,15.5,103.0,15.1,48.0,18.5,,,,,,,,,,,,,80.0,9.1,59.0,23.0,103.0,-6.4,84.0,21.0,,66.0,16.0,51.0,0.9
3094,BERWICK HOSPITAL CENTER (390072),2021,Acute Care,Proprietary,283.0,41.070159,-76.230804,PA,35.0,20.2,117.0,15.0,66.0,15.8,57.0,18.9,85.0,3.8,,,,,,,,,,,35.0,-10.6,33.0,6.0,66.0,-15.3,64.0,9.0,,270.0,15.0,77.0,0.9
3095,UPMC ALTOONA (390073),2021,Acute Care,Voluntary non-profit - Private,368.0,40.521142,-78.398184,PA,627.0,22.8,1528.0,16.1,554.0,16.6,275.0,19.7,153.0,4.0,317.0,15.5,58.0,13.8,348.0,4.9,317.0,10.3,297.0,80.0,627.0,-0.1,479.0,175.0,554.0,0.6,491.0,141.0,11.0,439.0,17.6,486.0,0.8
3096,BRANDYWINE HOSPITAL (390076),2021,Acute Care,Proprietary,173.0,40.009586,-75.790263,PA,211.0,21.3,502.0,14.8,214.0,16.2,161.0,19.1,69.0,5.0,97.0,15.8,,,,,97.0,8.6,89.0,31.0,211.0,29.3,173.0,55.0,214.0,28.9,198.0,48.0,,266.0,19.2,134.0,1.3
3097,ROBERT PACKER HOSPITAL (390079),2021,Acute Care,Voluntary non-profit - Other,261.0,,,PA,593.0,21.8,1479.0,15.6,434.0,17.3,310.0,20.5,545.0,4.8,330.0,17.4,53.0,13.9,203.0,5.2,330.0,10.5,321.0,96.0,593.0,9.6,480.0,171.0,434.0,8.8,380.0,108.0,12.4,1850.0,18.9,789.0,1.1
3098,DELAWARE COUNTY MEMORIAL HOSPITAL (390081),2021,Acute Care,Voluntary non-profit - Private,170.0,39.953877,-75.283921,PA,153.0,21.0,330.0,15.3,163.0,17.2,96.0,20.0,88.0,3.6,,,,,,,,,,,153.0,-19.5,131.0,37.0,163.0,21.4,148.0,39.0,,907.0,18.4,143.0,0.8
3099,PENN HIGHLAND DUBOIS (390086),2021,Acute Care,Voluntary non-profit - Other,220.0,41.114349,-78.775736,PA,423.0,22.9,884.0,15.8,367.0,17.3,227.0,19.4,147.0,4.6,194.0,14.6,48.0,12.3,240.0,6.2,194.0,-9.2,185.0,55.0,423.0,8.6,342.0,133.0,367.0,11.9,333.0,112.0,10.3,1644.0,14.3,775.0,0.9
3100,WEST PENN HOSPITAL (390090),2021,Acute Care,Voluntary non-profit - Private,299.0,40.462419,-79.946435,PA,69.0,22.1,303.0,16.0,76.0,16.1,31.0,20.2,53.0,4.3,65.0,15.1,,,415.0,5.9,65.0,-20.5,62.0,17.0,69.0,0.8,61.0,24.0,76.0,9.5,74.0,14.0,14.5,246.0,18.3,225.0,0.9
3101,UPMC NORTHWEST (390091),2021,Acute Care,Voluntary non-profit - Other,174.0,41.360026,-79.707926,PA,293.0,20.7,512.0,14.8,327.0,18.6,159.0,20.6,82.0,3.9,,,,,100.0,6.3,,,,,293.0,-30.2,208.0,65.0,327.0,35.0,260.0,93.0,11.7,215.0,17.9,249.0,1.1
3102,CLARION HOSPITAL (390093),2021,Acute Care,Voluntary non-profit - Other,69.0,,,PA,87.0,22.5,150.0,15.2,127.0,16.2,47.0,20.4,,,,,,,62.0,5.1,,,,,87.0,-10.1,72.0,29.0,127.0,-9.7,116.0,28.0,11.0,376.0,20.6,102.0,1.0
3103,PENN STATE HEALTH ST. JOSEPH (390096),2021,Acute Care,Voluntary non-profit - Church,178.0,40.376717,-75.977661,PA,440.0,19.0,690.0,14.4,255.0,16.5,161.0,18.7,60.0,4.2,131.0,15.1,40.0,11.5,107.0,5.8,131.0,-1.5,127.0,32.0,440.0,-8.3,349.0,99.0,255.0,8.6,241.0,56.0,14.7,178.0,18.1,263.0,0.8
3104,HOLY REDEEMER HOSPITAL AND MEDICAL CENTER (390097),2021,Acute Care,Voluntary non-profit - Church,253.0,40.108944,-75.081101,PA,398.0,20.7,879.0,15.4,387.0,17.6,144.0,20.3,309.0,4.3,102.0,16.0,,,100.0,5.4,102.0,7.3,99.0,28.0,398.0,11.2,316.0,113.0,387.0,43.9,349.0,96.0,12.3,70.0,16.2,258.0,1.1
3105,PHILADELPHIA VA MEDICAL CENTER (39009F),2021,Acute Care (VA),Government - Federal,,,,,414.0,22.2,1173.0,16.2,237.0,15.6,282.0,20.0,150.0,4.2,102.0,16.6,,,,,102.0,-0.2,96.0,30.0,414.0,-11.2,291.0,100.0,237.0,-14.5,216.0,56.0,,,,,
3106,LANCASTER GENERAL HOSPITAL (390100),2021,Acute Care,Voluntary non-profit - Other,612.0,40.046975,-76.305328,PA,1260.0,17.3,3277.0,12.6,820.0,15.8,418.0,18.9,1223.0,3.6,503.0,13.6,199.0,11.5,442.0,4.9,503.0,-2.5,478.0,106.0,1260.0,-18.4,1018.0,276.0,820.0,1.1,734.0,157.0,9.7,1470.0,15.6,1241.0,1.0
3107,UPMC MEMORIAL (390101),2021,Acute Care,Voluntary non-profit - Private,91.0,,,PA,174.0,22.5,448.0,15.9,192.0,15.7,93.0,19.4,60.0,4.3,61.0,16.7,,,,,61.0,4.5,58.0,20.0,174.0,23.7,135.0,43.0,192.0,-1.1,173.0,36.0,,723.0,16.0,78.0,0.9
3108,UPMC ST MARGARET (390102),2021,Acute Care,Voluntary non-profit - Private,245.0,40.487472,-79.896038,PA,299.0,22.5,687.0,15.1,212.0,16.2,120.0,18.6,364.0,4.2,29.0,16.3,,,,,29.0,24.3,27.0,14.0,299.0,18.8,229.0,77.0,212.0,8.8,201.0,50.0,,1181.0,13.8,396.0,1.3
3109,UPMC KANE (390104),2021,Acute Care,Voluntary non-profit - Private,31.0,41.673401,-78.731025,PA,33.0,22.3,48.0,15.6,55.0,15.9,38.0,20.3,27.0,4.0,,,,,,,,,,,33.0,44.5,31.0,11.0,55.0,-17.2,49.0,13.0,,144.0,16.6,41.0,1.2
3110,UPMC PASSAVANT (390107),2021,Acute Care,Voluntary non-profit - Private,385.0,40.568235,-80.016518,PA,479.0,21.1,1405.0,15.5,429.0,17.8,132.0,20.8,308.0,4.5,155.0,16.8,62.0,11.8,66.0,6.1,155.0,2.9,151.0,43.0,479.0,-0.8,375.0,126.0,429.0,28.0,374.0,109.0,10.6,1406.0,15.4,535.0,1.3
3111,CONEMAUGH MEMORIAL MEDICAL CENTER (390110),2021,Acute Care,Voluntary non-profit - Private,487.0,40.305198,-78.918249,PA,355.0,23.9,916.0,16.7,430.0,19.0,136.0,18.3,108.0,3.5,151.0,17.5,32.0,12.3,,,151.0,18.8,146.0,49.0,355.0,18.3,271.0,101.0,430.0,38.1,361.0,116.0,,728.0,16.7,138.0,1.1
3112,HOSPITAL OF UNIV OF PENNSYLVANIA (390111),2021,Acute Care,Voluntary non-profit - Private,808.0,,,PA,536.0,19.6,2185.0,15.9,316.0,18.0,98.0,19.4,,,135.0,15.4,170.0,11.3,1877.0,5.4,135.0,31.3,135.0,37.0,536.0,18.1,443.0,152.0,316.0,59.1,295.0,92.0,11.2,2526.0,15.9,1653.0,0.7
3113,CHAN SOON- SHIONG MEDICAL CENTER AT WINDBER (390112),2021,Acute Care,Voluntary non-profit - Private,56.0,40.242123,-78.837917,PA,28.0,23.0,94.0,15.1,44.0,16.0,,,93.0,4.0,,,,,,,,,,,28.0,-12.5,23.0,12.0,44.0,17.6,43.0,6.0,,533.0,15.0,,
3114,MEADVILLE MEDICAL CENTER (390113),2021,Acute Care,Voluntary non-profit - Private,216.0,41.641788,-80.146336,PA,238.0,21.6,598.0,15.1,251.0,15.5,133.0,20.6,300.0,3.3,66.0,16.3,,,154.0,8.2,66.0,5.7,64.0,18.0,238.0,6.9,185.0,63.0,251.0,-9.0,231.0,53.0,10.8,1336.0,16.8,380.0,0.9
