,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Pneumonia Readmission Rate (READM-30 PN) (Denominator),30-Day Pneumonia Readmission Rate (READM-30 PN),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32)
3915,"PORTER HOSPITAL, INC (471307)",2019,Critical Access,Voluntary non-profit - Private,25.0,43.99947,-73.169803,VT,97.0,20.7,534.0,15.2,256.0,16.2,65.0,19.7,160.0,3.6,,,,,,,97.0,3.3,256.0,12.8,266.0,16.2
3916,"ROY LESTER SCHNEIDER HOSPITAL,THE (480001)",2019,Acute Care,Government - Local,115.0,,,VI,125.0,22.5,437.0,15.4,74.0,16.0,,,,,27.0,16.1,,,27.0,38.5,125.0,20.6,74.0,-13.5,201.0,15.2
3917,GOV JUAN F LUIS HOSPITAL & MEDICAL CTR (480002),2019,Acute Care,Government - State,97.0,,,VI,138.0,21.7,257.0,15.0,63.0,18.3,,,48.0,4.2,33.0,16.0,,,33.0,101.7,138.0,27.2,63.0,56.6,,
3918,NORTON COMMUNITY HOSPITAL (490001),2019,Acute Care,Voluntary non-profit - Other,84.0,36.932031,-82.64338,VA,155.0,25.3,543.0,15.0,227.0,16.9,157.0,18.7,,,,,,,,,155.0,1.0,227.0,-29.7,96.0,16.1
3919,RUSSELL COUNTY HOSPITAL (490002),2019,Acute Care,Voluntary non-profit - Private,63.0,36.899027,-82.078105,VA,76.0,22.7,254.0,16.0,111.0,17.0,163.0,20.2,,,,,,,,,76.0,22.3,111.0,1.9,30.0,14.5
3920,SENTARA RMH MEDICAL CENTER (490004),2019,Acute Care,Voluntary non-profit - Private,238.0,38.40614,-78.858322,VA,1531.0,20.1,5013.0,15.1,1035.0,17.3,478.0,20.9,504.0,4.0,434.0,15.6,134.0,13.9,434.0,-27.5,1532.0,-30.8,1035.0,-4.7,915.0,15.3
3921,WINCHESTER MEDICAL CENTER (490005),2019,Acute Care,Voluntary non-profit - Private,461.0,39.1916,-78.193088,VA,1703.0,22.5,7391.0,14.8,1199.0,16.1,1262.0,21.3,1045.0,4.1,785.0,14.1,170.0,9.8,785.0,2.9,1703.0,32.7,1202.0,18.2,1862.0,13.5
3922,SENTARA NORFOLK GENERAL HOSPITAL (490007),2019,Acute Care,Voluntary non-profit - Other,527.0,36.859728,-76.30482,VA,1117.0,20.7,5279.0,14.5,392.0,17.7,209.0,18.6,,,684.0,14.4,507.0,11.9,684.0,-16.6,1118.0,9.1,392.0,0.5,414.0,14.3
3923,UNIVERSITY OF VIRGINIA MEDICAL CENTER (490009),2019,Acute Care,Government - State,600.0,38.031829,-78.498455,VA,934.0,21.3,6676.0,15.5,544.0,15.9,288.0,19.4,840.0,3.0,457.0,15.6,331.0,10.0,457.0,-16.2,934.0,0.4,544.0,-4.7,965.0,13.4
3924,BON SECOURS DEPAUL MEDICAL CENTER (490011),2019,Acute Care,Voluntary non-profit - Private,133.0,36.89843,-76.281644,VA,270.0,23.2,1485.0,15.5,243.0,16.6,225.0,20.1,65.0,4.0,87.0,16.9,,,87.0,28.6,270.0,29.8,243.0,6.6,320.0,14.5
3925,SENTARA HALIFAX REGIONAL HOSPITAL (490013),2019,Acute Care,Voluntary non-profit - Private,143.0,36.713485,-78.913198,VA,339.0,21.8,1519.0,14.9,304.0,16.9,425.0,18.7,230.0,4.2,70.0,15.0,,,70.0,-16.0,339.0,-4.4,304.0,5.7,429.0,15.5
3926,BON SECOURS MARYVIEW MEDICAL CENTER (490017),2019,Acute Care,Voluntary non-profit - Private,341.0,36.836211,-76.348365,VA,510.0,20.5,2585.0,15.7,431.0,15.9,237.0,20.9,328.0,4.3,233.0,14.2,92.0,11.7,233.0,-9.1,510.0,2.7,431.0,9.7,895.0,13.4
3927,AUGUSTA HEALTH (490018),2019,Acute Care,Voluntary non-profit - Private,244.0,38.092332,-78.988461,VA,895.0,16.6,3792.0,14.4,764.0,16.2,400.0,19.6,941.0,4.1,380.0,15.5,,,380.0,-25.1,895.0,-44.7,764.0,-18.0,1174.0,14.4
3928,NOVANT HEALTH UVA HEALTH SYSTEM CULPEPER MED CENTE (490019),2019,Acute Care,Voluntary non-profit - Other,70.0,38.454848,-78.011305,VA,276.0,23.0,1069.0,14.6,361.0,17.5,161.0,18.3,273.0,4.9,33.0,15.7,,,33.0,-9.6,276.0,24.8,361.0,12.6,32.0,14.4
3929,JOHN RANDOLPH MEDICAL CENTER (490020),2019,Acute Care,Proprietary,147.0,37.307065,-77.291491,VA,232.0,24.9,1051.0,15.3,196.0,18.3,262.0,19.4,130.0,3.7,33.0,16.0,,,33.0,12.5,232.0,65.6,196.0,35.9,461.0,15.2
3930,"CENTRA  HEALTH, INC (490021)",2019,Acute Care,Voluntary non-profit - Private,605.0,37.416648,-79.169753,VA,1499.0,17.7,8975.0,14.0,1474.0,15.6,760.0,19.2,1251.0,3.3,910.0,14.9,206.0,12.3,910.0,-5.1,1500.0,-22.7,1474.0,-6.6,360.0,14.6
3931,"MARY WASHINGTON HOSPITAL, INC (490022)",2019,Acute Care,Voluntary non-profit - Private,432.0,38.310732,-77.481482,VA,1080.0,21.5,6429.0,15.6,1251.0,16.8,921.0,19.4,1218.0,3.7,457.0,15.7,183.0,11.1,457.0,18.2,1080.0,23.8,1251.0,15.3,1290.0,13.1
3932,FAUQUIER HOSPITAL (490023),2019,Acute Care,Voluntary non-profit - Private,97.0,38.714858,-77.808306,VA,280.0,24.1,1733.0,15.7,538.0,16.0,259.0,19.3,330.0,4.6,32.0,15.5,,,32.0,-9.0,280.0,46.0,538.0,-1.2,574.0,14.5
3933,CARILION ROANOKE MEMORIAL HOSPITAL (490024),2019,Acute Care,Voluntary non-profit - Private,728.0,37.252046,-79.942297,VA,1550.0,21.8,9262.0,15.6,1029.0,17.3,630.0,19.9,1577.0,3.4,1034.0,14.6,295.0,12.3,1035.0,-3.8,1551.0,18.8,1029.0,29.9,1121.0,13.5
3934,MEDICAL COLLEGE OF VIRGINIA HOSPITALS (490032),2019,Acute Care,Government - Hospital District or Authority,754.0,,,VA,724.0,23.3,4805.0,14.6,360.0,16.5,160.0,18.4,386.0,3.8,331.0,14.3,97.0,11.6,331.0,-4.0,727.0,25.1,360.0,17.4,347.0,14.0
3935,WARREN MEMORIAL HOSPITAL (490033),2019,Acute Care,Voluntary non-profit - Other,166.0,38.930415,-78.19893,VA,161.0,19.6,618.0,14.2,197.0,15.6,192.0,19.5,31.0,4.2,,,,,,,161.0,8.0,197.0,-0.7,160.0,14.7
3936,RIVERSIDE SHORE MEMORIAL HOSPITAL (490037),2019,Acute Care,Voluntary non-profit - Private,95.0,37.699712,-75.720937,VA,214.0,20.7,783.0,15.4,254.0,15.8,174.0,17.1,,,41.0,16.0,,,41.0,8.4,214.0,-29.8,254.0,-15.9,137.0,14.9
3937,SMYTH COUNTY COMMUNITY HOSPITAL (490038),2019,Acute Care,Voluntary non-profit - Private,152.0,36.850466,-81.489801,VA,113.0,21.8,429.0,15.0,179.0,16.9,183.0,19.6,83.0,3.8,,,,,,,113.0,-2.3,179.0,-29.2,65.0,14.7
3938,INOVA ALEXANDRIA HOSPITAL (490040),2019,Acute Care,Voluntary non-profit - Private,327.0,38.824128,-77.104437,VA,641.0,21.5,4026.0,15.1,662.0,16.2,380.0,19.4,685.0,4.6,303.0,14.8,37.0,11.6,303.0,0.4,641.0,19.6,662.0,7.6,1346.0,14.7
3939,MARY IMMACULATE HOSPITAL (490041),2019,Acute Care,Voluntary non-profit - Private,219.0,37.143006,-76.51312,VA,271.0,21.0,1982.0,14.9,232.0,15.6,148.0,20.2,2032.0,3.6,83.0,16.5,,,83.0,-17.8,271.0,-1.2,232.0,-6.0,199.0,14.8
3940,CARILION NEW RIVER VALLEY MEDICAL CENTER (490042),2019,Acute Care,Voluntary non-profit - Private,142.0,37.08894,-80.506786,VA,473.0,21.1,1874.0,15.5,348.0,16.9,228.0,21.0,168.0,4.6,64.0,15.7,,,64.0,4.5,473.0,-14.9,348.0,-2.7,848.0,13.4
3941,INOVA LOUDOUN HOSPITAL (490043),2019,Acute Care,Voluntary non-profit - Private,282.0,39.074609,-77.475227,VA,686.0,18.8,3276.0,13.8,875.0,17.1,330.0,19.1,300.0,5.4,227.0,15.3,,,227.0,-1.3,686.0,-26.0,875.0,25.8,334.0,14.4
3942,SENTARA OBICI HOSPITAL (490044),2019,Acute Care,Voluntary non-profit - Other,181.0,36.773058,-76.583413,VA,802.0,21.7,2950.0,15.1,517.0,16.7,369.0,20.3,335.0,4.0,71.0,16.2,,,71.0,-6.9,802.0,-11.5,517.0,3.2,137.0,13.8
3943,NOVANT HEALTH UVA  PRINCE WILLIAM MEDICAL CENTER (490045),2019,Acute Care,Voluntary non-profit - Private,144.0,38.767458,-77.484936,VA,273.0,22.7,1391.0,14.4,314.0,14.7,138.0,18.2,277.0,4.3,142.0,14.6,,,142.0,-8.4,273.0,11.7,314.0,-1.4,125.0,14.9
3944,SENTARA LEIGH HOSPITAL (490046),2019,Acute Care,Voluntary non-profit - Other,251.0,36.850592,-76.191695,VA,1027.0,21.5,5542.0,15.2,851.0,17.6,533.0,19.7,2687.0,4.0,213.0,15.2,,,213.0,-21.4,1027.0,-7.6,851.0,25.4,590.0,13.6
3945,LEWISGALE MEDICAL CENTER (490048),2019,Acute Care,Voluntary non-profit - Other,365.0,37.2651,-80.033158,VA,808.0,22.2,5206.0,15.7,782.0,17.7,415.0,19.2,827.0,4.2,600.0,15.1,92.0,14.5,601.0,2.7,808.0,16.5,782.0,15.0,785.0,12.4
3946,VIRGINIA HOSPITAL CENTER (490050),2019,Acute Care,Voluntary non-profit - Private,356.0,38.889088,-77.128654,VA,421.0,21.7,4271.0,13.4,534.0,15.7,266.0,19.0,1004.0,3.1,183.0,14.3,95.0,14.4,183.0,-17.8,421.0,15.0,534.0,5.8,1464.0,14.4
3947,RIVERSIDE REGIONAL MEDICAL CENTER (490052),2019,Acute Care,Voluntary non-profit - Private,357.0,37.06389,-76.4854,VA,918.0,21.8,4498.0,15.5,656.0,16.8,443.0,17.8,115.0,5.9,431.0,15.2,120.0,13.9,431.0,-2.3,918.0,5.5,656.0,-6.1,1897.0,15.1
3948,JOHNSTON MEMORIAL HOSPITAL (490053),2019,Acute Care,Voluntary non-profit - Private,118.0,36.72067,-81.90856,VA,359.0,25.2,2016.0,15.9,632.0,18.0,422.0,19.2,154.0,4.1,227.0,16.7,,,227.0,-0.1,359.0,43.1,632.0,18.4,350.0,15.0
3949,SENTARA VIRGINIA BEACH GENERAL HOSPITAL (490057),2019,Acute Care,Voluntary non-profit - Other,268.0,36.864158,-76.028342,VA,1079.0,21.9,4883.0,16.2,813.0,17.4,580.0,21.0,487.0,4.1,356.0,17.6,72.0,14.7,356.0,16.9,1079.0,29.3,813.0,30.9,1090.0,13.4
3950,BON SECOURS ST MARYS HOSPITAL (490059),2019,Acute Care,Voluntary non-profit - Church,416.0,37.584405,-77.513262,VA,749.0,21.3,5380.0,15.5,669.0,15.9,388.0,20.1,1325.0,3.6,317.0,14.8,154.0,11.5,317.0,9.1,749.0,11.4,669.0,8.7,1329.0,12.3
3951,CLINCH VALLEY MEDICAL CENTER (490060),2019,Acute Care,Proprietary,175.0,37.093978,-81.819444,VA,173.0,20.9,821.0,14.9,208.0,17.0,358.0,19.1,,,53.0,15.3,,,53.0,-9.6,173.0,7.2,208.0,12.8,163.0,14.0
3952,INOVA FAIRFAX HOSPITAL (490063),2019,Acute Care,Voluntary non-profit - Private,888.0,38.857674,-77.225833,VA,1372.0,19.3,9735.0,14.4,1411.0,14.8,452.0,20.1,589.0,3.9,813.0,15.7,334.0,12.8,813.0,4.6,1372.0,8.5,1411.0,13.8,793.0,15.2
3953,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER (490066),2019,Acute Care,Voluntary non-profit - Private,131.0,37.335033,-76.742161,VA,585.0,20.8,2982.0,14.6,594.0,14.4,353.0,18.1,790.0,3.4,167.0,16.4,,,167.0,15.8,585.0,-9.1,594.0,-16.4,196.0,13.7
3954,SOUTHSIDE REGIONAL MEDICAL CENTER (490067),2019,Acute Care,Proprietary,301.0,37.183654,-77.361466,VA,830.0,22.1,3137.0,16.2,642.0,18.8,550.0,20.2,217.0,5.3,360.0,15.8,32.0,13.8,360.0,26.5,830.0,2.5,642.0,48.4,232.0,15.1
3955,BON SECOURS MEMORIAL REGIONAL MEDICAL CENTER (490069),2019,Acute Care,Voluntary non-profit - Church,223.0,37.629352,-77.388102,VA,921.0,16.5,4763.0,14.5,708.0,16.8,543.0,19.7,629.0,3.9,443.0,16.3,96.0,11.7,443.0,-1.4,921.0,-33.6,708.0,14.0,1507.0,12.2
3956,HAMPTON VA MEDICAL CENTER (49006F),2019,Acute Care (VA),Government - Federal,,,,,161.0,20.5,,,118.0,16.7,,,,,,,,,,,,,,,,
3957,SOVAH HEALTH DANVILLE (490075),2019,Acute Care,Proprietary,291.0,36.577072,-79.40481,VA,692.0,24.8,3947.0,16.6,910.0,17.0,457.0,19.7,195.0,4.4,228.0,14.6,28.0,11.8,228.0,8.4,692.0,30.1,910.0,-3.3,174.0,14.8
3958,MARTHA JEFFERSON HOSPITAL (490077),2019,Acute Care,Voluntary non-profit - Private,162.0,38.025106,-78.444855,VA,797.0,20.1,3943.0,14.2,960.0,15.8,337.0,19.1,947.0,3.6,263.0,15.4,,,263.0,4.7,797.0,-23.2,960.0,6.4,617.0,17.0
3959,RIVERSIDE TAPPAHANNOCK HOSPITAL (490084),2019,Acute Care,Voluntary non-profit - Private,67.0,37.900668,-76.877614,VA,177.0,20.7,654.0,14.6,183.0,15.5,112.0,19.9,309.0,3.1,37.0,15.1,,,37.0,-27.6,177.0,-16.8,183.0,14.3,245.0,15.0
3960,BEDFORD MEMORIAL HOSPITAL (490088),2019,Acute Care,Voluntary non-profit - Private,142.0,37.351563,-79.516415,VA,152.0,19.4,715.0,14.7,264.0,16.7,113.0,19.1,,,,,,,,,152.0,-29.1,264.0,-19.6,187.0,15.4
3961,CARILION FRANKLIN MEMORIAL HOSPITAL (490089),2019,Acute Care,Voluntary non-profit - Private,37.0,36.994584,-79.889813,VA,151.0,19.9,525.0,15.2,214.0,15.8,113.0,19.3,,,,,,,,,151.0,-21.4,214.0,5.6,176.0,16.0
3962,"SOUTHSIDE COMMUNITY HOSPITAL, INC (490090)",2019,Acute Care,Voluntary non-profit - Other,84.0,37.303317,-78.403058,VA,311.0,21.3,1377.0,15.3,387.0,17.5,257.0,20.0,36.0,3.9,43.0,14.4,,,43.0,-44.1,311.0,-25.7,387.0,-1.7,331.0,14.2
3963,SOUTHAMPTON MEMORIAL HOSPITAL (490092),2019,Acute Care,Proprietary,205.0,36.691171,-76.934942,VA,114.0,22.3,361.0,15.5,128.0,17.2,71.0,20.5,114.0,4.4,,,,,,,114.0,35.3,128.0,21.8,83.0,15.2
3964,SENTARA CAREPLEX HOSPITAL (490093),2019,Acute Care,Voluntary non-profit - Private,193.0,37.056448,-76.392362,VA,625.0,20.1,2660.0,15.6,490.0,18.4,279.0,20.8,563.0,3.5,123.0,15.5,,,123.0,19.0,626.0,-4.9,491.0,22.1,164.0,15.2
3965,BON SECOURS RICHMOND COMMUNITY HOSPITAL (490094),2019,Acute Care,Voluntary non-profit - Private,101.0,37.540264,-77.406271,VA,26.0,21.4,67.0,15.1,,,29.0,20.3,,,,,,,,,26.0,-32.8,,,,
3966,SOUTHERN VIRGINIA REGIONAL MEDICAL CENTER (490097),2019,Acute Care,Proprietary,80.0,36.701568,-77.535985,VA,129.0,22.9,324.0,14.9,181.0,16.0,58.0,20.3,,,,,,,,,129.0,17.6,181.0,-7.5,75.0,14.7
3967,COMMUNITY MEMORIAL HOSPITAL (490098),2019,Acute Care,Voluntary non-profit - Private,229.0,36.747656,-78.104106,VA,313.0,21.6,969.0,14.9,294.0,17.3,255.0,20.1,60.0,4.7,,,,,,,313.0,23.5,294.0,7.1,587.0,14.8
3968,INOVA FAIR OAKS HOSPITAL (490101),2019,Acute Care,Voluntary non-profit - Other,178.0,38.882234,-77.382499,VA,369.0,17.9,2696.0,14.0,548.0,15.7,178.0,20.9,790.0,3.0,25.0,15.5,,,25.0,-14.2,369.0,-24.5,548.0,-14.8,1090.0,13.9
3969,RESTON HOSPITAL CENTER (490107),2019,Acute Care,Voluntary non-profit - Private,204.0,38.96189,-77.362657,VA,372.0,21.2,2988.0,15.2,374.0,16.4,165.0,18.2,977.0,5.1,130.0,15.1,,,130.0,4.3,372.0,21.2,374.0,10.8,179.0,14.6
3970,RICHMOND VA MEDICAL CENTER (49010F),2019,Acute Care (VA),Government - Federal,,,,,831.0,22.7,,,345.0,18.4,,,,,204.0,17.2,,,,,,,,,,
3971,LEWISGALE HOSPITAL MONTGOMERY (490110),2019,Acute Care,Proprietary,91.0,37.185621,-80.408612,VA,207.0,21.9,1501.0,16.0,234.0,18.5,139.0,20.2,303.0,4.9,90.0,15.5,,,90.0,-10.1,207.0,3.3,234.0,25.4,281.0,15.1
3972,WYTHE COUNTY COMMUNITY HOSPITAL (490111),2019,Acute Care,Proprietary,100.0,36.953297,-81.095069,VA,152.0,20.0,546.0,14.9,266.0,15.8,116.0,20.8,260.0,4.9,30.0,15.7,,,30.0,-3.5,153.0,-37.4,266.0,-18.0,107.0,15.9
3973,CJW MEDICAL CENTER (490112),2019,Acute Care,Proprietary,787.0,37.515832,-77.52488,VA,1363.0,21.6,8605.0,15.5,822.0,15.7,731.0,21.2,1406.0,4.5,590.0,15.2,195.0,13.7,590.0,-5.4,1364.0,5.4,822.0,11.8,1980.0,15.5
3974,SENTARA NORTHERN VIRGINIA MEDICAL CENTER (490113),2019,Acute Care,Voluntary non-profit - Private,163.0,38.634953,-77.284211,VA,606.0,20.5,2589.0,15.0,395.0,15.8,376.0,19.2,258.0,4.7,129.0,15.6,,,129.0,3.1,606.0,7.9,395.0,12.1,260.0,14.5
3975,LONESOME PINE HOSPITAL (490114),2019,Acute Care,Voluntary non-profit - Other,119.0,36.877284,-82.75567,VA,113.0,24.8,437.0,15.5,219.0,19.1,165.0,19.6,,,,,,,,,113.0,62.5,219.0,21.9,99.0,14.4
3976,TWIN COUNTY REGIONAL HOSPITAL (490115),2019,Acute Care,Voluntary non-profit - Private,155.0,36.671813,-80.923814,VA,231.0,22.6,918.0,16.0,453.0,15.8,261.0,19.8,31.0,3.8,25.0,16.0,,,25.0,0.3,231.0,-16.2,453.0,-14.7,286.0,14.9
3977,LEWISGALE HOSPITAL PULASKI (490116),2019,Acute Care,Proprietary,84.0,37.068744,-80.758807,VA,117.0,23.8,615.0,16.6,176.0,17.6,159.0,21.9,34.0,4.7,,,,,,,117.0,26.7,176.0,26.6,159.0,15.5
3978,CARILION TAZEWELL COMMUNITY HOSPITAL (490117),2019,Acute Care,Voluntary non-profit - Other,48.0,,,VA,56.0,23.0,143.0,15.7,87.0,18.3,105.0,18.4,,,,,,,,,56.0,40.4,87.0,47.7,,
3979,HENRICO DOCTORS' HOSPITAL (490118),2019,Acute Care,Proprietary,765.0,37.604045,-77.537717,VA,859.0,21.9,5890.0,15.2,741.0,15.9,442.0,18.7,874.0,4.6,388.0,16.4,117.0,10.9,388.0,13.8,860.0,11.8,741.0,20.4,1248.0,14.4
3980,SENTARA PRINCESS ANNE HOSPITAL (490119),2019,Acute Care,Voluntary non-profit - Other,166.0,36.777194,-76.096738,VA,758.0,20.1,3360.0,14.1,751.0,17.5,465.0,18.4,242.0,3.6,95.0,15.6,,,95.0,39.3,758.0,7.7,751.0,27.7,485.0,15.2
3981,SALEM VA MEDICAL CENTER (49011F),2019,Acute Care (VA),Government - Federal,,,,,322.0,23.0,,,344.0,16.1,,,,,80.0,17.1,,,,,,,,,,
3982,CHESAPEAKE GENERAL HOSPITAL (490120),2019,Acute Care,Government - Hospital District or Authority,309.0,36.746111,-76.244828,VA,802.0,22.0,3948.0,15.6,699.0,17.3,656.0,19.4,320.0,4.2,333.0,14.8,,,333.0,10.5,802.0,32.4,699.0,30.5,594.0,15.2
3983,INOVA MOUNT VERNON HOSPITAL (490122),2019,Acute Care,Voluntary non-profit - Private,236.0,38.740184,-77.07479,VA,360.0,21.8,2449.0,14.6,378.0,18.1,181.0,18.8,1887.0,2.8,37.0,16.8,,,37.0,93.1,360.0,24.9,378.0,30.7,246.0,14.7
3984,LEWISGALE HOSPITAL ALLEGHANY (490126),2019,Acute Care,Voluntary non-profit - Private,109.0,,,VA,186.0,21.7,637.0,15.1,116.0,17.4,180.0,18.8,81.0,3.5,,,,,,,186.0,12.0,116.0,69.6,180.0,14.9
3985,BUCHANAN GENERAL HOSPITAL (490127),2019,Acute Care,Voluntary non-profit - Private,84.0,37.285506,-82.067817,VA,82.0,23.4,309.0,15.9,133.0,15.9,222.0,22.0,,,,,,,,,82.0,3.6,133.0,9.2,57.0,14.8
3986,RIVERSIDE WALTER REED HOSPITAL (490130),2019,Acute Care,Voluntary non-profit - Private,67.0,37.419475,-76.54318,VA,302.0,20.0,1170.0,16.0,312.0,18.2,167.0,20.3,193.0,3.9,46.0,17.0,,,46.0,33.4,302.0,1.4,312.0,17.9,342.0,15.0
3987,BON SECOURS ST FRANCIS MEDICAL CENTER (490136),2019,Acute Care,Voluntary non-profit - Church,130.0,37.466398,-77.659056,VA,529.0,17.5,2655.0,14.3,389.0,14.7,299.0,19.6,522.0,3.8,170.0,13.8,,,170.0,-14.9,529.0,-31.8,389.0,-3.2,818.0,15.4
3988,"STAFFORD HOSPITAL, LLC (490140)",2019,Acute Care,Voluntary non-profit - Private,90.0,38.413924,-77.408606,VA,206.0,20.9,954.0,15.0,282.0,17.3,206.0,19.4,78.0,3.7,34.0,16.6,,,34.0,52.0,206.0,14.7,282.0,15.0,146.0,13.8
3989,SPOTSYLVANIA REGIONAL MEDICAL CENTER (490141),2019,Acute Care,Proprietary,130.0,38.219496,-77.49645,VA,283.0,24.4,1491.0,16.4,223.0,17.3,216.0,20.5,66.0,3.9,91.0,17.1,,,91.0,9.8,283.0,39.0,223.0,1.1,90.0,15.0
3990,RIVERSIDE DOCTORS' HOSPITAL OF WILLIAMSBURG (490143),2019,Acute Care,Voluntary non-profit - Private,40.0,37.251622,-76.666875,VA,145.0,23.4,643.0,15.3,134.0,16.7,72.0,19.4,110.0,4.3,,,,,,,145.0,8.9,134.0,-5.6,274.0,14.9
3991,NOVANT HEALTH UVA HEALTH HAYMARKET MEDICAL CENTER (490144),2019,Acute Care,Voluntary non-profit - Private,55.0,38.822174,-77.641889,VA,92.0,21.2,575.0,14.5,156.0,16.8,100.0,20.0,29.0,4.6,,,,,,,92.0,-10.0,156.0,5.4,311.0,17.4
3992,STONESPRINGS HOSPITAL CENTER (490145),2019,Acute Care,Proprietary,124.0,38.941185,-77.544301,VA,49.0,20.3,297.0,15.4,50.0,16.9,33.0,18.8,,,,,,,,,49.0,-13.1,50.0,4.8,,
3993,BATH COMMUNITY HOSPITAL (491300),2019,Critical Access,Voluntary non-profit - Private,19.0,37.99389,-79.830959,VA,29.0,21.3,152.0,15.6,77.0,17.2,,,,,,,,,,,29.0,-27.4,77.0,24.8,,
3994,CARILION GILES COMMUNITY HOSPITAL (491302),2019,Critical Access,Voluntary non-profit - Private,25.0,37.332697,-80.710747,VA,114.0,19.2,364.0,14.8,167.0,15.8,79.0,18.7,37.0,3.8,,,,,,,114.0,-37.5,168.0,-11.4,118.0,14.3
3995,CARILION STONEWALL JACKSON HOSPITAL (491304),2019,Critical Access,Voluntary non-profit - Private,25.0,37.778455,-79.442049,VA,146.0,21.9,524.0,14.9,154.0,16.7,89.0,19.2,,,,,,,,,146.0,9.7,154.0,3.0,227.0,14.4
3996,SHENANDOAH MEMORIAL HOSPITAL (491305),2019,Critical Access,Voluntary non-profit - Private,25.0,38.871586,-78.513936,VA,165.0,22.0,700.0,15.2,251.0,15.1,182.0,18.9,201.0,5.5,,,,,,,165.0,23.1,251.0,-25.6,126.0,14.1
3997,"PAGE MEMORIAL HOSPITAL, INC (491307)",2019,Critical Access,Voluntary non-profit - Private,25.0,38.662482,-78.469864,VA,82.0,19.8,171.0,14.7,86.0,14.8,108.0,17.2,,,,,,,,,82.0,-12.3,86.0,-24.1,42.0,14.5
3998,RAPPAHANNOCK GENERAL HOSPITAL (491308),2019,Critical Access,Voluntary non-profit - Private,35.0,37.70029,-76.389778,VA,119.0,22.4,398.0,14.7,148.0,16.5,94.0,19.9,26.0,4.2,,,,,,,119.0,-2.8,148.0,-11.1,167.0,14.3
3999,NORTHWEST HOSPITAL (500001),2019,Acute Care,Voluntary non-profit - Other,201.0,47.712263,-122.335936,WA,467.0,19.0,2736.0,14.2,508.0,15.2,147.0,19.6,804.0,4.4,136.0,16.6,,,136.0,-2.3,467.0,-25.8,508.0,-4.0,103.0,15.0
4000,PROVIDENCE ST MARY MEDICAL CENTER (500002),2019,Acute Care,Voluntary non-profit - Private,98.0,46.06294,-118.343136,WA,295.0,20.1,2299.0,14.6,375.0,14.3,166.0,18.7,516.0,3.3,220.0,13.9,,,220.0,-31.4,295.0,-11.9,375.0,-17.0,499.0,14.8
4001,SKAGIT VALLEY HOSPITAL (500003),2019,Acute Care,Government - Hospital District or Authority,136.0,48.417422,-122.324335,WA,399.0,21.4,1993.0,15.2,467.0,17.5,228.0,18.4,194.0,3.9,248.0,16.1,,,248.0,13.8,399.0,2.1,467.0,13.9,698.0,16.1
4002,VIRGINIA MASON MEDICAL CENTER (500005),2019,Acute Care,Voluntary non-profit - Private,267.0,47.610179,-122.327809,WA,428.0,20.8,3999.0,14.5,492.0,16.7,98.0,19.9,1046.0,3.3,287.0,15.0,220.0,12.1,287.0,4.1,428.0,7.5,492.0,-2.3,1237.0,14.2
4003,ISLAND HOSPITAL (500007),2019,Acute Care,Government - Hospital District or Authority,42.0,48.502883,-122.615825,WA,131.0,22.0,996.0,14.6,258.0,15.8,81.0,17.9,520.0,3.8,39.0,16.4,,,39.0,8.0,131.0,-17.6,258.0,-1.6,254.0,14.8
4004,UNIVERSITY OF WASHINGTON MEDICAL CTR (500008),2019,Acute Care,Government - State,466.0,47.650506,-122.307482,WA,315.0,23.5,3081.0,15.9,252.0,16.6,71.0,18.7,28.0,4.3,243.0,16.2,45.0,12.5,243.0,-12.0,315.0,34.7,252.0,42.8,559.0,14.2
4005,HIGHLINE MEDICAL CENTER (500011),2019,Acute Care,Voluntary non-profit - Private,164.0,47.456778,-122.341455,WA,307.0,20.9,1378.0,15.2,273.0,15.3,191.0,19.5,141.0,4.3,127.0,15.1,,,127.0,-24.1,307.0,9.5,273.0,-9.6,335.0,14.9
