,Hospital,file_year,Hospital Type,Hospital Ownership,Beds,Lat,Lon,State,30-Day HF Readmission Rate (READM-30 HF) (Denominator),30-Day HF Readmission Rate (READM-30 HF),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE) (Denominator),30-Day Hospital-Wide All-Cause Unplanned Readmission Rate (READM-30 HOSP-WIDE),30-Day Readmission Rate (READM-30 COPD) (Denominator),30-Day Readmission Rate (READM-30 COPD),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE) (Denominator),30-Day Readmission Rate after hip/knee replacement (READM-30 HIP-KNEE),AMI 30-Day Readmission Rate (READM-30 AMI) (Denominator),AMI 30-Day Readmission Rate (READM-30 AMI),CABG 30-Day Readmission Rate (READM-30 CABG) (Denominator),CABG 30-Day Readmission Rate (READM-30 CABG),ED visit rate for patients receiving outpatient chemo (OP-35 ED) (Denominator),ED visit rate for patients receiving outpatient chemo (OP-35 ED),Hospital return days for AMI patients (EDAC-30 AMI) (Denominator),Hospital return days for AMI patients (EDAC-30 AMI),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients),Hospital return days for AMI patients (EDAC-30 AMI) (Number of Patients Returned),Hospital return days for HF patients (EDAC-30 HF) (Denominator),Hospital return days for HF patients (EDAC-30 HF),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients),Hospital return days for HF patients (EDAC-30 HF) (Number of Patients Returned),Hospital return days for PN patients (EDAC-30 PN) (Denominator),Hospital return days for PN patients (EDAC-30 PN),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients),Hospital return days for PN patients (EDAC-30 PN) (Number of Patients Returned),Inpatient admit rate for patients receiving outpatient chemo (OP-35 ADM),Rate of unplanned visits after colonoscopy (per 1K) (OP-32) (Denominator),Rate of unplanned visits after colonoscopy (per 1K) (OP-32),Ratio of unplanned visits after outpatient surgery (OP-36) (Denominator),Ratio of unplanned visits after outpatient surgery (OP-36)
3657,"PHYSICIANS CENTRE,THE (450834)",2022,Acute Care,Proprietary,16.0,30.649585,-96.296515,TX,,,177.0,13.6,,,209.0,3.2,,,,,,,,,,,,,,,,,,,,,,86.0,0.9
3658,TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN (450840),2022,Acute Care,Government - Federal,58.0,33.115433,-96.671504,TX,156.0,22.6,585.0,15.0,41.0,19.8,,,33.0,14.8,,,,,33.0,-8.5,32.0,6.0,156.0,14.4,131.0,43.0,112.0,19.5,106.0,27.0,,284.0,15.9,79.0,0.9
3659,HOUSTON METHODIST WILLOWBROOK HOSPITAL (450844),2022,Acute Care,Voluntary non-profit - Church,297.0,29.964059,-95.550789,TX,618.0,20.1,2898.0,15.0,136.0,19.9,166.0,4.6,163.0,16.5,29.0,13.6,70.0,3.8,163.0,30.8,156.0,55.0,618.0,-10.1,489.0,159.0,514.0,19.9,465.0,147.0,8.2,884.0,14.5,244.0,1.0
3660,MEMORIAL HERMANN KATY HOSPITAL (450847),2022,Acute Care,Voluntary non-profit - Private,180.0,29.785918,-95.785657,TX,306.0,23.0,1572.0,14.1,83.0,19.5,,,64.0,14.1,,,,,64.0,-24.9,62.0,13.0,306.0,14.8,273.0,103.0,393.0,-10.2,353.0,106.0,,337.0,16.6,99.0,1.1
3661,MEMORIAL HERMANN SUGAR LAND HOSPITAL (450848),2022,Acute Care,Voluntary non-profit - Private,124.0,29.56408,-95.68791,TX,186.0,22.3,988.0,15.5,63.0,19.1,,,66.0,14.0,,,,,66.0,-35.2,66.0,16.0,186.0,20.0,170.0,70.0,251.0,2.3,230.0,78.0,,271.0,15.9,82.0,0.9
3662,BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL - DALLAS (450851),2022,Acute Care,Proprietary,52.0,32.788288,-96.780663,TX,109.0,20.6,727.0,14.1,,,,,217.0,15.6,,,,,217.0,2.5,213.0,61.0,109.0,-5.6,104.0,32.0,,,,,,,,225.0,1.0
3663,BAYLOR SCOTT & WHITE MEDICAL CENTER - FRISCO (450853),2022,Acute Care,Proprietary,68.0,33.10671,-96.837919,TX,,,250.0,14.9,,,401.0,4.2,,,,,,,,,,,,,,,,,,,,363.0,16.1,235.0,1.3
3664,HARLINGEN MEDICAL CENTER (450855),2022,Acute Care,Proprietary,112.0,26.157323,-97.676968,TX,153.0,21.4,623.0,14.5,57.0,20.1,73.0,3.9,67.0,14.5,27.0,12.2,,,67.0,37.0,67.0,14.0,153.0,9.6,136.0,45.0,191.0,-5.9,177.0,43.0,,187.0,17.5,47.0,0.9
3665,SOUTH TEXAS SPINE AND SURGICAL HOSPITAL (450856),2022,Acute Care,Proprietary,30.0,29.613207,-98.478493,TX,,,448.0,13.9,,,360.0,4.0,,,,,,,,,,,,,,,,,,,,,,77.0,1.1
3666,SUGAR LAND SURGICAL HOSPITAL LLP (450860),2022,Acute Care,Proprietary,6.0,29.590609,-95.636696,TX,,,38.0,14.8,,,94.0,4.1,,,,,,,,,,,,,,,,,,,,417.0,15.8,62.0,1.0
3667,ST LUKE'S THE WOODLANDS HOSPITAL (450862),2022,Acute Care,Voluntary non-profit - Private,214.0,30.20566,-95.460773,TX,339.0,19.1,1682.0,15.6,102.0,20.7,,,88.0,15.2,63.0,14.4,,,88.0,34.4,85.0,19.0,339.0,-1.2,291.0,93.0,343.0,8.1,314.0,87.0,,440.0,13.6,67.0,0.9
3668,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL (450864),2022,Acute Care,Physician,19.0,32.329248,-95.299467,TX,,,956.0,13.6,,,1077.0,3.1,,,,,,,,,,,,,,,,,,,,,,559.0,1.5
3669,ASCENSION SETON  SOUTHWEST (450865),2022,Acute Care,Voluntary non-profit - Private,25.0,30.22696,-97.88951,TX,,,81.0,14.4,,,35.0,3.8,,,,,,,,,,,,,,,,,,,,75.0,16.5,36.0,1.0
3670,ASCENSION SETON NORTHWEST (450867),2022,Acute Care,Voluntary non-profit - Private,106.0,30.40482,-97.74501,TX,69.0,20.3,679.0,15.1,33.0,20.0,120.0,4.2,,,,,,,,,,,69.0,-8.9,65.0,26.0,130.0,0.9,120.0,37.0,,189.0,15.2,146.0,0.9
3671,DOCTORS HOSPITAL AT RENAISSANCE (450869),2022,Acute Care,Proprietary,522.0,26.252424,-98.204109,TX,278.0,22.9,1538.0,15.6,61.0,19.8,68.0,3.5,134.0,15.7,89.0,11.1,88.0,3.6,134.0,16.7,129.0,42.0,278.0,4.4,226.0,91.0,242.0,16.3,226.0,70.0,7.3,1819.0,13.9,336.0,0.8
3672,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM) (45086F),2022,Acute Care (VA),Government - Federal,,,,,468.0,22.2,2121.0,18.7,301.0,20.0,198.0,3.8,89.0,16.1,,,,,89.0,-13.0,86.0,25.0,468.0,20.6,349.0,131.0,284.0,5.7,259.0,80.0,,,,,
3673,ARISE AUSTIN MEDICAL CENTER (450871),2022,Acute Care,Physician,22.0,30.271664,-97.795469,TX,,,89.0,15.4,,,147.0,3.7,,,,,,,,,,,,,,,,,,,,,,163.0,1.0
3674,U S M D HOSPITAL AT ARLINGTON L P (450872),2022,Acute Care,Physician,35.0,32.679151,-97.115971,TX,,,98.0,15.2,,,,,,,,,,,,,,,,,,,,,,,,188.0,16.3,166.0,0.9
3675,BAYLOR SURGICAL HOSPITAL AT LAS COLINAS (450874),2022,Acute Care,Proprietary,20.0,32.912261,-96.948091,TX,,,152.0,15.1,,,92.0,4.1,,,,,,,,,,,,,,,,,,,,,,92.0,1.0
3676,QUAIL CREEK SURGICAL HOSPITAL (450875),2022,Acute Care,Proprietary,35.0,35.210675,-101.913568,TX,,,379.0,13.3,,,933.0,3.9,,,,,,,,,,,,,,,,,,,,,,248.0,1.0
3677,LUBBOCK HEART HOSPITAL LP (450876),2022,Acute Care,Proprietary,73.0,33.602527,-101.914287,TX,183.0,21.3,681.0,15.0,37.0,19.8,619.0,4.7,137.0,15.8,88.0,12.6,,,137.0,41.5,136.0,44.0,183.0,18.0,169.0,58.0,44.0,39.7,42.0,9.0,,357.0,17.2,357.0,1.2
3678,FOUNDATION SURGICAL HOSPITAL OF EL PASO (450877),2022,Acute Care,Proprietary,40.0,31.734985,-106.301578,TX,,,118.0,15.8,,,83.0,4.6,,,,,,,,,,,,,,,,,,,,287.0,17.6,38.0,1.0
3679,BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL FORTWORTH (450880),2022,Acute Care,Voluntary non-profit - Private,32.0,32.725778,-97.346185,TX,,,278.0,14.6,,,183.0,5.3,,,,,,,,,,,,,,,,,,,,,,261.0,1.0
3680,BAYLOR MEDICAL CENTER AT TROPHY CLUB (450883),2022,Acute Care,Proprietary,21.0,32.987984,-97.175031,TX,,,116.0,14.4,,,192.0,4.0,,,,,,,,,,,,,,,,,,,,,,128.0,0.8
3681,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL (450885),2022,Acute Care,Voluntary non-profit - Other,118.0,33.115871,-96.769892,TX,83.0,20.2,568.0,15.6,36.0,20.2,31.0,4.0,49.0,15.3,,,,,49.0,32.8,47.0,16.0,83.0,-32.4,71.0,23.0,153.0,34.8,140.0,58.0,,491.0,13.2,43.0,0.9
3682,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE (450888),2022,Acute Care,Government - State,16.0,32.94097,-97.127578,TX,,,206.0,14.6,,,363.0,3.3,,,,,,,,,,,,,,,,,,,,,,188.0,0.9
3683,TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT (450889),2022,Acute Care,Proprietary,9.0,32.876377,-96.761726,TX,,,212.0,14.4,,,357.0,3.2,,,,,,,,,,,,,,,,,,,,,,216.0,1.0
3684,BAYLOR SCOTT & WHITE MEDICAL CENTER PLANO (450890),2022,Acute Care,Voluntary non-profit - Other,136.0,33.014361,-96.791185,TX,219.0,19.8,2064.0,14.9,145.0,19.9,98.0,3.3,26.0,14.4,,,,,26.0,-21.7,26.0,5.0,219.0,-18.0,202.0,64.0,314.0,11.4,304.0,74.0,,157.0,16.7,177.0,1.2
3685,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY (450891),2022,Acute Care,Proprietary,18.0,33.045103,-96.832226,TX,,,77.0,14.1,,,73.0,4.0,,,,,,,,,,,,,,,,,,,,158.0,16.5,137.0,1.2
3686,THE HEART HOSPITAL BAYLOR DENTON (450893),2022,Acute Care,Physician,20.0,33.17697,-97.088199,TX,59.0,22.8,286.0,14.8,,,,,66.0,14.8,188.0,11.9,,,66.0,51.2,66.0,17.0,59.0,50.2,49.0,21.0,,,,,,,,,
3687,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM) (45090F),2022,Acute Care (VA),Government - Federal,,,,,571.0,22.2,3265.0,16.5,288.0,19.3,208.0,4.6,199.0,16.6,,,,,199.0,25.2,188.0,66.0,571.0,-0.2,451.0,163.0,339.0,-4.5,315.0,84.0,,,,,
3688,PARMER COUNTY COMMUNITY HOSPITAL (451300),2022,Critical Access,Voluntary non-profit - Private,25.0,34.643634,-102.721088,TX,,,39.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
3689,LIMESTONE MEDICAL CENTER (451303),2022,Critical Access,Government - Hospital District or Authority,16.0,31.531923,-96.529621,TX,,,49.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,44.0,15.5,,
3690,KIMBLE HOSPITAL (451306),2022,Critical Access,Government - Hospital District or Authority,15.0,30.499194,-99.780254,TX,,,31.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3691,BALLINGER MEMORIAL HOSPITAL (451310),2022,Critical Access,Government - Hospital District or Authority,16.0,31.749822,-99.962302,TX,,,33.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3692,SWEENY COMMUNITY HOSPITAL (451311),2022,Critical Access,Government - Hospital District or Authority,14.0,29.048514,-95.691392,TX,,,49.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3693,FISHER COUNTY HOSPITAL DISTRICT (451313),2022,Critical Access,Government - Hospital District or Authority,12.0,32.834342,-100.435419,TX,,,30.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3694,NORTH RUNNELS HOSPITAL (451315),2022,Critical Access,Government - Hospital District or Authority,14.0,31.949862,-99.959824,TX,,,38.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3695,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE (451319),2022,Critical Access,Voluntary non-profit - Private,22.0,31.937954,-95.249429,TX,26.0,20.5,173.0,14.7,25.0,19.9,,,,,,,,,,,,,26.0,-28.5,26.0,9.0,89.0,-15.0,79.0,26.0,,629.0,14.3,35.0,1.1
3696,ROLLINS BROOK COMMUNITY HOSPITAL (451323),2022,Critical Access,Voluntary non-profit - Church,25.0,31.07233,-98.185644,TX,35.0,20.9,88.0,15.2,,,,,,,,,,,,,,,35.0,-20.3,29.0,9.0,25.0,-25.6,25.0,8.0,,121.0,16.0,,
3697,MEDINA REGIONAL HOSPITAL (451330),2022,Critical Access,Government - Hospital District or Authority,25.0,29.335247,-99.133416,TX,,,48.0,15.0,,,,,,,,,,,,,,,,,,,30.0,-2.5,29.0,4.0,,182.0,15.7,,
3698,MARTIN COUNTY HOSPITAL DISTRICT (451333),2022,Critical Access,Government - Hospital District or Authority,20.0,,,TX,,,41.0,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699,W J MANGOLD MEMORIAL HOSPITAL (451337),2022,Critical Access,Government - Hospital District or Authority,25.0,34.126621,-101.441788,TX,,,45.0,14.7,,,,,,,,,,,,,,,,,,,36.0,13.0,32.0,8.0,,33.0,15.6,,
3700,HASKELL MEMORIAL HOSPITAL (451341),2022,Critical Access,Government - Hospital District or Authority,25.0,,,TX,,,60.0,15.3,,,,,,,,,,,,,,,,,,,27.0,-12.4,27.0,8.0,,,,,
3701,MITCHELL COUNTY HOSPITAL DISTRICT (451342),2022,Critical Access,Government - Hospital District or Authority,25.0,32.388145,-100.855736,TX,,,35.0,14.6,,,,,,,,,,,,,,,,,,,54.0,11.7,45.0,9.0,,,,,
3702,ELECTRA MEMORIAL HOSPITAL (451343),2022,Critical Access,Government - Hospital District or Authority,19.0,34.018455,-98.923874,TX,,,56.0,14.7,33.0,20.3,,,,,,,,,,,,,,,,,42.0,-7.8,37.0,8.0,,,,,
3703,HANSFORD COUNTY HOSPITAL (451344),2022,Critical Access,Government - Hospital District or Authority,21.0,36.190475,-101.200127,TX,,,29.0,14.8,,,,,,,,,,,,,,,,,,,34.0,-12.4,29.0,8.0,,,,,
3704,YOAKUM COMMUNITY HOSPITAL (451346),2022,Critical Access,Voluntary non-profit - Private,24.0,29.30662,-97.130306,TX,34.0,21.0,151.0,15.0,,,,,,,,,,,,,,,34.0,-15.1,24.0,8.0,63.0,2.0,58.0,12.0,,125.0,17.2,,
3705,COLEMAN COUNTY MEDICAL CENTER COMPANY (451347),2022,Critical Access,Government - Hospital District or Authority,25.0,31.828626,-99.425238,TX,26.0,22.2,189.0,16.0,40.0,20.4,,,,,,,,,,,,,26.0,19.6,23.0,9.0,77.0,21.4,64.0,24.0,,38.0,16.8,,
3706,LYNN COUNTY HOSPITAL DISTRICT (451351),2022,Critical Access,Government - Hospital District or Authority,24.0,33.166539,-101.815507,TX,,,25.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707,HAMILTON HOSPITAL (451354),2022,Critical Access,Government - Hospital District or Authority,24.0,33.369669,-98.76463,TX,,,78.0,14.8,29.0,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
3708,COLLINGSWORTH GENERAL HOSPITAL (451355),2022,Critical Access,Proprietary,14.0,34.84911,-100.212015,TX,,,44.0,14.8,,,,,,,,,,,,,,,,,,,28.0,-16.7,27.0,6.0,,,,,
3709,MEMORIAL MEDICAL CENTER (451356),2022,Critical Access,Government - Local,25.0,28.619885,-96.63063,TX,33.0,23.1,152.0,16.1,37.0,20.1,,,,,,,,,,,,,33.0,18.7,27.0,15.0,51.0,-0.3,49.0,15.0,,152.0,16.4,,
3710,OCHILTREE GENERAL HOSPITAL (451359),2022,Critical Access,Voluntary non-profit - Church,25.0,36.369691,-100.799798,TX,,,76.0,14.3,,,,,,,,,,,,,,,,,,,42.0,-18.1,38.0,10.0,,,,,
3711,SABINE COUNTY HOSPITAL (451361),2022,Critical Access,Proprietary,25.0,,,TX,,,100.0,15.5,25.0,19.4,,,,,,,,,,,,,,,,,50.0,-20.2,47.0,18.0,,,,,
3712,CLAY COUNTY MEMORIAL HOSPITAL (451362),2022,Critical Access,Government - Local,25.0,33.813922,-98.197995,TX,,,63.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3713,JACKSON HEALTHCARE CENTER (451363),2022,Critical Access,Government - Hospital District or Authority,25.0,28.969388,-96.634839,TX,,,41.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,103.0,16.1,,
3714,OTTO KAISER MEMORIAL HOSPITAL (451364),2022,Critical Access,Government - Hospital District or Authority,25.0,28.80425,-97.856642,TX,,,36.0,15.3,,,,,,,,,,,,,,,,,,,,,,,,186.0,16.1,,
3715,ASCENSION SETON HIGHLAND LAKES (451365),2022,Critical Access,Voluntary non-profit - Private,25.0,,,TX,,,127.0,14.9,43.0,19.2,84.0,3.6,,,,,,,,,,,,,,,45.0,-41.7,43.0,8.0,,258.0,16.0,51.0,1.1
3716,UT HEALTH EAST TEXAS PITTSBURG HOSPITAL (451367),2022,Critical Access,Voluntary non-profit - Other,25.0,33.02843,-94.962966,TX,45.0,19.9,133.0,14.5,45.0,18.7,,,,,,,,,,,,,45.0,-31.6,41.0,12.0,65.0,-39.2,55.0,18.0,,140.0,17.1,,
3717,GOLDEN PLAINS COMMUNITY HOSPITAL (451369),2022,Critical Access,Proprietary,25.0,35.653834,-101.409041,TX,30.0,20.4,92.0,15.4,26.0,19.0,,,,,,,,,,,,,30.0,-29.4,27.0,9.0,,,,,,,,,
3718,TMC- BONHAM HOSPITAL (451370),2022,Critical Access,Government - Hospital District or Authority,24.0,33.57813,-96.167479,TX,30.0,22.4,83.0,15.4,,,,,,,,,,,,,,,30.0,106.1,28.0,10.0,54.0,0.8,53.0,11.0,,45.0,15.5,,
3719,ASCENSION SETON EDGAR B DAVIS (451371),2022,Critical Access,Government - Federal,24.0,29.67253,-97.654254,TX,,,112.0,14.3,,,,,,,,,,,,,,,,,,,47.0,-23.1,44.0,10.0,,65.0,15.4,,
3720,MULESHOE AREA MEDICAL CENTER (451372),2022,Critical Access,Proprietary,25.0,34.221029,-102.728458,TX,,,52.0,15.4,,,,,,,,,,,,,,,,,,,47.0,-11.8,41.0,7.0,,,,,
3721,WARD MEMORIAL HOSPITAL (451373),2022,Critical Access,Government - Local,24.0,31.59397,-102.884583,TX,27.0,21.4,58.0,14.8,31.0,19.6,,,,,,,,,,,,,27.0,11.1,19.0,11.0,,,,,,,,,
3722,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR (451374),2022,Critical Access,Voluntary non-profit - Private,25.0,30.591931,-97.415265,TX,,,56.0,14.9,,,,,,,,,,,,,,,,,,,27.0,-24.4,27.0,6.0,,56.0,15.6,,
3723,LAVACA MEDICAL CENTER (451376),2022,Critical Access,Government - Hospital District or Authority,25.0,29.457145,-96.939877,TX,,,140.0,14.8,,,,,,,,,,,,,,,,,,,83.0,-15.5,75.0,16.0,,,,,
3724,REEVES COUNTY HOSPITAL DISTRICT (451377),2022,Critical Access,Government - Local,25.0,31.401575,-103.512831,TX,,,61.0,14.8,,,,,,,,,,,,,,,,,,,47.0,-19.4,43.0,17.0,,,,,
3725,BIG BEND REGIONAL MEDICAL CENTER (451378),2022,Critical Access,Proprietary,25.0,30.383811,-103.67214,TX,,,101.0,15.1,,,,,,,,,,,,,,,,,,,40.0,-6.2,38.0,12.0,,78.0,15.9,,
3726,CORYELL MEMORIAL HOSPITAL (451379),2022,Critical Access,Government - Hospital District or Authority,25.0,31.433152,-97.778822,TX,30.0,19.9,179.0,15.1,27.0,20.0,59.0,3.9,,,,,,,,,,,30.0,-16.9,23.0,5.0,49.0,9.2,46.0,12.0,,,,,
3727,UT HEALTH EAST TEXAS QUITMAN HOSPITAL (451380),2022,Critical Access,Voluntary non-profit - Private,25.0,32.796155,-95.445296,TX,44.0,22.0,226.0,15.5,60.0,18.1,,,,,,,,,,,,,44.0,-13.3,42.0,15.0,110.0,-24.5,103.0,31.0,,207.0,16.5,,
3728,COMANCHE COUNTY MEDICAL CENTER (451382),2022,Critical Access,Voluntary non-profit - Private,25.0,31.984614,-98.563264,TX,58.0,21.0,194.0,16.5,31.0,19.6,,,,,,,,,,,,,58.0,17.8,40.0,13.0,56.0,41.2,50.0,10.0,,85.0,15.2,,
3729,COGDELL MEMORIAL HOSPITAL (451384),2022,Critical Access,Government - Hospital District or Authority,25.0,32.688519,-100.916021,TX,,,116.0,15.2,,,,,,,,,,,,,,,,,,,52.0,5.6,47.0,7.0,,38.0,15.5,,
3730,GOODALL WITCHER HOSPITAL (451385),2022,Critical Access,Government - Hospital District or Authority,25.0,31.777153,-97.588431,TX,,,93.0,14.8,,,,,,,,,,,,,,,,,,,67.0,-22.2,58.0,8.0,,61.0,16.5,,
3731,MEMORIAL HOSPITAL (451386),2022,Critical Access,Government - Hospital District or Authority,20.0,35.864264,-101.971006,TX,40.0,20.9,127.0,14.8,,,,,,,,,,,,,,,40.0,-27.7,34.0,15.0,47.0,98.5,43.0,16.0,,61.0,16.6,,
3732,UVALDE MEMORIAL HOSPITAL (451387),2022,Critical Access,Government - Hospital District or Authority,21.0,29.215126,-99.768668,TX,64.0,21.5,227.0,15.2,36.0,20.6,34.0,4.0,,,,,,,,,,,64.0,19.9,52.0,26.0,85.0,-4.8,82.0,26.0,,115.0,15.5,,
3733,FRIO REGIONAL HOSPITAL (451391),2022,Critical Access,Voluntary non-profit - Private,23.0,28.897048,-99.116013,TX,,,50.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,63.0,17.1,,
3734,HAMILTON GENERAL HOSPITAL (451392),2022,Critical Access,Government - Hospital District or Authority,25.0,31.703852,-98.113462,TX,34.0,21.5,146.0,15.1,,,,,,,,,,,,,,,34.0,-12.5,26.0,7.0,76.0,-40.1,70.0,12.0,,151.0,17.4,,
3735,HILL REGIONAL HOSPITAL (451395),2022,Critical Access,Voluntary non-profit - Private,25.0,32.011912,-97.099153,TX,25.0,21.3,201.0,16.2,,,,,,,,,,,,,,,25.0,-7.5,24.0,6.0,29.0,-27.6,28.0,9.0,,44.0,16.6,,
3736,UTAH VALLEY HOSPITAL (460001),2022,Acute Care,Voluntary non-profit - Private,370.0,40.248084,-111.667383,UT,207.0,18.8,2258.0,13.1,27.0,19.5,233.0,3.6,359.0,12.8,103.0,10.0,,,359.0,-22.5,351.0,80.0,207.0,-34.6,197.0,45.0,287.0,0.5,263.0,63.0,,590.0,15.9,273.0,1.2
3737,SALT LAKE REGIONAL MEDICAL CENTER (460003),2022,Acute Care,Proprietary,144.0,40.769348,-111.861175,UT,34.0,20.6,358.0,14.9,,,190.0,3.9,56.0,14.9,26.0,11.5,,,56.0,-7.1,56.0,12.0,34.0,-21.0,32.0,9.0,34.0,-18.5,33.0,10.0,,138.0,15.9,133.0,1.1
3738,MCKAY DEE HOSPITAL (460004),2022,Acute Care,Voluntary non-profit - Private,312.0,41.182796,-111.949118,UT,258.0,18.2,2211.0,12.7,66.0,18.5,253.0,3.8,176.0,12.6,72.0,10.8,97.0,3.6,176.0,-32.0,172.0,49.0,258.0,-28.7,226.0,59.0,266.0,-37.8,254.0,54.0,7.4,1282.0,16.3,254.0,1.0
3739,OGDEN REGIONAL MEDICAL CENTER (460005),2022,Acute Care,Proprietary,177.0,41.163502,-111.96862,UT,90.0,20.7,889.0,14.6,33.0,18.4,83.0,3.7,59.0,15.1,34.0,10.9,,,59.0,-12.6,59.0,15.0,90.0,-13.1,82.0,22.0,109.0,-8.9,104.0,27.0,,,,172.0,1.1
3740,LDS HOSPITAL (460006),2022,Acute Care,Voluntary non-profit - Private,244.0,40.778509,-111.880576,UT,54.0,21.8,477.0,14.8,,,170.0,3.9,,,,,,,,,,,54.0,10.4,49.0,16.0,76.0,-21.5,75.0,13.0,,1161.0,15.2,136.0,1.1
3741,CEDAR CITY HOSPITAL (460007),2022,Acute Care,Voluntary non-profit - Private,48.0,37.700591,-113.063985,UT,67.0,20.6,340.0,14.8,,,50.0,3.9,,,,,71.0,4.7,,,,,67.0,18.7,60.0,16.0,87.0,-48.5,81.0,19.0,6.6,737.0,15.8,156.0,0.9
3742,UNIVERSITY OF UTAH HOSPITALS AND CLINICS (460009),2022,Acute Care,Government - State,602.0,40.772019,-111.837022,UT,427.0,18.2,3737.0,14.0,64.0,18.4,280.0,3.8,211.0,13.4,88.0,10.6,743.0,4.1,211.0,-13.8,211.0,43.0,427.0,-31.2,372.0,109.0,188.0,-22.4,177.0,40.0,6.5,2623.0,14.5,844.0,0.8
3743,INTERMOUNTAIN MEDICAL CENTER (460010),2022,Acute Care,Voluntary non-profit - Private,487.0,40.658731,-111.894491,UT,557.0,18.8,3458.0,12.9,86.0,19.4,93.0,3.6,352.0,13.4,103.0,12.5,85.0,3.5,352.0,-13.1,345.0,77.0,557.0,-24.5,500.0,140.0,322.0,-4.1,312.0,66.0,7.3,1125.0,15.4,378.0,0.9
3744,CASTLEVIEW HOSPITAL (460011),2022,Acute Care,Proprietary,45.0,39.605402,-110.831911,UT,41.0,20.0,372.0,14.6,,,123.0,3.9,,,,,,,,,,,41.0,-30.4,34.0,7.0,132.0,-17.0,111.0,25.0,,444.0,15.6,70.0,1.0
3745,MOUNTAIN VIEW HOSPITAL (460013),2022,Acute Care,Proprietary,124.0,40.044633,-111.715257,UT,43.0,20.6,513.0,14.3,,,286.0,4.3,30.0,14.8,,,,,30.0,-6.4,29.0,6.0,43.0,-41.6,42.0,8.0,94.0,-21.4,85.0,24.0,,368.0,15.0,63.0,0.9
3746,MOUNTAIN WEST MEDICAL CENTER (460014),2022,Acute Care,Proprietary,36.0,,,UT,32.0,21.0,223.0,14.9,,,49.0,4.4,,,,,,,,,,,32.0,-29.0,30.0,8.0,84.0,-24.7,78.0,16.0,,76.0,16.5,45.0,1.2
3747,LOGAN REGIONAL HOSPITAL (460015),2022,Acute Care,Voluntary non-profit - Private,137.0,41.757461,-111.822877,UT,97.0,18.9,612.0,14.2,,,36.0,3.8,46.0,14.1,,,71.0,3.7,46.0,-27.7,46.0,7.0,97.0,-51.5,88.0,19.0,103.0,-22.3,93.0,20.0,8.9,1024.0,17.2,154.0,1.0
3748,BRIGHAM CITY COMMUNITY HOSPITAL (460017),2022,Acute Care,Proprietary,40.0,41.49107,-112.024441,UT,,,146.0,14.5,,,30.0,3.8,,,,,,,,,,,,,,,52.0,-23.0,46.0,5.0,,251.0,15.3,37.0,0.9
3749,UINTAH BASIN MEDICAL CENTER (460019),2022,Acute Care,Voluntary non-profit - Other,87.0,40.302755,-109.997086,UT,53.0,19.9,202.0,14.9,28.0,20.8,61.0,4.0,,,,,,,,,,,53.0,-32.5,49.0,10.0,91.0,-26.9,77.0,31.0,,212.0,17.6,32.0,0.9
3750,ST. GEORGE REGIONAL HOSPITAL (460021),2022,Acute Care,Voluntary non-profit - Private,262.0,37.09985,-113.55333,UT,390.0,19.6,4025.0,13.3,124.0,19.7,582.0,4.0,490.0,12.7,113.0,9.0,287.0,4.0,490.0,-14.3,476.0,109.0,390.0,-27.6,357.0,111.0,532.0,-14.5,482.0,113.0,7.3,1369.0,16.5,901.0,1.1
